,time,mean,median,sd,min,max
0,611.0,298.625,317.5,155.2912082991178,10.0,564.0
0,656.0,292.36842105263156,268.0,185.28618277973638,13.0,609.0
0,808.0,375.04545454545456,395.0,215.56721737456178,24.0,761.0
0,858.0,384.0,400.5,243.28755277106418,1.0,811.0
0,884.0,410.0,426.5,243.28755277106418,27.0,837.0
0,909.0,417.88,410.0,252.69654845288252,7.0,862.0
0,970.0,445.6666666666667,423.0,270.1161615689456,5.0,923.0
0,1161.0,584.2666666666667,557.0,301.1231125119573,35.0,1114.0
0,1167.0,595.7241379310345,584.0,304.8086903177505,41.0,1120.0
0,1213.0,640.8571428571429,609.0,310.16881512742543,4.0,1166.0
0,1246.0,673.8571428571429,642.0,310.16881512742543,5.0,1199.0
0,1249.0,676.8571428571429,645.0,310.16881512742543,8.0,1202.0
0,1256.0,696.5185185185185,673.0,308.6731905202545,6.0,1209.0
0,1332.0,782.8846153846154,791.0,309.9070986010383,17.0,1285.0
0,1398.0,819.3703703703703,815.0,339.3134842642811,29.0,1351.0
0,1417.0,838.3703703703703,834.0,339.3134842642811,3.0,1370.0
0,1430.0,844.0384615384615,826.0,343.6719680125703,10.0,1383.0
0,1456.0,885.52,873.0,341.4721212632153,21.0,1409.0
0,1484.0,878.4615384615385,880.0,377.9495520639302,2.0,1437.0
0,1507.0,901.4615384615385,903.0,377.9495520639302,20.0,1460.0
0,1541.0,935.4615384615385,937.0,377.9495520639302,18.0,1494.0
0,1597.0,961.6153846153846,993.0,419.24750143038574,37.0,1550.0
0,1653.0,913.448275862069,1010.0,501.6280106988813,1.0,1606.0
0,1706.0,935.4333333333333,1063.0,520.7099437840184,36.0,1659.0
0,1735.0,984.2758620689655,1092.0,518.3403153535412,8.0,1688.0
0,1811.0,967.8,1156.5,553.2956653845513,7.0,1711.0
0,1843.0,958.6666666666666,1096.0,577.7515806026746,13.0,1743.0
0,1856.0,940.5806451612904,1028.0,593.3122864923746,8.0,1756.0
0,1916.0,1024.7,1169.0,587.9790897642534,55.0,1816.0
0,1927.0,1033.5172413793102,1261.0,597.9112274490516,66.0,1827.0
0,1930.0,1036.5172413793102,1264.0,597.9112274490516,2.0,1830.0
0,1931.0,1037.5172413793102,1265.0,597.9112274490516,3.0,1831.0
0,1955.0,1061.5172413793102,1289.0,597.9112274490516,27.0,1855.0
0,2010.0,1079.9,1250.0,620.0524897135725,18.0,1910.0
0,2013.0,1082.9,1253.0,620.0524897135725,3.0,1913.0
0,2055.0,1108.5666666666666,1295.0,645.1023527747791,7.0,1955.0
0,2076.0,1129.5666666666666,1316.0,645.1023527747791,4.0,1976.0
0,2083.0,1161.5172413793102,1417.0,641.7408769519134,11.0,1983.0
0,2107.0,1185.5172413793102,1441.0,641.7408769519134,11.0,2007.0
0,2174.0,1212.8,1414.0,666.2206541379514,3.0,2074.0
0,2203.0,1241.8,1443.0,666.2206541379514,32.0,2103.0
0,2212.0,1224.551724137931,1358.0,662.1827326822594,9.0,2112.0
0,2216.0,1228.551724137931,1362.0,662.1827326822594,4.0,2116.0
0,2217.0,1229.551724137931,1363.0,662.1827326822594,5.0,2117.0
0,2226.0,1248.357142857143,1466.0,665.5154401066951,14.0,2126.0
0,2312.0,1290.3793103448277,1458.0,694.1119562778041,9.0,2212.0
0,2401.0,1284.483870967742,1499.0,759.6737784995967,5.0,2301.0
0,2409.0,1287.5483870967741,1507.0,767.4980230597498,3.0,2309.0
0,2443.0,1293.0666666666666,1509.5,763.8984632935336,10.0,2343.0
0,2457.0,1264.9354838709678,1492.0,786.1094455314718,1.0,2357.0
0,2500.0,1253.40625,1481.5,823.12050527911,8.0,2400.0
0,2532.0,1125.6285714285714,972.0,858.796170252765,4.0,2432.0
0,2555.0,1148.6285714285714,995.0,858.796170252765,18.0,2455.0
0,2562.0,1176.4117647058824,1041.0,862.6152137079517,5.0,2462.0
0,2612.0,1191.5714285714287,1052.0,874.1371349006087,7.0,2512.0
0,2631.0,1219.090909090909,1071.0,872.1287910046162,10.0,2531.0
0,2636.0,1224.090909090909,1076.0,872.1287910046162,15.0,2536.0
0,2658.0,1246.090909090909,1098.0,872.1287910046162,12.0,2558.0
0,2684.0,1272.090909090909,1124.0,872.1287910046162,38.0,2584.0
0,2708.0,1296.090909090909,1148.0,872.1287910046162,15.0,2608.0
0,2734.0,1283.3235294117646,1136.0,887.6000265285179,4.0,2634.0
0,2739.0,1273.6060606060605,1103.0,896.851730571969,2.0,2639.0
0,2761.0,1295.6060606060605,1125.0,896.851730571969,24.0,2661.0
0,2771.0,1305.6060606060605,1135.0,896.851730571969,34.0,2671.0
0,2772.0,1306.6060606060605,1136.0,896.851730571969,35.0,2672.0
0,2774.0,1308.6060606060605,1138.0,896.851730571969,37.0,2674.0
0,2839.0,1318.03125,1195.0,925.56795011141,6.0,2739.0
0,2846.0,1325.03125,1202.0,925.56795011141,5.0,2746.0
0,2876.0,1314.8181818181818,1224.0,939.3950488752002,6.0,2776.0
0,2893.0,1331.8181818181818,1241.0,939.3950488752002,9.0,2793.0
0,2937.0,1299.0,1120.0,964.0579709895933,5.0,2837.0
0,2938.0,1300.0,1121.0,964.0579709895933,6.0,2838.0
0,2980.0,1329.2,1163.0,978.4832811185746,7.0,2880.0
0,2991.0,1269.2571428571428,1161.0,982.4071411692853,9.0,2891.0
0,3013.0,1289.8857142857144,1183.0,984.1026012545229,12.0,2913.0
0,3037.0,1313.8857142857144,1207.0,984.1026012545229,23.0,2937.0
0,3046.0,1348.8235294117646,1222.5,986.6078388507061,4.0,2946.0
0,3047.0,1349.8235294117646,1223.5,986.6078388507061,5.0,2947.0
0,3057.0,1381.3030303030303,1240.0,993.5820560537662,15.0,2957.0
0,3068.0,1425.25,1333.5,991.0771286837366,10.0,2968.0
0,3083.0,1396.8181818181818,1266.0,1006.3953212827076,4.0,2983.0
0,3093.0,1406.8181818181818,1276.0,1006.3953212827076,14.0,2993.0
0,3106.0,1445.5,1371.5,1011.2948074127544,7.0,3006.0
0,3132.0,1471.5,1397.5,1011.2948074127544,18.0,3032.0
0,3154.0,1448.8484848484848,1337.0,1027.38795366998,20.0,3054.0
0,3155.0,1449.8484848484848,1338.0,1027.38795366998,21.0,3055.0
0,3215.0,1554.5,1480.5,1011.2948074127544,16.0,3115.0
0,3225.0,1564.5,1490.5,1011.2948074127544,26.0,3125.0
0,3233.0,1548.032258064516,1416.0,1018.1112964026296,34.0,3133.0
0,3248.0,1600.3333333333333,1513.5,1013.8884663621645,2.0,3148.0
0,3252.0,1604.3333333333333,1517.5,1013.8884663621645,3.0,3152.0
0,3257.0,1528.3666666666666,1433.5,991.1414121551419,8.0,3157.0
0,3260.0,1482.032258064516,1430.0,1011.7750446096709,1.0,3160.0
0,3267.0,1398.939393939394,1064.0,1042.811698606775,2.0,3167.0
0,3278.0,1409.939393939394,1075.0,1042.811698606775,13.0,3178.0
0,3283.0,1413.34375,1021.5,1058.9406147588907,5.0,3183.0
0,3336.0,1365.5483870967741,1005.0,1069.6367740050125,11.0,3236.0
0,3352.0,1381.5483870967741,1021.0,1069.6367740050125,11.0,3252.0
0,3373.0,1420.7333333333333,1047.5,1082.5935504867723,16.0,3273.0
0,3379.0,1426.7333333333333,1053.5,1082.5935504867723,5.0,3279.0
0,3466.0,1422.03125,1109.5,1106.7615338334801,14.0,3366.0
0,3468.0,1424.03125,1111.5,1106.7615338334801,16.0,3368.0
0,3478.0,1463.6451612903227,1147.0,1111.9222979462797,26.0,3378.0
0,3504.0,1489.6451612903227,1173.0,1111.9222979462797,13.0,3404.0
0,3539.0,1524.6451612903227,1208.0,1111.9222979462797,26.0,3439.0
0,3556.0,1541.6451612903227,1225.0,1111.9222979462797,43.0,3456.0
0,3586.0,1577.9333333333334,1229.5,1129.760061055247,24.0,3486.0
0,3587.0,1578.9333333333334,1230.5,1129.760061055247,25.0,3487.0
0,3588.0,1579.9333333333334,1231.5,1129.760061055247,26.0,3488.0
0,3590.0,1581.9333333333334,1233.5,1129.760061055247,28.0,3490.0
0,3601.0,1592.9333333333334,1244.5,1129.760061055247,39.0,3501.0
0,3642.0,1621.9,1285.5,1144.83132236442,9.0,3542.0
0,3644.0,1623.9,1287.5,1144.83132236442,11.0,3544.0
0,3658.0,1619.344827586207,1276.0,1159.958776790174,1.0,3558.0
0,3662.0,1668.892857142857,1305.5,1154.726818011383,5.0,3562.0
0,3690.0,1682.607142857143,1333.5,1172.7079876229607,9.0,3590.0
0,3691.0,1683.607142857143,1334.5,1172.7079876229607,10.0,3591.0
0,3693.0,1685.607142857143,1336.5,1172.7079876229607,12.0,3593.0
0,3694.0,1686.607142857143,1337.5,1172.7079876229607,13.0,3594.0
0,3710.0,1631.962962962963,1328.0,1134.214346503095,29.0,3584.0
0,3732.0,1688.7307692307693,1375.5,1141.6142605199382,51.0,3606.0
0,3750.0,1706.7307692307693,1393.5,1141.6142605199382,17.0,3624.0
0,3757.0,1713.7307692307693,1400.5,1141.6142605199382,3.0,3631.0
0,3762.0,1655.111111111111,1380.0,1166.2964280253505,1.0,3636.0
0,3802.0,1728.0384615384614,1445.5,1176.1338712647018,8.0,3676.0
0,3835.0,1704.1153846153845,1411.0,1222.1127773378955,24.0,3709.0
0,3860.0,1729.1153846153845,1436.0,1222.1127773378955,49.0,3734.0
0,3862.0,1731.1153846153845,1438.0,1222.1127773378955,1.0,3736.0
0,3863.0,1732.1153846153845,1439.0,1222.1127773378955,2.0,3737.0
0,3864.0,1733.1153846153845,1440.0,1222.1127773378955,1.0,3738.0
0,3868.0,1737.1153846153845,1444.0,1222.1127773378955,5.0,3742.0
0,3893.0,1628.8461538461538,1417.5,1216.7555753632341,6.0,3767.0
0,3894.0,1629.8461538461538,1418.5,1216.7555753632341,7.0,3768.0
0,3908.0,1624.8076923076924,1432.5,1238.0651163200264,6.0,3782.0
0,3916.0,1632.8076923076924,1440.5,1238.0651163200264,14.0,3790.0
0,3931.0,1581.48,1446.0,1216.4431797663217,1.0,3805.0
0,3953.0,1485.7777777777778,1332.0,1242.2951379911874,6.0,3827.0
