,time,mean,median,sd,min,max
0,611.0,310.0,310.0,109.0,58.0,419.0
0,656.0,247.0,246.0,176.77292402024318,31.0,464.0
0,808.0,317.5,290.5,208.23844505758296,73.0,616.0
0,858.0,367.5,340.5,208.23844505758296,123.0,666.0
0,884.0,393.5,366.5,208.23844505758296,149.0,692.0
0,909.0,418.5,391.5,208.23844505758296,174.0,717.0
0,970.0,384.6,345.0,265.9222442745247,5.0,778.0
0,1161.0,489.8333333333333,481.0,309.36785906461296,61.0,969.0
0,1167.0,508.6,542.0,337.4496110532653,67.0,975.0
0,1213.0,554.6,588.0,337.4496110532653,113.0,1021.0
0,1246.0,587.6,621.0,337.4496110532653,146.0,1054.0
0,1249.0,590.6,624.0,337.4496110532653,149.0,1057.0
0,1256.0,597.6,631.0,337.4496110532653,156.0,1064.0
0,1332.0,673.6,707.0,337.4496110532653,232.0,1140.0
0,1398.0,739.6,773.0,337.4496110532653,298.0,1206.0
0,1417.0,758.6,792.0,337.4496110532653,317.0,1225.0
0,1430.0,771.6,805.0,337.4496110532653,330.0,1238.0
0,1456.0,797.6,831.0,337.4496110532653,356.0,1264.0
0,1484.0,825.6,859.0,337.4496110532653,384.0,1292.0
0,1507.0,848.6,882.0,337.4496110532653,407.0,1315.0
0,1541.0,882.6,916.0,337.4496110532653,441.0,1349.0
0,1597.0,788.3333333333334,802.0,455.84414978026086,37.0,1405.0
0,1653.0,844.3333333333334,858.0,455.84414978026086,93.0,1461.0
0,1706.0,897.3333333333334,911.0,455.84414978026086,146.0,1514.0
0,1735.0,926.3333333333334,940.0,455.84414978026086,175.0,1543.0
0,1811.0,1002.3333333333334,1016.0,455.84414978026086,251.0,1619.0
0,1843.0,1034.3333333333333,1048.0,455.84414978026086,13.0,1651.0
0,1856.0,1047.3333333333333,1061.0,455.84414978026086,26.0,1664.0
0,1916.0,1107.3333333333333,1121.0,455.84414978026086,86.0,1724.0
0,1927.0,1118.3333333333333,1132.0,455.84414978026086,97.0,1735.0
0,1930.0,1121.3333333333333,1135.0,455.84414978026086,2.0,1738.0
0,1931.0,1122.3333333333333,1136.0,455.84414978026086,3.0,1739.0
0,1955.0,1146.3333333333333,1160.0,455.84414978026086,27.0,1763.0
0,2010.0,1201.3333333333333,1215.0,455.84414978026086,37.0,1818.0
0,2013.0,1204.3333333333333,1218.0,455.84414978026086,40.0,1821.0
0,2055.0,1246.3333333333333,1260.0,455.84414978026086,82.0,1863.0
0,2076.0,1267.3333333333333,1281.0,455.84414978026086,103.0,1884.0
0,2083.0,1274.3333333333333,1288.0,455.84414978026086,110.0,1891.0
0,2107.0,1298.3333333333333,1312.0,455.84414978026086,11.0,1915.0
0,2174.0,1365.3333333333333,1379.0,455.84414978026086,78.0,1982.0
0,2203.0,1394.3333333333333,1408.0,455.84414978026086,107.0,2011.0
0,2212.0,1403.3333333333333,1417.0,455.84414978026086,9.0,2020.0
0,2216.0,1407.3333333333333,1421.0,455.84414978026086,4.0,2024.0
0,2217.0,1408.3333333333333,1422.0,455.84414978026086,5.0,2025.0
0,2226.0,1295.6666666666667,1431.0,593.8845753922969,14.0,2034.0
0,2312.0,1381.6666666666667,1517.0,593.8845753922969,10.0,2120.0
0,2401.0,1272.142857142857,1436.0,734.0187674851428,9.0,2209.0
0,2409.0,1280.142857142857,1444.0,734.0187674851428,17.0,2217.0
0,2443.0,1314.142857142857,1478.0,734.0187674851428,10.0,2251.0
0,2457.0,1328.142857142857,1492.0,734.0187674851428,1.0,2265.0
0,2500.0,1201.625,1237.5,820.1156835319027,15.0,2308.0
0,2532.0,811.7,515.5,810.7413952673194,17.0,2340.0
0,2555.0,834.7,538.5,810.7413952673194,40.0,2363.0
0,2562.0,841.7,545.5,810.7413952673194,47.0,2370.0
0,2612.0,891.7,595.5,810.7413952673194,7.0,2420.0
0,2631.0,910.7,614.5,810.7413952673194,10.0,2439.0
0,2636.0,915.7,619.5,810.7413952673194,15.0,2444.0
0,2658.0,937.7,641.5,810.7413952673194,12.0,2466.0
0,2684.0,963.7,667.5,810.7413952673194,38.0,2492.0
0,2708.0,987.7,691.5,810.7413952673194,62.0,2516.0
0,2734.0,1013.7,717.5,810.7413952673194,8.0,2542.0
0,2739.0,934.7777777777778,536.0,812.3458182295652,3.0,2547.0
0,2761.0,956.7777777777778,558.0,812.3458182295652,25.0,2569.0
0,2771.0,966.7777777777778,568.0,812.3458182295652,35.0,2579.0
0,2772.0,967.7777777777778,569.0,812.3458182295652,36.0,2580.0
0,2774.0,969.7777777777778,571.0,812.3458182295652,38.0,2582.0
0,2839.0,1034.7777777777778,636.0,812.3458182295652,6.0,2647.0
0,2846.0,1041.7777777777778,643.0,812.3458182295652,13.0,2654.0
0,2876.0,1071.7777777777778,673.0,812.3458182295652,43.0,2684.0
0,2893.0,1088.7777777777778,690.0,812.3458182295652,9.0,2701.0
0,2937.0,1021.8,675.5,839.4997081595681,5.0,2745.0
0,2938.0,1022.8,676.5,839.4997081595681,6.0,2746.0
0,2980.0,1020.0,718.5,881.2293685528189,17.0,2788.0
0,2991.0,1031.0,729.5,881.2293685528189,28.0,2799.0
0,3013.0,1048.2,751.5,886.5274727835568,50.0,2821.0
0,3037.0,1072.2,775.5,886.5274727835568,74.0,2845.0
0,3046.0,1081.2,784.5,886.5274727835568,4.0,2854.0
0,3047.0,1082.2,785.5,886.5274727835568,5.0,2855.0
0,3057.0,1092.2,795.5,886.5274727835568,15.0,2865.0
0,3068.0,1103.2,806.5,886.5274727835568,26.0,2876.0
0,3083.0,1118.2,821.5,886.5274727835568,41.0,2891.0
0,3093.0,1128.2,831.5,886.5274727835568,51.0,2901.0
0,3106.0,1201.5555555555557,903.0,914.7834122665456,64.0,2914.0
0,3132.0,1227.5555555555557,929.0,914.7834122665456,90.0,2940.0
0,3154.0,1249.5555555555557,951.0,914.7834122665456,112.0,2962.0
0,3155.0,1250.5555555555557,952.0,914.7834122665456,113.0,2963.0
0,3215.0,1310.5555555555557,1012.0,914.7834122665456,31.0,3023.0
0,3225.0,1320.5555555555557,1022.0,914.7834122665456,41.0,3033.0
0,3233.0,1328.5555555555557,1030.0,914.7834122665456,49.0,3041.0
0,3248.0,1343.5555555555557,1045.0,914.7834122665456,64.0,3056.0
0,3252.0,1347.5555555555557,1049.0,914.7834122665456,68.0,3060.0
0,3257.0,1082.6666666666667,937.0,703.7111149707196,73.0,2632.0
