,time,mean,median,sd,min,max
0,611.0,297.0,317.5,160.75447116643443,10.0,564.0
0,656.0,300.875,306.0,185.60875349778092,13.0,609.0
0,808.0,387.8333333333333,396.5,215.08144452225017,24.0,761.0
0,858.0,387.3,400.5,249.57686190831075,1.0,811.0
0,884.0,413.3,426.5,249.57686190831075,27.0,837.0
0,909.0,417.76190476190476,410.0,260.3051148834135,7.0,862.0
0,970.0,459.54545454545456,447.0,269.1347630113156,56.0,923.0
0,1161.0,607.875,596.0,294.32979129144684,35.0,1114.0
0,1167.0,613.875,602.0,294.32979129144684,41.0,1120.0
0,1213.0,659.6086956521739,630.0,300.6573579357528,4.0,1166.0
0,1246.0,692.6086956521739,663.0,300.6573579357528,5.0,1199.0
0,1249.0,695.6086956521739,666.0,300.6573579357528,8.0,1202.0
0,1256.0,719.0,715.0,297.19384552541095,6.0,1209.0
0,1332.0,808.9047619047619,833.0,297.1137195726186,17.0,1285.0
0,1398.0,837.5,857.0,337.11338125055465,29.0,1351.0
0,1417.0,856.5,876.0,337.11338125055465,3.0,1370.0
0,1430.0,861.2857142857143,847.0,342.888728703801,10.0,1383.0
0,1456.0,907.5,915.0,338.92528675211,21.0,1409.0
0,1484.0,891.047619047619,901.0,385.90234098803467,2.0,1437.0
0,1507.0,914.047619047619,924.0,385.90234098803467,20.0,1460.0
0,1541.0,948.047619047619,958.0,385.90234098803467,18.0,1494.0
0,1597.0,1013.6,1056.0,393.00183205679843,55.0,1550.0
0,1653.0,931.4782608695652,1010.0,511.36593462277835,1.0,1606.0
0,1706.0,944.9583333333334,1063.0,535.2769905359488,36.0,1659.0
0,1735.0,999.3913043478261,1092.0,532.4047772897115,8.0,1688.0
0,1811.0,959.1666666666666,1156.5,574.7599257274486,7.0,1711.0
0,1843.0,939.75,1096.0,602.9166090762469,24.0,1743.0
0,1856.0,914.96,1028.0,619.0655202803658,8.0,1756.0
0,1916.0,1004.0416666666666,1169.0,614.8714960032073,55.0,1816.0
0,1927.0,1011.3913043478261,1261.0,627.8414185771016,66.0,1827.0
0,1930.0,1014.3913043478261,1264.0,627.8414185771016,69.0,1830.0
0,1931.0,1015.3913043478261,1265.0,627.8414185771016,70.0,1831.0
0,1955.0,1039.391304347826,1289.0,627.8414185771016,94.0,1855.0
0,2010.0,1049.5416666666667,1250.0,651.1718269887672,18.0,1910.0
0,2013.0,1052.5416666666667,1253.0,651.1718269887672,3.0,1913.0
0,2055.0,1074.125,1295.0,679.938741879247,7.0,1955.0
