,time,meanWaitTime
0,567.0,304.0
0,601.0,333.2
0,1201.0,586.5769230769231
0,1230.0,600.2307692307693
0,1285.0,650.5769230769231
0,1360.0,704.1153846153846
0,1493.0,833.3076923076923
0,1761.0,963.6666666666666
0,1810.0,974.516129032258
0,1848.0,1004.9333333333333
0,1888.0,979.6451612903226
0,1939.0,1047.5333333333333
0,1963.0,1057.8333333333333
0,2088.0,947.2702702702703
0,2146.0,989.1351351351351
0,2364.0,1139.2972972972973
0,2401.0,1194.111111111111
0,2403.0,1217.2857142857142
0,2409.0,1189.4722222222222
0,2433.0,1227.4705882352941
0,2454.0,1237.9411764705883
0,2489.0,1191.8333333333333
0,2541.0,1264.2571428571428
0,2560.0,1266.7142857142858
0,2569.0,1310.6176470588234
0,2598.0,1301.3714285714286
0,2690.0,1320.6216216216217
0,2755.0,1378.4054054054054
0,2761.0,1384.4054054054054
0,2789.0,1452.764705882353
0,2827.0,1430.857142857143
0,2968.0,1414.2972972972973
0,3000.0,1476.0555555555557
0,3001.0,1477.0555555555557
0,3033.0,1492.138888888889
0,3062.0,1551.3142857142857
0,3083.0,1529.1944444444443
0,3089.0,1535.1944444444443
0,3123.0,1555.6176470588234
0,3154.0,1526.3142857142857
0,3173.0,1589.764705882353
0,3207.0,1578.2
0,3278.0,1603.9722222222222
0,3290.0,1495.1081081081081
0,3363.0,1478.8974358974358
0,3396.0,1499.4358974358975
0,3412.0,1515.4358974358975
0,3455.0,1556.7435897435898
0,3560.0,1591.325
0,3574.0,1633.3846153846155
0,3585.0,1644.3846153846155
0,3604.0,1638.054054054054
0,3634.0,1697.5555555555557
0,3664.0,1714.3333333333333
0,3691.0,1780.9142857142858
0,3711.0,1789.057142857143
0,3717.0,1795.057142857143
0,3732.0,1753.2058823529412
0,3737.0,1758.2058823529412
0,3772.0,1783.6764705882354
0,3838.0,1646.078947368421
0,3856.0,1703.5945945945946
0,3887.0,1719.7297297297298
0,3892.0,1724.7297297297298
0,3955.0,1781.4444444444443
0,3992.0,1801.388888888889
0,4009.0,1783.6857142857143
0,4069.0,1789.9722222222222
0,4162.0,1918.2
0,4184.0,1929.7142857142858
0,4188.0,1933.7142857142858
0,4201.0,1990.4705882352941
0,4227.0,2001.0882352941176
0,4229.0,2003.0882352941176
0,4235.0,2056.3333333333335
0,4242.0,2063.3333333333335
0,4261.0,2091.7096774193546
0,4265.0,2095.7096774193546
0,4290.0,2169.366666666667
0,4329.0,2123.8387096774195
0,4337.0,2065.3125
0,4381.0,2035.969696969697
0,4389.0,2090.5
0,4393.0,2094.5
0,4406.0,1946.4545454545455
0,4450.0,1972.2727272727273
0,4456.0,1978.2727272727273
0,4499.0,1947.8529411764705
0,4560.0,2008.8529411764705
0,4561.0,1952.4571428571428
0,4597.0,2152.6875
0,4617.0,2172.6875
0,4652.0,2132.5757575757575
0,4663.0,2114.6060606060605
0,4672.0,2082.375
0,4766.0,2049.029411764706
0,4775.0,2058.029411764706
0,4801.0,2112.90625
0,4816.0,2177.3870967741937
