,time,meanWaitTime
0,854.0,470.7857142857143
0,908.0,485.7142857142857
0,963.0,371.2
0,1079.0,434.04761904761904
0,1189.0,444.15384615384613
0,1216.0,470.16
0,1236.0,477.12
0,1253.0,501.4166666666667
0,1264.0,512.4166666666666
0,1268.0,516.4166666666666
0,1333.0,572.7727272727273
0,1383.0,599.2727272727273
0,1420.0,567.4782608695652
0,1472.0,600.7391304347826
0,1489.0,554.25
0,1516.0,590.3478260869565
0,1570.0,644.2727272727273
0,1670.0,669.875
0,1689.0,571.9615384615385
0,1722.0,584.3846153846154
0,1773.0,612.8518518518518
0,1797.0,637.3846153846154
0,1801.0,641.3846153846154
0,1864.0,593.2413793103449
0,1909.0,584.0645161290323
0,1980.0,605.516129032258
0,1989.0,610.1935483870968
0,2009.0,574.6666666666666
0,2016.0,581.6666666666666
0,2058.0,612.9090909090909
0,2079.0,641.09375
0,2084.0,633.1875
0,2095.0,630.96875
0,2099.0,634.96875
0,2114.0,634.6774193548387
0,2156.0,646.65625
0,2177.0,659.3125
0,2191.0,672.4193548387096
0,2276.0,737.9354838709677
0,2286.0,753.2333333333333
0,2305.0,781.4827586206897
0,2336.0,829.6428571428571
0,2383.0,831.5
0,2391.0,839.5
0,2401.0,865.5555555555555
0,2402.0,880.2307692307693
0,2405.0,883.2307692307693
0,2423.0,889.36
0,2464.0,896.1538461538462
0,2465.0,897.1538461538462
0,2471.0,917.6
0,2492.0,938.6
0,2514.0,828.6153846153846
0,2534.0,862.88
0,2555.0,834.4615384615385
0,2560.0,839.4615384615385
0,2569.0,848.4615384615385
0,2585.0,803.3214285714286
0,2586.0,804.3214285714286
0,2613.0,820.5925925925926
0,2623.0,830.5925925925926
0,2627.0,818.8518518518518
0,2647.0,804.5714285714286
0,2661.0,820.9629629629629
0,2676.0,864.4615384615385
0,2691.0,859.8846153846154
0,2696.0,864.8846153846154
0,2703.0,929.8333333333334
0,2710.0,936.8333333333334
0,2719.0,962.304347826087
0,2758.0,940.875
0,2776.0,983.3478260869565
0,2818.0,999.4782608695652
0,2874.0,904.125
0,2929.0,903.36
0,2948.0,822.0
0,2968.0,842.0
0,2993.0,867.0
0,3001.0,875.0
0,3003.0,877.0
0,3007.0,848.4074074074074
0,3032.0,922.56
0,3052.0,873.8518518518518
0,3061.0,851.6428571428571
0,3064.0,837.0
0,3065.0,813.8214285714286
0,3082.0,838.1851851851852
0,3091.0,806.25
0,3112.0,837.8888888888889
0,3148.0,828.2857142857143
0,3183.0,781.4516129032259
0,3189.0,798.5333333333333
0,3191.0,800.5333333333333
0,3194.0,758.551724137931
