,rate
0,12.0
0,9.0
0,9.0
0,15.0
0,3.0
0,1.5
0,3.0
0,15.0
0,6.0
0,3.0
0,3.0
0,3.0
0,1.5
0,1.5
0,1.5
0,4.5
0,3.0
0,3.0
0,4.5
0,9.0
0,7.5
0,7.5
0,3.0
0,9.0
0,4.5
0,1.5
0,4.5
0,7.5
0,1.5
0,12.0
0,4.5
0,13.5
0,12.0
0,11
0,12
0,10.5
0,6.0
0,3.0
0,6.0
0,3.0
0,6.0
0,1.5
0,1.5
0,1.5
0,3.0
0,4.5
0,1.5
0,1.5
0,1.5
0,4.5
0,1.5
0,3.0
0,12.0
0,9.0
0,9.0
0,15.0
0,3.0
0,1.5
0,3.0
0,15.0
0,6.0
0,3.0
0,3.0
0,3.0
0,1.5
0,1.5
0,1.5
0,4.5
0,3.0
0,3.0
0,4.5
0,9.0
0,7.5
0,7.5
0,3.0
0,9.0
0,4.5
0,1.5
0,4.5
0,7.5
0,1.5
0,12.0
0,4.5
0,13.5
0,12.0
0,11
0,12
0,10.5
0,6.0
0,3.0
0,6.0
0,3.0
0,6.0
0,1.5
0,1.5
0,1.5
0,3.0
0,4.5
0,1.5
0,1.5
0,1.5
0,4.5
0,1.5
0,3.0
0,15.0
0,10.5
0,10.5
0,12
0,9.0
0,3.0
0,9.0
0,14
0,1.5
0,6.0
0,7.5
0,4.5
0,1.5
0,9.0
0,6.0
0,1.5
0,1.5
0,1.5
0,4.5
0,1.5
0,11
0,13
0,3.0
0,9.0
0,10.5
0,7.5
0,1.5
0,13
0,11
0,1.5
0,13.5
0,13
0,13
0,21
0,13
0,3.0
0,9.0
0,1.5
0,4.5
0,6.0
0,1.5
0,4.5
0,7.5
0,1.5
0,13.5
0,7.5
0,3.0
0,1.5
0,7.5
0,1.5
0,7.5
0,1.5
0,1.5
0,1.5
0,1.5
0,1.5
0,14
0,13.5
0,10.5
0,12
0,4.5
0,6.0
0,6.0
0,14
0,7.5
0,1.5
0,1.5
0,10.5
0,1.5
0,6.0
0,4.5
0,1.5
0,1.5
0,3.0
0,3.0
0,3.0
0,6.0
0,11
0,12.0
0,12.0
0,7.5
0,18
0,1.5
0,9.0
0,7.5
0,13
0,16
0,13.5
0,10.5
0,10.5
0,19
0,28
0,35
0,31
0,21
0,12
0,6.0
0,11
0,3.0
0,1.5
0,3.0
0,7.5
0,4.5
0,3.0
0,9.0
0,7.5
0,1.5
0,1.5
0,1.5
0,1.5
0,7.5
0,6.0
0,9.0
0,4.5
0,7.5
0,7.5
0,3.0
0,3.0
0,1.5
0,4.5
0,6.0
0,1.5
0,4.5
0,3.0
0,21
0,9.0
0,12
0,12
0,4.5
0,3.0
0,6.0
0,17
0,14
0,4.5
0,7.5
0,3.0
0,3.0
0,3.0
0,4.5
0,4.5
0,15
0,15
0,15.0
0,13.5
0,15
0,13.5
0,18
0,6.0
0,13
0,16
0,13.5
0,14
0,11
0,21
0,14
0,59
0,41
0,23
0,6.0
0,11
0,11
0,1.5
0,3.0
0,9.0
0,7.5
0,4.5
0,13.5
0,6.0
0,7.5
0,10.5
0,1.5
0,4.5
0,1.5
0,1.5
0,1.5
0,1.5
0,6.0
0,3.0
0,4.5
0,1.5
0,1.5
0,3.0
0,1.5
0,22
0,9.0
0,7.5
0,20
0,6.0
0,6.0
0,9.0
0,13
0,13
0,3.0
0,1.5
0,4.5
0,1.5
0,1.5
0,17
0,21
0,11
0,14
0,16
0,1.5
0,12.0
0,6.0
0,15.0
0,6.0
0,19
0,6.0
0,1.5
0,16
0,14
0,51
0,49
0,19
0,20
0,16
0,7.5
0,1.5
0,1.5
0,9.0
0,7.5
0,9.0
0,4.5
0,11
0,1.5
0,6.0
0,3.0
0,1.5
0,1.5
0,1.5
0,1.5
0,3.0
0,1.5
0,6.0
0,1.5
0,4.5
0,1.5
0,15
0,3.0
0,1.5
0,3.0
0,3.0
0,1.5
0,4.5
0,1.5
0,3.0
0,1.5
0,1.5
0,20
0,9.0
0,13.5
0,17
0,3.0
0,6.0
0,3.0
0,14
0,13.5
0,13.5
0,1.5
0,10.5
0,7.5
0,7.5
0,6.0
0,4.5
0,3.0
0,4.5
0,10.5
0,7.5
0,15.0
0,18
0,19
0,15
0,27
0,16
0,1.5
0,12.0
0,6.0
0,13
0,17
0,12
0,13.5
0,9.0
0,10.5
0,15.0
0,29
0,22
0,26
0,11
0,6.0
0,7.5
0,9.0
0,9.0
0,6.0
0,3.0
0,3.0
0,9.0
0,7.5
0,7.5
0,3.0
0,1.5
0,1.5
0,3.0
0,12.0
0,4.5
0,3.0
0,15.0
0,3.0
0,12.0
0,4.5
0,1.5
0,9.0
0,12.0
0,15.0
0,14
0,1.5
0,47
0,4.5
0,14
0,36
0,7.5
0,12
0,29
0,10.5
0,13.5
0,11
0,3.0
0,4.5
0,3.0
0,1.5
0,1.5
0,3.0
0,13.5
0,10.5
0,7.5
0,1.5
0,1.5
0,1.5
0,16
0,22
0,20
0,19
0,15
0,12
0,7.5
0,4.5
0,3.0
0,15.0
0,10.5
0,6.0
0,9.0
0,12.0
0,13
0,36
0,27
0,19
0,22
0,13.5
0,9.0
0,1.5
0,3.0
0,6.0
0,3.0
0,10.5
0,1.5
0,13
0,4.5
0,12.0
0,1.5
0,4.5
0,1.5
0,4.5
0,9.0
0,1.5
0,3.0
0,12.0
0,6.0
0,13.5
0,1.5
0,13.5
0,4.5
0,1.5
0,17
0,9.0
0,10.5
0,1.5
0,4.5
0,1.5
0,28
0,4.5
0,16
0,13.5
0,7.5
0,12
0,11
0,13.5
0,23
0,7.5
0,6.0
0,6.0
0,4.5
0,3.0
0,3.0
0,10.5
0,4.5
0,1.5
0,4.5
0,4.5
0,25
0,12
0,11
0,40
0,21
0,13.5
0,14
0,1.5
0,12
0,6.0
0,18
0,9.0
0,7.5
0,13
0,12.0
0,37
0,20
0,19
0,15
0,13.5
0,7.5
0,3.0
0,9.0
0,4.5
0,23
0,1.5
0,9.0
0,1.5
0,7.5
0,3.0
0,7.5
0,7.5
0,7.5
0,1.5
0,18
0,13.5
0,6.0
0,6.0
0,3.0
0,1.5
0,12
0,1.5
0,1.5
0,70
0,4.5
0,3.0
0,9.0
0,1.5
0,4.5
0,12
0,6.0
0,28
0,1.5
0,7.5
0,3.0
0,3.0
0,3.0
0,1.5
0,3.0
0,6.0
0,3.0
0,4.5
0,13
0,12.0
0,14
0,19
0,19
