,rate
0,24
0,18
0,18
0,30
0,6
0,3
0,6
0,30
0,12
0,6
0,6
0,6
0,3
0,3
0,3
0,9
0,6
0,6
0,9
0,18
0,15
0,15
0,6
0,18
0,9
0,3
0,9
0,15
0,3
0,24
0,9
0,27
0,24
0,11
0,12
0,21
0,12
0,6
0,12
0,6
0,12
0,3
0,3
0,3
0,6
0,9
0,3
0,3
0,3
0,9
0,3
0,6
0,24
0,18
0,18
0,30
0,6
0,3
0,6
0,30
0,12
0,6
0,6
0,6
0,3
0,3
0,3
0,9
0,6
0,6
0,9
0,18
0,15
0,15
0,6
0,18
0,9
0,3
0,9
0,15
0,3
0,24
0,9
0,27
0,24
0,11
0,12
0,21
0,12
0,6
0,12
0,6
0,12
0,3
0,3
0,3
0,6
0,9
0,3
0,3
0,3
0,9
0,3
0,6
0,30
0,21
0,21
0,12
0,18
0,6
0,18
0,14
0,3
0,12
0,15
0,9
0,3
0,18
0,12
0,3
0,3
0,3
0,9
0,3
0,11
0,13
0,6
0,18
0,21
0,15
0,3
0,13
0,11
0,3
0,27
0,13
0,13
0,21
0,13
0,6
0,18
0,3
0,9
0,12
0,3
0,9
0,15
0,3
0,27
0,15
0,6
0,3
0,15
0,3
0,15
0,3
0,3
0,3
0,3
0,3
0,14
0,27
0,21
0,12
0,9
0,12
0,12
0,14
0,15
0,3
0,3
0,21
0,3
0,12
0,9
0,3
0,3
0,6
0,6
0,6
0,12
0,11
0,24
0,24
0,15
0,18
0,3
0,18
0,15
0,13
0,16
0,27
0,21
0,21
0,19
0,28
0,35
0,31
0,21
0,12
0,12
0,11
0,6
0,3
0,6
0,15
0,9
0,6
0,18
0,15
0,3
0,3
0,3
0,3
0,15
0,12
0,18
0,9
0,15
0,15
0,6
0,6
0,3
0,9
0,12
0,3
0,9
0,6
0,21
0,18
0,12
0,12
0,9
0,6
0,12
0,17
0,14
0,9
0,15
0,6
0,6
0,6
0,9
0,9
0,15
0,15
0,30
0,27
0,15
0,27
0,18
0,12
0,13
0,16
0,27
0,14
0,11
0,21
0,14
0,59
0,41
0,23
0,12
0,11
0,11
0,3
0,6
0,18
0,15
0,9
0,27
0,12
0,15
0,21
0,3
0,9
0,3
0,3
0,3
0,3
0,12
0,6
0,9
0,3
0,3
0,6
0,3
0,22
0,18
0,15
0,20
0,12
0,12
0,18
0,13
0,13
0,6
0,3
0,9
0,3
0,3
0,17
0,21
0,11
0,14
0,16
0,3
0,24
0,12
0,30
0,12
0,19
0,12
0,3
0,16
0,14
0,51
0,49
0,19
0,20
0,16
0,15
0,3
0,3
0,18
0,15
0,18
0,9
0,11
0,3
0,12
0,6
0,3
0,3
0,3
0,3
0,6
0,3
0,12
0,3
0,9
0,3
0,15
0,6
0,3
0,6
0,6
0,3
0,9
0,3
0,6
0,3
0,3
0,20
0,18
0,27
0,17
0,6
0,12
0,6
0,14
0,27
0,27
0,3
0,21
0,15
0,15
0,12
0,9
0,6
0,9
0,21
0,15
0,30
0,18
0,19
0,15
0,27
0,16
0,3
0,24
0,12
0,13
0,17
0,12
0,27
0,18
0,21
0,30
0,29
0,22
0,26
0,11
0,12
0,15
0,18
0,18
0,12
0,6
0,6
0,18
0,15
0,15
0,6
0,3
0,3
0,6
0,24
0,9
0,6
0,30
0,6
0,24
0,9
0,3
0,18
0,24
0,30
0,14
0,3
0,47
0,9
0,14
0,36
0,15
0,12
0,29
0,21
0,27
0,11
0,6
0,9
0,6
0,3
0,3
0,6
0,27
0,21
0,15
0,3
0,3
0,3
0,16
0,22
0,20
0,19
0,15
0,12
0,15
0,9
0,6
0,30
0,21
0,12
0,18
0,24
0,13
0,36
0,27
0,19
0,22
0,27
0,18
0,3
0,6
0,12
0,6
0,21
0,3
0,13
0,9
0,24
0,3
0,9
0,3
0,9
0,18
0,3
0,6
0,24
0,12
0,27
0,3
0,27
0,9
0,3
0,17
0,18
0,21
0,3
0,9
0,3
0,28
0,9
0,16
0,27
0,15
0,12
0,11
0,27
0,23
0,15
0,12
0,12
0,9
0,6
0,6
0,21
