,time,meanWaitTime,action,dispersion,headwaySD
0,16.0,11.033333333333333,[0.48133832],0,0
1,17.0,12.033333333333333,[1.],0,2571.908126547952
2,18.0,13.033333333333333,[0.8419605],0,2568.6915385588377
3,31.0,23.466666666666665,[0.],8.33333333333333,2624.613765961495
4,34.0,26.266666666666666,[0.],8.33333333333333,2540.6341573826217
5,37.0,28.833333333333332,[0.6055868],7.9874551971326175,2528.399776986749
6,38.0,29.733333333333334,[0.],7.9874551971326175,2435.3985985843105
7,41.0,32.43333333333333,[0.],7.9874551971326175,2418.0061512712505
8,44.0,35.13333333333333,[0.87276554],7.9874551971326175,2488.245989042249
9,48.0,38.733333333333334,[0.],7.9874551971326175,2538.937807130988
10,51.0,41.43333333333333,[0.],7.659722222222223,2516.5848144695133
11,54.0,44.13333333333333,[1.],7.659722222222223,2498.43008509757
12,56.0,45.93333333333333,[1.],7.659722222222223,2482.8136195737466
13,57.0,46.833333333333336,[0.],7.659722222222223,2474.087882804531
14,60.0,49.53333333333333,[1.],7.659722222222223,2456.745956914829
15,61.0,50.43333333333333,[1.],7.659722222222223,2452.9716245080454
16,63.0,52.233333333333334,[1.],7.659722222222223,2444.4420955457335
17,70.0,54.166666666666664,[1.],13.80341880341881,2430.451165492234
18,74.0,57.36666666666667,[0.19532406],13.544444444444439,2429.5805097859493
19,77.0,57.6,[0.],15.119307832422582,2430.679869850778
20,78.0,58.4,[0.3486685],14.799999999999997,2430.88577183694
21,80.0,60.0,[0.],14.799999999999997,2430.3017959957297
22,83.0,62.4,[0.3235163],14.799999999999997,2429.310486454648
23,84.0,63.2,[0.52161574],14.799999999999997,2426.68272136347
24,89.0,67.2,[1.],14.46357012750455,2407.4244809494917
25,90.0,68.0,[0.],14.46357012750455,2407.760381646648
26,94.0,71.2,[1.],14.46357012750455,2417.5898094105937
27,102.0,77.6,[0.2940429],14.46357012750455,2415.727123510392
28,104.0,79.2,[0.7999636],14.46357012750455,2417.720900272326
29,110.0,83.76666666666667,[1.],17.45396825396826,2299.4031308446283
30,114.0,83.46666666666667,[0.],18.988304093567262,2219.6066885503797
31,116.0,84.93333333333334,[1.],20.20555555555556,2228.863980779956
32,117.0,83.16666666666667,[0.],20.907859078590793,2328.485827867797
33,120.0,84.16666666666667,[0.08217436],21.12483660130719,2445.054308110771
34,125.0,84.0,[0.],22.466666666666665,2438.552641076887
35,126.0,84.7,[0.],22.466666666666665,2436.098841457221
36,129.0,86.86666666666666,[0.0265137],22.466666666666665,2429.162465480199
37,130.0,87.6,[1.],22.466666666666665,2425.9083632356433
38,131.0,88.33333333333333,[0.25923118],22.466666666666665,2421.131243295725
39,134.0,90.4,[0.08113714],22.120268620268607,2403.863548661443
40,136.0,91.86666666666666,[0.],22.120268620268607,2390.150591585305
41,139.0,94.06666666666666,[1.],22.120268620268607,2373.1519615472544
42,142.0,96.26666666666667,[0.6614613],22.120268620268607,2231.200824589152
