,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,No action,0,0
1,16.0,11.033333333333333,Skip,0,331.9414194490247
2,17.0,12.033333333333333,No action,0,334.0398356941213
3,18.0,13.033333333333333,No action,0,337.25829313926187
4,26.0,11.8,Hold,1.666666666666666,349.2830224375515
5,38.0,17.766666666666666,Hold,1.1693766937669379,311.11950516443903
6,43.0,20.6,Hold,0.7353714661406969,272.18827963049745
7,53.0,26.766666666666666,No action,0.5977011494252876,270.8825616443381
8,60.0,32.5,Hold,1.019125683060109,268.0136857859389
9,63.0,34.93333333333333,Hold,1.0430107526881722,267.9337778539267
10,65.0,36.56666666666667,No action,1.2128654970760226,274.5098767433742
11,70.0,33.166666666666664,Hold,2.2272727272727266,297.97730969342916
12,74.0,33.733333333333334,Hold,1.4553049289891395,317.48079922302367
13,76.0,34.53333333333333,Hold,1.7006802721088439,323.77750453596053
14,90.0,26.733333333333334,Hold,1.434901158827539,304.6805442560577
15,92.0,27.933333333333334,Hold,1.434901158827539,290.5474875813395
16,103.0,25.766666666666666,No action,1.0716084356310984,189.26637093110898
17,109.0,29.466666666666665,Hold,1.096045197740113,172.56420674211088
18,111.0,30.733333333333334,Hold,1.096045197740113,186.52708347289504
19,115.0,28.533333333333335,Hold,1.1813116841770135,209.5300918555099
20,117.0,29.766666666666666,Hold,1.1813116841770135,211.91125994417234
21,121.0,29.9,Hold,1.301655523718561,199.5163414292158
22,124.0,21.6,Hold,1.4126984126984126,195.94631920220033
23,127.0,18.3,Hold,1.4429867184969218,199.91629902182393
24,130.0,19.666666666666668,No action,1.33014434373951,207.03162512400206
25,139.0,22.366666666666667,No action,1.3567603748326644,230.96074636554224
26,141.0,23.366666666666667,Hold,1.3567603748326644,230.7800711082903
27,145.0,22.7,Hold,2.107257546563905,219.38106499991358
28,155.0,20.7,No action,2.078555231616455,608.7746523546529
29,156.0,21.2,Hold,2.078555231616455,607.3390327412753
30,162.0,19.566666666666666,No action,2.0522875816993458,568.1721156350806
31,165.0,21.133333333333333,Hold,2.0672857608341473,572.481618396082
32,168.0,21.466666666666665,No action,2.108341479309221,590.5899435931435
33,171.0,22.966666666666665,Hold,2.174884944115714,607.4431690367944
34,172.0,23.466666666666665,No action,2.208333333333334,611.8968385202936
35,175.0,18.166666666666668,Hold,2.3050624589086133,623.3873059473021
36,176.0,18.166666666666668,Hold,2.356760374832664,628.1650250124083
37,178.0,17.033333333333335,Hold,2.368249054007568,632.8033555895813
38,189.0,19.7,No action,1.8141512848353236,653.309777401321
39,192.0,21.0,No action,1.8499278499278502,643.2067940636549
40,195.0,20.466666666666665,Hold,1.8765630582350836,638.0316494663148
41,198.0,17.733333333333334,Hold,1.7880258899676371,628.8868102701067
42,205.0,18.066666666666666,No action,1.5150150150150152,621.1814411488624
43,207.0,18.733333333333334,No action,1.5150150150150152,621.3087417989566
44,211.0,20.266666666666666,No action,1.366589773164167,623.4156335826715
45,212.0,20.666666666666668,Hold,1.366589773164167,632.6944861823156
46,216.0,21.0,No action,1.209013209013209,661.5943229723865
47,219.0,22.3,Hold,1.2298245614035086,675.2908783442417
48,223.0,24.133333333333333,No action,1.24822695035461,666.7875993706025
49,224.0,24.6,Hold,1.24822695035461,664.4947766928545
50,228.0,20.466666666666665,No action,1.217391304347826,504.92042368612096
51,229.0,20.9,No action,1.108695652173913,504.5649276702524
52,231.0,21.766666666666666,Hold,1.1813186813186813,502.3311796313681
53,242.0,22.466666666666665,No action,1.2274715660542432,497.97801679450487
54,243.0,22.9,No action,1.2274715660542432,496.24517840226684
55,244.0,23.333333333333332,No action,1.2274715660542432,494.3795472656293
56,246.0,23.2,Hold,1.2290294246815987,494.9198573825876
57,250.0,24.266666666666666,Hold,1.1411657559198543,439.4905260688638
58,252.0,25.2,No action,1.0750000000000002,446.87714479265037
59,260.0,24.7,Hold,1.1463808206546797,449.9879883854179
60,264.0,26.2,Hold,0.9732510288065844,440.06499493176455
61,265.0,26.7,No action,1.075,437.26747855932484
62,267.0,25.033333333333335,No action,1.162551440329218,431.7239698283624
63,268.0,25.333333333333332,Hold,1.075,429.7111181903822
64,269.0,25.833333333333332,No action,0.9894514767932491,428.23205681206747
65,274.0,24.533333333333335,Hold,1.280701754385965,417.87575894187563
66,275.0,25.0,No action,1.229742843279961,413.2587346136276
67,277.0,25.166666666666668,Hold,1.217082721488008,404.61195313709925
68,278.0,25.566666666666666,No action,1.277777777777778,400.1539063505682
69,279.0,26.0,No action,1.3904392764857882,397.7044179974249
70,287.0,29.833333333333332,Hold,1.5037214247740565,408.41854464885245
71,292.0,28.866666666666667,Hold,1.5037214247740565,391.78725325582275
72,296.0,29.566666666666666,Hold,1.5714285714285714,371.4880195393662
73,299.0,31.166666666666668,No action,1.3184281842818424,272.30074365469017
74,300.0,31.7,Hold,1.3184281842818424,271.42268210653185
75,303.0,27.333333333333332,No action,1.7811369509043928,265.3487838905775
76,306.0,26.166666666666668,Hold,1.4271664008506117,260.0985061916232
77,310.0,28.1,No action,1.8423575860124086,255.85913556419973
78,311.0,28.6,No action,1.9580498866213154,253.70652515351262
79,312.0,29.1,No action,1.9580498866213154,252.31232815972285
80,316.0,22.966666666666665,No action,1.8539921831379114,255.98200944536558
81,317.0,23.433333333333334,Hold,1.8539921831379114,256.3660091628388
82,321.0,23.4,Hold,2.132700057570524,251.05570896242486
83,326.0,25.633333333333333,No action,2.16193853427896,249.90559163827217
84,327.0,26.1,Hold,2.16193853427896,249.6272648063243
85,328.0,26.566666666666666,Hold,2.16193853427896,249.30906054217823
86,335.0,30.2,No action,2.5717852684144815,258.97822879086635
87,340.0,31.066666666666666,Hold,2.6198013656114214,251.43866666842865
88,342.0,32.13333333333333,Hold,2.48920634920635,248.58372834708987
89,344.0,30.5,No action,2.564327485380117,246.01278504466774
90,346.0,28.9,Hold,2.7320261437908497,252.36196977446394
91,349.0,25.233333333333334,Hold,3.117777777777778,271.9278963768001
92,351.0,26.066666666666666,Hold,2.6578947368421053,286.43079536679784
