,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,Hold,0,0
1,17.0,12.033333333333333,Hold,0,334.8352449193493
2,18.0,13.033333333333333,Hold,0,338.99468328974154
3,36.0,16.433333333333334,Hold,1.178787878787879,353.5460577031401
4,38.0,17.5,Hold,1.178787878787879,345.9234088968821
5,63.0,32.4,Hold,0.030330330330330318,269.5964661491118
6,65.0,34.06666666666667,Hold,0.030330330330330318,278.7768293275863
7,67.0,35.43333333333333,Hold,0.3525745257452575,293.0709572053096
8,70.0,32.63333333333333,Hold,1.4332399626517283,308.1913179626868
9,83.0,23.2,Hold,1.0188679245283017,394.1981978453477
10,88.0,26.233333333333334,Hold,0.8518518518518519,385.6773716994267
11,89.0,26.833333333333332,Hold,0.8214042263122018,380.41127990508164
12,90.0,27.433333333333334,Hold,0.8143631436314362,373.846432086643
13,109.0,28.133333333333333,Hold,0.10555555555555556,136.59834322649093
14,115.0,25.866666666666667,Hold,0.23669467787114848,145.8078722249858
15,117.0,27.166666666666668,Hold,0.23669467787114848,157.18398913021926
16,121.0,25.233333333333334,Hold,0.25,165.30684876659726
17,122.0,25.866666666666667,Hold,0.26194909993792687,170.0617030703864
18,135.0,17.766666666666666,No action,0.48758169934640533,271.97006318678103
19,137.0,18.7,Hold,0.48758169934640533,282.82533380948104
20,142.0,17.966666666666665,Hold,0.48809523809523814,278.447729709706
21,145.0,18.2,Hold,0.4903814262023219,261.2760661807556
22,155.0,18.733333333333334,Hold,0.6423405654174884,163.44491929041246
23,157.0,19.633333333333333,Hold,0.6423405654174884,155.19303525891527
24,159.0,16.066666666666666,Hold,0.7719298245614035,177.62255716327877
25,161.0,15.433333333333334,Hold,0.6157965194109772,199.92946028432968
26,168.0,18.1,Hold,0.8520790729379686,244.73720172874303
27,172.0,16.766666666666666,Hold,0.8333333333333331,277.4402178092256
28,173.0,17.166666666666668,Hold,0.8333333333333331,283.56745069548424
29,174.0,17.566666666666666,Hold,0.8333333333333331,289.17107517424654
30,177.0,11.333333333333334,Hold,0.981132075471698,303.35588818237795
31,186.0,14.366666666666667,Hold,0.9166666666666665,295.24243932082504
32,195.0,15.266666666666667,Hold,0.9390681003584229,750.5534247991899
33,197.0,16.066666666666666,Hold,0.9390681003584229,743.4844781979311
34,199.0,14.866666666666667,Hold,0.952964146254881,736.521633431429
35,201.0,12.866666666666667,Hold,0.9440905874026893,729.1315410511024
36,204.0,10.433333333333334,Hold,0.9584229390681005,723.5846026107912
37,205.0,10.0,Hold,1.064102564102564,720.4964287633926
38,207.0,8.6,Hold,0.8689320388349514,715.5633713905363
39,208.0,8.866666666666667,Hold,0.765268579838116,714.1241984627153
40,216.0,7.866666666666666,Hold,0.9474781949184681,742.7481930136215
41,223.0,10.266666666666667,Hold,0.9923371647509578,776.5425592919119
42,226.0,6.733333333333333,Hold,1.1105344098423684,792.6584119609256
43,229.0,5.8,No action,1.3405797101449275,797.4889711841515
44,238.0,8.866666666666667,Hold,1.565891472868217,769.8121574804453
45,248.0,12.766666666666667,Hold,1.6333333333333335,603.3983661812362
46,251.0,12.333333333333334,Hold,1.8062015503875968,603.4929807153324
47,252.0,12.7,Hold,1.8062015503875968,600.9612780462857
48,253.0,13.166666666666666,Hold,1.6840277777777777,596.4027202107958
49,256.0,12.1,Hold,1.4012345679012346,579.3269690741556
50,257.0,12.533333333333333,Hold,1.3707577870757786,576.0706784217648
51,264.0,15.966666666666667,Hold,1.6091269841269842,560.454642863214
