,time,meanWaitTime,action,dispersion,headwaySD
0,7.0,2.066666666666667,[0.69546276],0,0
1,17.0,12.066666666666666,[0.],0,239.13938885029242
2,18.0,13.066666666666666,[1.],0,242.43868932037984
3,36.0,15.766666666666667,[0.],1.1693766937669379,248.61779313729713
4,46.0,21.3,[1.],0.5977011494252875,210.27492482025423
5,53.0,26.066666666666666,[0.41814685],0.035519125683060114,195.28570757660285
6,63.0,30.6,[0.],0.3974799541809848,209.68890970944503
7,64.0,31.366666666666667,[0.],0.3974799541809848,209.31527040118468
8,67.0,33.166666666666664,[0.],0.5253229974160206,207.35920474771453
9,69.0,34.333333333333336,[1.],1.1104018912529554,212.76434155618554
10,70.0,30.0,[0.17342013],1.3821138211382116,217.42071285325432
11,73.0,26.533333333333335,[0.],1.2586206896551724,235.44350320577024
12,75.0,27.6,[0.6396112],1.3033252230332524,239.60865112506315
13,77.0,22.766666666666666,[0.],1.4764079147640794,228.16011191096106
14,80.0,23.3,[1.],1.0588235294117647,229.263862936295
15,81.0,23.766666666666666,[0.],1.081003584229391,229.27198199095184
16,90.0,21.5,[0.20680496],0.886904761904762,174.0162541576975
17,91.0,21.7,[1.],0.886904761904762,168.8319799625441
18,104.0,26.233333333333334,[0.],0.6098302913864873,104.83090321554825
19,107.0,27.966666666666665,[0.],0.6272609819121447,107.14111688284906
20,109.0,29.166666666666668,[0.24802187],0.6441528992549401,113.03493290857064
21,111.0,28.233333333333334,[0.],0.6491228070175439,124.62918056978845
22,112.0,24.266666666666666,[0.44840136],0.7640522875816993,131.96499177761999
23,113.0,24.766666666666666,[0.],0.7411276948590381,138.01793037797907
24,119.0,22.666666666666668,[0.2083002],0.9349881796690307,164.21908693816798
25,120.0,23.166666666666668,[0.],0.9349881796690307,170.53863002166605
26,124.0,22.466666666666665,[1.],0.937968643490116,177.9431115155614
27,125.0,22.966666666666665,[0.],0.95679012345679,172.7543306204657
28,130.0,24.6,[0.28742602],1.0203938115330518,144.21241512644644
29,131.0,25.133333333333333,[1.],1.0203938115330518,143.67032986771486
30,136.0,22.766666666666666,[0.],1.5617283950617284,233.78737065337415
31,137.0,23.266666666666666,[0.80839765],1.4208806329549366,231.06064265965517
32,138.0,23.766666666666666,[0.],1.278816199376947,227.1791144600269
33,144.0,23.766666666666666,[1.],1.057720057720058,211.19147743659917
34,145.0,24.233333333333334,[0.18236992],1.057720057720058,204.47602666373112
35,148.0,25.566666666666666,[0.],0.9376563058235086,185.1093639195246
36,152.0,23.433333333333334,[0.8489677],0.8847222222222223,187.8067865569608
37,154.0,24.3,[0.],0.8847222222222223,194.04557827661924
38,155.0,24.766666666666666,[0.30218276],0.9346302138100248,196.17861462164342
39,157.0,25.766666666666666,[0.],1.0396319886765746,140.9496399070411
40,160.0,20.366666666666667,[0.31729493],0.9254571026722923,153.98430608941771
41,168.0,21.3,[0.24631405],0.8103326256192496,173.6368005367072
42,169.0,21.766666666666666,[0.],0.8103326256192496,173.98575476242303
43,171.0,20.966666666666665,[1.],0.8396825396825397,171.6990476000266
44,174.0,18.833333333333332,[1.],0.9926900584795323,166.37195101375144
45,175.0,19.266666666666666,[0.],0.9059405940594057,166.25612986677663
46,180.0,21.666666666666668,[0.796358],0.9880686055182695,152.79131041202194
47,181.0,22.2,[0.],0.9880686055182695,156.7405202926811
48,183.0,22.366666666666667,[1.],0.9444444444444445,169.1731401242709
49,189.0,25.566666666666666,[0.08856225],1.0199233716475096,174.6608896426334
50,190.0,26.133333333333333,[0.],1.0199233716475096,180.33234989633948
51,191.0,26.7,[1.],1.0199233716475096,184.5424097283569
52,195.0,26.966666666666665,[1.],1.011833132771761,186.40501286380723
53,197.0,28.1,[0.51007235],1.011833132771761,188.89226324702474
54,199.0,26.133333333333333,[0.2862947],1.1347517730496457,188.1771523226185
55,200.0,26.666666666666668,[0.],0.9901724829522665,181.05524687079475
56,201.0,27.2,[0.],0.9731313131313132,181.1860895987909
57,202.0,27.733333333333334,[1.],0.9256535947712418,179.93652440783734
58,215.0,28.766666666666666,[0.30622292],1.1846282372598163,123.07166364223193
59,216.0,29.3,[0.],1.1846282372598163,120.49753908079808
60,217.0,29.833333333333332,[1.],1.1846282372598163,118.50454786061516
61,222.0,28.733333333333334,[0.8537453],0.9674329501915709,228.50897253606547
62,225.0,28.4,[1.],0.9291187739463601,226.69180774008512
63,226.0,28.833333333333332,[0.],0.9844961240310078,209.2987559648075
64,229.0,28.0,[0.],1.0630215195432589,201.10895291216298
65,233.0,27.266666666666666,[0.7074906],1.119111111111111,196.2137193157051
66,235.0,28.066666666666666,[0.],1.119111111111111,204.68972272254135
