,time,meanWaitTime,action,dispersion,headwaySD
0,7.0,2.066666666666667,[1.],0,0
1,17.0,12.066666666666666,[1.],0,239.13938885029242
2,18.0,13.066666666666666,[1.],0,242.43868932037984
3,36.0,15.766666666666667,[1.],1.1693766937669379,249.39508417223203
4,51.0,24.8,[1.],0.5977011494252875,201.91723887221158
5,61.0,31.033333333333335,[1.],0.030330330330330328,207.56698780364016
6,63.0,32.56666666666667,[1.],0.030330330330330328,205.31074710722862
7,64.0,33.266666666666666,[1.],0.06619385342789601,207.60212444189176
8,67.0,35.03333333333333,[0.30402344],0.5323232323232321,215.05054299385847
9,69.0,34.333333333333336,[1.],1.201133786848073,225.47600614701102
10,70.0,30.0,[1.],1.4883720930232553,232.2217056168696
11,75.0,27.6,[1.],1.1914893617021276,267.7531388091199
12,79.0,22.966666666666665,[1.],1.0551826994780011,273.8005028082084
13,80.0,23.433333333333334,[1.],1.0235467255334805,271.76501260882475
14,81.0,23.9,[1.],1.0522875816993464,269.6181918806266
15,93.0,22.533333333333335,[1.],0.5206489675516225,194.830826554415
16,96.0,24.233333333333334,[1.],0.5206489675516225,165.51640050496408
17,102.0,25.3,[1.],0.11864406779661017,129.83890690385388
18,106.0,23.1,[1.],0.12284820031298907,129.49286566815414
19,107.0,23.7,[1.],0.11548064918851438,135.35146131666087
20,109.0,24.966666666666665,[1.],0.1877557444129682,145.82624077885066
21,113.0,21.233333333333334,[1.],0.26910725754656384,143.08022266296604
22,118.0,21.7,[1.],0.22807017543859648,148.0240651126334
23,119.0,22.233333333333334,[1.],0.22807017543859648,152.65643964936905
24,120.0,22.8,[0.7709178],0.22807017543859648,154.93314503007568
25,121.0,23.366666666666667,[1.],0.22807017543859648,157.39794250670286
26,125.0,17.8,[1.],0.27011494252873575,165.26571715898228
27,131.0,16.533333333333335,[1.],0.2609819121447028,164.85888133285695
28,134.0,16.066666666666666,[1.],0.28550724637681146,161.64314134091282
29,136.0,17.066666666666666,[1.],0.21977842945584886,161.80886833828558
30,137.0,16.633333333333333,[1.],0.29586563307493535,161.26816923625512
31,144.0,16.766666666666666,[1.],0.4015966112740307,257.7509286276229
32,148.0,16.333333333333332,[0.89505285],0.40476190476190466,245.72346101470856
33,149.0,16.733333333333334,[1.],0.426480372588157,245.20501442673873
34,154.0,18.9,[1.],0.7893016855865154,231.36706767736882
35,155.0,19.366666666666667,[1.],0.7893016855865154,232.38510149007314
36,159.0,16.866666666666667,[1.],0.9197530864197532,160.6705191610121
37,165.0,18.333333333333332,[1.],0.8178621659634315,208.20938621915244
38,166.0,18.8,[1.],0.8178621659634315,215.60505476873206
39,167.0,19.266666666666666,[1.],0.8178621659634315,222.1840765065991
40,173.0,11.933333333333334,[1.],0.7647058823529411,241.3568969801545
41,180.0,14.833333333333334,[1.],0.9983164983164983,195.85820783235144
42,181.0,15.3,[1.],0.9983164983164983,189.65701831316827
43,185.0,15.1,[1.],0.9879879879879879,170.727066502519
44,187.0,16.166666666666668,[1.],0.9839924670433146,173.60040233458093
45,189.0,16.333333333333332,[1.],1.0015015015015014,178.75660358162946
46,190.0,15.7,[1.],0.9065225635191504,176.44790959894334
47,191.0,16.166666666666668,[1.],0.7852748942714342,175.6153023518706
48,194.0,14.866666666666667,[1.],0.7688172043010753,166.902013335836
49,195.0,15.266666666666667,[1.],0.8096670677898115,165.27997301740078
50,198.0,13.6,[1.],1.142741281427413,162.87362773836142
51,201.0,12.733333333333333,[0.62364817],1.1777777777777778,166.91073099133482
52,206.0,11.8,[1.],1.241830065359477,175.1913443210024
53,207.0,12.1,[1.],1.241830065359477,175.86708693645738
54,212.0,11.166666666666666,[1.],1.2003745318352057,141.7758776398706
55,216.0,12.633333333333333,[0.8947539],1.3546683565694975,137.36271313974225
56,223.0,13.1,[0.700969],1.3565891472868215,157.66888454708183
57,225.0,13.933333333333334,[1.],1.3402777777777781,159.72429040550432
58,230.0,14.6,[1.],1.5281124497991965,202.56585456700898
59,233.0,15.8,[1.],1.5284552845528456,198.0507667725088
60,234.0,16.2,[1.],1.5284552845528456,198.50164241493476
61,240.0,16.5,[0.37260413],1.623456790123457,209.24570873293462
62,243.0,15.966666666666667,[1.],1.5613185799907787,219.92273216885553
63,246.0,15.7,[1.],1.4197258932941754,224.00814577861095
