,time,meanWaitTime,action,dispersion,headwaySD
0,4.0,0.0,Hold,0,0
1,17.0,12.066666666666666,No action,0,239.13938885029242
2,18.0,13.066666666666666,No action,0,242.43868932037984
3,36.0,16.6,Hold,1.7431457431457433,257.7079756438129
4,50.0,24.9,Hold,1.1693766937669379,229.32589904561559
5,53.0,27.033333333333335,Hold,0.8719228210246172,214.85555902604673
6,60.0,28.666666666666668,Hold,1.0169082125603863,240.5806250486057
7,63.0,30.766666666666666,No action,0.8559218559218561,226.24812138913143
8,64.0,31.433333333333334,Hold,0.5600600600600599,220.56809273449926
9,67.0,33.06666666666667,No action,0.47559709241952225,204.53498262977115
10,69.0,33.13333333333333,No action,1.0838041431261771,198.99844204458893
11,70.0,28.833333333333332,No action,1.3830409356725144,198.57278974223894
12,75.0,28.433333333333334,Hold,1.2668288726682888,190.78577995632483
13,79.0,23.8,Hold,1.1440613026819924,176.6156779492407
14,81.0,24.766666666666666,Hold,1.19156447417317,177.92543952002777
15,87.0,23.233333333333334,No action,0.8589204346302138,176.98546537501232
16,100.0,28.3,Hold,0.7090909090909091,168.61845675541238
17,101.0,28.933333333333334,Hold,0.7090909090909091,168.9478159377642
18,102.0,29.566666666666666,Hold,0.7090909090909091,167.7723580536309
19,104.0,27.9,No action,0.5780780780780781,155.32057068456126
20,107.0,27.666666666666668,Hold,0.6127997298210065,143.2537881485315
21,109.0,26.633333333333333,Hold,0.6070460704607046,143.33495534934946
22,112.0,23.766666666666666,Hold,0.5163007318695937,153.47680095231183
23,114.0,21.766666666666666,Hold,0.5094562647754136,155.0223175530096
24,120.0,20.233333333333334,No action,0.47675213675213673,165.71864472127493
25,125.0,22.9,Hold,0.4876543209876544,155.69217809530997
26,127.0,24.033333333333335,No action,0.4876543209876544,149.65962189923943
27,129.0,22.533333333333335,Hold,0.48905982905982903,148.31950086565502
28,137.0,21.833333333333332,Hold,0.7716802168021681,154.0831133176023
29,138.0,22.4,Hold,0.7716802168021681,159.79852515022037
30,140.0,22.633333333333333,No action,0.7907293796864349,167.89087400402087
31,148.0,20.9,Hold,1.2754137115839244,283.340836421658
32,149.0,21.366666666666667,Hold,1.2754137115839244,279.0444299608237
33,150.0,21.866666666666667,Hold,1.2754137115839244,273.89848348249825
34,155.0,21.9,Skip,1.440303657694962,201.47951813662485
35,156.0,22.433333333333334,Hold,1.440303657694962,192.55951385826663
36,158.0,21.466666666666665,No action,1.4367521367521363,176.11383487361417
37,159.0,21.466666666666665,Hold,1.4633027522935775,167.30040816649736
