,time,meanWaitTime,action,dispersion,headwaySD
0,7.0,2.066666666666667,No action,0,0
1,16.0,11.066666666666666,No action,0,237.0811173751237
2,17.0,12.066666666666666,No action,0,238.43066463706947
3,18.0,13.066666666666666,No action,0,240.9388853544282
4,26.0,11.266666666666667,No action,1.666666666666666,252.25853317386068
5,29.0,12.866666666666667,No action,1.666666666666666,249.69883839377516
6,43.0,20.833333333333332,No action,1.1693766937669379,208.8434354676169
7,53.0,26.366666666666667,No action,0.5977011494252875,207.27509323060724
8,55.0,27.833333333333332,No action,0.5977011494252875,329.12070989154284
9,60.0,31.533333333333335,No action,0.08256599140577045,275.5423609137045
10,63.0,33.733333333333334,No action,0.06565656565656562,272.18404861447465
11,64.0,34.46666666666667,No action,0.14021164021164023,273.25953592294087
12,66.0,35.7,No action,0.43124312431243106,275.21472112197165
13,67.0,34.36666666666667,No action,0.7065727699530517,270.70859887391725
14,69.0,35.46666666666667,No action,1.1363636363636365,265.6171632774085
15,70.0,31.166666666666668,No action,1.429335192933519,263.25472912949914
16,71.0,28.766666666666666,No action,1.5493827160493827,261.4850080847483
17,74.0,30.3,No action,1.2621527777777781,256.7025285915964
18,75.0,30.833333333333332,No action,1.2940170940170945,252.24049755329852
19,79.0,26.233333333333334,No action,1.2719502719502722,210.9216069239274
20,80.0,26.733333333333334,No action,1.3229048160788774,201.96687891942588
21,81.0,27.233333333333334,No action,1.3619528619528618,193.69921965455524
22,94.0,22.933333333333334,No action,1.2029059829059827,164.93701774737806
23,100.0,23.533333333333335,No action,0.9654025282767792,190.18669941912697
24,102.0,23.266666666666666,No action,0.9684684684684686,199.41815669503384
25,108.0,24.533333333333335,No action,0.9636363636363637,235.47009315707368
26,109.0,25.066666666666666,No action,0.9636363636363637,239.73304728627267
27,112.0,21.2,No action,1.0219872440416249,237.42055623142167
28,113.0,21.666666666666668,No action,0.9789972899728998,235.10976102834513
29,115.0,20.2,No action,0.9444444444444444,233.6231100233416
30,116.0,19.5,No action,1.016819571865443,233.60160557049068
31,117.0,18.8,No action,1.0930428909152312,233.39925202461077
32,120.0,19.3,No action,1.1359558316080058,277.9983823610509
33,128.0,22.9,No action,1.1825396825396826,272.9597623622255
34,130.0,23.9,No action,1.1825396825396826,270.16011465650456
35,132.0,22.933333333333334,No action,1.154281670205237,268.7423866211141
36,134.0,21.4,No action,1.4470567746429812,266.6749825524961
37,137.0,22.366666666666667,No action,1.7924528301886793,275.9048385184947
38,140.0,22.933333333333334,No action,1.5619249823071482,277.239837062005
39,144.0,24.166666666666668,No action,1.6752276867030964,277.6345728791593
40,147.0,24.066666666666666,No action,1.688342440801457,245.59896653765426
41,149.0,24.933333333333334,No action,1.6834795321637424,246.63343397307005
42,151.0,25.7,No action,1.8656957928802589,242.64612942305018
43,155.0,26.466666666666665,No action,2.655122655122655,239.39403589856943
44,159.0,25.733333333333334,No action,2.6618122977346275,249.34604287307204
45,160.0,26.2,No action,2.6024249004705027,252.91673125037008
46,161.0,26.666666666666668,No action,2.5670309653916212,256.0414154185218
47,162.0,27.166666666666668,No action,2.5670309653916212,258.3682253127786
48,163.0,27.666666666666668,No action,2.5453216374269005,259.6115679687974
49,171.0,21.7,No action,2.501457194899818,242.04110767508752
50,173.0,22.566666666666666,No action,2.501457194899818,206.55894763074537
51,177.0,22.366666666666667,No action,2.5716374269005837,234.6929820734809
52,178.0,22.833333333333332,No action,2.5716374269005837,236.4733014512747
53,184.0,24.933333333333334,No action,2.297250859106529,226.45080085916277
54,186.0,26.033333333333335,No action,2.268199233716475,216.9245702409034
55,187.0,26.266666666666666,No action,2.1804123711340204,212.23788001819398
56,188.0,26.8,No action,2.1804123711340204,209.89763880029307
57,189.0,25.8,No action,1.9133025759323332,210.197154498843
58,191.0,21.933333333333334,No action,1.8733488733488735,217.7828321267217
59,196.0,21.966666666666665,No action,2.043693159351523,249.4647691850394
60,199.0,23.466666666666665,No action,1.9372759856630826,257.1104631853812
61,201.0,24.533333333333335,No action,1.9372759856630826,257.418031244216
62,204.0,24.0,No action,2.067765567765568,260.27167439783483
63,205.0,24.466666666666665,No action,2.185185185185185,260.6710655695987
64,208.0,25.866666666666667,No action,2.022727272727273,262.9656515017589
65,211.0,27.333333333333332,No action,1.9069767441860466,276.9000029308674
66,212.0,26.9,No action,1.9829226113272804,276.4948192388164
67,217.0,27.366666666666667,No action,2.007751937984496,281.3898785382125
68,221.0,29.0,No action,2.133512544802868,272.76723847016314
69,222.0,29.5,No action,2.227642276422764,270.9831094025541
70,223.0,30.0,No action,2.227642276422764,268.45602791413995
71,227.0,31.366666666666667,No action,2.2215189873417716,252.78811751563555
72,228.0,31.8,No action,2.188034188034188,245.1354988322407
73,232.0,29.433333333333334,No action,2.1025641025641026,245.0364818499772
