Boarding Stop,Alighting Stop,Hour,Total
54009,,9,1
54009,,14,2
54009,,15,2
54009,,16,4
54009,,17,2
54009,,18,3
54009,,20,2
54009,54009,14,1
54009,54101,12,1
54009,54101,19,4
54009,54319,6,1
54009,54319,8,1
54009,54319,9,6
54009,54319,10,1
54009,54319,11,2
54009,54319,13,3
54009,54319,14,5
54009,54319,15,2
54009,54319,16,9
54009,54319,17,4
54009,54319,18,3
54009,54319,19,3
54009,54319,20,6
54009,54329,6,1
54009,54329,9,1
54009,54329,10,2
54009,54329,11,4
54009,54329,12,6
54009,54329,14,4
54009,54329,15,9
54009,54329,16,14
54009,54329,17,6
54009,54329,18,8
54009,54329,19,6
54009,54329,20,3
54009,54339,17,1
54009,62019,8,1
54009,62029,11,1
54009,62029,12,1
54009,62039,12,2
54009,62039,15,1
54009,62039,16,1
54009,62039,20,1
54009,62049,8,2
54009,62049,11,1
54009,62049,15,1
54009,62049,20,1
54009,62059,9,1
54009,62059,11,1
54009,62059,12,1
54009,62059,14,1
54009,62059,15,1
54009,62059,18,3
54009,62141,14,1
54009,62141,16,1
54009,66031,6,2
54009,66031,7,3
54009,66031,8,1
54009,66031,9,2
54009,66031,14,2
54009,66031,19,1
54009,66031,20,1
54009,66041,9,1
54009,66041,11,1
54009,66041,14,7
54009,66041,15,2
54009,66041,16,2
54009,66041,17,6
54009,66041,18,2
54009,66041,20,2
54009,66051,8,1
54009,66051,12,2
54009,66051,13,3
54009,66051,14,2
54009,66051,15,1
54009,66051,16,1
54009,66051,17,4
54009,66051,18,3
54009,66051,20,4
54009,66091,10,1
54009,66091,13,1
54009,66091,14,3
54009,66091,16,1
54009,66359,9,1
54009,66359,10,7
54009,66359,11,2
54009,66359,12,7
54009,66359,13,4
54009,66359,14,13
54009,66359,15,9
54009,66359,16,6
54009,66359,17,9
54009,66359,18,6
54009,66359,19,1
54009,66359,20,6
54009,66379,7,1
54009,66379,8,3
54009,66379,10,6
54009,66379,11,2
54009,66379,12,3
54009,66379,14,7
54009,66379,15,2
54009,66379,16,1
54009,66379,17,1
54009,66379,18,5
54009,66379,19,1
54009,66379,20,2
54009,70269,14,3
54009,70279,7,1
54009,70299,7,1
54009,70299,9,1
54009,70309,7,1
54009,70309,12,1
54009,71091,17,1
54009,71091,18,2
54009,71131,6,1
54009,71131,8,1
54009,71131,10,1
54009,71131,17,1
54009,71131,18,2
54009,71141,14,3
54009,71141,16,1
54009,71161,5,1
54009,71161,7,1
54009,71161,11,2
54009,71161,13,2
54009,71161,14,3
54009,71161,16,1
54009,71161,19,1
54009,72021,8,1
54009,72021,15,2
54009,72021,17,1
54009,72061,8,1
54009,72061,12,3
54009,72061,13,1
54009,72061,14,2
54009,72061,15,3
54009,72061,16,5
54009,72061,17,7
54009,72061,18,1
54009,72061,19,2
54009,72071,10,1
54009,72071,12,1
54009,72071,15,2
54009,72071,17,1
54009,72071,18,3
54009,72071,19,6
54009,72071,20,3
54009,75009,5,1
54009,75009,6,1
54009,75009,9,1
54009,75009,11,4
54009,75009,12,11
54009,75009,13,6
54009,75009,14,9
54009,75009,15,5
54009,75009,16,10
54009,75009,17,9
54009,75009,18,6
54009,75009,19,2
54009,75009,20,4
54009,75341,7,1
54009,75341,8,2
54009,75341,9,1
54009,75341,10,2
54009,75341,12,1
54009,75341,13,4
54009,75341,14,2
54009,75341,16,1
54009,75341,18,2
54009,75341,19,1
54009,76129,12,3
54009,76129,15,1
54009,76129,17,5
54009,76289,5,2
54009,76289,6,2
54009,76289,8,1
54009,76289,12,1
54009,76289,13,1
54009,76289,15,5
54009,76289,16,2
54009,76289,18,2
54009,76289,19,1
54009,76289,20,2
54009,84461,13,1
54009,84461,14,3
54009,84471,13,1
54009,84471,15,3
54009,84471,17,3
54009,84471,18,1
54009,84471,19,1
54009,84471,20,2
54009,84489,9,5
54009,84489,12,2
54009,84489,16,2
54009,84499,7,1
54009,84499,9,1
54009,84499,10,1
54009,84499,12,1
54009,84499,13,1
54009,84499,15,3
54009,84499,16,3
54009,84499,17,1
54009,84499,19,1
54009,84499,20,2
54009,84621,20,1
54101,62039,17,1
54101,66051,15,1
54101,66051,16,1
54101,66051,18,1
54101,66359,16,1
54101,66359,17,1
54101,66359,18,2
54101,66379,15,1
54101,70299,20,1
54101,71131,20,1
54101,75341,16,1
54101,84499,16,1
54101,84499,20,2
54319,,11,1
54319,,12,1
54319,54101,5,1
54319,54101,20,1
54319,62039,10,1
54319,62039,20,1
54319,62049,8,2
54319,62049,10,2
54319,62059,12,2
54319,62059,18,1
54319,62141,18,1
