Boarding Stop,Alighting Stop,Hour,Total
410460005,,9,1
410460005,,14,2
410460005,,15,2
410460005,,16,4
410460005,,17,2
410460005,,18,3
410460005,,20,2
410460005,410460005,14,1
410460005,410459657,12,1
410460005,410459657,19,4
410460005,410459904,6,1
410460005,410459904,8,1
410460005,410459904,9,6
410460005,410459904,10,1
410460005,410459904,11,2
410460005,410459904,13,3
410460005,410459904,14,5
410460005,410459904,15,2
410460005,410459904,16,9
410460005,410459904,17,4
410460005,410459904,18,3
410460005,410459904,19,3
410460005,410459904,20,6
410460005,410459897,6,1
410460005,410459897,9,1
410460005,410459897,10,2
410460005,410459897,11,4
410460005,410459897,12,6
410460005,410459897,14,4
410460005,410459897,15,9
410460005,410459897,16,14
410460005,410459897,17,6
410460005,410459897,18,8
410460005,410459897,19,6
410460005,410459897,20,3
410460005,410459901,17,1
410460005,410482562,8,1
410460005,410482491,11,1
410460005,410482491,12,1
410460005,410482568,12,2
410460005,410482568,15,1
410460005,410482568,16,1
410460005,410482568,20,1
410460005,410482572,8,2
410460005,410482572,11,1
410460005,410482572,15,1
410460005,410482572,20,1
410460005,410482520,9,1
410460005,410482520,11,1
410460005,410482520,12,1
410460005,410482520,14,1
410460005,410482520,15,1
410460005,410482520,18,3
410460005,410483103,14,1
410460005,410483103,16,1
410460005,410467153,6,2
410460005,410467153,7,3
410460005,410467153,8,1
410460005,410467153,9,2
410460005,410467153,14,2
410460005,410467153,19,1
410460005,410467153,20,1
410460005,410462101,9,1
410460005,410462101,11,1
410460005,410462101,14,7
410460005,410462101,15,2
410460005,410462101,16,2
410460005,410462101,17,6
410460005,410462101,18,2
410460005,410462101,20,2
410460005,410462103,8,1
410460005,410462103,12,2
410460005,410462103,13,3
410460005,410462103,14,2
410460005,410462103,15,1
410460005,410462103,16,1
410460005,410462103,17,4
410460005,410462103,18,3
410460005,410462103,20,4
410460005,410459651,10,1
410460005,410459651,13,1
410460005,410459651,14,3
410460005,410459651,16,1
410460005,1531005322,9,1
410460005,1531005322,10,7
410460005,1531005322,11,2
410460005,1531005322,12,7
410460005,1531005322,13,4
410460005,1531005322,14,13
410460005,1531005322,15,9
410460005,1531005322,16,6
410460005,1531005322,17,9
410460005,1531005322,18,6
410460005,1531005322,19,1
410460005,1531005322,20,6
410460005,410475114,7,1
410460005,410475114,8,3
410460005,410475114,10,6
410460005,410475114,11,2
410460005,410475114,12,3
410460005,410475114,14,7
410460005,410475114,15,2
410460005,410475114,16,1
410460005,410475114,17,1
410460005,410475114,18,5
410460005,410475114,19,1
410460005,410475114,20,2
410460005,410471030,14,3
410460005,410471081,7,1
410460005,410482570,7,1
410460005,410482570,9,1
410460005,410482564,7,1
410460005,410482564,12,1
410460005,410464248,17,1
410460005,410464248,18,2
410460005,410480724,6,1
410460005,410480724,8,1
410460005,410480724,10,1
410460005,410480724,17,1
410460005,410480724,18,2
410460005,410480721,14,3
410460005,410480721,16,1
410460005,410480716,5,1
410460005,410480716,7,1
410460005,410480716,11,2
410460005,410480716,13,2
410460005,410480716,14,3
410460005,410480716,16,1
410460005,410480716,19,1
410460005,410464251,5,1
410460005,410464251,6,1
410460005,410464251,9,1
410460005,410464251,11,4
410460005,410464251,12,11
410460005,410464251,13,6
410460005,410464251,14,9
410460005,410464251,15,5
410460005,410464251,16,10
410460005,410464251,17,9
410460005,410464251,18,6
410460005,410464251,19,2
410460005,410464251,20,4
410460005,410465915,12,3
410460005,410465915,15,1
410460005,410465915,17,5
410460005,410465917,5,2
410460005,410465917,6,2
410460005,410465917,8,1
410460005,410465917,12,1
410460005,410465917,13,1
410460005,410465917,15,5
410460005,410465917,16,2
410460005,410465917,18,2
410460005,410465917,19,1
410460005,410465917,20,2
410459657,410482568,17,1
410459657,410462103,15,1
410459657,410462103,16,1
410459657,410462103,18,1
410459657,1531005322,16,1
410459657,1531005322,17,1
410459657,1531005322,18,2
410459657,410475114,15,1
410459657,410482570,20,1
410459657,410480724,20,1
410459904,,11,1
410459904,,12,1
410459904,410459657,5,1
410459904,410459657,20,1
410459904,410482568,10,1
410459904,410482568,20,1
410459904,410482572,8,2
410459904,410482572,10,2
410459904,410482520,12,2
410459904,410482520,18,1
410459904,410483103,18,1
410459904,410467153,6,1
410459904,410467153,9,2
410459904,410467153,10,2
410459904,410467153,11,1
410459904,410467153,12,1
410459904,410467153,16,1
410459904,410467153,18,1
410459904,410467153,20,1
410459904,410462101,9,1
410459904,410462101,14,1
410459904,410462101,16,2
410459904,410462101,20,1
410459904,410462103,9,1
410459904,410462103,10,2
410459904,410462103,11,1
410459904,410462103,12,5
410459904,410462103,13,2
410459904,410462103,15,1
410459904,410462103,18,2
410459904,410459651,7,2
410459904,410459651,8,4
410459904,410459651,14,1
410459904,1531005322,6,2
410459904,1531005322,7,1
410459904,1531005322,8,2
410459904,1531005322,9,2
410459904,1531005322,10,10
410459904,1531005322,11,7
410459904,1531005322,12,25
410459904,1531005322,13,3
410459904,1531005322,14,3
410459904,1531005322,16,1
410459904,1531005322,18,3
410459904,1531005322,19,3
410459904,1531005322,20,2
410459904,410475114,9,2
410459904,410475114,11,1
410459904,410475114,12,2
410459904,410475114,15,1
410459904,410475114,16,4
410459904,410471030,7,1
410459904,410482551,7,1
410459904,410482570,7,2
410459904,410482564,8,2
410459904,410464248,8,1
410459904,410480724,19,1
410459904,410480722,7,1
410459904,410480716,6,1
410459904,410464251,6,2
410459904,410464251,8,1
410459904,410464251,9,2
410459904,410464251,10,3
410459904,410464251,11,5
410459904,410464251,12,1
410459904,410464251,13,4
410459904,410464251,14,1
410459904,410464251,16,3
410459904,410465915,11,1
410459904,410465915,19,1
410459904,410465917,6,4
410459904,410465917,7,4
410459897,,16,1
410459897,410482572,11,1
410459897,410482572,12,1
410459897,410482572,13,1
410459897,410482520,7,1
410459897,410482520,12,1
410459897,410482520,16,1
410459897,410483103,10,2
410459897,410467153,15,1
410459897,410462101,11,1
410459897,410462101,12,2
410459897,410462101,16,1
410459897,410462103,8,1
410459897,410462103,9,2
410459897,410462103,11,1
410459897,410462103,15,1
410459897,410462103,16,1
410459897,410462103,18,1
410459897,1531005322,7,1
410459897,1531005322,8,1
410459897,1531005322,9,4
410459897,1531005322,11,6
410459897,1531005322,12,5
410459897,1531005322,13,5
410459897,1531005322,14,2
410459897,1531005322,16,7
410459897,1531005322,18,3
410459897,1531005322,19,2
410459897,410475114,5,1
410459897,410475114,8,1
410459897,410475114,9,2
410459897,410475114,10,1
410459897,410475114,13,6
410459897,410475114,15,1
410459897,410475114,16,1
410459897,410471081,6,1
410459897,410471081,9,2
410459897,410482551,13,1
410459897,410482570,7,1
410459897,410482570,8,2
410459897,410480724,7,1
410459897,410480716,12,2
410459897,410464251,6,1
410459897,410464251,7,1
410459897,410464251,8,1
410459897,410464251,9,2
410459897,410464251,10,2
410459897,410464251,15,1
410459897,410464251,16,1
410459897,410464251,18,1
410459897,410464251,20,1
410459897,410462762,13,1
410459897,410465917,6,3
410459897,410465917,12,1
410459897,410465917,16,3
410459901,,7,1
410459901,,8,1
410459901,410459657,6,1
410459901,410459657,7,1
410459901,410459904,6,2
410459901,410459904,7,1
410459901,410459904,9,1
410459901,410459904,11,1
410459901,410459904,15,1
410459901,410459897,18,1
410459901,410482562,7,1
410459901,410482568,7,1
410459901,410482568,8,1
410459901,410482572,10,4
410459901,410482520,8,4
410459901,410482520,13,1
410459901,410482520,17,1
410459901,410483103,8,1
410459901,410483103,16,1
410459901,410483103,20,1
410459901,410467153,7,1
410459901,410467153,15,1
410459901,410462101,8,1
410459901,410462103,12,1
410459901,410462103,14,1
410459901,410462103,16,2
410459901,410459651,11,2
410459901,410459651,14,1
410459901,1531005322,6,1
410459901,1531005322,9,1
410459901,1531005322,10,1
410459901,1531005322,11,3
410459901,1531005322,13,2
410459901,1531005322,16,1
410459901,1531005322,18,3
410459901,1531005322,20,2
410459901,410475114,7,1
410459901,410475114,9,1
410459901,410475114,18,1
410459901,410475114,20,1
410459901,410471081,8,1
410459901,410471081,9,1
410459901,410482570,7,1
410459901,410482564,15,1
410459901,410464248,19,1
410459901,410480724,5,1
410459901,410480724,9,1
410459901,410480721,10,1
410459901,410480716,14,1
410459901,410464251,8,1
410459901,410464251,12,1
410459901,410464251,15,2
410459901,410464251,16,1
410459901,410462762,20,1
410459901,410465915,18,1
410459901,410465915,19,1
410459901,410465917,6,2
410459901,410465917,16,1
410482562,,16,1
410482562,410464248,17,1
410482562,410464251,11,2
410482562,410464251,12,1
410482562,410464251,16,1
410482562,410465915,11,1
410482491,,8,1
410482491,410482570,13,1
410482491,410482570,18,1
410482491,410480724,18,1
410482491,410464251,12,2
410482568,,10,1
410482568,,12,1
410482568,,13,1
410482568,,16,1
410482568,,17,1
410482568,410482551,7,1
410482568,410482551,8,1
410482568,410482570,9,1
410482568,410464248,11,1
410482568,410464248,16,1
410482568,410464251,7,1
410482568,410464251,8,2
410482568,410464251,11,3
410482568,410464251,12,2
410482568,410464251,14,1
410482568,410464251,16,1
410482568,410464251,19,1
410482568,410462762,14,1
410482568,410465915,19,1
410482568,410465917,7,1
410482568,410465917,8,1
410482568,410465917,10,1
410482572,,8,1
410482572,,13,1
410482572,410482570,12,1
410482572,410480724,11,2
410482572,410480724,19,1
410482572,410480722,8,1
410482572,410480722,14,1
410482572,410464251,9,2
410482572,410464251,10,2
410482572,410464251,13,2
410482520,,8,1
410482520,,14,1
410482520,410482568,9,2
410482520,410471030,7,2
410482520,410471030,13,1
410482520,410471081,9,1
410482520,410471081,12,2
410482520,410482551,16,1
410482520,410482570,8,1
410482520,410482570,11,1
410482520,410482570,16,1
410482520,410480724,8,2
410482520,410480724,10,1
410482520,410480724,11,1
410482520,410480724,12,4
410482520,410480724,17,1
410482520,410480721,8,2
410482520,410480716,14,1
410482520,410464251,11,2
410482520,410464251,12,1
410482520,410464251,13,1
410482520,410464251,14,4
410482520,410464251,17,2
410482520,410464251,20,1
410482520,410465916,7,1
410482520,410462762,7,1
410482520,410465915,13,1
410482520,410465915,15,1
410482520,410465917,8,2
410482520,410465917,11,1
410483103,410482568,20,1
410483103,410482520,11,1
410483103,410471081,14,1
410483103,410471081,17,2
410483103,410482551,8,1
410483103,410482570,6,1
410483103,410464248,18,1
410483103,410480724,6,1
410483103,410464251,13,3
410483103,410464251,20,2
410483103,410465915,15,1
410483103,410465917,20,1
410467153,,6,1
410467153,,12,1
410467153,,13,1
410467153,,15,1
410467153,,18,1
410467153,410482572,10,1
410467153,410482572,12,1
410467153,410482520,11,1
410467153,410483103,11,1
410467153,410483103,12,1
410467153,410483103,15,1
410467153,1531005322,6,1
410467153,1531005322,8,2
410467153,1531005322,10,2
410467153,1531005322,17,5
410467153,1531005322,18,1
410467153,1531005322,20,1
410467153,410475114,7,1
410467153,410475114,8,2
410467153,410475114,16,1
410467153,410471081,18,2
410467153,410480724,16,1
410467153,410480721,10,1
410467153,410480721,17,2
410467153,410462762,19,1
410467153,410465917,7,1
410462101,410482491,7,1
410462101,410482572,10,1
410462101,410482520,17,1
410462101,410483103,11,2
410462101,410483103,13,1
410462101,410483103,15,1
410462101,1531005322,7,4
410462101,1531005322,8,1
410462101,1531005322,9,4
410462101,1531005322,10,4
410462101,1531005322,12,8
410462101,1531005322,13,7
410462101,1531005322,14,1
410462101,1531005322,15,7
410462101,1531005322,16,5
410462101,1531005322,17,1
410462101,1531005322,18,8
410462101,1531005322,19,6
410462101,410475114,8,1
410462101,410475114,12,2
410462101,410475114,13,1
410462101,410475114,14,1
410462101,410482570,10,1
410462101,410482570,15,1
410462101,410480724,6,1
410462101,410480716,14,1
410462101,410464251,8,1
410462101,410464251,13,3
410462101,410464251,15,1
410462101,410464251,20,1
410462101,410465917,8,1
410462103,,9,1
410462103,,12,2
410462103,,19,1
410462103,410482568,8,1
410462103,410482572,8,1
410462103,410482572,10,1
410462103,410482520,8,2
410462103,410483103,12,4
410462103,1531005322,6,4
410462103,1531005322,7,10
410462103,1531005322,8,4
410462103,1531005322,9,15
410462103,1531005322,10,11
410462103,1531005322,11,10
410462103,1531005322,12,22
410462103,1531005322,13,10
410462103,1531005322,14,10
410462103,1531005322,15,11
410462103,1531005322,16,6
410462103,1531005322,17,8
410462103,1531005322,18,3
410462103,1531005322,19,3
410462103,1531005322,20,6
410462103,410475114,8,1
410462103,410475114,9,1
410462103,410475114,15,1
410462103,410475114,19,1
410462103,410471081,14,1
410462103,410471081,18,1
410462103,410482570,13,1
410462103,410482564,11,1
410462103,410464248,6,1
410462103,410480724,7,1
410462103,410480724,8,1
410462103,410480721,10,1
410462103,410480721,19,1
410462103,410480716,11,1
410462103,410464251,8,1
410462103,410464251,9,1
410462103,410464251,11,1
410462103,410464251,12,1
410462103,410464251,16,2
410462103,410464251,17,1
410462103,410462762,12,1
410462103,410465915,6,2
410462103,410465915,7,1
410462103,410465915,8,1
410462103,410465917,6,1
410462103,410465917,8,1
410462103,410465917,14,1
410459651,,14,1
410459651,410482568,9,1
410459651,410482568,11,1
410459651,410483103,6,1
410459651,410483103,7,1
410459651,410483103,8,1
410459651,1531005322,6,1
410459651,1531005322,7,2
410459651,1531005322,8,1
410459651,1531005322,9,2
410459651,1531005322,10,3
410459651,1531005322,13,5
410459651,1531005322,14,1
410459651,1531005322,15,1
410459651,1531005322,16,1
410459651,1531005322,18,11
410459651,1531005322,19,3
410459651,410475114,7,2
410459651,410475114,11,1
410459651,410482564,10,1
410459651,410464251,7,1
1531005322,,8,1
1531005322,,12,1
1531005322,,13,2
1531005322,,15,2
1531005322,,16,1
1531005322,,17,1
1531005322,,18,6
1531005322,,20,1
1531005322,410482562,13,2
1531005322,410482562,20,2
1531005322,410482491,11,2
1531005322,410482491,13,1
1531005322,410482491,14,1
1531005322,410482491,15,3
1531005322,410482568,12,6
1531005322,410482568,13,1
1531005322,410482568,14,1
1531005322,410482568,15,1
1531005322,410482568,16,1
1531005322,410482568,17,3
1531005322,410482568,18,3
1531005322,410482568,19,1
1531005322,410482568,20,1
1531005322,410482572,9,1
1531005322,410482572,11,2
1531005322,410482572,13,3
1531005322,410482572,14,7
1531005322,410482572,15,2
1531005322,410482572,16,3
1531005322,410482572,18,1
1531005322,410482572,19,1
1531005322,410482572,20,4
1531005322,410482520,7,1
1531005322,410482520,11,1
1531005322,410482520,14,2
1531005322,410482520,15,9
1531005322,410482520,16,3
1531005322,410482520,17,7
1531005322,410482520,18,10
1531005322,410482520,19,3
1531005322,410483103,16,1
1531005322,410483103,18,1
1531005322,410483103,20,1
1531005322,410482551,15,1
1531005322,410482570,8,1
1531005322,410482570,10,1
1531005322,410482570,12,1
1531005322,410482564,18,3
1531005322,410482564,19,3
1531005322,410482564,20,2
1531005322,410464248,13,7
1531005322,410464248,15,4
1531005322,410480724,6,1
1531005322,410480724,17,2
1531005322,410480724,18,2
1531005322,410480724,19,2
1531005322,410480724,20,6
1531005322,410480722,11,1
1531005322,410480722,13,2
1531005322,410480716,13,1
1531005322,410480716,14,1
1531005322,410480716,15,1
1531005322,410480716,17,2
1531005322,410480716,19,1
1531005322,410464251,9,1
1531005322,410464251,13,4
1531005322,410464251,14,1
1531005322,410464251,15,6
1531005322,410464251,16,4
1531005322,410464251,18,2
1531005322,410464251,19,1
1531005322,410465915,14,3
1531005322,410465915,15,4
1531005322,410465915,18,1
1531005322,410465915,19,2
1531005322,410465917,7,3
1531005322,410465917,18,2
410475114,,6,1
410475114,,8,1
410475114,,13,1
410475114,,14,1
410475114,,16,1
410475114,,18,1
410475114,410482491,10,1
410475114,410482568,9,2
410475114,410482568,10,3
410475114,410482568,11,4
410475114,410482568,12,3
410475114,410482568,18,1
410475114,410482572,10,2
410475114,410482572,15,1
410475114,410482572,17,1
410475114,410482572,18,1
410475114,410482520,9,2
410475114,410482520,10,1
410475114,410482520,15,1
410475114,410482520,18,1
410475114,410482520,19,1
410475114,1531005322,9,1
410475114,1531005322,10,1
410475114,1531005322,19,1
410475114,410471081,6,1
410475114,410471081,17,1
410475114,410471081,19,1
410475114,410482551,8,1
410475114,410482551,14,1
410475114,410482570,9,1
410475114,410482570,13,1
410475114,410482564,8,1
410475114,410482564,9,3
410475114,410482564,11,1
410475114,410482564,15,1
410475114,410482564,18,2
410475114,410464248,14,1
410475114,410464248,17,2
410475114,410480724,10,1
410475114,410480724,12,1
410475114,410480724,14,1
410475114,410480716,9,1
410475114,410480716,13,1
410475114,410480716,18,1
410475114,410464251,6,1
410475114,410464251,9,1
410475114,410464251,10,1
410475114,410464251,11,2
410475114,410464251,13,1
410475114,410464251,16,4
410475114,410464251,18,1
410475114,410462762,7,1
410475114,410465915,8,1
410475114,410465915,10,1
410475114,410465915,11,1
410475114,410465915,19,1
410475114,410465917,9,2
410475114,410465917,13,1
410475114,410465917,14,1
410475114,410465917,15,1
410471030,,8,1
410471030,,13,1
410471030,410464248,7,1
410471030,410480722,8,1
410471030,410464251,11,2
410471030,410464251,16,2
410471030,410462762,16,1
410471030,410465915,15,1
410471030,410465915,16,1
410471030,410465915,18,2
410471030,410465917,7,2
410471030,410465917,11,1
410471030,410465917,16,1
410471081,,17,1
410471081,410480716,14,2
410471081,410464251,12,6
410471081,410464251,15,1
410471081,410462762,17,1
410471081,410465917,11,2
410482551,410480724,17,1
410482551,410480716,17,1
410482570,,12,1
410482570,,14,1
410482570,,15,1
410482570,410471030,11,1
410482570,410471081,16,1
410482570,410464248,7,2
410482570,410480724,9,1
410482570,410480724,13,2
410482570,410480724,18,2
410482570,410480724,19,2
410482570,410480724,20,1
410482570,410480721,19,1
410482570,410480722,11,1
410482570,410480716,11,1
410482570,410480716,18,1
410482570,410480716,20,1
410482570,410464251,17,1
410482570,410464251,18,1
410482570,410464251,19,3
410482570,410462762,18,1
410482570,410465915,13,4
410482570,410465915,15,2
410482570,410465915,17,1
410482570,410465915,20,1
410482570,410465917,20,1
410482564,,13,1
410482564,410480724,16,1
410482564,410480724,19,1
410482564,410480722,8,2
410482564,410464251,13,1
410482564,410464251,15,1
410482564,410464251,17,1
410482564,410465917,6,1
410482564,410465917,12,1
410464248,,8,1
410464248,,9,1
410464248,,11,1
410464248,,13,2
410464248,,18,1
410464248,410464251,8,1
410464248,410464251,9,2
410464248,410464251,11,5
410464248,410464251,12,1
410464248,410464251,13,1
410464248,410464251,14,2
410464248,410464251,15,5
410464248,410464251,16,5
410464248,410464251,20,2
410464248,410462762,10,1
410464248,410465915,8,1
410464248,410465915,13,1
410464248,410465915,15,1
410464248,410465917,11,2
410464248,410465917,20,1
410480724,,14,1
410480724,410464248,8,1
410480724,410464248,13,1
410480724,410464248,19,1
410480724,410464251,6,2
410480724,410464251,8,1
410480724,410464251,9,1
410480724,410464251,14,1
410480724,410464251,15,1
410480724,410462762,18,1
410480724,410465915,13,2
410480724,410465915,19,1
410480724,410465915,20,1
410480724,410465917,9,1
410480724,410465917,11,1
410480724,410465917,17,4
410480724,410465917,18,1
410480721,410464248,16,2
410480721,410464248,17,1
410480721,410464251,7,1
410480721,410464251,8,1
410480721,410462762,12,1
410480721,410465917,19,1
410480722,,12,1
410480722,410464248,17,1
410480722,410480724,12,2
410480722,410480724,17,1
410480722,410480724,19,3
410480722,410464251,12,1
410480722,410464251,17,2
410480722,410462762,8,1
410480722,410465915,8,1
410480722,410465915,15,1
