Boarding Stop,Alighting Stop,Hour,Total
54009,54319.0,6,1
54009,54329.0,6,1
54009,66031.0,6,2
54009,71131.0,6,1
54009,75009.0,6,1
54009,76289.0,6,2
54319,66031.0,6,1
54319,66359.0,6,2
54319,71161.0,6,1
54319,75009.0,6,2
54319,76289.0,6,4
54329,70279.0,6,1
54329,72071.0,6,1
54329,75009.0,6,1
54329,76289.0,6,3
54339,54101.0,6,1
54339,54319.0,6,2
54339,66359.0,6,1
54339,76289.0,6,2
62039,72061.0,6,1
62059,72061.0,6,1
62059,84499.0,6,1
62141,70299.0,6,1
62141,71131.0,6,1
66031,66359.0,6,1
66041,71131.0,6,1
66041,84499.0,6,1
66051,66359.0,6,4
66051,71091.0,6,1
66051,72061.0,6,1
66051,76129.0,6,2
66051,76289.0,6,1
66051,84471.0,6,1
66091,62141.0,6,1
66091,66359.0,6,1
66359,71131.0,6,1
66359,72071.0,6,1
66379,70279.0,6,1
66379,72021.0,6,1
66379,75009.0,6,1
66379,84489.0,6,1
70269,72021.0,6,1
70309,76289.0,6,1
71091,72071.0,6,1
71091,84471.0,6,1
71131,75009.0,6,2
71161,76289.0,6,1
71161,84489.0,6,2
72021,75341.0,6,2
72021,84471.0,6,1
72021,84499.0,6,3
72061,75009.0,6,1
72061,76129.0,6,1
72061,84489.0,6,1
72071,75009.0,6,1
72071,75341.0,6,1
75341,75009.0,6,1
75341,76129.0,6,1
76129,75009.0,6,2
76289,75009.0,6,5
84471,75009.0,6,3
84471,75341.0,6,1
84471,76129.0,6,1
84499,75341.0,6,1
84499,76289.0,6,1
84499,84471.0,6,3
84499,84489.0,6,1
84611,75009.0,6,1
84621,76129.0,6,1
84631,75009.0,6,1
