,time,mean,median,sd
0,310.0,122.63636363636364,107.0,89.72713456745373
0,656.0,370.4,416.0,174.55879620727606
0,732.0,386.8125,465.5,217.69537740556183
0,808.0,441.8125,541.5,243.49620601510406
0,858.0,455.5,512.5,264.3955370273863
0,888.0,480.875,542.5,271.96963870071966
0,916.0,478.0625,508.0,296.25927596237386
0,967.0,525.625,559.0,301.78694367881457
0,1201.0,575.05,562.0,397.33920961817995
0,1233.0,629.1578947368421,657.0,395.49040352425544
0,1256.0,560.6,542.0,410.2096293360262
0,1266.0,570.6,552.0,410.2096293360262
0,1333.0,616.35,619.0,429.81347989564034
0,1382.0,624.047619047619,656.0,453.3150356451352
0,1409.0,627.7,635.5,452.01981151272554
0,1419.0,637.7,645.5,452.01981151272554
0,1472.0,690.7,698.5,452.01981151272554
0,1489.0,728.8947368421053,763.0,453.97285969617195
0,1584.0,765.3,810.5,495.41115247842373
0,1669.0,868.578947368421,943.0,501.66452575290987
0,1688.0,856.5555555555555,914.5,497.3552522227751
0,1798.0,938.3333333333334,1024.5,533.6230463122405
0,1801.0,941.3333333333334,1027.5,533.6230463122405
0,1840.0,879.0555555555555,955.5,602.1277524304236
0,1849.0,921.2352941176471,1028.0,603.3810160412997
0,1882.0,873.7222222222222,997.5,651.6826771737876
0,1898.0,772.75,734.0,692.8342424418701
0,1933.0,704.7391304347826,384.0,698.6892832695844
0,1977.0,723.304347826087,215.0,714.2254810682571
0,1996.0,709.1818181818181,213.5,712.7916077178925
0,2010.0,723.1818181818181,227.5,712.7916077178925
0,2014.0,727.1818181818181,231.5,712.7916077178925
0,2052.0,759.9090909090909,269.5,717.7126488233238
0,2084.0,817.5238095238095,322.0,724.7110175490063
0,2089.0,852.6,433.5,729.7055844654062
0,2158.0,909.8,502.5,742.477178100445
0,2171.0,956.3157894736842,622.0,746.8738393168928
0,2186.0,955.578947368421,637.0,763.7902244237011
0,2214.0,914.7,558.5,792.5578906300789
0,2280.0,980.7,624.5,792.5578906300789
0,2330.0,1063.6315789473683,781.0,799.6991020000037
0,2355.0,1029.5555555555557,699.5,780.2165812005323
0,2381.0,1055.5555555555557,725.5,780.2165812005323
0,2394.0,1012.9473684210526,632.0,795.2106290778173
0,2401.0,1019.9473684210526,639.0,795.2106290778173
0,2406.0,1057.388888888889,750.5,804.6704044989746
0,2457.0,1079.3333333333333,801.5,832.720374568932
0,2482.0,1032.0,720.0,861.7512768530689
0,2518.0,1068.0,756.0,861.7512768530689
0,2531.0,1123.0,875.5,866.23072369125
0,2553.0,1115.9444444444443,897.5,894.4165368317072
0,2577.0,1139.9444444444443,921.5,894.4165368317072
0,2579.0,1141.9444444444443,923.5,894.4165368317072
0,2589.0,1194.2941176470588,1040.0,902.6382093752854
0,2613.0,1285.4375,1364.5,888.2781074042915
0,2621.0,1268.1333333333334,1072.0,911.8090345875916
0,2634.0,1281.1333333333334,1085.0,911.8090345875916
0,2670.0,1099.2222222222222,860.0,964.5054896195112
0,2682.0,1111.2222222222222,872.0,964.5054896195112
0,2688.0,1181.7058823529412,926.0,954.0157702917694
