,time,mean,median,sd
0,656.0,355.4,390.0,164.53765526468402
0,812.0,511.4,546.0,164.53765526468402
0,909.0,608.4,643.0,164.53765526468402
0,960.0,659.4,694.0,164.53765526468402
0,975.0,674.4,709.0,164.53765526468402
0,1082.0,781.4,816.0,164.53765526468402
0,1173.0,730.0,877.0,352.0643880504436
0,1188.0,775.6,922.0,378.31341504102124
0,1242.0,829.6,976.0,378.31341504102124
0,1256.0,843.6,990.0,378.31341504102124
0,1261.0,848.6,995.0,378.31341504102124
0,1276.0,818.2,950.0,371.5811620628796
0,1349.0,891.2,1023.0,371.5811620628796
0,1392.0,934.2,1066.0,371.5811620628796
0,1435.0,977.2,1109.0,371.5811620628796
0,1456.0,998.2,1130.0,371.5811620628796
0,1483.0,1025.2,1157.0,371.5811620628796
0,1507.0,1049.2,1181.0,371.5811620628796
0,1571.0,1113.2,1245.0,371.5811620628796
0,1586.0,1128.2,1260.0,371.5811620628796
0,1617.0,1159.2,1291.0,371.5811620628796
0,1681.0,1397.5,1413.5,143.83410583029325
0,1698.0,1414.5,1430.5,143.83410583029325
0,1758.0,1474.5,1490.5,143.83410583029325
0,1796.0,1512.5,1528.5,143.83410583029325
0,1801.0,1517.5,1533.5,143.83410583029325
0,1810.0,1526.5,1542.5,143.83410583029325
0,1858.0,1574.5,1590.5,143.83410583029325
0,1864.0,1580.5,1596.5,143.83410583029325
0,1870.0,1586.5,1602.5,143.83410583029325
0,1923.0,1639.5,1655.5,143.83410583029325
0,1932.0,1648.5,1664.5,143.83410583029325
0,1951.0,1667.5,1683.5,143.83410583029325
0,1985.0,1701.5,1717.5,143.83410583029325
0,1994.0,1710.5,1726.5,143.83410583029325
0,2020.0,1736.5,1752.5,143.83410583029325
0,2032.0,1748.5,1764.5,143.83410583029325
0,2034.0,1750.5,1766.5,143.83410583029325
0,2074.0,1790.5,1806.5,143.83410583029325
0,2088.0,1804.5,1820.5,143.83410583029325
0,2113.0,1829.5,1845.5,143.83410583029325
0,2115.0,1831.5,1847.5,143.83410583029325
0,2171.0,1887.5,1903.5,143.83410583029325
0,2181.0,1897.5,1913.5,143.83410583029325
0,2186.0,1902.5,1918.5,143.83410583029325
0,2269.0,1336.3333333333333,1859.5,925.6825709832839
0,2327.0,1394.3333333333333,1917.5,925.6825709832839
0,2377.0,1241.7142857142858,1884.0,990.3547292742729
0,2394.0,1258.7142857142858,1901.0,990.3547292742729
0,2401.0,1265.7142857142858,1908.0,990.3547292742729
0,2457.0,1321.7142857142858,1964.0,990.3547292742729
0,2465.0,1329.7142857142858,1972.0,990.3547292742729
0,2484.0,1348.7142857142858,1991.0,990.3547292742729
0,2511.0,1375.7142857142858,2018.0,990.3547292742729
0,2572.0,1329.6666666666667,1307.5,1031.5305241349972
0,2581.0,1338.6666666666667,1316.5,1031.5305241349972
0,2598.0,1271.5,1191.0,952.9913868096255
0,2601.0,1274.5,1194.0,952.9913868096255
0,2619.0,1497.4,2008.0,915.3835480278199
0,2627.0,1505.4,2016.0,915.3835480278199
0,2658.0,1536.4,2047.0,915.3835480278199
0,2665.0,1543.4,2054.0,915.3835480278199
0,2677.0,1473.6,2066.0,1025.0710414405432
0,2684.0,1480.6,2073.0,1025.0710414405432
0,2691.0,1487.6,2080.0,1025.0710414405432
0,2705.0,1253.5,1298.0,1087.8466114301225
0,2712.0,1260.5,1305.0,1087.8466114301225
0,2753.0,1120.2857142857142,550.0,1100.6286144466605
0,2773.0,1140.2857142857142,570.0,1100.6286144466605
0,2788.0,1155.2857142857142,585.0,1100.6286144466605
0,2809.0,1176.2857142857142,606.0,1100.6286144466605
0,2812.0,1179.2857142857142,609.0,1100.6286144466605
0,2816.0,1174.2857142857142,550.0,1105.5019175903396
0,2817.0,1175.2857142857142,551.0,1105.5019175903396
0,2886.0,1191.2,620.0,1068.330173682275
0,2920.0,1225.2,654.0,1068.330173682275
0,2935.0,1240.2,669.0,1068.330173682275
0,2960.0,1265.2,694.0,1068.330173682275
0,2989.0,1294.2,723.0,1068.330173682275
0,3001.0,1306.2,735.0,1068.330173682275
0,3012.0,1317.2,746.0,1068.330173682275
0,3022.0,1327.2,756.0,1068.330173682275
0,3034.0,1339.2,768.0,1068.330173682275
0,3051.0,1356.2,785.0,1068.330173682275
0,3056.0,1361.2,790.0,1068.330173682275
0,3067.0,1372.2,801.0,1068.330173682275
0,3126.0,1674.5,1687.5,1063.3377873469935
0,3154.0,1702.5,1715.5,1063.3377873469935
0,3158.0,1706.5,1719.5,1063.3377873469935
0,3163.0,1711.5,1724.5,1063.3377873469935
0,3167.0,1301.3333333333333,901.0,906.3370724453948
0,3178.0,1312.3333333333333,912.0,906.3370724453948
0,3195.0,1329.3333333333333,929.0,906.3370724453948
0,3219.0,1353.3333333333333,953.0,906.3370724453948
0,3227.0,1361.3333333333333,961.0,906.3370724453948
0,3236.0,1350.0,970.0,925.7519466178111
0,3237.0,1351.0,971.0,925.7519466178111
0,3261.0,524.5,524.5,470.5
0,3267.0,530.5,530.5,470.5
0,3283.0,546.5,546.5,470.5
0,3285.0,366.0,78.0,462.8095360584812
0,3293.0,374.0,86.0,462.8095360584812
0,3313.0,299.0,67.5,433.2660845254334
0,3316.0,302.0,70.5,433.2660845254334
0,3373.0,290.2,89.0,411.22908457452274
0,3378.0,295.2,94.0,411.22908457452274
0,3393.0,310.2,109.0,411.22908457452274
0,3403.0,320.2,119.0,411.22908457452274
0,3422.0,339.2,138.0,411.22908457452274
0,3429.0,346.2,145.0,411.22908457452274
0,3463.0,430.5,210.0,445.79844100220896
0,3472.0,439.5,219.0,445.79844100220896
0,3516.0,228.0,217.0,62.134263226231845
0,3530.0,242.0,231.0,62.134263226231845
0,3547.0,259.0,248.0,62.134263226231845
0,3558.0,270.0,259.0,62.134263226231845
0,3569.0,281.0,270.0,62.134263226231845
0,3587.0,299.0,288.0,62.134263226231845
0,3595.0,307.0,296.0,62.134263226231845
0,3601.0,313.0,302.0,62.134263226231845
0,3617.0,329.0,318.0,62.134263226231845
0,3642.0,359.5,359.5,75.5
0,3657.0,374.5,374.5,75.5
0,3661.0,378.5,378.5,75.5
0,3671.0,388.5,388.5,75.5
0,3728.0,445.5,445.5,75.5
0,3732.0,449.5,449.5,75.5
0,3733.0,450.5,450.5,75.5
0,3768.0,561.0,561.0,0.0
0,3790.0,583.0,583.0,0.0
0,3793.0,586.0,586.0,0.0
0,3800.0,557.0,557.0,0.0
0,3803.0,560.0,560.0,0.0
0,3820.0,15.0,15.0,0.0
0,3834.0,29.0,29.0,0.0
0,3841.0,36.0,36.0,0.0
0,3853.0,48.0,48.0,0.0
0,3952.0,16.0,16.0,0.0
0,3962.0,26.0,26.0,0.0
0,3978.0,42.0,42.0,0.0
0,3993.0,57.0,57.0,0.0
0,4024.0,88.0,88.0,0.0
0,4075.0,30.5,30.5,19.5
0,4076.0,31.5,31.5,19.5
0,4094.0,49.5,49.5,19.5
0,4132.0,87.5,87.5,19.5
0,4159.0,114.5,114.5,19.5
0,4163.0,118.5,118.5,19.5
0,4172.0,108.0,108.0,0.0
0,4196.0,78.0,78.0,54.0
0,4201.0,83.0,83.0,54.0
0,4251.0,99.0,79.0,65.23802572120036
0,4265.0,113.0,93.0,65.23802572120036
0,4272.0,120.0,100.0,65.23802572120036
0,4283.0,141.0,141.0,78.0
0,4288.0,146.0,146.0,78.0
0,4310.0,113.33333333333333,90.0,100.16430945645705
0,4333.0,136.33333333333334,113.0,100.16430945645703
0,4347.0,150.33333333333334,127.0,100.16430945645703
0,4360.0,163.33333333333334,140.0,100.16430945645703
0,4374.0,177.33333333333334,154.0,100.16430945645703
0,4384.0,187.33333333333334,164.0,100.16430945645703
0,4388.0,191.33333333333334,168.0,100.16430945645703
0,4399.0,214.0,214.0,121.0
0,4421.0,236.0,236.0,121.0
0,4433.0,165.66666666666666,127.0,152.70305243256345
0,4440.0,192.0,192.0,184.0
0,4446.0,198.0,198.0,184.0
0,4466.0,218.0,218.0,184.0
0,4481.0,233.0,233.0,184.0
0,4489.0,162.0,57.0,187.22357401424284
0,4517.0,118.6,32.0,169.34768968013705
0,4555.0,156.6,70.0,169.34768968013705
0,4558.0,159.6,73.0,169.34768968013705
0,4582.0,183.6,97.0,169.34768968013705
0,4586.0,187.6,101.0,169.34768968013705
0,4595.0,196.6,110.0,169.34768968013705
0,4626.0,227.6,141.0,169.34768968013705
0,4653.0,171.0,158.0,30.058276730378275
0,4686.0,205.0,181.0,34.650637319776195
0,4698.0,217.0,193.0,34.650637319776195
0,4724.0,243.0,219.0,34.650637319776195
0,4740.0,259.0,235.0,34.650637319776195
0,4747.0,266.0,242.0,34.650637319776195
0,4752.0,271.0,247.0,34.650637319776195
0,4764.0,283.0,259.0,34.650637319776195
0,4775.0,221.75,269.5,128.68833474717124
0,4780.0,226.75,274.5,128.68833474717124
0,4783.0,229.75,277.5,128.68833474717124
0,4797.0,243.75,291.5,128.68833474717124
0,4801.0,247.75,295.5,128.68833474717124
0,4812.0,243.0,307.0,145.21937428134947
0,4822.0,253.0,317.0,145.21937428134947
0,4827.0,258.0,322.0,145.21937428134947
0,4836.0,267.0,331.0,145.21937428134947
0,4842.0,273.0,337.0,145.21937428134947
0,4857.0,288.0,352.0,145.21937428134947
0,4870.0,301.0,365.0,145.21937428134947
0,4871.0,302.0,366.0,145.21937428134947
0,4880.0,311.0,375.0,145.21937428134947
0,4886.0,238.0,248.5,185.84805621797608
0,4915.0,346.0,410.0,145.21937428134947
0,4917.0,348.0,412.0,145.21937428134947
0,4957.0,388.0,452.0,145.21937428134947
0,4987.0,418.0,482.0,145.21937428134947
0,4988.0,419.0,483.0,145.21937428134947
0,4990.0,421.0,485.0,145.21937428134947
0,4997.0,287.6666666666667,227.0,148.4056003735109
0,4999.0,289.6666666666667,229.0,148.4056003735109
0,5012.0,374.5,374.5,132.5
0,5018.0,380.5,380.5,132.5
0,5021.0,383.5,383.5,132.5
0,5036.0,269.0,269.0,3.0
0,5038.0,271.0,271.0,3.0
0,5040.0,273.0,273.0,3.0
0,5041.0,274.0,274.0,3.0
0,5061.0,153.0,153.0,138.0
0,5076.0,114.0,30.0,136.11759621738844
0,5082.0,120.0,36.0,136.11759621738844
0,5084.0,122.0,38.0,136.11759621738844
0,5125.0,163.0,79.0,136.11759621738844
0,5127.0,165.0,81.0,136.11759621738844
0,5137.0,175.0,91.0,136.11759621738844
0,5157.0,195.0,111.0,136.11759621738844
0,5182.0,139.6,112.0,144.2686383106183
0,5193.0,150.6,123.0,144.2686383106183
0,5198.0,186.0,140.0,146.27371602581238
0,5224.0,170.6,154.0,154.83100464700212
0,5232.0,178.6,162.0,154.83100464700212
0,5249.0,195.6,179.0,154.83100464700212
0,5250.0,196.6,180.0,154.83100464700212
0,5271.0,217.6,201.0,154.83100464700212
0,5323.0,269.6,253.0,154.83100464700215
0,5341.0,287.6,271.0,154.83100464700215
0,5362.0,308.6,292.0,154.83100464700215
0,5369.0,244.75,253.0,69.76523131187913
0,5372.0,247.75,256.0,69.76523131187913
0,5392.0,267.75,276.0,69.76523131187913
0,5398.0,273.75,282.0,69.76523131187913
0,5401.0,276.75,285.0,69.76523131187913
0,5405.0,280.75,289.0,69.76523131187913
0,5419.0,245.25,303.0,146.96321818740907
0,5422.0,248.25,306.0,146.96321818740907
0,5455.0,281.25,339.0,146.96321818740907
0,5457.0,283.25,341.0,146.96321818740907
0,5467.0,293.25,351.0,146.96321818740907
0,5471.0,297.25,355.0,146.96321818740907
0,5479.0,305.25,363.0,146.96321818740907
0,5480.0,306.25,364.0,146.96321818740907
0,5492.0,283.6666666666667,330.0,154.96307803975617
0,5532.0,323.6666666666667,370.0,154.96307803975617
0,5548.0,339.6666666666667,386.0,154.96307803975617
0,5576.0,367.6666666666667,414.0,154.96307803975617
0,5581.0,372.6666666666667,419.0,154.96307803975617
0,5582.0,373.6666666666667,420.0,154.96307803975617
0,5583.0,374.6666666666667,421.0,154.96307803975617
0,5597.0,180.0,180.0,0.0
0,5614.0,197.0,197.0,0.0
0,5615.0,198.0,198.0,0.0
0,5618.0,101.0,101.0,100.0
0,5631.0,114.0,114.0,100.0
0,5649.0,92.33333333333333,32.0,99.06339160131535
0,5652.0,95.33333333333333,35.0,99.06339160131535
0,5657.0,100.33333333333333,40.0,99.06339160131535
0,5672.0,115.33333333333333,55.0,99.06339160131535
0,5689.0,132.33333333333334,72.0,99.06339160131535
0,5690.0,133.33333333333334,73.0,99.06339160131535
0,5719.0,162.33333333333334,102.0,99.06339160131535
0,5720.0,163.33333333333334,103.0,99.06339160131535
0,5746.0,189.33333333333334,129.0,99.06339160131535
0,5756.0,199.33333333333334,139.0,99.06339160131535
0,5759.0,202.33333333333334,142.0,99.06339160131535
0,5780.0,223.33333333333334,163.0,99.06339160131535
0,5792.0,235.33333333333334,175.0,99.06339160131535
0,5816.0,259.3333333333333,199.0,99.06339160131535
0,5836.0,279.3333333333333,219.0,99.06339160131535
0,5843.0,286.3333333333333,226.0,99.06339160131535
0,5854.0,297.3333333333333,237.0,99.06339160131535
0,5862.0,305.3333333333333,245.0,99.06339160131535
0,5868.0,311.3333333333333,251.0,99.06339160131535
0,5884.0,327.3333333333333,267.0,99.06339160131535
0,5942.0,301.75,315.5,168.2815720749007
0,5943.0,302.75,316.5,168.2815720749007
0,5951.0,310.75,324.5,168.2815720749007
0,5976.0,272.0,340.0,197.25922031682066
0,5982.0,278.0,346.0,197.25922031682066
0,5993.0,289.0,357.0,197.25922031682066
0,5994.0,290.0,358.0,197.25922031682066
0,5997.0,293.0,361.0,197.25922031682066
0,6001.0,225.25,237.5,151.32312282001055
0,6027.0,251.25,263.5,151.32312282001055
0,6046.0,270.25,282.5,151.32312282001055
0,6050.0,274.25,286.5,151.32312282001055
0,6060.0,284.25,296.5,151.32312282001055
0,6063.0,287.25,299.5,151.32312282001055
0,6079.0,303.25,315.5,151.32312282001055
0,6080.0,304.25,316.5,151.32312282001055
0,6082.0,306.25,318.5,151.32312282001055
0,6092.0,263.3333333333333,201.0,139.0355669923667
0,6107.0,278.3333333333333,216.0,139.0355669923667
0,6127.0,298.3333333333333,236.0,139.0355669923667
0,6133.0,304.3333333333333,242.0,139.0355669923667
0,6147.0,318.3333333333333,256.0,139.0355669923667
0,6149.0,320.3333333333333,258.0,139.0355669923667
0,6151.0,322.3333333333333,260.0,139.0355669923667
0,6168.0,339.3333333333333,277.0,139.0355669923667
0,6178.0,253.0,253.0,34.0
0,6196.0,271.0,271.0,34.0
0,6201.0,276.0,276.0,34.0
0,6207.0,282.0,282.0,34.0
0,6208.0,189.0,249.0,135.80378001611984
0,6219.0,200.0,260.0,135.80378001611984
0,6234.0,163.5,151.0,147.6101283787803
0,6236.0,165.5,153.0,147.6101283787803
0,6246.0,115.66666666666667,39.0,121.37361968548007
0,6253.0,122.66666666666667,46.0,121.37361968548007
0,6256.0,125.66666666666667,49.0,121.37361968548007
0,6272.0,141.66666666666666,65.0,121.37361968548007
0,6284.0,153.66666666666666,77.0,121.37361968548007
0,6289.0,158.66666666666666,82.0,121.37361968548007
0,6290.0,159.66666666666666,83.0,121.37361968548007
0,6296.0,165.66666666666666,89.0,121.37361968548007
0,6307.0,176.66666666666666,100.0,121.37361968548007
0,6321.0,145.75,105.0,130.77150874712734
0,6331.0,155.75,115.0,130.77150874712734
0,6355.0,179.75,139.0,130.77150874712734
0,6389.0,213.75,173.0,130.77150874712734
0,6391.0,215.75,175.0,130.77150874712734
0,6397.0,114.25,129.5,72.63736985877173
0,6401.0,118.25,133.5,72.63736985877173
0,6403.0,120.25,135.5,72.63736985877173
0,6419.0,136.25,151.5,72.63736985877173
0,6423.0,140.25,155.5,72.63736985877173
0,6428.0,145.25,160.5,72.63736985877173
0,6446.0,138.0,136.0,66.9676538835479
0,6450.0,142.0,140.0,66.9676538835479
0,6484.0,135.75,134.5,90.6845494006559
0,6486.0,137.75,136.5,90.6845494006559
0,6506.0,157.75,156.5,90.6845494006559
0,6534.0,185.75,184.5,90.6845494006559
0,6540.0,191.75,190.5,90.6845494006559
0,6546.0,197.75,196.5,90.6845494006559
0,6555.0,206.75,205.5,90.6845494006559
0,6568.0,219.75,218.5,90.6845494006559
0,6574.0,225.75,224.5,90.6845494006559
0,6581.0,232.75,231.5,90.6845494006559
0,6588.0,239.75,238.5,90.6845494006559
0,6601.0,252.75,251.5,90.6845494006559
0,6606.0,257.75,256.5,90.6845494006559
0,6611.0,221.66666666666666,222.0,64.91190611556216
0,6615.0,225.66666666666666,226.0,64.91190611556216
0,6632.0,185.75,203.0,113.48430508224475
0,6648.0,201.75,219.0,113.48430508224475
0,6652.0,205.75,223.0,113.48430508224475
0,6663.0,216.75,234.0,113.48430508224475
0,6664.0,217.75,235.0,113.48430508224475
0,6692.0,245.75,263.0,113.48430508224475
0,6697.0,250.75,268.0,113.48430508224475
0,6698.0,251.75,269.0,113.48430508224475
0,6714.0,267.75,285.0,113.48430508224475
0,6725.0,335.6666666666667,336.0,64.91190611556216
0,6731.0,341.6666666666667,342.0,64.91190611556216
0,6747.0,357.6666666666667,358.0,64.91190611556216
0,6775.0,385.6666666666667,386.0,64.91190611556216
0,6788.0,398.6666666666667,399.0,64.91190611556216
0,6790.0,400.6666666666667,401.0,64.91190611556216
0,6797.0,447.5,447.5,39.5
0,6804.0,454.5,454.5,39.5
0,6814.0,464.5,464.5,39.5
0,6816.0,466.5,466.5,39.5
0,6822.0,315.3333333333333,433.0,224.5949440412426
0,6841.0,334.3333333333333,452.0,224.5949440412426
0,6851.0,246.0,246.0,216.0
0,6856.0,251.0,251.0,216.0
0,6857.0,252.0,252.0,216.0
0,6887.0,282.0,282.0,216.0
0,6895.0,290.0,290.0,216.0
0,6906.0,301.0,301.0,216.0
0,6914.0,309.0,309.0,216.0
0,6915.0,310.0,310.0,216.0
0,6916.0,311.0,311.0,216.0
0,6929.0,324.0,324.0,216.0
0,6935.0,330.0,330.0,216.0
0,6943.0,338.0,338.0,216.0
0,6968.0,363.0,363.0,216.0
0,6983.0,82.0,82.0,80.0
0,6986.0,85.0,85.0,80.0
0,6987.0,86.0,86.0,80.0
0,7002.0,101.0,101.0,80.0
0,7016.0,80.0,35.0,81.95527235429498
0,7024.0,88.0,43.0,81.95527235429498
0,7032.0,96.0,51.0,81.95527235429498
0,7045.0,85.0,51.5,82.25265953147047
0,7050.0,90.0,56.5,82.25265953147047
0,7057.0,97.0,63.5,82.25265953147047
0,7061.0,101.0,67.5,82.25265953147047
0,7105.0,145.0,111.5,82.25265953147047
0,7124.0,164.0,130.5,82.25265953147047
0,7141.0,145.4,135.0,102.38085758578114
0,7147.0,126.66666666666667,128.0,108.59813790095829
0,7152.0,131.66666666666666,133.0,108.59813790095829
0,7158.0,137.66666666666666,139.0,108.59813790095829
0,7163.0,142.66666666666666,144.0,108.59813790095829
0,7168.0,147.66666666666666,149.0,108.59813790095829
0,7183.0,162.66666666666666,164.0,108.59813790095829
0,7194.0,173.66666666666666,175.0,108.59813790095829
0,7201.0,180.66666666666666,182.0,108.59813790095829
0,7222.0,201.66666666666666,203.0,108.59813790095829
0,7223.0,202.66666666666666,204.0,108.59813790095829
0,7224.0,203.66666666666666,205.0,108.59813790095829
0,7231.0,207.8,199.0,118.75588406474856
0,7244.0,220.8,212.0,118.75588406474856
0,7280.0,256.8,248.0,118.75588406474856
0,7284.0,260.8,252.0,118.75588406474856
0,7290.0,266.8,258.0,118.75588406474856
0,7312.0,288.8,280.0,118.75588406474856
0,7314.0,290.8,282.0,118.75588406474856
0,7342.0,291.6666666666667,310.0,65.39283005209533
0,7345.0,294.6666666666667,313.0,65.39283005209533
0,7348.0,297.6666666666667,316.0,65.39283005209533
0,7352.0,301.6666666666667,320.0,65.39283005209533
0,7388.0,337.6666666666667,356.0,65.39283005209533
0,7399.0,339.5,339.5,78.5
0,7405.0,345.5,345.5,78.5
0,7408.0,348.5,348.5,78.5
0,7413.0,353.5,353.5,78.5
0,7415.0,355.5,355.5,78.5
0,7417.0,357.5,357.5,78.5
0,7429.0,369.5,369.5,78.5
