,time,mean,median,sd
0,310.0,193.125,195.0,73.12564102283139
0,656.0,334.1764705882353,340.0,187.82884427181153
0,732.0,371.2105263157895,326.0,210.40826953614888
0,808.0,430.36842105263156,402.0,229.38664452618116
0,858.0,424.8095238095238,397.0,268.26454942971054
0,888.0,466.75,454.5,269.38835813746664
0,916.0,472.4,477.5,289.5476472016307
0,968.0,495.3809523809524,497.0,308.97194759248447
0,984.0,511.3809523809524,513.0,308.97194759248447
0,1078.0,532.4545454545455,573.0,326.99829402845614
0,1238.0,568.7307692307693,517.0,384.55204286109193
0,1256.0,564.52,479.0,375.45866563444775
0,1265.0,588.1666666666666,544.0,376.1380139730037
0,1354.0,626.84,534.0,394.32673558864855
0,1384.0,614.12,542.0,404.8551662014454
0,1419.0,578.3076923076923,501.5,412.9638435682651
0,1475.0,571.8214285714286,472.0,436.9802262256781
0,1507.0,583.7857142857143,451.0,450.2720096264715
0,1569.0,632.75,513.0,461.5593619924279
0,1574.0,615.9310344827586,517.0,467.9966055752587
0,1589.0,652.75,533.0,461.5593619924279
0,1624.0,705.7407407407408,569.0,460.28755847658994
0,1671.0,702.6551724137931,614.0,480.75043894125736
0,1689.0,692.3928571428571,615.0,464.9852792820216
0,1786.0,770.0357142857143,712.0,484.6241166499822
0,1800.0,756.2857142857143,695.5,485.9770612710364
0,1801.0,757.2857142857143,696.5,485.9770612710364
0,1857.0,764.8888888888889,739.0,493.63056611444665
0,1877.0,767.1111111111111,759.0,512.0156488735067
0,1913.0,817.6538461538462,808.5,516.2681877822575
0,1915.0,819.6538461538462,810.5,516.2681877822575
0,1933.0,789.4615384615385,698.5,531.9058064942029
0,1955.0,789.8076923076923,720.5,552.5182224096093
0,1984.0,829.4,866.0,560.865688021651
0,1989.0,825.9166666666666,754.5,570.8574629936579
0,1994.0,797.88,643.0,582.2690319774872
0,2014.0,794.64,663.0,601.8082006752651
0,2024.0,816.625,789.5,611.2876990760298
0,2082.0,893.3913043478261,964.0,617.6302354568409
0,2087.0,857.2083333333334,852.5,635.4881967935274
0,2101.0,901.0434782608696,983.0,632.4875306047625
0,2114.0,909.0909090909091,879.5,646.2661926292735
0,2160.0,837.6,739.0,683.9030925503993
0,2175.0,851.84,754.0,684.8311721877152
0,2177.0,853.84,756.0,684.8311721877152
0,2178.0,854.84,757.0,684.8311721877152
0,2278.0,869.8518518518518,836.0,716.7284058007997
0,2293.0,834.8214285714286,747.0,737.0542746816753
0,2370.0,852.9666666666667,614.5,745.3442373978764
0,2372.0,854.9666666666667,616.5,745.3442373978764
0,2401.0,883.9666666666667,645.5,745.3442373978764
0,2404.0,882.5,648.5,750.2168019979291
0,2411.0,901.2068965517242,761.0,760.3429978866093
0,2461.0,917.4137931034483,509.0,778.1483555582613
0,2466.0,922.4137931034483,514.0,778.1483555582613
0,2502.0,953.6206896551724,550.0,783.3758253289856
0,2525.0,959.0,508.0,791.5747415301802
0,2532.0,966.0,515.0,791.5747415301802
0,2582.0,1002.4285714285714,565.0,804.9245496394336
0,2587.0,1028.2222222222222,635.0,812.2766967596482
0,2598.0,1039.2222222222222,646.0,812.2766967596482
0,2614.0,1017.6785714285714,597.0,821.1495450008495
0,2618.0,1021.6785714285714,601.0,821.1495450008495
0,2630.0,1041.2592592592594,678.0,838.7739108516535
0,2656.0,1029.7857142857142,617.5,846.3630324234756
0,2671.0,1072.148148148148,719.0,849.645490503897
0,2688.0,1109.3846153846155,887.0,859.4218126572107
0,2691.0,1112.3846153846155,890.0,859.4218126572107
0,2696.0,1176.1666666666667,1160.5,869.0429921598942
0,2715.0,1195.1666666666667,1179.5,869.0429921598942
0,2718.0,1198.1666666666667,1182.5,869.0429921598942
0,2752.0,1117.8333333333333,951.0,894.8610072085061
0,2767.0,1132.8333333333333,966.0,894.8610072085061
0,2771.0,1114.0833333333333,970.0,916.2270877838578
0,2787.0,1112.375,986.0,933.4735674038482
0,2822.0,1122.25,1021.0,954.7451776084897
0,2825.0,1125.25,1024.0,954.7451776084897
0,2868.0,1050.56,466.0,974.9201846305164
0,2906.0,1069.44,484.0,990.7556340490826
0,2931.0,1133.2916666666667,744.0,992.3508905274159
0,2934.0,1136.2916666666667,747.0,992.3508905274159
0,2980.0,1069.125,535.5,960.7973820608588
0,2992.0,1081.125,547.5,960.7973820608588
0,3001.0,1120.5217391304348,579.0,970.0993167248489
0,3007.0,1151.1363636363637,797.5,984.8524714371528
0,3025.0,1118.4782608695652,558.0,992.0789708032415
0,3057.0,1095.4166666666667,549.5,1005.0714285009243
0,3066.0,1036.56,428.0,1025.6222727690736
0,3070.0,1000.6153846153846,387.0,1025.3451230204273
0,3076.0,980.68,348.0,1037.2546348896205
0,3097.0,1028.0416666666667,412.5,1050.4060119451694
0,3104.0,1055.8695652173913,373.0,1068.1354866164575
0,3109.0,1060.8695652173913,378.0,1068.1354866164575
0,3134.0,1040.8333333333333,379.0,1067.7197145734872
0,3145.0,1079.5652173913043,366.0,1082.1896010880967
0,3182.0,1063.9545454545455,398.5,1077.3608527437746
0,3198.0,1079.9545454545455,414.5,1077.3608527437746
0,3210.0,1069.6666666666667,422.0,1097.7475350888521
0,3219.0,1103.55,407.0,1119.0618157635438
0,3223.0,959.7142857142857,387.0,1082.8809521192
0,3226.0,990.55,368.0,1102.2664593917389
0,3248.0,1010.05,390.0,1103.5523764189898
0,3250.0,1012.05,392.0,1103.5523764189898
0,3257.0,997.8,347.0,1118.716746991838
0,3265.0,935.6666666666666,244.0,1126.5376933787768
0,3283.0,871.6086956521739,242.0,1108.798320906974
0,3288.0,906.2727272727273,257.0,1124.756910375756
0,3291.0,909.2727272727273,260.0,1124.756910375756
0,3314.0,812.32,264.0,1102.5961262402475
0,3320.0,786.8846153846154,261.0,1092.5494999144496
0,3356.0,782.8518518518518,227.0,1088.858481560823
0,3376.0,816.9615384615385,201.5,1107.175702850387
0,3395.0,805.6666666666666,175.0,1097.4055261793103
0,3397.0,807.6666666666666,177.0,1097.4055261793103
0,3404.0,709.1538461538462,167.0,993.7395453657203
0,3411.0,743.25,155.0,1029.6747564967623
0,3430.0,731.84,172.0,1019.8114209990001
0,3453.0,754.4,195.0,1020.1285409202117
0,3460.0,754.4,198.0,1024.5339623458074
0,3467.0,761.4,205.0,1024.5339623458074
0,3534.0,762.8518518518518,262.0,1011.8453879734973
0,3570.0,778.9629629629629,296.0,1021.7898052122389
0,3574.0,782.9629629629629,300.0,1021.7898052122389
0,3580.0,788.9629629629629,306.0,1021.7898052122389
0,3587.0,805.9230769230769,303.5,1039.9672303667487
0,3590.0,808.9230769230769,306.5,1039.9672303667487
0,3596.0,835.4,322.0,1055.4104414871022
0,3601.0,865.0833333333334,328.0,1070.0802118169563
0,3630.0,880.7916666666666,357.0,1078.8624402260725
0,3638.0,867.9166666666666,347.0,1090.790115645026
0,3647.0,876.9166666666666,356.0,1090.790115645026
0,3657.0,886.9166666666666,366.0,1090.790115645026
0,3666.0,879.6666666666666,356.5,1101.0330628802915
0,3671.0,870.9166666666666,351.0,1108.820578988724
0,3684.0,902.8695652173913,373.0,1130.1026619139645
0,3712.0,927.5652173913044,401.0,1132.6880235926262
0,3725.0,783.7826086956521,348.0,993.4944019238682
0,3754.0,749.64,321.0,976.6880312566548
0,3772.0,738.4615384615385,336.0,968.7697682655696
0,3778.0,717.1111111111111,339.0,960.8351819711745
0,3786.0,634.9629629629629,303.0,908.9617798052767
0,3792.0,598.0357142857143,283.5,907.4883896204504
0,3799.0,611.8148148148148,278.0,923.444479352813
0,3828.0,622.2592592592592,270.0,930.7505769476269
0,3843.0,660.5769230769231,303.5,940.7100907570148
0,3845.0,638.074074074074,287.0,931.5418491593674
0,3853.0,655.0,268.0,948.1533874610406
0,3873.0,652.5,235.0,956.546442235737
0,3876.0,655.5,238.0,956.546442235737
0,3883.0,666.0,219.0,975.3265299375383
0,3908.0,712.2916666666666,270.0,989.7294444765645
0,3924.0,717.75,279.5,995.9886733793713
0,3933.0,708.375,241.5,1004.9526030490194
0,3936.0,711.375,244.5,1004.9526030490194
0,3938.0,713.375,246.5,1004.9526030490194
0,3951.0,681.9583333333334,237.0,1012.270158240323
0,3970.0,689.2083333333334,242.5,1018.5545304976175
0,3987.0,706.2083333333334,259.5,1018.5545304976175
0,3989.0,708.2083333333334,261.5,1018.5545304976175
0,4005.0,759.8181818181819,277.5,1056.105437072869
0,4027.0,727.3913043478261,264.0,1054.1950870989278
0,4029.0,729.3913043478261,266.0,1054.1950870989278
0,4032.0,760.7727272727273,284.0,1069.2593414397643
0,4038.0,776.2857142857143,304.0,1093.0136644837976
0,4047.0,785.2857142857143,313.0,1093.0136644837976
0,4053.0,791.2857142857143,319.0,1093.0136644837976
0,4054.0,792.2857142857143,320.0,1093.0136644837976
0,4073.0,796.047619047619,310.0,1101.6879463195373
0,4093.0,832.8,319.0,1126.2808974674124
0,4141.0,810.9047619047619,355.0,1126.8107926170553
0,4147.0,850.75,361.5,1144.173145769468
0,4173.0,835.9047619047619,387.0,1131.4412176622095
0,4175.0,837.9047619047619,389.0,1131.4412176622095
0,4189.0,848.15,374.0,1159.2545568165776
0,4197.0,815.7142857142857,353.0,1145.678054289962
0,4199.0,817.7142857142857,355.0,1145.678054289962
0,4201.0,839.9,350.5,1170.3206355524967
0,4217.0,914.3333333333334,366.5,1219.0081122690601
0,4268.0,915.9473684210526,411.0,1204.8538445403246
0,4269.0,916.9473684210526,412.0,1204.8538445403246
0,4273.0,941.5,386.0,1234.6236156101268
0,4287.0,949.8823529411765,341.0,1282.7901979831006
0,4293.0,749.4117647058823,334.0,1127.1443385217315
0,4307.0,728.3529411764706,253.0,1140.8366352697929
0,4308.0,729.3529411764706,254.0,1140.8366352697929
0,4328.0,708.1666666666666,254.0,1121.6235875828497
0,4334.0,714.1666666666666,260.0,1121.6235875828497
0,4342.0,761.4117647058823,288.0,1142.0676841394775
0,4376.0,812.6875,302.0,1175.0595048097564
0,4380.0,816.6875,306.0,1175.0595048097564
0,4400.0,885.0,288.0,1248.5478994187035
0,4401.0,886.0,289.0,1248.5478994187035
0,4448.0,937.0769230769231,294.0,1306.4513568935486
0,4453.0,1009.5,311.0,1337.8914069036646
0,4464.0,1007.8333333333334,322.0,1346.6502783656274
0,4483.0,948.6153846153846,329.0,1321.887318511013
0,4493.0,914.3846153846154,303.0,1343.3946403657094
0,4513.0,738.5384615384615,272.0,1275.8702981696374
0,4527.0,730.8461538461538,244.0,1285.9752268312436
0,4548.0,698.5,190.5,1254.035129947665
0,4553.0,736.8461538461538,121.0,1295.3787593509146
0,4571.0,809.5833333333334,260.0,1333.7503176090427
0,4585.0,790.9166666666666,142.0,1348.5655007163064
0,4594.0,863.3636363636364,162.0,1391.277324993591
0,4623.0,704.0,147.0,1284.905721944499
0,4627.0,708.0,151.0,1284.905721944499
0,4632.0,729.2307692307693,134.0,1332.025996156933
0,4637.0,734.2307692307693,139.0,1332.025996156933
0,4662.0,706.3571428571429,151.5,1297.6521439641263
0,4686.0,688.2857142857143,153.0,1310.9358940723787
0,4698.0,700.2857142857143,165.0,1310.9358940723787
0,4700.0,655.6,157.0,1278.474288621663
0,4755.0,596.9444444444445,162.5,1194.4361976459495
0,4760.0,601.9444444444445,167.5,1194.4361976459495
0,4764.0,574.2631578947369,161.0,1170.3231151719672
0,4767.0,577.2631578947369,164.0,1170.3231151719672
0,4776.0,584.2777777777778,172.5,1202.36155615871
