,time,mean,median,sd
0,677.0,368.1111111111111,366.0,215.26260161561038
0,829.0,427.8095238095238,394.0,272.00816147552825
0,885.0,416.125,371.5,304.6829380000353
0,911.0,405.96,338.0,320.79906234276933
0,970.0,434.0769230769231,384.0,337.1114770057437
0,1091.0,456.3666666666667,301.0,352.76049318986327
0,1167.0,544.7931034482758,384.0,352.27618272877146
0,1201.0,582.4285714285714,411.0,357.97669802171566
0,1241.0,636.5185185185185,458.0,356.83997558511146
0,1257.0,670.3461538461538,566.0,351.6404350499672
0,1332.0,731.3461538461538,641.0,370.8378188235694
0,1410.0,796.7307692307693,719.0,391.813687836874
0,1438.0,803.0769230769231,747.0,419.9507226657142
0,1487.0,774.2857142857143,697.0,477.9839250990155
0,1516.0,823.9629629629629,733.0,474.2985059035417
0,1564.0,851.3703703703703,781.0,497.34302553470167
0,1584.0,871.3703703703703,801.0,497.34302553470167
0,1635.0,913.8888888888889,852.0,510.84739573418113
0,1716.0,933.3703703703703,919.0,521.6472590034272
0,1770.0,953.925925925926,973.0,551.3301038415375
0,1797.0,1005.8461538461538,1007.0,546.7068327236689
0,1825.0,1033.8461538461538,1035.0,546.7068327236689
0,1842.0,1078.44,1059.0,539.4876888308019
0,1856.0,992.5,1036.5,593.7430323477813
0,1865.0,1024.28,1068.0,594.2557375406652
0,1931.0,1012.2592592592592,1089.0,634.9188103589305
0,1938.0,1001.8518518518518,1096.0,655.6515958107349
0,2011.0,1074.851851851852,1169.0,655.6515958107348
0,2020.0,1122.1153846153845,1200.5,637.8731684230673
0,2047.0,1089.1538461538462,1204.0,667.6925646933216
0,2111.0,1196.12,1269.0,644.7073332916262
0,2170.0,1106.2142857142858,1319.5,737.4571831223665
0,2191.0,1127.2142857142858,1340.5,737.4571831223665
0,2206.0,1172.0,1362.0,734.264358489603
0,2224.0,1190.0,1380.0,734.264358489603
0,2254.0,1137.5172413793102,1397.0,770.5903523157068
0,2281.0,1201.2142857142858,1430.5,758.9225613207403
0,2308.0,1228.2142857142858,1457.5,758.9225613207403
0,2362.0,1163.9655172413793,1461.0,784.2447930095955
0,2401.0,1193.8620689655172,1500.0,796.4703048402188
0,2412.0,1241.5714285714287,1533.0,786.092298677971
0,2484.0,1270.7241379310344,1583.0,805.0078987212282
0,2511.0,1297.7241379310344,1610.0,805.0078987212282
0,2525.0,1282.551724137931,1624.0,835.8762318135505
0,2572.0,1286.25,1594.0,818.0868634023092
0,2612.0,1326.25,1634.0,818.0868634023092
0,2653.0,1356.392857142857,1675.0,833.5325573933474
0,2683.0,1333.1379310344828,1628.0,865.1251742851588
0,2686.0,1336.1379310344828,1631.0,865.1251742851588
0,2699.0,1434.0740740740741,1798.0,834.718534327631
0,2711.0,1456.0384615384614,1832.0,849.0421064474424
0,2728.0,1518.68,1871.0,833.9937035733543
0,2752.0,1515.375,1873.0,840.1711042252049
0,2780.0,1528.8333333333333,1901.0,863.1129544979743
0,2792.0,1583.1739130434783,1935.0,856.9295872942772
