,time,mean,median,sd
0,601.0,274.3125,238.0,168.04118496294294
0,808.0,386.9,409.0,232.20592154378838
0,886.0,442.25,438.5,249.60666557606189
0,915.0,482.63157894736844,514.0,250.98169581535032
0,974.0,535.3888888888889,526.5,256.41939146832806
0,1167.0,645.9473684210526,657.0,290.39419192470274
0,1171.0,649.9473684210526,661.0,290.39419192470274
0,1201.0,644.8947368421053,671.0,325.0696920802388
0,1256.0,642.0,702.0,373.8114497978894
0,1261.0,656.6315789473684,731.0,381.0959556644793
0,1411.0,706.2272727272727,775.0,435.3368530458164
0,1417.0,730.047619047619,839.0,437.6715964097452
0,1419.0,732.047619047619,841.0,437.6715964097452
0,1442.0,737.45,806.0,441.17008908129753
0,1508.0,810.7894736842105,930.0,451.43928646372916
0,1540.0,858.2777777777778,986.0,458.86996530796
0,1622.0,783.75,892.5,523.9536119734265
0,1681.0,869.8421052631579,987.0,523.7332851906784
0,1749.0,964.1111111111111,1113.0,525.7604956303128
0,1750.0,965.1111111111111,1114.0,525.7604956303128
0,1801.0,898.1578947368421,1036.0,590.253314322971
0,1818.0,950.6111111111111,1088.5,586.4066790290476
0,1845.0,999.1764705882352,1151.0,596.4305822527604
0,1856.0,1010.1764705882352,1162.0,596.4305822527604
0,1872.0,998.1176470588235,1178.0,631.3347096199719
0,1929.0,948.2631578947369,1164.0,673.5579404690995
0,1934.0,941.2777777777778,999.0,690.0401603091709
0,1958.0,965.2777777777778,1023.0,690.0401603091709
0,2012.0,963.5263157894736,836.0,711.5599148809424
0,2022.0,1004.7777777777778,1087.0,718.2547177054759
0,2040.0,1022.7777777777778,1105.0,718.2547177054759
0,2045.0,1027.7777777777778,1110.0,718.2547177054759
0,2056.0,1038.7777777777778,1121.0,718.2547177054759
0,2108.0,1029.4736842105262,932.0,745.1155592764791
0,2160.0,1053.2631578947369,984.0,772.8935953255732
0,2165.0,1058.2631578947369,989.0,772.8935953255732
0,2214.0,1095.421052631579,1038.0,787.5981018788087
0,2248.0,1016.3157894736842,1041.0,784.0528347282658
0,2262.0,1059.611111111111,1070.5,795.3520631273848
0,2326.0,1042.2631578947369,1119.0,835.3254545136576
0,2345.0,1061.2631578947369,1138.0,835.3254545136576
0,2381.0,1082.1052631578948,1174.0,852.1353299204387
0,2391.0,1038.0,889.0,863.3933634213319
0,2432.0,1025.6190476190477,635.0,875.6078419992145
0,2455.0,1003.0,610.5,872.5368187073827
0,2457.0,1005.0,612.5,872.5368187073827
0,2542.0,1113.157894736842,745.0,889.1930264161696
0,2579.0,1143.3157894736842,782.0,897.2951197103189
0,2617.0,1233.8333333333333,1115.0,893.0087874396559
0,2620.0,1236.8333333333333,1118.0,893.0087874396559
0,2633.0,1299.3529411764705,1426.0,894.5585136010139
0,2655.0,1189.1176470588234,858.0,912.3037344033116
0,2657.0,1191.1176470588234,860.0,912.3037344033116
0,2682.0,1275.75,1180.0,907.6697843929807
0,2710.0,1294.25,1208.0,920.3501711305322
0,2778.0,1255.7058823529412,981.0,976.2721272452605
0,2794.0,1174.888888888889,861.5,1017.1765873615767
0,2837.0,1099.4,749.0,1028.3715476421935
0,2864.0,1074.0,756.0,1030.5842078761975
0,2895.0,1155.05,807.0,1030.8268271150107
0,3001.0,996.0434782608696,356.0,1010.838544638575
0,3004.0,1032.590909090909,584.5,1020.9578238591316
0,3019.0,981.2380952380952,374.0,997.562787366905
0,3025.0,1031.3,605.5,1002.056690013095
0,3026.0,1032.3,606.5,1002.056690013095
0,3044.0,1001.0952380952381,399.0,1002.3595450717132
0,3071.0,1028.095238095238,426.0,1002.3595450717132
0,3113.0,1055.6190476190477,468.0,1015.2294357711639
0,3149.0,1041.095238095238,442.0,1040.5849044218628
0,3164.0,1060.4,423.0,1066.0997326704476
0,3192.0,1036.6666666666667,417.0,1065.8203785653
0,3205.0,1080.65,455.0,1082.8723043369425
0,3218.0,1093.65,468.0,1082.8723043369425
0,3222.0,1097.65,472.0,1082.8723043369425
0,3250.0,1235.0,574.0,1087.4697441512774
0,3252.0,1237.0,576.0,1087.4697441512774
0,3255.0,1174.8947368421052,548.0,1093.9128655156774
0,3260.0,1231.764705882353,553.0,1136.5740331680872
0,3281.0,1291.3125,531.0,1160.722712297709
0,3290.0,1156.0,497.0,1132.5411545134536
0,3298.0,1125.0666666666666,485.0,1161.2443019833893
0,3356.0,1045.1764705882354,454.0,1154.3192664328756
0,3375.0,1064.1764705882354,473.0,1154.3192664328756
0,3378.0,1067.1764705882354,476.0,1154.3192664328756
0,3391.0,1045.1764705882354,430.0,1179.8679505024438
0,3407.0,1089.125,377.0,1210.708412201303
0,3415.0,1149.2,454.0,1232.9423993033902
0,3446.0,1032.9333333333334,317.0,1229.6014241298772
