,time,mean,median,sd
0,424.0,291.14285714285717,358.0,107.64283344392572
0,601.0,468.14285714285717,535.0,107.64283344392572
0,733.0,538.625,603.0,191.38896095386485
0,853.0,658.625,723.0,191.38896095386485
0,889.0,618.3333333333334,695.0,281.28830603334916
0,917.0,646.3333333333334,723.0,281.28830603334916
0,968.0,697.3333333333334,774.0,281.28830603334916
0,983.0,712.3333333333334,789.0,281.28830603334916
0,1074.0,803.3333333333334,880.0,281.28830603334916
0,1181.0,910.3333333333334,987.0,281.28830603334916
0,1201.0,1006.625,1071.0,191.38896095386485
0,1246.0,1051.625,1116.0,191.38896095386485
0,1256.0,1061.625,1126.0,191.38896095386485
0,1309.0,992.6666666666666,1115.0,389.29480402959973
0,1323.0,1006.6666666666666,1129.0,389.29480402959973
0,1397.0,1080.6666666666667,1203.0,389.29480402959973
0,1433.0,1080.875,1216.5,398.7039746165067
0,1447.0,1094.875,1230.5,398.7039746165067
0,1455.0,1102.875,1238.5,398.7039746165067
0,1466.0,1113.875,1249.5,398.7039746165067
0,1484.0,1170.857142857143,1290.0,411.7247445880833
0,1505.0,1191.857142857143,1311.0,411.7247445880833
0,1512.0,1198.857142857143,1318.0,411.7247445880833
0,1576.0,1106.625,1359.5,564.966356852335
0,1595.0,1125.625,1378.5,564.966356852335
0,1647.0,1177.625,1430.5,564.966356852335
0,1655.0,1128.0,1416.0,581.5668491239851
0,1732.0,1205.0,1493.0,581.5668491239851
0,1796.0,1221.0,1540.0,615.1926527519652
0,1833.0,1258.0,1577.0,615.1926527519652
0,1854.0,1279.0,1598.0,615.1926527519652
0,1856.0,1281.0,1600.0,615.1926527519652
0,1931.0,1356.0,1675.0,615.1926527519652
0,1971.0,1396.0,1715.0,615.1926527519652
0,2017.0,1442.0,1761.0,615.1926527519652
0,2021.0,1446.0,1765.0,615.1926527519652
0,2046.0,1668.6,1852.0,468.91346749693594
0,2064.0,1640.75,1881.0,514.1387823341087
0,2088.0,1664.75,1905.0,514.1387823341087
0,2116.0,1356.6,1798.0,814.5294592585341
0,2120.0,1360.6,1802.0,814.5294592585341
0,2167.0,1407.6,1849.0,814.5294592585341
0,2174.0,1414.6,1856.0,814.5294592585341
0,2179.0,1419.6,1861.0,814.5294592585341
0,2184.0,1424.6,1866.0,814.5294592585341
0,2256.0,1496.6,1938.0,814.5294592585341
0,2268.0,1508.6,1950.0,814.5294592585341
0,2288.0,1528.6,1970.0,814.5294592585341
0,2339.0,1579.6,2021.0,814.5294592585341
0,2353.0,1593.6,2035.0,814.5294592585341
0,2388.0,1450.75,1583.0,819.2494659748031
0,2423.0,1190.0,1131.0,941.704836984498
0,2463.0,1230.0,1171.0,941.704836984498
0,2531.0,1085.0,833.0,982.7775265372456
0,2540.0,1094.0,842.0,982.7775265372456
0,2566.0,1120.0,868.0,982.7775265372456
0,2590.0,980.7142857142857,486.0,993.9045246308282
0,2611.0,1001.7142857142857,507.0,993.9045246308282
0,2653.0,914.5,393.0,990.5754640611689
0,2678.0,939.5,418.0,990.5754640611689
0,2684.0,945.5,424.0,990.5754640611689
0,2687.0,948.5,427.0,990.5754640611689
0,2699.0,960.5,439.0,990.5754640611689
0,2709.0,863.5555555555555,293.0,981.68733550523
0,2774.0,928.5555555555555,358.0,981.68733550523
0,2807.0,961.5555555555555,391.0,981.68733550523
0,2814.0,1061.5,554.0,1003.207730233375
0,2827.0,1074.5,567.0,1003.207730233375
0,2828.0,1075.5,568.0,1003.207730233375
0,2846.0,1093.5,586.0,1003.207730233375
0,2883.0,1130.5,623.0,1003.207730233375
0,2908.0,1291.0,804.0,1001.6580539998953
0,2946.0,1329.0,842.0,1001.6580539998953
0,2971.0,1503.0,1273.0,1007.5374269309635
0,3001.0,1533.0,1303.0,1007.5374269309635
0,3020.0,1552.0,1322.0,1007.5374269309635
0,3023.0,1555.0,1325.0,1007.5374269309635
0,3027.0,1559.0,1329.0,1007.5374269309635
0,3055.0,1587.0,1357.0,1007.5374269309635
0,3056.0,1588.0,1358.0,1007.5374269309635
0,3060.0,1592.0,1362.0,1007.5374269309635
0,3077.0,1609.0,1379.0,1007.5374269309635
0,3082.0,1614.0,1384.0,1007.5374269309635
0,3111.0,1643.0,1413.0,1007.5374269309635
0,3159.0,1450.4285714285713,1055.0,1103.3406231133906
0,3187.0,1478.4285714285713,1083.0,1103.3406231133906
0,3213.0,1504.4285714285713,1109.0,1103.3406231133906
0,3214.0,1505.4285714285713,1110.0,1103.3406231133906
0,3249.0,1540.4285714285713,1145.0,1103.3406231133906
0,3255.0,1546.4285714285713,1151.0,1103.3406231133906
0,3258.0,1549.4285714285713,1154.0,1103.3406231133906
0,3261.0,1456.7142857142858,1157.0,1003.0617007493628
0,3284.0,1479.7142857142858,1180.0,1003.0617007493628
0,3285.0,1480.7142857142858,1181.0,1003.0617007493628
0,3311.0,1506.7142857142858,1207.0,1003.0617007493628
0,3321.0,1516.7142857142858,1217.0,1003.0617007493628
0,3326.0,1521.7142857142858,1222.0,1003.0617007493628
0,3374.0,1569.7142857142858,1270.0,1003.0617007493628
0,3375.0,1570.7142857142858,1271.0,1003.0617007493628
0,3377.0,1572.7142857142858,1273.0,1003.0617007493628
0,3389.0,1584.7142857142858,1285.0,1003.0617007493628
0,3390.0,1585.7142857142858,1286.0,1003.0617007493628
0,3397.0,1592.7142857142858,1293.0,1003.0617007493628
0,3411.0,1606.7142857142858,1307.0,1003.0617007493628
0,3449.0,1644.7142857142858,1345.0,1003.0617007493628
0,3486.0,1681.7142857142858,1382.0,1003.0617007493628
0,3568.0,1763.7142857142858,1464.0,1003.0617007493628
0,3581.0,1776.7142857142858,1477.0,1003.0617007493628
0,3589.0,1784.7142857142858,1485.0,1003.0617007493628
0,3595.0,1790.7142857142858,1491.0,1003.0617007493628
0,3605.0,1715.3333333333333,1345.0,1059.6189042397377
0,3620.0,1982.8,1516.0,982.300442838137
0,3630.0,1992.8,1526.0,982.300442838137
0,3649.0,2011.8,1545.0,982.300442838137
0,3658.0,2020.8,1554.0,982.300442838137
0,3660.0,2022.8,1556.0,982.300442838137
0,3674.0,2036.8,1570.0,982.300442838137
0,3694.0,2056.8,1590.0,982.300442838137
0,3697.0,2059.8,1593.0,982.300442838137
0,3759.0,1522.0,1343.0,1260.4452727961996
0,3762.0,1525.0,1346.0,1260.4452727961996
0,3774.0,1537.0,1358.0,1260.4452727961996
0,3781.0,1177.0,1251.5,954.2988700262268
0,3804.0,1200.0,1274.5,954.2988700262268
0,3808.0,1204.0,1278.5,954.2988700262268
0,3829.0,1225.0,1299.5,954.2988700262268
0,3831.0,1227.0,1301.5,954.2988700262268
0,3859.0,1077.142857142857,1216.0,985.0823647320677
0,3864.0,1082.142857142857,1221.0,985.0823647320677
0,3870.0,1088.142857142857,1227.0,985.0823647320677
0,3882.0,1100.142857142857,1239.0,985.0823647320677
0,3896.0,1114.142857142857,1253.0,985.0823647320677
0,3910.0,1128.142857142857,1267.0,985.0823647320677
0,3911.0,1129.142857142857,1268.0,985.0823647320677
0,3915.0,1133.142857142857,1272.0,985.0823647320677
0,3927.0,1145.142857142857,1284.0,985.0823647320677
0,3934.0,1152.142857142857,1291.0,985.0823647320677
0,3961.0,1179.142857142857,1318.0,985.0823647320677
0,3980.0,1198.142857142857,1337.0,985.0823647320677
0,3982.0,1200.142857142857,1339.0,985.0823647320677
0,3986.0,1204.142857142857,1343.0,985.0823647320677
0,4021.0,1239.142857142857,1378.0,985.0823647320677
0,4029.0,1134.1666666666667,848.5,1021.1626407624248
0,4038.0,1143.1666666666667,857.5,1021.1626407624248
0,4078.0,1355.2,1435.0,1036.2214821166372
0,4082.0,1359.2,1439.0,1036.2214821166372
0,4136.0,1338.8,1493.0,1115.3394819515715
0,4150.0,1128.5,904.0,1134.9908589940273
0,4155.0,1133.5,909.0,1134.9908589940273
0,4174.0,1152.5,928.0,1134.9908589940273
0,4183.0,1085.8,334.0,1229.415373256736
0,4201.0,1103.8,352.0,1229.415373256736
0,4221.0,1123.8,372.0,1229.415373256736
0,4223.0,1125.8,374.0,1229.415373256736
0,4229.0,1131.8,380.0,1229.415373256736
0,4251.0,1153.8,402.0,1229.415373256736
0,4254.0,1156.8,405.0,1229.415373256736
0,4257.0,1159.8,408.0,1229.415373256736
0,4270.0,1172.8,421.0,1229.415373256736
0,4275.0,1365.75,1022.0,1308.702291394036
0,4281.0,1371.75,1028.0,1308.702291394036
0,4333.0,1423.75,1080.0,1308.702291394036
0,4337.0,1427.75,1084.0,1308.702291394036
0,4348.0,1438.75,1095.0,1308.702291394036
0,4360.0,1450.75,1107.0,1308.702291394036
0,4369.0,1459.75,1116.0,1308.702291394036
0,4385.0,1475.75,1132.0,1308.702291394036
0,4387.0,1477.75,1134.0,1308.702291394036
0,4417.0,1507.75,1164.0,1308.702291394036
0,4422.0,1512.75,1169.0,1308.702291394036
0,4444.0,1534.75,1191.0,1308.702291394036
0,4459.0,1549.75,1206.0,1308.702291394036
0,4486.0,1576.75,1233.0,1308.702291394036
0,4487.0,1577.75,1234.0,1308.702291394036
0,4491.0,1581.75,1238.0,1308.702291394036
0,4501.0,1591.75,1248.0,1308.702291394036
0,4512.0,1602.75,1259.0,1308.702291394036
0,4523.0,1613.75,1270.0,1308.702291394036
0,4525.0,1615.75,1272.0,1308.702291394036
0,4547.0,1637.75,1294.0,1308.702291394036
0,4550.0,1640.75,1297.0,1308.702291394036
0,4577.0,1667.75,1324.0,1308.702291394036
0,4582.0,1672.75,1329.0,1308.702291394036
0,4608.0,1698.75,1355.0,1308.702291394036
0,4616.0,1542.3333333333333,526.0,1474.9477580202254
0,4626.0,1552.3333333333333,536.0,1474.9477580202254
0,4633.0,2067.5,2067.5,1577.5
0,4635.0,2069.5,2069.5,1577.5
0,4636.0,2070.5,2070.5,1577.5
0,4647.0,2081.5,2081.5,1577.5
0,4650.0,2084.5,2084.5,1577.5
0,4682.0,1412.6666666666667,539.0,1627.810458526695
0,4728.0,318.0,318.0,267.0
0,4733.0,323.0,323.0,267.0
0,4744.0,80.0,80.0,13.0
0,4751.0,87.0,87.0,13.0
0,4766.0,102.0,102.0,13.0
0,4773.0,73.33333333333333,96.0,51.545018080207214
0,4779.0,79.33333333333333,102.0,51.545018080207214
0,4801.0,101.33333333333333,124.0,51.545018080207214
0,4816.0,116.33333333333333,139.0,51.545018080207214
0,4822.0,122.33333333333333,145.0,51.545018080207214
0,4830.0,130.33333333333334,153.0,51.54501808020722
0,4839.0,139.33333333333334,162.0,51.54501808020722
0,4844.0,144.33333333333334,167.0,51.54501808020722
0,4850.0,186.0,186.0,13.0
0,4865.0,201.0,201.0,13.0
0,4888.0,224.0,224.0,13.0
0,4909.0,245.0,245.0,13.0
0,4911.0,247.0,247.0,13.0
0,4932.0,255.0,255.0,0.0
0,4963.0,286.0,286.0,0.0
0,4968.0,291.0,291.0,0.0
0,4974.0,297.0,297.0,0.0
0,4989.0,312.0,312.0,0.0
0,5004.0,327.0,327.0,0.0
0,5006.0,329.0,329.0,0.0
0,5008.0,331.0,331.0,0.0
0,5051.0,137.66666666666666,34.0,167.53175486721582
0,5061.0,147.66666666666666,44.0,167.53175486721582
0,5072.0,158.66666666666666,55.0,167.53175486721582
0,5075.0,161.66666666666666,58.0,167.53175486721582
0,5076.0,162.66666666666666,59.0,167.53175486721582
0,5097.0,250.0,250.0,170.0
0,5111.0,82.33333333333333,94.0,51.69354139756941
0,5115.0,86.33333333333333,98.0,51.69354139756941
0,5122.0,71.75,65.0,58.3239873465455
0,5154.0,103.75,97.0,58.3239873465455
0,5163.0,112.75,106.0,58.3239873465455
0,5165.0,114.75,108.0,58.3239873465455
0,5184.0,133.75,127.0,58.3239873465455
0,5207.0,156.75,150.0,58.3239873465455
0,5231.0,149.4,134.0,81.56371742386439
0,5266.0,184.4,169.0,81.56371742386439
0,5279.0,201.25,213.0,90.78374028426015
0,5302.0,236.66666666666666,285.0,101.84410744968126
0,5340.0,274.6666666666667,323.0,101.84410744968126
0,5350.0,260.5,260.5,117.5
0,5359.0,138.25,80.5,155.3437720026136
0,5391.0,170.25,112.5,155.3437720026136
0,5400.0,179.25,121.5,155.3437720026136
0,5401.0,180.25,122.5,155.3437720026136
0,5402.0,181.25,123.5,155.3437720026136
0,5422.0,245.66666666666666,215.0,155.83395721800247
0,5443.0,203.25,164.5,174.00628580600184
0,5457.0,217.25,178.5,174.00628580600184
0,5516.0,276.25,237.5,174.00628580600184
0,5531.0,235.4,181.0,191.57097901300187
0,5550.0,212.5,160.0,198.3958584917202
0,5571.0,233.5,181.0,198.3958584917202
0,5579.0,260.0,229.0,212.55493407587602
0,5580.0,261.0,230.0,212.55493407587602
0,5587.0,115.0,68.0,87.02107024546795
0,5593.0,121.0,74.0,87.02107024546795
0,5611.0,139.0,92.0,87.02107024546795
0,5621.0,149.0,102.0,87.02107024546795
0,5634.0,162.0,115.0,87.02107024546795
0,5649.0,177.0,130.0,87.02107024546795
0,5652.0,180.0,133.0,87.02107024546795
0,5659.0,187.0,140.0,87.02107024546795
0,5666.0,194.0,147.0,87.02107024546795
0,5669.0,197.0,150.0,87.02107024546795
0,5674.0,202.0,155.0,87.02107024546795
0,5684.0,212.0,165.0,87.02107024546795
0,5689.0,217.0,170.0,87.02107024546795
0,5694.0,222.0,175.0,87.02107024546795
0,5716.0,244.0,197.0,87.02107024546795
0,5722.0,250.0,203.0,87.02107024546795
0,5733.0,261.0,214.0,87.02107024546795
0,5734.0,262.0,215.0,87.02107024546795
0,5735.0,263.0,216.0,87.02107024546795
0,5750.0,231.0,231.0,0.0
0,5753.0,234.0,234.0,0.0
0,5769.0,250.0,250.0,0.0
0,5773.0,254.0,254.0,0.0
0,5776.0,257.0,257.0,0.0
0,5780.0,261.0,261.0,0.0
0,5788.0,269.0,269.0,0.0
0,5804.0,285.0,285.0,0.0
0,5834.0,315.0,315.0,0.0
0,5842.0,323.0,323.0,0.0
0,5865.0,180.5,180.5,165.5
0,5870.0,185.5,185.5,165.5
0,5879.0,194.5,194.5,165.5
0,5882.0,197.5,197.5,165.5
0,5927.0,242.5,242.5,165.5
0,5934.0,415.0,415.0,0.0
0,5938.0,419.0,419.0,0.0
0,5958.0,439.0,439.0,0.0
0,5997.0,246.5,246.5,231.5
0,6001.0,250.5,250.5,231.5
0,6024.0,32.0,32.0,10.0
0,6039.0,47.0,47.0,10.0
0,6059.0,67.0,67.0,10.0
0,6069.0,77.0,77.0,10.0
0,6075.0,83.0,83.0,10.0
0,6076.0,84.0,84.0,10.0
0,6086.0,84.0,84.0,0.0
0,6091.0,89.0,89.0,0.0
0,6107.0,105.0,105.0,0.0
0,6117.0,115.0,115.0,0.0
0,6133.0,131.0,131.0,0.0
0,6144.0,142.0,142.0,0.0
0,6150.0,148.0,148.0,0.0
0,6174.0,172.0,172.0,0.0
0,6177.0,175.0,175.0,0.0
0,6178.0,176.0,176.0,0.0
0,6186.0,184.0,184.0,0.0
0,6202.0,200.0,200.0,0.0
0,6203.0,201.0,201.0,0.0
0,6220.0,12.0,12.0,0.0
0,6222.0,14.0,14.0,0.0
0,6230.0,22.0,22.0,0.0
0,6244.0,3.0,3.0,0.0
0,6264.0,23.0,23.0,0.0
0,6293.0,52.0,52.0,0.0
0,6308.0,67.0,67.0,0.0
0,6315.0,74.0,74.0,0.0
0,6318.0,77.0,77.0,0.0
0,6331.0,90.0,90.0,0.0
0,6344.0,103.0,103.0,0.0
0,6364.0,123.0,123.0,0.0
0,6375.0,134.0,134.0,0.0
0,6385.0,144.0,144.0,0.0
0,6389.0,148.0,148.0,0.0
0,6390.0,149.0,149.0,0.0
0,6438.0,197.0,197.0,0.0
0,6465.0,224.0,224.0,0.0
0,6476.0,235.0,235.0,0.0
0,6480.0,239.0,239.0,0.0
0,6490.0,249.0,249.0,0.0
0,6514.0,94.0,8.0,126.60437064598783
0,6517.0,97.0,11.0,126.60437064598783
