,time,mean,median,sd
0,611.0,301.0,303.0,174.74010776910347
0,808.0,435.27272727272725,454.5,224.7131872608406
0,884.0,443.125,472.0,267.26661353100826
0,957.0,526.0869565217391,558.0,268.6175417632124
0,964.0,552.9545454545455,584.5,257.5977267814591
0,980.0,551.9545454545455,600.5,280.74195160045065
0,1079.0,623.7272727272727,699.5,306.94953417284347
0,1173.0,712.5714285714286,774.0,313.24075199035485
0,1201.0,708.047619047619,802.0,349.90739947679975
0,1239.0,701.7727272727273,797.5,390.5044443721225
0,1257.0,703.5714285714286,773.0,392.40377303032574
0,1273.0,717.6190476190476,789.0,395.83720513681067
0,1274.0,718.6190476190476,790.0,395.83720513681067
0,1344.0,749.35,827.5,412.32150986820955
0,1391.0,681.9545454545455,683.5,470.5132089028597
0,1411.0,674.6190476190476,633.0,464.2043347482798
0,1482.0,683.0909090909091,661.0,497.3708977386548
0,1484.0,685.0909090909091,663.0,497.3708977386548
0,1512.0,677.3809523809524,652.0,514.7405704578603
0,1543.0,727.3,722.0,520.2780122203898
0,1556.0,767.1578947368421,774.0,520.1048743594026
0,1559.0,770.1578947368421,777.0,520.1048743594026
0,1577.0,808.1111111111111,867.5,531.9334637683019
0,1616.0,729.3333333333334,756.0,570.766596724535
0,1676.0,719.9545454545455,612.0,598.7220084383317
0,1679.0,722.9545454545455,615.0,598.7220084383317
0,1699.0,731.9,635.0,591.3881889250072
0,1717.0,737.55,653.0,604.0380348123783
0,1737.0,781.1578947368421,877.0,610.6705773300532
0,1757.0,801.1578947368421,897.0,610.6705773300532
0,1766.0,844.3888888888889,945.0,609.4036373454597
0,1771.0,841.5,950.0,619.2841970102795
0,1801.0,864.2222222222222,980.0,628.5964573339875
0,1806.0,907.5294117647059,1024.0,626.0692611230673
0,1807.0,908.5294117647059,1025.0,626.0692611230673
0,1828.0,900.6875,1007.0,640.4113637684375
0,1846.0,964.0,1064.0,636.0950662702339
0,1860.0,974.5333333333333,1078.0,641.1935606524929
0,1911.0,815.1578947368421,643.0,700.4117783702516
0,1918.0,781.1,591.5,705.7457686731108
0,1948.0,759.3157894736842,563.0,686.0463428133224
0,1962.0,773.3157894736842,577.0,686.0463428133224
0,1974.0,814.2222222222222,647.5,693.4920936467965
0,1984.0,867.3529411764706,716.0,689.7366881368118
0,1988.0,871.3529411764706,720.0,689.7366881368118
0,2018.0,857.8235294117648,633.0,720.5763408382061
0,2030.0,859.5294117647059,645.0,731.5103728625701
