,time,mean,median,sd
0,611.0,222.25,157.0,176.6215940931346
0,808.0,313.0,279.0,212.2066602787638
0,884.0,334.42857142857144,335.0,237.62747384620872
0,957.0,407.42857142857144,408.0,237.62747384620872
0,964.0,414.42857142857144,415.0,237.62747384620872
0,980.0,430.42857142857144,431.0,237.62747384620872
0,1079.0,529.4285714285714,530.0,237.62747384620872
0,1173.0,623.4285714285714,624.0,237.62747384620872
0,1201.0,644.6666666666666,608.0,256.0427481669592
0,1239.0,682.6666666666666,646.0,256.0427481669592
0,1257.0,700.6666666666666,664.0,256.0427481669592
0,1273.0,716.6666666666666,680.0,256.0427481669592
0,1274.0,717.6666666666666,681.0,256.0427481669592
0,1344.0,787.6666666666666,751.0,256.0427481669592
0,1391.0,803.2,754.0,269.68233164224904
0,1411.0,823.2,774.0,269.68233164224904
0,1482.0,757.4,845.0,446.79328553594
0,1484.0,759.4,847.0,446.79328553594
0,1512.0,787.4,875.0,446.79328553594
0,1543.0,818.4,906.0,446.79328553594
0,1556.0,831.4,919.0,446.79328553594
0,1559.0,834.4,922.0,446.79328553594
0,1577.0,852.4,940.0,446.79328553594
0,1616.0,748.0,859.0,518.8172446375827
0,1676.0,676.5,626.5,598.3306638751965
0,1679.0,679.5,629.5,598.3306638751965
0,1699.0,699.5,649.5,598.3306638751965
0,1717.0,810.0,1080.0,615.0300805651704
0,1737.0,830.0,1100.0,615.0300805651704
0,1757.0,850.0,1120.0,615.0300805651704
0,1766.0,859.0,1129.0,615.0300805651704
0,1771.0,864.0,1134.0,615.0300805651704
0,1801.0,1083.75,1208.0,541.1119916431348
0,1806.0,1088.75,1213.0,541.1119916431348
0,1807.0,1089.75,1214.0,541.1119916431348
0,1828.0,891.6,1191.0,652.9537809064283
0,1846.0,909.6,1209.0,652.9537809064283
0,1860.0,923.6,1223.0,652.9537809064283
0,1911.0,974.6,1274.0,652.9537809064283
0,1918.0,981.6,1281.0,652.9537809064283
0,1948.0,1011.6,1311.0,652.9537809064283
0,1962.0,1025.6,1325.0,652.9537809064283
0,1974.0,1037.6,1337.0,652.9537809064283
0,1984.0,1047.6,1347.0,652.9537809064283
0,1988.0,1051.6,1351.0,652.9537809064283
0,2018.0,1081.6,1381.0,652.9537809064283
0,2030.0,1093.6,1393.0,652.9537809064283
0,2063.0,807.5714285714286,478.0,747.6608966145886
0,2101.0,845.5714285714286,516.0,747.6608966145886
0,2107.0,851.5714285714286,522.0,747.6608966145886
0,2108.0,852.5714285714286,523.0,747.6608966145886
0,2166.0,802.375,467.0,755.6900716398225
0,2171.0,807.375,472.0,755.6900716398225
0,2211.0,847.375,512.0,755.6900716398225
0,2215.0,851.375,516.0,755.6900716398225
0,2258.0,894.375,559.0,755.6900716398225
0,2260.0,896.375,561.0,755.6900716398225
0,2288.0,924.375,589.0,755.6900716398225
0,2318.0,954.375,619.0,755.6900716398225
0,2355.0,882.8888888888889,542.0,775.7379919140002
0,2377.0,904.8888888888889,564.0,775.7379919140002
0,2382.0,909.8888888888889,569.0,775.7379919140002
0,2384.0,911.8888888888889,571.0,775.7379919140002
0,2408.0,935.8888888888889,595.0,775.7379919140002
0,2416.0,850.2,486.5,787.7759579982117
0,2418.0,852.2,488.5,787.7759579982117
0,2431.0,892.6666666666666,385.0,825.8337201479081
0,2446.0,907.6666666666666,400.0,825.8337201479081
0,2451.0,912.6666666666666,405.0,825.8337201479081
0,2470.0,931.6666666666666,424.0,825.8337201479081
0,2477.0,938.6666666666666,431.0,825.8337201479081
0,2478.0,939.6666666666666,432.0,825.8337201479081
0,2490.0,1060.5,674.5,812.8033279951553
0,2494.0,1064.5,678.5,812.8033279951553
0,2508.0,1058.625,692.5,836.4249723525714
0,2539.0,896.5714285714286,493.0,708.0911678878762
0,2561.0,918.5714285714286,515.0,708.0911678878762
0,2573.0,930.5714285714286,527.0,708.0911678878762
0,2575.0,932.5714285714286,529.0,708.0911678878762
0,2586.0,943.5714285714286,540.0,708.0911678878762
0,2599.0,956.5714285714286,553.0,708.0911678878762
0,2607.0,955.0,554.0,764.4065236072579
0,2613.0,953.0,536.0,768.7270863793817
