,time,mean,median,sd
0,611.0,322.0,334.0,168.1162296349364
0,808.0,481.125,515.5,211.74568324997796
0,884.0,487.88235294117646,537.0,265.94202870129004
0,957.0,578.0,629.5,264.8853525584229
0,964.0,617.6,656.0,240.49471234658498
0,980.0,608.6666666666666,672.0,281.3137433937813
0,1079.0,667.7333333333333,771.0,325.1907064409369
0,1173.0,757.1428571428571,880.5,336.13450903360894
0,1201.0,733.4,893.0,378.0694468833294
0,1239.0,708.9375,905.0,430.0074808578916
0,1257.0,704.7333333333333,897.0,435.13805727480195
0,1273.0,718.0,913.0,439.4749898079146
0,1274.0,719.0,914.0,439.4749898079146
0,1344.0,732.9285714285714,922.0,462.466132240392
0,1391.0,646.2941176470588,609.0,509.4204047630281
0,1411.0,628.1875,590.0,501.0414427407677
0,1482.0,661.2352941176471,622.0,509.23593623616676
0,1484.0,663.2352941176471,624.0,509.23593623616676
0,1512.0,643.0,475.5,529.5375340804464
0,1543.0,696.9333333333333,683.0,539.1558175106298
0,1556.0,744.2142857142857,735.0,542.0560301259625
0,1559.0,747.2142857142857,738.0,542.0560301259625
0,1577.0,791.0769230769231,795.0,560.3197523308196
0,1616.0,721.8666666666667,756.0,590.1022359633023
0,1676.0,736.25,612.0,598.0552336532137
0,1679.0,739.25,615.0,598.0552336532137
0,1699.0,745.7857142857143,635.0,587.841351115786
0,1717.0,713.4,449.0,598.3831325608479
0,1737.0,763.7142857142857,673.0,608.1561628129299
0,1757.0,783.7142857142857,693.0,608.1561628129299
0,1766.0,838.7692307692307,906.0,607.1321176515238
0,1771.0,832.8461538461538,911.0,620.6954965265045
0,1801.0,801.5,737.0,637.7050090531111
0,1806.0,851.7692307692307,946.0,639.7339776267769
0,1807.0,852.7692307692307,947.0,639.7339776267769
0,1828.0,904.8181818181819,968.0,634.585307422646
0,1846.0,991.2,1025.0,625.7248276998444
0,1860.0,1000.0,1039.0,633.6985087563328
0,1911.0,758.2142857142857,584.5,707.9501776831705
0,1918.0,714.2666666666667,533.0,710.013940395226
0,1948.0,669.2142857142857,401.0,675.0077437197538
0,1962.0,683.2142857142857,415.0,675.0077437197538
0,1974.0,728.3076923076923,589.0,689.4576892931456
0,1984.0,792.25,657.5,690.7514175398653
0,1988.0,796.25,661.5,690.7514175398653
0,2018.0,764.5833333333334,401.0,726.8921811765177
0,2030.0,762.0,404.0,740.3261668571046
0,2063.0,735.7692307692307,196.0,740.2850962086426
0,2101.0,761.5384615384615,234.0,751.1616250729588
0,2107.0,765.4615384615385,240.0,753.2297244210954
0,2108.0,766.4615384615385,241.0,753.2297244210954
0,2166.0,754.75,276.5,783.7968619695624
0,2171.0,759.75,281.5,783.7968619695624
0,2211.0,774.0,257.0,803.5672550156169
0,2215.0,778.0,261.0,803.5672550156169
0,2258.0,624.125,227.0,774.9772476498907
0,2260.0,626.125,229.0,774.9772476498907
0,2288.0,594.5294117647059,185.0,780.5372295938271
0,2318.0,646.0625,172.5,799.6457394332506
0,2355.0,644.7058823529412,167.0,790.7966024433756
0,2377.0,613.5625,174.0,785.1321519933762
0,2382.0,618.5625,179.0,785.1321519933762
0,2384.0,620.5625,181.0,785.1321519933762
0,2408.0,690.9285714285714,205.0,831.1261262618941
0,2416.0,737.4615384615385,228.0,850.3645024236656
0,2418.0,739.4615384615385,230.0,850.3645024236656
0,2431.0,752.4615384615385,243.0,850.3645024236656
0,2446.0,821.25,348.0,863.5787094990242
0,2451.0,885.0909090909091,443.0,878.6456990521322
0,2470.0,829.5,372.0,876.8610209149452
0,2477.0,836.5,379.0,876.8610209149452
0,2478.0,837.5,380.0,876.8610209149452
0,2490.0,824.9166666666666,376.0,895.7967085536515
0,2494.0,879.3636363636364,486.0,919.1643707715544
0,2508.0,893.3636363636364,500.0,919.1643707715544
0,2539.0,730.4285714285714,267.5,895.3988508149964
0,2561.0,752.4285714285714,289.5,895.3988508149964
0,2573.0,799.5384615384615,295.0,919.866011596222
0,2575.0,801.5384615384615,297.0,919.866011596222
0,2586.0,871.6666666666666,443.0,933.3897304389463
0,2599.0,817.4615384615385,321.0,926.4977575118875
0,2607.0,825.4615384615385,329.0,926.4977575118875
0,2613.0,831.4615384615385,335.0,926.4977575118875
0,2647.0,805.2857142857143,314.5,918.781058061746
0,2668.0,771.4666666666667,281.0,911.0176629584205
0,2681.0,784.4666666666667,294.0,911.0176629584205
0,2683.0,786.4666666666667,296.0,911.0176629584205
0,2699.0,959.9166666666666,556.0,954.0920167305086
0,2701.0,961.9166666666666,558.0,954.0920167305086
0,2703.0,1119.2,749.0,973.4815663380587
0,2715.0,1131.2,761.0,973.4815663380587
0,2735.0,1248.6666666666667,835.0,978.7569213605138
0,2770.0,1230.0,870.0,1032.4622134597578
0,2809.0,1252.6666666666667,909.0,1050.487082791174
0,2821.0,1138.5,867.0,1066.0361391622707
0,2841.0,1158.5,887.0,1066.0361391622707
0,2857.0,988.5555555555555,849.0,957.5750752245789
