,time,mean,median,sd
0,357.0,197.1,224.0,94.8234675594602
0,584.0,338.15384615384613,337.0,147.07394589841593
0,615.0,390.5,396.0,132.3244119578848
0,726.0,355.4375,375.5,224.95054143911278
0,901.0,430.6190476190476,471.0,266.24093567230494
0,907.0,451.45,491.0,264.21458608487154
0,923.0,483.0,521.0,262.00662908447663
0,968.0,511.3157894736842,566.0,283.66382115966616
0,984.0,526.2105263157895,582.0,285.6605602435701
0,1032.0,489.4761904761905,402.0,325.2632075642914
0,1188.0,607.0454545454545,549.0,350.46092730894827
0,1201.0,610.8181818181819,562.0,363.588383198218
0,1216.0,625.5,577.0,364.12020367904984
0,1229.0,657.1428571428571,599.0,362.2855077361586
0,1264.0,634.6190476190476,616.0,371.43960301078187
0,1350.0,687.1904761904761,663.0,400.4474424877893
0,1352.0,689.1904761904761,665.0,400.4474424877893
0,1359.0,676.45,664.0,414.5559642557323
0,1419.0,673.5454545454545,656.0,442.5180763922354
0,1451.0,648.2916666666666,610.5,464.30256650581725
0,1507.0,647.5,581.0,486.40440993066665
0,1524.0,685.68,666.0,484.1378084801889
0,1557.0,736.375,716.5,486.13559601034495
0,1560.0,739.375,719.5,486.13559601034495
0,1565.0,770.3913043478261,742.0,479.95685848974193
0,1578.0,786.7142857142857,755.0,461.8913645577943
0,1632.0,763.1304347826087,774.0,506.3394036438599
0,1694.0,815.8260869565217,836.0,518.9440492731296
0,1734.0,821.0416666666666,808.0,534.7064209425787
0,1741.0,828.0416666666666,815.0,534.7064209425787
0,1788.0,843.875,838.5,559.7355262755796
0,1798.0,882.8260869565217,940.0,553.9041395776076
0,1801.0,885.8260869565217,943.0,553.9041395776076
0,1817.0,939.4090909090909,976.5,536.9065145552817
0,1857.0,973.7727272727273,1016.5,546.2170673923911
0,1859.0,975.7727272727273,1018.5,546.2170673923911
0,1879.0,1067.6,1116.0,520.9766213564674
0,1912.0,959.2608695652174,1054.0,607.6235403024463
0,1932.0,979.2608695652174,1074.0,607.6235403024463
0,1973.0,1053.090909090909,1132.5,600.9981779650878
0,2027.0,939.4615384615385,958.0,678.4034555636565
0,2035.0,884.8076923076923,911.5,687.3613437369789
0,2064.0,907.0769230769231,940.5,695.2956163264947
0,2065.0,908.0769230769231,941.5,695.2956163264947
0,2087.0,831.9655172413793,885.0,709.4921682034086
0,2101.0,866.75,925.0,713.3225890657246
0,2116.0,910.8518518518518,966.0,709.9020643828901
0,2146.0,940.8518518518518,996.0,709.9020643828901
0,2157.0,978.7692307692307,1033.5,709.7755499881259
0,2205.0,1022.6923076923077,1081.5,715.1415550693318
0,2222.0,1030.923076923077,1098.5,726.1577982291411
0,2244.0,1008.2222222222222,1094.0,746.9438143049281
0,2271.0,954.7037037037037,1069.0,735.4244838647705
0,2313.0,952.3571428571429,1032.0,754.5590109596519
0,2324.0,989.4814814814815,1122.0,755.8685154311081
0,2351.0,1016.4814814814815,1149.0,755.8685154311081
0,2358.0,1058.9615384615386,1182.0,747.8791284882888
0,2362.0,1062.9615384615386,1186.0,747.8791284882888
0,2385.0,1080.8846153846155,1209.0,754.6869614371999
0,2408.0,1100.576923076923,1232.0,759.2150386103209
0,2447.0,1097.6666666666667,1245.0,775.0659709078055
0,2456.0,992.6428571428571,1033.5,786.607917139233
0,2508.0,998.6896551724138,1023.0,806.1305235056337
0,2511.0,1001.6896551724138,1026.0,806.1305235056337
0,2513.0,1003.6896551724138,1028.0,806.1305235056337
0,2532.0,956.9642857142857,569.5,792.6817719498995
0,2602.0,1016.1428571428571,639.5,804.1219574473636
0,2607.0,1052.7407407407406,708.0,801.6263372896927
0,2608.0,1016.1428571428571,645.5,811.0621657645571
0,2645.0,1060.5185185185185,746.0,831.2909358506412
0,2657.0,1072.5185185185185,758.0,831.2909358506412
0,2664.0,1077.851851851852,765.0,833.3978065594199
0,2681.0,1086.5555555555557,782.0,843.0350958527802
0,2690.0,1087.3333333333333,791.0,852.4667040310028
0,2708.0,1093.7777777777778,809.0,865.0155354346012
0,2729.0,1151.7692307692307,1037.0,860.281854872277
0,2743.0,1165.7692307692307,1051.0,860.281854872277
0,2770.0,1108.107142857143,807.5,883.404103425482
0,2807.0,1106.0689655172414,781.0,892.2801064392312
0,2809.0,1108.0689655172414,783.0,892.2801064392312
0,2817.0,1057.0,790.0,906.9248153456025
0,2819.0,1059.0,792.0,906.9248153456025
0,2869.0,1141.7142857142858,842.5,906.0085878315335
0,2872.0,1144.7142857142858,845.5,906.0085878315335
0,2893.0,1162.5,866.5,909.9384398330001
0,2909.0,1123.5555555555557,882.0,879.8438553951167
0,2915.0,1161.1538461538462,888.5,881.44259782157
0,2934.0,1171.6923076923076,907.5,891.4550236392174
0,2954.0,1097.107142857143,912.5,922.1363138807359
0,2957.0,1100.107142857143,915.5,922.1363138807359
0,2964.0,1178.7692307692307,937.5,917.9211591623052
0,2965.0,1179.7692307692307,938.5,917.9211591623052
0,2975.0,1189.7692307692307,948.5,917.9211591623052
0,2985.0,1218.0,959.0,931.4725116717079
0,3001.0,1227.0,975.0,939.9037397521089
0,3014.0,1152.84,987.0,948.6651118281941
0,3023.0,1151.48,996.0,959.7520146371145
0,3029.0,1202.5,1002.5,953.3278991686614
0,3056.0,1218.2083333333333,1029.5,965.9224856394476
0,3074.0,1236.2083333333333,1047.5,965.9224856394476
0,3111.0,1321.695652173913,1085.0,957.6780540445143
0,3131.0,1327.8636363636363,1104.5,976.9520456945554
0,3195.0,1318.7391304347825,1168.0,1011.298786855248
0,3204.0,1387.3636363636363,1177.5,993.7031084627818
0,3206.0,1389.3636363636363,1179.5,993.7031084627818
0,3207.0,1390.3636363636363,1180.5,993.7031084627818
0,3218.0,1457.75,1255.0,1021.9541513688371
0,3231.0,1389.857142857143,1204.0,1058.3862507526792
0,3243.0,1401.047619047619,1216.0,1059.4465525605463
0,3244.0,1402.047619047619,1217.0,1059.4465525605463
0,3283.0,1382.2857142857142,1256.0,1102.9847014807958
0,3286.0,1385.2857142857142,1259.0,1102.9847014807958
0,3289.0,1444.1,1326.0,1100.9014896892454
0,3293.0,1448.1,1330.0,1100.9014896892454
0,3301.0,1518.8947368421052,1402.0,1094.0334303915965
0,3313.0,1526.1052631578948,1414.0,1100.484816353652
0,3324.0,1619.0555555555557,1773.5,1072.7288397261664
0,3370.0,1577.8947368421052,1471.0,1107.6676726934816
0,3373.0,1580.8947368421052,1474.0,1107.6676726934816
0,3379.0,1446.1052631578948,1352.0,1130.0658059430757
0,3390.0,1448.7368421052631,1363.0,1140.1395963516816
0,3396.0,1523.611111111111,1433.0,1132.257191968959
0,3408.0,1465.8823529411766,1381.0,1126.898705315399
0,3412.0,1469.8823529411766,1385.0,1126.898705315399
0,3455.0,1602.625,1492.0,1101.0703244457186
0,3505.0,1556.4117647058824,1478.0,1135.4085586940544
0,3515.0,1566.4117647058824,1488.0,1135.4085586940544
0,3554.0,1501.611111111111,1437.5,1179.9365396725034
0,3558.0,1582.5882352941176,1531.0,1169.3967302856495
0,3564.0,1588.5882352941176,1537.0,1169.3967302856495
0,3568.0,1592.5882352941176,1541.0,1169.3967302856495
0,3574.0,1613.0,1611.0,1203.9210418461835
0,3582.0,1625.4,1683.0,1243.2797378975765
0,3585.0,1628.4,1686.0,1243.2797378975765
0,3601.0,1451.8235294117646,1146.0,1281.420500175448
0,3613.0,1450.9411764705883,1158.0,1294.7906699126052
0,3626.0,1531.5,1449.0,1306.209162041057
0,3635.0,1540.5,1458.0,1306.209162041057
0,3650.0,1648.4,1751.0,1296.8582446307178
0,3676.0,1671.2,1777.0,1300.8563435931987
0,3686.0,1794.2857142857142,2135.5,1273.2929428718855
0,3698.0,1625.0714285714287,1521.0,1333.9259705463267
0,3699.0,1626.0714285714287,1522.0,1333.9259705463267
0,3706.0,1633.0714285714287,1529.0,1333.9259705463267
0,3752.0,1470.5,1271.0,1364.354059619423
0,3754.0,1472.5,1273.0,1364.354059619423
0,3765.0,1458.0,1258.0,1405.4022437247872
0,3775.0,1468.0,1268.0,1405.4022437247872
0,3776.0,1469.0,1269.0,1405.4022437247872
0,3786.0,1462.0,1279.0,1421.5426362465062
0,3791.0,1467.0,1284.0,1421.5426362465062
0,3809.0,1471.8666666666666,1302.0,1434.115842213902
0,3837.0,1486.2666666666667,1330.0,1447.097115684439
0,3879.0,1342.1764705882354,229.0,1451.1716659831286
0,3883.0,1346.1764705882354,233.0,1451.1716659831286
0,3892.0,1527.0,1385.0,1461.3414385419992
0,3893.0,1528.0,1386.0,1461.3414385419992
0,3894.0,1529.0,1387.0,1461.3414385419992
0,3907.0,1285.6666666666667,238.5,1451.9414206120332
0,3911.0,1289.6666666666667,242.5,1451.9414206120332
0,3921.0,1438.9375,824.0,1481.947893346372
