,time,mean,median,sd
0,357.0,242.5,242.5,49.5
0,584.0,469.5,469.5,49.5
0,615.0,500.5,500.5,49.5
0,726.0,339.5,329.0,274.982272155861
0,901.0,420.2,271.0,309.93896173279023
0,907.0,426.2,277.0,309.93896173279023
0,923.0,442.2,293.0,309.93896173279023
0,968.0,487.2,338.0,309.93896173279023
0,984.0,503.2,354.0,309.93896173279023
0,1032.0,466.6666666666667,373.5,340.266398902716
0,1188.0,622.6666666666666,529.5,340.266398902716
0,1201.0,635.6666666666666,542.5,340.266398902716
0,1216.0,650.6666666666666,557.5,340.266398902716
0,1229.0,663.6666666666666,570.5,340.266398902716
0,1264.0,698.6666666666666,605.5,340.266398902716
0,1350.0,797.6,663.0,371.39445337807615
0,1352.0,799.6,665.0,371.39445337807615
0,1359.0,774.2,672.0,412.7466050738637
0,1419.0,705.0,646.5,474.7943414433945
0,1451.0,737.0,678.5,474.7943414433945
0,1507.0,793.0,734.5,474.7943414433945
0,1524.0,810.0,751.5,474.7943414433945
0,1557.0,843.0,784.5,474.7943414433945
0,1560.0,846.0,787.5,474.7943414433945
0,1565.0,851.0,792.5,474.7943414433945
0,1578.0,864.0,805.5,474.7943414433945
0,1632.0,918.0,859.5,474.7943414433945
0,1694.0,980.0,921.5,474.7943414433945
0,1734.0,1020.0,961.5,474.7943414433945
0,1741.0,1027.0,968.5,474.7943414433945
0,1788.0,1074.0,1015.5,474.7943414433945
0,1798.0,1084.0,1025.5,474.7943414433945
0,1801.0,1087.0,1028.5,474.7943414433945
0,1817.0,1103.0,1044.5,474.7943414433945
0,1857.0,1143.0,1084.5,474.7943414433945
0,1859.0,1145.0,1086.5,474.7943414433945
0,1879.0,1165.0,1106.5,474.7943414433945
0,1912.0,1028.7142857142858,1054.0,604.2940897764726
0,1932.0,1048.7142857142858,1074.0,604.2940897764726
0,1973.0,1089.7142857142858,1115.0,604.2940897764726
0,2027.0,1143.7142857142858,1169.0,604.2940897764726
0,2035.0,1151.7142857142858,1177.0,604.2940897764726
0,2064.0,1180.7142857142858,1206.0,604.2940897764726
0,2065.0,1181.7142857142858,1207.0,604.2940897764726
0,2087.0,1189.5714285714287,1229.0,585.8546521701332
0,2101.0,1203.5714285714287,1243.0,585.8546521701332
0,2116.0,1218.5714285714287,1258.0,585.8546521701332
0,2146.0,1248.5714285714287,1288.0,585.8546521701332
0,2157.0,1259.5714285714287,1299.0,585.8546521701332
0,2205.0,1307.5714285714287,1347.0,585.8546521701332
0,2222.0,1324.5714285714287,1364.0,585.8546521701332
0,2244.0,1346.5714285714287,1386.0,585.8546521701332
0,2271.0,1373.5714285714287,1413.0,585.8546521701332
