,time,mean,median,sd
0,357.0,185.75,210.5,99.91340000220191
0,584.0,314.27272727272725,305.0,146.325347899865
0,615.0,368.5,352.0,132.73149588549057
0,726.0,360.75,375.5,205.31038494598042
0,901.0,433.875,485.0,250.94144610844978
0,907.0,459.8666666666667,505.0,246.5259598681017
0,923.0,497.57142857142856,539.5,240.93499843191682
0,968.0,519.9285714285714,584.5,273.153662742032
0,984.0,534.4285714285714,600.5,276.0089838821799
0,1032.0,498.6,602.0,318.6075537920175
0,1188.0,601.1875,649.0,354.03058108551863
0,1201.0,601.5,662.0,371.52910383979344
0,1216.0,616.0625,677.0,372.23354039332617
0,1229.0,654.5333333333333,799.0,370.6949989171991
0,1264.0,609.0,616.0,380.1903032254593
0,1350.0,652.6875,674.5,402.94644786094096
0,1352.0,654.6875,676.5,402.94644786094096
0,1359.0,643.8666666666667,656.0,410.0108724845667
0,1419.0,661.75,656.0,429.196123584545
0,1451.0,618.7222222222222,542.5,456.9411347397868
0,1507.0,603.85,489.5,481.3322423233249
0,1524.0,646.421052631579,530.0,480.41323394163527
0,1557.0,700.8333333333334,648.5,484.67277047967576
0,1560.0,703.8333333333334,651.5,484.67277047967576
0,1565.0,741.9411764705883,742.0,478.53470838386187
0,1578.0,755.8,755.0,452.95065220543984
0,1632.0,708.4705882352941,638.0,505.81641841180686
0,1694.0,757.8823529411765,700.0,521.456882471424
0,1734.0,754.7222222222222,716.5,537.1017703642347
0,1741.0,761.7222222222222,723.5,537.1017703642347
0,1788.0,767.1666666666666,719.0,564.8527094148822
0,1798.0,811.8235294117648,757.0,562.3228333067505
0,1801.0,814.8235294117648,760.0,562.3228333067505
0,1817.0,878.0625,885.0,545.9249569251712
0,1857.0,910.3125,925.0,557.6136340188876
0,1859.0,912.3125,927.0,557.6136340188876
0,1879.0,1025.857142857143,1116.0,534.1508424115605
0,1912.0,928.875,980.0,606.5789185052511
0,1932.0,948.875,1000.0,606.5789185052511
0,1973.0,1036.0,1150.0,598.687675949099
0,2027.0,864.2105263157895,930.0,688.636607167599
0,2035.0,786.4736842105264,833.0,689.9851538006988
0,2064.0,806.2631578947369,862.0,699.4693358543703
0,2065.0,807.2631578947369,863.0,699.4693358543703
0,2087.0,718.1818181818181,426.0,707.602009116555
0,2101.0,754.4761904761905,616.0,716.6649359257697
0,2116.0,803.15,772.5,717.9670100359765
0,2146.0,833.15,802.5,717.9670100359765
0,2157.0,875.3157894736842,955.0,723.3124135844962
0,2205.0,917.7368421052631,1003.0,729.7131261923388
0,2222.0,922.7368421052631,1020.0,742.7320719801471
0,2244.0,889.8,900.5,760.9060125928827
0,2271.0,808.1,521.5,726.0283672143947
0,2313.0,797.952380952381,287.0,741.1975815363159
0,2324.0,836.5,568.5,748.9367463277523
0,2351.0,863.5,595.5,748.9367463277523
0,2358.0,911.0,873.0,746.7413418171967
0,2362.0,915.0,877.0,746.7413418171967
0,2385.0,931.0526315789474,900.0,754.6864440341195
0,2408.0,949.5263157894736,923.0,759.9804961777882
0,2447.0,939.5,691.5,770.9473717446607
0,2456.0,844.15,427.5,750.2063899354631
0,2508.0,839.7619047619048,477.0,768.344658821306
0,2511.0,842.7619047619048,480.0,768.344658821306
0,2513.0,844.7619047619048,482.0,768.344658821306
0,2532.0,797.15,488.5,725.7348878895102
0,2602.0,852.0,558.5,739.8364684171767
0,2607.0,893.2631578947369,576.0,741.5294892177259
0,2608.0,849.6,564.5,748.5144220387474
0,2645.0,888.3157894736842,589.0,777.468161651827
0,2657.0,900.3157894736842,601.0,777.468161651827
0,2664.0,904.9473684210526,608.0,780.1432037020821
0,2681.0,910.1578947368421,625.0,792.1264029352556
0,2690.0,907.4736842105264,634.0,803.7575157000533
0,2708.0,909.0526315789474,652.0,818.9422236342252
0,2729.0,973.2222222222222,688.0,820.0713082514741
0,2743.0,987.2222222222222,702.0,820.0713082514741
0,2770.0,913.55,639.0,834.5545803001743
0,2807.0,905.9047619047619,601.0,838.5579972424263
0,2809.0,907.9047619047619,603.0,838.5579972424263
0,2817.0,834.3333333333334,576.0,839.6874891083464
0,2819.0,836.3333333333334,578.0,839.6874891083464
0,2869.0,921.0,645.5,845.6308296177475
0,2872.0,924.0,648.5,845.6308296177475
0,2893.0,940.5,669.5,850.3471349984076
0,2909.0,866.7368421052631,668.0,774.5961149361895
0,2915.0,904.1111111111111,691.5,783.983339455125
0,2934.0,910.8888888888889,710.5,796.2041118044549
0,2954.0,824.55,580.0,816.6178711612915
0,2957.0,827.55,583.0,816.6178711612915
0,2964.0,907.7777777777778,740.5,827.9511227895009
0,2965.0,908.7777777777778,741.5,827.9511227895009
0,2975.0,918.7777777777778,751.5,827.9511227895009
0,2985.0,939.6470588235294,779.0,850.7057237221944
0,3001.0,945.3529411764706,795.0,860.8939909581319
0,3014.0,830.1764705882352,507.0,829.465542687091
0,3023.0,823.9411764705883,516.0,842.1534351319232
0,3029.0,877.0,672.5,846.1097742019058
0,3056.0,887.0625,699.5,860.8356745591751
0,3074.0,905.0625,717.5,860.8356745591751
0,3111.0,994.3333333333334,905.0,864.1323715470654
0,3131.0,969.2142857142857,774.5,877.2264879861356
0,3195.0,945.0,688.0,902.8459447768485
0,3204.0,1021.0,847.5,897.7858478342307
0,3206.0,1023.0,849.5,897.7858478342307
0,3207.0,1024.0,850.5,897.7858478342307
0,3218.0,1067.9166666666667,861.5,959.8926553121563
0,3231.0,1061.0,874.5,979.2930273076253
0,3243.0,990.9230769230769,736.0,982.8956796933047
0,3244.0,991.9230769230769,737.0,982.8956796933047
0,3283.0,936.0,266.0,1018.2713103777703
0,3286.0,939.0,269.0,1018.2713103777703
0,3289.0,997.8333333333334,516.5,1040.556168060566
0,3293.0,1001.8333333333334,520.5,1040.556168060566
0,3301.0,1077.7272727272727,794.0,1061.0723641597078
0,3313.0,1081.4545454545455,806.0,1069.1120668902058
0,3324.0,1195.5,967.5,1067.941313930686
