,time,meanWaitTime
0,601.0,320.94736842105266
0,657.0,358.6842105263158
0,828.0,466.14285714285717
0,910.0,549.7
0,974.0,586.15
0,1168.0,599.8846153846154
0,1201.0,626.0
0,1246.0,663.12
0,1255.0,666.92
0,1256.0,667.92
0,1392.0,695.25
0,1418.0,719.5925925925926
0,1456.0,707.5862068965517
0,1462.0,737.5
0,1507.0,739.9285714285714
0,1510.0,742.9285714285714
0,1541.0,772.3703703703703
0,1579.0,781.2307692307693
0,1615.0,807.3461538461538
0,1671.0,831.6296296296297
0,1700.0,840.1923076923077
0,1801.0,795.448275862069
0,1847.0,837.1724137931035
0,1879.0,852.3103448275862
0,1932.0,756.4848484848485
0,1935.0,759.4848484848485
0,1962.0,765.8181818181819
0,2007.0,810.8181818181819
0,2019.0,822.8181818181819
0,2035.0,829.969696969697
0,2052.0,822.2058823529412
0,2059.0,825.1470588235294
0,2070.0,849.1818181818181
0,2087.0,840.7647058823529
0,2115.0,851.8823529411765
0,2159.0,905.6060606060606
0,2165.0,911.6060606060606
0,2190.0,873.8181818181819
0,2258.0,932.8181818181819
0,2287.0,980.90625
0,2306.0,988.21875
0,2347.0,1005.875
0,2352.0,1033.8064516129032
0,2381.0,1052.258064516129
0,2387.0,1029.7096774193549
0,2450.0,965.060606060606
0,2457.0,966.53125
0,2530.0,992.0
0,2547.0,1024.09375
0,2586.0,1058.3125
0,2597.0,1053.9032258064517
0,2614.0,1037.78125
0,2641.0,1064.78125
0,2656.0,1106.483870967742
0,2676.0,1138.9333333333334
0,2687.0,1180.7586206896551
0,2701.0,1174.2068965517242
0,2714.0,1165.7241379310344
0,2745.0,1221.5714285714287
0,2774.0,1193.4642857142858
0,2775.0,1194.4642857142858
0,2790.0,1283.3461538461538
0,2797.0,1322.04
0,2832.0,1357.04
0,2856.0,1352.9166666666667
0,2864.0,1401.8260869565217
0,2941.0,1247.44
0,2975.0,1233.0
0,2982.0,1240.0
0,2984.0,1242.0
0,3001.0,1262.6521739130435
0,3024.0,1318.7272727272727
0,3049.0,1322.8636363636363
