,time,meanWaitTime
0,283.0,192.0
0,310.0,219.0
0,601.0,415.6666666666667
0,812.0,626.6666666666666
0,853.0,667.6666666666666
0,886.0,700.6666666666666
0,915.0,553.75
0,977.0,615.75
0,1082.0,583.0
0,1173.0,674.0
0,1243.0,841.5
0,1256.0,854.5
0,1262.0,860.5
0,1332.0,927.25
0,1388.0,795.4
0,1414.0,821.4
0,1416.0,823.4
0,1443.0,689.2
0,1480.0,726.2
0,1511.0,757.2
0,1588.0,834.2
0,1618.0,864.2
0,1629.0,949.25
0,1678.0,998.25
0,1684.0,1004.25
0,1739.0,1059.25
0,1763.0,1083.25
0,1784.0,1104.25
0,1786.0,1106.25
0,1801.0,1342.6666666666667
0,1805.0,1346.6666666666667
0,1824.0,1365.6666666666667
0,1844.0,1040.0
0,1848.0,1044.0
0,1857.0,1053.0
0,1872.0,857.2
0,1878.0,863.2
0,1917.0,902.2
0,1918.0,903.2
0,1992.0,613.0
0,1994.0,615.0
0,2022.0,643.0
0,2038.0,659.0
0,2084.0,705.0
0,2085.0,706.0
0,2103.0,604.6666666666666
0,2113.0,527.8571428571429
0,2162.0,509.5
0,2178.0,525.5
0,2192.0,539.5
0,2219.0,566.5
0,2223.0,599.8571428571429
0,2230.0,592.4285714285714
0,2282.0,568.625
0,2291.0,577.625
0,2293.0,579.625
0,2321.0,607.625
0,2363.0,649.625
0,2365.0,651.625
0,2401.0,620.25
0,2406.0,625.25
0,2420.0,639.25
0,2424.0,643.25
0,2457.0,761.8571428571429
0,2471.0,679.375
0,2479.0,687.375
0,2495.0,703.375
0,2510.0,718.375
0,2516.0,724.375
0,2557.0,513.8571428571429
0,2587.0,543.8571428571429
0,2588.0,544.8571428571429
0,2599.0,566.3333333333334
0,2619.0,598.8
0,2620.0,599.8
0,2647.0,626.8
0,2657.0,636.8
0,2667.0,646.8
0,2684.0,453.75
0,2691.0,460.75
0,2712.0,481.75
0,2718.0,487.75
0,2742.0,414.2
0,2769.0,441.2
0,2782.0,380.0
0,2796.0,394.0
0,2815.0,413.0
0,2821.0,400.5
0,2851.0,343.4
0,2872.0,364.4
0,2908.0,400.4
0,2958.0,450.4
