,time,meanWaitTime
0,858.0,542.6666666666666
0,970.0,654.6666666666666
0,1074.0,758.6666666666666
0,1166.0,850.6666666666666
0,1193.0,877.6666666666666
0,1201.0,885.6666666666666
0,1213.0,897.6666666666666
0,1332.0,1016.6666666666666
0,1335.0,1019.6666666666666
0,1353.0,995.6666666666666
0,1424.0,921.5714285714286
0,1488.0,1130.6666666666667
0,1492.0,1134.6666666666667
0,1516.0,1144.6
0,1561.0,1189.6
0,1597.0,1225.6
0,1635.0,1263.6
0,1653.0,1281.6
0,1693.0,1321.6
0,1740.0,1368.6
0,1742.0,1370.6
0,1801.0,1426.25
0,1857.0,1195.8
0,1864.0,1202.8
0,1932.0,1270.8
0,1943.0,1281.8
0,1975.0,1313.8
0,2026.0,1364.8
0,2048.0,1386.8
0,2052.0,1159.6666666666667
0,2184.0,1522.8
0,2200.0,1538.8
0,2232.0,1570.8
0,2244.0,1582.8
0,2367.0,1237.4285714285713
0,2373.0,1243.4285714285713
0,2392.0,1113.0
0,2401.0,1122.0
0,2449.0,1006.2857142857143
0,2457.0,1014.2857142857143
0,2517.0,1074.2857142857142
0,2532.0,1089.2857142857142
0,2570.0,1127.2857142857142
0,2608.0,1023.125
0,2612.0,1027.125
0,2613.0,1028.125
0,2634.0,1049.125
0,2650.0,1065.125
0,2657.0,1072.125
0,2682.0,1097.125
0,2686.0,1101.125
0,2713.0,1128.125
0,2720.0,1135.125
0,2769.0,1184.125
0,2811.0,1226.125
0,2814.0,1229.125
0,2889.0,1304.125
0,2917.0,1184.6666666666667
0,2960.0,1227.6666666666667
0,2966.0,1233.6666666666667
0,2995.0,1262.6666666666667
0,3001.0,1416.125
0,3064.0,1479.125
0,3098.0,1513.125
0,3104.0,1519.125
0,3112.0,1527.125
0,3122.0,1537.125
0,3133.0,1377.3333333333333
0,3140.0,1246.4
0,3154.0,1260.4
0,3162.0,1268.4
0,3217.0,1323.4
0,3235.0,1341.4
0,3236.0,1342.4
0,3242.0,1348.4
0,3251.0,1357.4
0,3270.0,1376.4
0,3274.0,1380.4
0,3279.0,1385.4
0,3292.0,1398.4
0,3313.0,1419.4
0,3319.0,1425.4
0,3337.0,1443.4
0,3340.0,1446.4
0,3362.0,1468.4
0,3401.0,1507.4
0,3438.0,1544.4
0,3440.0,1546.4
0,3473.0,1579.4
0,3483.0,1589.4
0,3505.0,1410.0
0,3525.0,1430.0
0,3540.0,1445.0
0,3561.0,1466.0
0,3579.0,1484.0
0,3601.0,1506.0
0,3609.0,1512.4444444444443
0,3620.0,1361.625
0,3624.0,1365.625
0,3632.0,1373.625
0,3657.0,1398.625
0,3674.0,1415.625
0,3682.0,1423.625
0,3699.0,1565.857142857143
0,3736.0,1621.6666666666667
0,3738.0,1623.6666666666667
0,3768.0,1653.6666666666667
0,3800.0,1733.8
0,3807.0,1740.8
0,3811.0,1744.8
0,3818.0,1751.8
0,3837.0,1770.8
0,3852.0,1785.8
0,3883.0,1816.8
0,3913.0,1846.8
0,3939.0,1872.8
0,3947.0,1880.8
0,3950.0,1883.8
0,3957.0,1890.8
0,3963.0,1896.8
0,3980.0,1913.8
0,3984.0,1917.8
0,3986.0,1919.8
0,3993.0,1926.8
0,4012.0,1945.8
0,4044.0,1557.0
0,4083.0,1284.0
0,4084.0,1285.0
0,4112.0,1313.0
0,4114.0,1315.0
0,4116.0,1317.0
0,4134.0,1335.0
0,4159.0,1360.0
0,4187.0,1388.0
0,4194.0,1395.0
0,4201.0,1402.0
0,4207.0,1408.0
0,4210.0,1411.0
0,4227.0,1373.25
0,4231.0,1377.25
0,4256.0,1402.25
0,4281.0,1427.25
0,4288.0,1434.25
0,4289.0,1435.25
0,4295.0,1441.25
0,4334.0,1480.25
0,4378.0,1524.25
0,4387.0,1533.25
0,4404.0,1550.25
0,4406.0,1552.25
0,4427.0,1430.3333333333333
0,4449.0,1092.25
0,4467.0,1470.3333333333333
0,4476.0,1479.3333333333333
0,4478.0,1481.3333333333333
0,4481.0,1484.3333333333333
0,4491.0,662.6666666666666
0,4498.0,669.6666666666666
0,4519.0,690.6666666666666
0,4528.0,699.6666666666666
0,4535.0,706.6666666666666
0,4548.0,642.3333333333334
0,4551.0,645.3333333333334
0,4611.0,525.3333333333334
0,4622.0,536.3333333333334
0,4636.0,550.3333333333334
0,4638.0,552.3333333333334
0,4651.0,565.3333333333334
0,4660.0,574.3333333333334
0,4665.0,579.3333333333334
0,4672.0,586.3333333333334
0,4737.0,651.3333333333334
0,4747.0,661.3333333333334
0,4784.0,156.0
0,4788.0,160.0
0,4801.0,173.0
0,4825.0,197.0
0,4830.0,104.33333333333333
0,4847.0,121.33333333333333
0,4857.0,131.33333333333334
0,4878.0,152.33333333333334
0,4930.0,156.5
0,4933.0,127.8
0,4938.0,132.8
0,4941.0,135.8
0,4975.0,175.25
0,4978.0,178.25
0,4999.0,128.33333333333334
0,5004.0,156.5
0,5028.0,180.5
0,5045.0,136.33333333333334
0,5064.0,155.33333333333334
0,5079.0,170.33333333333334
0,5090.0,138.75
0,5092.0,140.75
0,5102.0,88.0
0,5125.0,86.0
0,5142.0,103.0
0,5151.0,112.0
0,5153.0,114.0
0,5154.0,115.0
0,5158.0,119.0
0,5161.0,86.33333333333333
0,5173.0,52.333333333333336
0,5183.0,62.333333333333336
0,5204.0,66.5
0,5227.0,89.5
0,5246.0,108.5
0,5262.0,108.75
0,5264.0,110.75
0,5276.0,122.75
0,5285.0,131.75
0,5315.0,161.75
0,5346.0,179.66666666666666
0,5353.0,186.66666666666666
0,5388.0,221.66666666666666
0,5397.0,230.66666666666666
0,5398.0,231.66666666666666
0,5401.0,234.66666666666666
0,5412.0,288.0
0,5419.0,295.0
0,5434.0,310.0
0,5456.0,222.33333333333334
0,5457.0,223.33333333333334
0,5493.0,259.3333333333333
0,5531.0,220.0
0,5532.0,221.0
0,5541.0,230.0
0,5545.0,234.0
0,5561.0,250.0
0,5563.0,252.0
0,5602.0,291.0
0,5608.0,297.0
0,5616.0,305.0
0,5640.0,329.0
0,5653.0,342.0
0,5657.0,346.0
0,5658.0,347.0
0,5665.0,354.0
0,5671.0,360.0
0,5686.0,375.0
0,5692.0,381.0
0,5694.0,383.0
0,5708.0,397.0
0,5710.0,399.0
0,5712.0,401.0
0,5715.0,262.0
0,5728.0,275.0
0,5733.0,280.0
0,5818.0,69.0
0,5830.0,81.0
0,5834.0,85.0
0,5844.0,95.0
0,5908.0,159.0
0,5915.0,166.0
0,5921.0,172.0
0,5934.0,98.5
0,5938.0,102.5
0,5950.0,76.66666666666667
0,5951.0,77.66666666666667
0,5966.0,30.5
0,5972.0,36.5
0,5974.0,38.5
0,5992.0,56.5
0,6001.0,65.5
0,6011.0,75.5
0,6054.0,132.0
0,6057.0,135.0
0,6073.0,151.0
0,6081.0,159.0
0,6104.0,99.0
0,6106.0,101.0
0,6123.0,79.66666666666667
0,6127.0,83.66666666666667
0,6133.0,89.66666666666667
0,6152.0,108.66666666666667
0,6154.0,110.66666666666667
0,6188.0,144.66666666666666
0,6191.0,147.66666666666666
0,6222.0,140.0
0,6227.0,145.0
0,6230.0,148.0
0,6242.0,160.0
0,6247.0,165.0
0,6248.0,166.0
0,6257.0,175.0
0,6282.0,200.0
0,6291.0,209.0
0,6305.0,143.0
0,6312.0,150.0
0,6336.0,174.0
0,6353.0,191.0
0,6354.0,192.0
0,6366.0,204.0
0,6370.0,208.0
0,6374.0,170.0
0,6377.0,173.0
