,time,meanWaitTime
0,582.0,236.66666666666666
0,601.0,238.94736842105263
0,657.0,305.44444444444446
0,858.0,443.5238095238095
0,886.0,457.04761904761904
0,902.0,485.45
0,964.0,516.2
0,979.0,502.45
0,1027.0,525.4736842105264
0,1193.0,633.2380952380952
0,1197.0,637.2380952380952
0,1258.0,726.2105263157895
0,1364.0,691.3913043478261
0,1439.0,669.84
0,1440.0,670.84
0,1483.0,687.48
0,1488.0,696.9583333333334
0,1572.0,760.2608695652174
0,1585.0,788.5909090909091
0,1641.0,869.3809523809524
0,1685.0,863.2380952380952
0,1762.0,826.6521739130435
0,1783.0,847.6521739130435
0,1801.0,850.8695652173913
0,1856.0,864.0833333333334
0,1863.0,899.5652173913044
0,1881.0,897.0909090909091
0,1894.0,926.7619047619048
0,1932.0,913.3636363636364
0,1953.0,884.2173913043479
0,2034.0,861.72
0,2089.0,821.3571428571429
0,2090.0,822.3571428571429
0,2101.0,829.8846153846154
0,2102.0,830.8846153846154
0,2103.0,831.8846153846154
0,2116.0,876.16
0,2158.0,942.0416666666666
0,2248.0,953.4615384615385
0,2250.0,955.4615384615385
0,2306.0,1061.375
0,2308.0,1063.375
0,2369.0,950.2307692307693
0,2423.0,1024.16
0,2498.0,971.1785714285714
0,2515.0,982.1851851851852
0,2519.0,986.1851851851852
0,2575.0,1038.7037037037037
0,2599.0,978.7407407407408
0,2604.0,983.7407407407408
0,2645.0,988.3928571428571
0,2654.0,963.1034482758621
0,2672.0,973.448275862069
0,2681.0,982.448275862069
0,2692.0,1015.75
0,2714.0,1037.75
0,2716.0,1039.75
0,2717.0,1040.75
0,2750.0,986.8965517241379
0,2781.0,939.6774193548387
0,2795.0,935.9677419354839
0,2809.0,969.1666666666666
0,2837.0,997.1666666666666
0,2843.0,1021.2413793103449
0,2861.0,1069.5
0,2879.0,1118.851851851852
0,2905.0,1004.8965517241379
0,2966.0,969.78125
0,2967.0,970.78125
0,3001.0,1013.0322580645161
0,3012.0,1046.1333333333334
0,3013.0,1047.1333333333334
0,3034.0,1057.9
0,3056.0,1101.0
0,3072.0,1096.0344827586207
0,3079.0,1044.2413793103449
0,3086.0,1051.2413793103449
0,3132.0,1097.2413793103449
0,3141.0,1136.857142857143
0,3166.0,1152.25
0,3180.0,1151.392857142857
0,3211.0,1125.5925925925926
0,3214.0,1128.5925925925926
0,3236.0,1133.8148148148148
0,3254.0,1151.8148148148148
0,3261.0,1185.2692307692307
0,3265.0,1189.2692307692307
0,3274.0,1225.64
0,3285.0,1279.5
0,3288.0,1282.5
0,3292.0,1269.3333333333333
0,3313.0,1374.090909090909
0,3316.0,1377.090909090909
0,3361.0,1342.6363636363637
0,3396.0,1377.6363636363637
0,3399.0,1380.6363636363637
0,3415.0,1443.2380952380952
0,3418.0,1446.2380952380952
0,3425.0,1354.9
0,3430.0,1427.157894736842
0,3439.0,1364.6
0,3444.0,1291.6842105263158
0,3471.0,1375.611111111111
0,3502.0,1333.842105263158
0,3515.0,1405.2777777777778
0,3598.0,1234.421052631579
0,3601.0,1237.421052631579
0,3632.0,1307.5
0,3637.0,1216.0
0,3653.0,1142.611111111111
0,3657.0,1086.4736842105262
0,3698.0,1010.4761904761905
0,3761.0,982.6521739130435
0,3806.0,1006.7391304347826
0,3811.0,1051.3181818181818
0,3814.0,1054.3181818181818
0,3819.0,1128.55
0,3848.0,1054.7727272727273
0,3858.0,1064.7727272727273
0,3874.0,1063.2727272727273
0,3884.0,1012.0454545454545
0,3886.0,1014.0454545454545
0,3891.0,1116.15
0,3911.0,1126.1
0,3912.0,1127.1
0,3963.0,1163.05
0,3973.0,1117.4285714285713
0,3977.0,1070.590909090909
0,3981.0,1074.590909090909
0,4007.0,1107.7619047619048
0,4026.0,1076.0
0,4054.0,1035.391304347826
0,4090.0,1111.3181818181818
0,4105.0,1126.3181818181818
0,4130.0,1101.5454545454545
0,4148.0,1071.6521739130435
0,4149.0,1072.6521739130435
0,4170.0,1092.4782608695652
0,4192.0,1047.0833333333333
0,4201.0,1078.1739130434783
0,4230.0,996.24
