,time,mean,median,sd
0,601.0,283.05555555555554,254.0,187.81801837068602
0,608.0,290.3529411764706,247.0,193.25902799898944
0,640.0,326.0625,293.0,198.618814803004
0,657.0,350.06666666666666,324.0,203.21038906075208
0,811.0,487.53333333333336,478.0,226.65652918506945
0,884.0,457.0,487.0,285.4018838307092
0,911.0,494.625,532.0,290.9054560763686
0,941.0,494.5882352941176,544.0,306.73001326583983
0,964.0,540.8125,585.0,301.32088766587356
0,979.0,554.0666666666667,618.0,311.1245124097782
0,1153.0,622.1666666666666,616.5,369.1027032623245
0,1184.0,648.1111111111111,647.5,376.8979951730071
0,1201.0,701.4705882352941,692.0,355.8256542097149
0,1237.0,649.0,673.0,418.72085915886356
0,1246.0,626.2777777777778,672.5,407.36699336587236
0,1266.0,671.7647058823529,702.0,404.99012760832534
0,1271.0,676.7647058823529,707.0,404.99012760832534
0,1280.0,619.7647058823529,697.0,418.2606180800174
0,1332.0,693.625,758.5,421.6064330332259
0,1385.0,737.25,811.5,435.92667101245365
0,1387.0,739.25,813.5,435.92667101245365
0,1471.0,784.4666666666667,888.0,422.6517662988711
0,1478.0,791.4666666666667,895.0,422.6517662988711
0,1489.0,815.0,915.5,434.784840056386
0,1517.0,821.7142857142857,943.5,466.632836480281
0,1539.0,822.8571428571429,965.5,495.64602247151817
0,1580.0,863.8571428571429,1006.5,495.64602247151817
0,1675.0,787.1764705882352,931.0,579.2421250620217
0,1676.0,788.1764705882352,932.0,579.2421250620217
0,1713.0,662.6315789473684,442.0,590.4022901936678
0,1744.0,659.0,354.5,594.9232723637562
0,1753.0,668.0,363.5,594.9232723637562
0,1764.0,707.0,493.0,597.3958398530109
0,1783.0,690.2,393.5,602.8174350497836
0,1801.0,735.0526315789474,530.0,606.7069416278262
0,1803.0,762.3333333333334,734.0,613.5142849011568
0,1813.0,681.6666666666666,423.5,599.3105297849447
0,1833.0,701.0,443.5,600.067959114262
0,1857.0,654.15,309.5,607.6602072704777
0,1866.0,688.4736842105264,358.0,613.0737371656171
0,1875.0,662.75,327.5,616.4214365999936
0,1915.0,727.2105263157895,407.0,622.9026771112439
0,1951.0,692.6842105263158,364.0,626.2842008840781
0,1983.0,717.578947368421,396.0,633.5778368490018
0,1985.0,719.578947368421,398.0,633.5778368490018
0,1987.0,721.578947368421,400.0,633.5778368490018
0,2010.0,662.1111111111111,400.0,589.8424355414182
0,2041.0,655.4736842105264,408.0,595.785847115613
0,2063.0,586.5454545454545,329.5,599.1032485968832
0,2077.0,614.6666666666666,383.0,609.6141116143598
0,2085.0,640.5,421.5,619.2998062328132
0,2101.0,684.4736842105264,468.0,622.950734591855
0,2115.0,661.65,451.5,627.8553396284848
0,2156.0,670.7619047619048,462.0,629.1007871982952
0,2157.0,671.7619047619048,463.0,629.1007871982952
0,2158.0,672.7619047619048,464.0,629.1007871982952
0,2159.0,673.7619047619048,465.0,629.1007871982952
0,2172.0,715.2,508.5,631.32634983818
0,2177.0,720.2,513.5,631.32634983818
0,2190.0,712.35,526.5,651.1008581625431
0,2247.0,797.7368421052631,614.0,655.841672333327
0,2251.0,801.7368421052631,618.0,655.841672333327
0,2258.0,808.7368421052631,625.0,655.841672333327
0,2289.0,877.1666666666666,679.0,653.7625503362992
0,2312.0,886.0,702.0,669.8932750819342
0,2343.0,814.5,679.5,703.1724184010633
0,2370.0,841.5,706.5,703.1724184010633
0,2378.0,849.5,714.5,703.1724184010633
0,2383.0,896.578947368421,750.0,696.4642519854331
0,2384.0,897.578947368421,751.0,696.4642519854331
0,2401.0,951.0,791.0,698.4246559221689
0,2417.0,1005.5882352941177,830.0,699.7771123153537
0,2429.0,1078.4375,881.5,676.2756435757168
0,2443.0,1028.5294117647059,856.0,704.1262518516922
0,2486.0,997.0555555555555,876.0,744.0414767577157
0,2521.0,1044.1176470588234,934.0,763.9001230029195
