,time,mean,median,sd
0,357.0,160.1,174.5,87.29541797826505
0,557.0,267.1333333333333,257.0,131.2594716159138
0,644.0,291.0,298.0,176.9054989409757
0,815.0,419.55,437.5,200.0396148266638
0,891.0,455.3333333333333,506.0,233.9467447199883
0,907.0,479.05,529.5,237.10155524584817
0,957.0,524.2,579.5,246.37321282964186
0,959.0,526.2,581.5,246.37321282964186
0,975.0,567.7777777777778,629.0,246.7832057034756
0,1026.0,543.1578947368421,641.0,289.4387060206985
0,1086.0,548.6190476190476,557.0,322.5900355958932
0,1122.0,562.1428571428571,593.0,344.7112367398166
0,1194.0,618.2380952380952,665.0,363.6695130736546
0,1201.0,621.1428571428571,672.0,370.12318228939296
0,1207.0,651.45,750.0,362.5370981016978
0,1262.0,690.5,805.0,385.4382570529293
0,1274.0,727.421052631579,889.0,379.4213483144915
0,1278.0,710.6315789473684,749.0,379.9976745810171
0,1300.0,769.5882352941177,915.0,383.16377374257405
0,1331.0,797.9411764705883,946.0,388.3157403284744
0,1388.0,842.7058823529412,1003.0,410.42972669341725
0,1391.0,845.7058823529412,1006.0,410.42972669341725
0,1481.0,785.2941176470588,912.0,469.90484201977876
0,1512.0,681.578947368421,868.0,527.6469429447042
0,1580.0,677.047619047619,599.0,548.910216978929
0,1631.0,717.5714285714286,650.0,559.6234764322791
0,1675.0,755.5238095238095,694.0,566.9675071774495
0,1711.0,780.421052631579,730.0,552.6881976008832
0,1759.0,855.7222222222222,946.5,555.2231588945472
0,1781.0,877.7222222222222,968.5,555.2231588945472
0,1784.0,880.7222222222222,971.5,555.2231588945472
0,1787.0,918.2941176470588,1143.0,552.1707711873503
0,1788.0,919.2941176470588,1144.0,552.1707711873503
0,1804.0,1008.7333333333333,1204.0,552.9282613705165
0,1815.0,942.0666666666667,1215.0,605.5431134297725
0,1857.0,853.4705882352941,876.0,666.4498672860069
0,1861.0,809.8888888888889,771.0,676.7336493028594
0,1876.0,817.5555555555555,786.0,685.1382035944948
0,1916.0,811.0526315789474,717.0,695.273098458759
