,time,mean,median,sd
0,301.0,151.1,162.0,105.3749970344009
0,582.0,292.29411764705884,292.0,189.3300152413248
0,601.0,316.5,325.0,193.97293625658193
0,610.0,329.26666666666665,348.0,199.76701985618703
0,614.0,333.26666666666665,352.0,199.76701985618703
0,735.0,347.6111111111111,314.0,256.5142705341251
0,835.0,369.5238095238095,275.0,277.49999897857043
0,884.0,395.90909090909093,315.0,288.7124881719637
0,901.0,428.3333333333333,341.0,286.5139127899764
0,913.0,453.15,364.0,287.6545280366711
0,981.0,509.5,432.0,302.9545345427264
0,1153.0,604.047619047619,575.0,327.17222436981564
0,1201.0,668.7,632.0,326.4512367873647
0,1266.0,690.3333333333334,688.0,367.74011699948335
0,1285.0,709.45,675.5,376.8211080871134
0,1300.0,752.2631578947369,740.0,366.0547618084749
0,1409.0,819.85,799.5,399.85275727447475
0,1477.0,884.25,867.5,407.1778327708914
0,1543.0,905.9047619047619,884.0,444.10454633178705
0,1544.0,906.9047619047619,885.0,444.10454633178705
0,1546.0,908.9047619047619,887.0,444.10454633178705
0,1676.0,904.3636363636364,1008.5,518.2341121938252
0,1702.0,930.3636363636364,1034.5,518.2341121938252
0,1717.0,945.3636363636364,1049.5,518.2341121938252
0,1743.0,1011.5238095238095,1076.0,495.8558372529949
0,1749.0,1053.35,1086.0,480.8459498633632
0,1752.0,1056.35,1089.0,480.8459498633632
0,1757.0,1035.421052631579,1090.0,479.5161284581818
0,1789.0,1053.5263157894738,1122.0,505.67748910910575
0,1807.0,1071.5263157894738,1140.0,505.67748910910575
0,1873.0,1128.1052631578948,1206.0,524.324115784647
0,1902.0,1142.2105263157894,1235.0,551.4384614182275
0,1929.0,1060.142857142857,1261.0,623.0044168393677
0,1931.0,1062.142857142857,1263.0,623.0044168393677
0,2011.0,934.25,1213.0,707.8277362230634
0,2037.0,999.4347826086956,1283.0,697.10318780102
0,2046.0,1008.4347826086956,1292.0,697.10318780102
0,2052.0,1055.8181818181818,1311.5,684.5817327100764
0,2101.0,1142.5238095238096,1374.0,678.0053110515131
0,2116.0,1206.8,1418.5,657.0272140482463
0,2174.0,1257.85,1476.5,669.0898500948882
0,2178.0,1261.85,1480.5,669.0898500948882
0,2207.0,1340.6315789473683,1539.0,650.3779638370871
0,2216.0,1412.2222222222222,1548.5,609.9646215201115
0,2225.0,1377.4117647058824,1557.0,599.4948911938067
0,2312.0,1250.8,1571.5,751.0529675062871
0,2340.0,1337.6315789473683,1613.0,724.255422414984
0,2353.0,1350.6315789473683,1626.0,724.255422414984
0,2356.0,1353.6315789473683,1629.0,724.255422414984
0,2390.0,1457.2777777777778,1692.5,679.3571148565185
0,2434.0,1289.3333333333333,1680.0,815.5514834896827
0,2437.0,1292.3333333333333,1683.0,815.5514834896827
0,2491.0,1186.5,1585.0,858.5842866444315
0,2532.0,1175.8260869565217,1562.0,873.991127811595
0,2550.0,1142.0833333333333,1453.5,890.7072525371185
0,2566.0,1031.48,693.0,905.9156746629346
0,2615.0,1154.1739130434783,1392.0,907.243443297568
0,2633.0,1123.6666666666667,1085.0,918.1030110444518
0,2635.0,1125.6666666666667,1087.0,918.1030110444518
0,2649.0,1142.1818181818182,1101.0,922.3104701269443
0,2672.0,1115.1739130434783,799.0,932.0348310422698
0,2678.0,1154.409090909091,1130.0,939.558148526641
0,2686.0,1111.9565217391305,813.0,948.8879751656614
0,2688.0,1113.9565217391305,815.0,948.8879751656614
0,2689.0,1114.9565217391305,816.0,948.8879751656614
0,2701.0,1215.5238095238096,1478.0,946.4521530455382
0,2716.0,1277.1,1619.5,946.0465580509239
0,2780.0,1332.2,1683.5,957.2472303433424
0,2782.0,1334.2,1685.5,957.2472303433424
0,2795.0,1469.6666666666667,1889.0,931.7435269429029
0,2812.0,1458.235294117647,1842.0,951.1378652720779
0,2836.0,1482.235294117647,1866.0,951.1378652720779
0,2844.0,1490.235294117647,1874.0,951.1378652720779
0,2875.0,1439.4375,1778.5,920.575768795676
0,2900.0,1464.4375,1803.5,920.575768795676
0,2914.0,1478.4375,1817.5,920.575768795676
0,2926.0,1478.9375,1829.5,937.6649500721193
0,2932.0,1565.6,1962.0,913.0864727213227
0,2936.0,1569.6,1966.0,913.0864727213227
0,2953.0,1586.6,1983.0,913.0864727213227
0,2981.0,1596.2,2011.0,941.7825792966584
0,2999.0,1425.6470588235295,1776.0,1024.3307106810234
0,3004.0,1517.3125,1907.5,993.5524469517198
