,time,mean,median,sd
0,310.0,112.57142857142857,60.0,88.04358846269135
0,357.0,104.36363636363636,94.0,99.6988854932443
0,583.0,264.46666666666664,248.0,104.51594243091445
0,601.0,257.6,250.0,119.5083260697764
0,608.0,268.7142857142857,265.0,122.67228617710835
0,853.0,419.44444444444446,494.5,196.2852862041547
0,908.0,462.8888888888889,549.5,215.51640537939176
0,966.0,515.5555555555555,607.5,225.95949052435193
0,982.0,526.5882352941177,631.0,231.55333747732033
0,1031.0,532.8823529411765,644.0,257.4451129059737
0,1170.0,636.4444444444445,714.0,288.6819130350571
0,1201.0,635.2222222222222,745.0,325.44474792292664
0,1278.0,661.2631578947369,753.0,370.70527974677265
0,1300.0,717.7222222222222,844.0,349.9940960701346
0,1419.0,711.1904761904761,834.0,426.7259206304071
0,1501.0,706.5909090909091,833.5,460.2300471296846
0,1542.0,734.2272727272727,874.5,476.51919085824693
0,1557.0,694.5909090909091,773.5,489.74025203449423
0,1562.0,724.0,881.0,488.01541739892565
0,1602.0,764.0,921.0,488.01541739892565
0,1616.0,778.0,935.0,488.01541739892565
0,1676.0,826.047619047619,995.0,504.8574033649762
0,1681.0,858.9,1013.5,501.33241467114414
0,1708.0,885.9,1040.5,501.33241467114414
0,1748.0,869.047619047619,1067.0,544.7290699395326
0,1781.0,829.4761904761905,895.0,557.471128361744
0,1801.0,889.05,1017.5,541.6871306390804
0,1808.0,928.0,1127.0,537.07756962051
0,1823.0,980.3888888888889,1155.5,527.1781418172386
0,1864.0,1021.3888888888889,1196.5,527.1781418172386
0,1929.0,969.4,1145.5,607.7910331684732
0,1983.0,792.0416666666666,856.0,668.8441821011495
0,1988.0,822.3913043478261,924.0,671.848309686594
0,2010.0,777.84,820.0,682.792599842734
0,2026.0,814.8333333333334,899.0,688.9216009258399
0,2066.0,820.68,876.0,695.4302679636542
0,2084.0,806.8461538461538,754.0,700.2551014456029
0,2101.0,851.56,911.0,700.0014331413901
0,2113.0,856.08,923.0,708.0899332711912
0,2158.0,893.48,968.0,716.3309358110957
0,2167.0,932.8333333333334,1040.0,715.1764156874551
0,2169.0,934.8333333333334,1042.0,715.1764156874551
0,2171.0,936.8333333333334,1044.0,715.1764156874551
0,2175.0,1045.952380952381,1115.0,703.8178522607946
0,2215.0,984.5217391304348,1151.0,746.8845944009671
0,2258.0,838.4230769230769,578.5,764.6661500327559
0,2315.0,834.4285714285714,397.5,768.9692743523366
0,2319.0,838.4285714285714,401.5,768.9692743523366
0,2344.0,919.6153846153846,664.5,769.805223962683
0,2358.0,899.3333333333334,469.0,775.3764677024102
0,2375.0,849.5172413793103,429.0,786.9593435009361
0,2384.0,884.6428571428571,466.5,788.434625167658
0,2387.0,887.6428571428571,469.5,788.434625167658
0,2391.0,916.8148148148148,502.0,791.777046669309
0,2401.0,988.0,931.0,790.9103109708458
0,2413.0,987.92,943.0,803.6370782884522
0,2433.0,1043.375,1103.0,800.8219638024005
0,2464.0,1015.8260869565217,994.0,766.1120733187072
0,2488.0,1077.2272727272727,1158.0,762.5173578839895
0,2516.0,1057.4782608695652,1046.0,778.660604168422
0,2520.0,1095.5454545454545,1190.0,779.2167820243799
0,2524.0,1099.5454545454545,1194.0,779.2167820243799
0,2529.0,1104.5454545454545,1199.0,779.2167820243799
0,2533.0,1108.5454545454545,1203.0,779.2167820243799
0,2562.0,1182.7619047619048,1372.0,768.8383881676183
0,2609.0,1229.7619047619048,1419.0,768.8383881676183
0,2662.0,1160.5652173913043,1192.0,831.4210896744125
0,2701.0,1239.2272727272727,1371.0,828.55366490037
0,2714.0,1252.6190476190477,1524.0,848.049722048041
0,2757.0,1174.391304347826,868.0,898.6071705038345
0,2765.0,1231.1818181818182,1225.5,888.5084864977443
