,time,mean,median,sd
0,155.0,83.71428571428571,79.0,43.358025408763005
0,301.0,178.1,191.5,87.78433801083197
0,307.0,197.44444444444446,201.0,82.35035061803671
0,601.0,305.7647058823529,289.0,186.01977422140928
0,615.0,337.9375,322.5,176.49874955293592
0,648.0,326.4117647058824,292.0,203.14847043003368
0,889.0,429.60869565217394,493.0,285.61158470147876
0,901.0,449.40909090909093,508.5,289.6246252543437
0,908.0,471.42857142857144,519.0,287.9478410818068
0,967.0,514.3809523809524,578.0,306.3582521898296
0,983.0,498.85714285714283,587.0,323.82818573674376
0,1110.0,556.5,556.5,338.56203272074083
0,1185.0,625.2727272727273,631.5,348.22565591583935
0,1241.0,666.8636363636364,687.5,367.4557852752239
0,1274.0,686.5,720.5,385.91034639478823
0,1275.0,657.6521739130435,698.0,402.5560299857435
0,1300.0,620.7391304347826,602.0,421.9202703779063
0,1330.0,630.5652173913044,632.0,405.61867143446085
0,1379.0,670.5652173913044,681.0,417.8069895649193
0,1388.0,671.7391304347826,690.0,428.54538772267085
0,1394.0,653.0,696.0,449.7754995550558
0,1412.0,640.695652173913,640.0,468.9302752271116
0,1475.0,670.125,676.0,484.76827045678914
0,1485.0,680.125,686.0,484.76827045678914
0,1487.0,682.125,688.0,484.76827045678914
0,1501.0,674.0434782608696,675.0,492.2392029209472
0,1544.0,706.1739130434783,718.0,504.5958910182625
0,1568.0,757.6363636363636,769.0,498.8428925072088
0,1629.0,781.1739130434783,803.0,517.8382870099349
0,1684.0,836.1739130434783,858.0,517.8382870099349
0,1808.0,860.5833333333334,891.0,549.6811133638201
0,1809.0,861.5833333333334,892.0,549.6811133638201
0,1823.0,824.7826086956521,849.0,546.2743343716551
0,1857.0,846.9565217391304,883.0,561.4738739719944
0,1864.0,841.6521739130435,890.0,576.7017621745872
0,1867.0,809.5,756.0,589.1924558240711
0,1877.0,812.8333333333334,766.0,597.3524690015287
0,1921.0,855.7083333333334,810.0,598.8868479080353
0,1955.0,809.52,672.0,630.8187137363633
0,1974.0,859.7083333333334,708.5,624.6558705377083
0,1981.0,832.2,698.0,634.9542975679431
0,1990.0,868.5,724.5,633.5087476375786
0,2010.0,864.8260869565217,727.0,636.6566648396042
0,2030.0,915.5454545454545,764.5,634.0751122176964
0,2041.0,922.3636363636364,775.5,639.8293483744883
0,2072.0,912.3913043478261,789.0,654.6101886274154
0,2080.0,920.3913043478261,797.0,654.6101886274154
0,2093.0,973.3636363636364,827.5,641.2825604318657
0,2101.0,899.9583333333334,777.0,670.7220909317724
0,2109.0,936.695652173913,826.0,670.527854025897
0,2157.0,910.75,783.0,706.3660671587596
0,2165.0,955.7391304347826,800.0,698.433913800776
0,2180.0,966.2173913043479,815.0,704.2460017649304
0,2190.0,1005.8636363636364,883.5,705.8976423001841
0,2242.0,1047.4545454545455,935.5,719.0777380703909
0,2308.0,1113.4545454545455,1001.5,719.0777380703909
0,2337.0,1133.0454545454545,1030.5,732.2417309054018
0,2339.0,1135.0454545454545,1032.5,732.2417309054018
0,2344.0,1119.4761904761904,979.0,743.2376162406013
0,2355.0,1130.4761904761904,990.0,743.2376162406013
0,2383.0,1146.904761904762,1018.0,758.8022456955188
0,2412.0,1166.4285714285713,1047.0,771.9836891583465
0,2457.0,1257.4,1150.5,762.4801243311199
0,2477.0,1336.2631578947369,1229.0,736.6663060961836
0,2482.0,1274.25,1175.5,775.156685773915
0,2527.0,1263.2,1220.5,824.7447241419613
0,2553.0,1084.1818181818182,1143.0,882.1533383696365
0,2573.0,1103.2272727272727,1163.0,883.3278981328704
0,2611.0,1081.9130434782608,1181.0,904.9322776988187
0,2613.0,1083.9130434782608,1183.0,904.9322776988187
0,2656.0,1123.695652173913,1226.0,908.6730140720783
0,2676.0,1192.3636363636363,1266.0,899.3001089460699
0,2678.0,1194.3636363636363,1268.0,899.3001089460699
0,2687.0,1200.590909090909,1277.0,902.8925063921915
0,2694.0,1180.6363636363637,1284.0,929.1581500307658
0,2708.0,1181.090909090909,1298.0,944.1097253782099
0,2713.0,1231.5238095238096,1323.0,942.5374373793743
0,2720.0,1229.7142857142858,1330.0,953.1202463916254
0,2771.0,1222.909090909091,1361.0,968.1507165298982
0,2775.0,1101.7272727272727,1134.0,939.8494164598043
0,2779.0,1105.7272727272727,1138.0,939.8494164598043
0,2845.0,1166.6666666666667,1415.0,974.8072011249606
0,2855.0,1133.6666666666667,1425.0,1005.2394802724438
0,2857.0,1135.6666666666667,1427.0,1005.2394802724438
0,2874.0,1067.6666666666667,281.0,1043.958552969159
0,2911.0,1089.7619047619048,228.0,1057.2334924681359
0,2952.0,1072.590909090909,266.0,1065.6215710300858
0,2966.0,1125.142857142857,283.0,1075.6047373549488
0,2980.0,1057.1904761904761,277.0,1092.7384394502437
0,2985.0,1100.2,275.0,1106.093106388427
0,2997.0,1048.7142857142858,280.0,1113.9304561885763
0,3001.0,1052.7142857142858,284.0,1113.9304561885763
0,3011.0,1147.421052631579,308.0,1138.4109569593961
0,3014.0,1150.421052631579,311.0,1138.4109569593961
0,3065.0,1239.6666666666667,924.0,1160.226654102072
0,3066.0,1240.6666666666667,925.0,1160.226654102072
0,3077.0,1387.0625,1679.5,1161.554264162355
0,3104.0,1281.8125,963.0,1192.5576620624054
0,3155.0,1409.2666666666667,1725.0,1193.098010316932
0,3169.0,1242.8235294117646,317.0,1222.8190302014593
0,3174.0,1305.6875,1023.0,1237.6678531996176
0,3182.0,1313.6875,1031.0,1237.6678531996176
0,3207.0,1338.6875,1056.0,1237.6678531996176
0,3209.0,1261.9411764705883,337.0,1241.3421327971753
0,3212.0,1264.9411764705883,340.0,1241.3421327971753
0,3219.0,1246.5333333333333,347.0,1216.2978180619343
0,3267.0,1137.2941176470588,279.0,1220.2041663641608
0,3281.0,1134.1764705882354,289.0,1234.086861052672
0,3285.0,1138.1764705882354,293.0,1234.086861052672
0,3316.0,1217.375,384.0,1258.127769495213
0,3322.0,1223.375,390.0,1258.127769495213
0,3325.0,1226.375,393.0,1258.127769495213
0,3339.0,1402.2142857142858,1188.0,1264.7016688628548
0,3343.0,1406.2142857142858,1192.0,1264.7016688628548
0,3351.0,1235.1666666666667,419.0,1264.7363251769998
0,3363.0,1151.3076923076924,371.0,1259.6755006206579
0,3377.0,938.25,171.5,1229.0198584644595
0,3417.0,865.0555555555555,144.5,1201.6697398121694
0,3431.0,698.0526315789474,69.0,1124.680701995212
0,3447.0,679.1,83.5,1106.7399830131737
0,3465.0,732.0526315789474,103.0,1124.680701995212
0,3475.0,766.1111111111111,111.5,1150.7310183284405
0,3487.0,817.2941176470588,125.0,1172.3648681545542
0,3494.0,860.25,130.5,1199.3180614415844
0,3502.0,868.25,138.5,1199.3180614415844
0,3512.0,878.25,148.5,1199.3180614415844
0,3538.0,955.5333333333333,176.0,1221.5461714110068
0,3544.0,879.2142857142857,180.5,1223.5655262137682
0,3553.0,829.0666666666667,188.0,1202.61517628135
0,3562.0,884.0,198.5,1232.0475408267098
0,3573.0,948.0769230769231,211.0,1263.0382454492246
0,3590.0,1028.0,259.0,1294.8873824905907
0,3618.0,1039.9166666666667,287.0,1306.4793312775964
0,3637.0,978.6923076923077,275.0,1285.6206752810328
0,3641.0,982.6923076923077,279.0,1285.6206752810328
0,3651.0,933.0769230769231,286.0,1311.8487519256914
