,time,mean,median,sd
0,357.0,142.55555555555554,133.0,73.41073356443958
0,557.0,249.21428571428572,246.0,116.80458563125764
0,644.0,272.52941176470586,274.0,164.3032052413925
0,815.0,400.7894736842105,430.0,187.30402500729534
0,891.0,435.5,434.0,221.82662148624092
0,907.0,458.57894736842104,522.0,225.37671756404785
0,957.0,503.4736842105263,572.0,235.16564563393737
0,959.0,505.4736842105263,574.0,235.16564563393737
0,975.0,546.1176470588235,605.0,236.726668482734
0,1026.0,546.3529411764706,641.0,259.6819188198087
0,1086.0,545.7368421052631,557.0,302.6211531384906
0,1122.0,556.8947368421053,593.0,328.16601939885345
0,1194.0,611.3157894736842,665.0,349.7460812212767
0,1201.0,613.7894736842105,672.0,357.0600095439315
0,1207.0,646.3888888888889,750.0,348.03977085782225
0,1262.0,723.7647058823529,877.0,345.3185280478718
0,1274.0,767.4375,896.5,331.12515925817235
0,1278.0,746.75,821.0,334.72852806416125
0,1300.0,818.7857142857143,946.5,325.7021379313639
0,1331.0,794.8666666666667,946.0,375.81269566397333
0,1388.0,838.0,1003.0,401.4297780019149
0,1391.0,841.0,1006.0,401.4297780019149
0,1481.0,803.125,932.0,478.7548792179564
0,1512.0,689.9444444444445,890.0,540.8779357285937
0,1580.0,715.421052631579,936.0,555.8028158286917
0,1631.0,754.8421052631579,987.0,568.2594165897616
0,1675.0,792.1578947368421,1031.0,576.6778963354532
0,1711.0,820.0588235294117,1067.0,562.8663482138163
0,1759.0,901.25,1137.0,563.8187319520343
0,1781.0,923.25,1159.0,563.8187319520343
0,1784.0,926.25,1162.0,563.8187319520343
0,1787.0,971.4666666666667,1187.0,557.2866248370062
0,1788.0,972.4666666666667,1188.0,557.2866248370062
0,1804.0,1022.0,1219.5,570.0240596425984
0,1815.0,949.7857142857143,1230.5,626.08331013092
0,1857.0,852.0625,957.5,686.9362660347392
0,1861.0,805.7647058823529,662.0,696.1333145996547
0,1876.0,813.0,677.0,704.7364129692079
0,1916.0,851.0,717.0,706.9946334765957
0,1932.0,816.0625,680.0,697.8343704588862
0,1979.0,863.0625,727.0,697.8343704588862
0,1986.0,916.7333333333333,787.0,696.1228307960856
0,1987.0,917.7333333333333,788.0,696.1228307960856
0,2010.0,739.7058823529412,346.0,733.4896257902142
0,2041.0,728.7777777777778,281.0,733.4869956853402
0,2057.0,786.7058823529412,393.0,733.4896257902142
0,2063.0,830.0625,578.5,740.2085406111916
0,2083.0,796.1176470588235,419.0,749.3327135331369
0,2097.0,797.2941176470588,433.0,761.1117074003452
0,2104.0,804.2941176470588,440.0,761.1117074003452
0,2111.0,805.0,351.0,784.1066572858567
0,2128.0,805.8125,366.0,797.8471202829211
0,2157.0,817.125,330.0,812.5748330923128
0,2170.0,880.5333333333333,506.0,814.6412598329538
0,2176.0,886.5333333333333,512.0,814.6412598329538
0,2226.0,829.0,236.0,819.9373720703595
0,2259.0,862.0,269.0,819.9373720703595
0,2276.0,820.0,278.5,830.6943548087414
0,2287.0,822.0,289.5,838.6251314569049
0,2376.0,769.1428571428571,311.0,846.1136524871645
0,2378.0,771.1428571428571,313.0,846.1136524871645
0,2381.0,843.9473684210526,373.0,860.0800130271977
0,2407.0,869.9473684210526,399.0,860.0800130271977
0,2418.0,914.6111111111111,411.5,871.3796301707673
0,2444.0,772.4545454545455,313.5,865.1605067727832
0,2447.0,775.4545454545455,316.5,865.1605067727832
0,2457.0,777.7272727272727,326.5,871.2712854746
0,2458.0,778.7272727272727,327.5,871.2712854746
0,2460.0,780.7272727272727,329.5,871.2712854746
0,2483.0,840.3,352.5,897.6612445683505
0,2492.0,838.65,361.5,906.298034589064
0,2497.0,803.5714285714286,301.0,902.4349374478643
0,2526.0,820.7142857142857,330.0,911.4186295919932
0,2533.0,827.7142857142857,337.0,911.4186295919932
0,2557.0,843.0952380952381,361.0,918.4453689205526
0,2572.0,858.0952380952381,376.0,918.4453689205526
0,2575.0,861.0952380952381,379.0,918.4453689205526
0,2594.0,902.25,463.5,937.8168731154286
0,2599.0,933.7894736842105,534.0,954.8314582026544
0,2603.0,937.7894736842105,538.0,954.8314582026544
0,2622.0,956.7894736842105,557.0,954.8314582026544
0,2664.0,983.7894736842105,599.0,967.9652874891401
0,2677.0,946.3,435.5,968.7706178451118
0,2678.0,947.3,436.5,968.7706178451118
0,2686.0,995.5263157894736,621.0,977.5218596786387
0,2688.0,997.5263157894736,623.0,977.5218596786387
0,2690.0,999.5263157894736,625.0,977.5218596786387
0,2693.0,1002.5263157894736,628.0,977.5218596786387
0,2697.0,1093.3529411764705,689.0,998.1654902974561
0,2717.0,1165.0,710.5,1006.6077314425913
0,2733.0,1167.625,726.5,1020.5859759838952
0,2761.0,1183.9375,754.5,1032.7472142754732
0,2765.0,1118.2941176470588,757.0,1039.9186486681306
0,2770.0,1175.75,763.5,1049.8774630879548
0,2773.0,1178.75,766.5,1049.8774630879548
0,2788.0,1269.1333333333334,783.0,1041.5388529585548
0,2833.0,1222.75,826.5,1067.3719771007668
0,2835.0,1224.75,828.5,1067.3719771007668
0,2844.0,1181.9375,809.0,1104.8836176691868
0,2859.0,1127.3529411764705,794.0,1107.443050782587
0,2877.0,1143.2941176470588,812.0,1109.5266486583569
0,2912.0,1040.7894736842106,237.0,1120.2792687045478
0,2936.0,1118.888888888889,566.0,1126.5616267055398
0,2941.0,1123.888888888889,571.0,1126.5616267055398
0,2953.0,1047.9411764705883,278.0,1097.5290681177069
