,time,mean,median,sd
0,357.0,240.0,240.0,110.0
0,584.0,353.3333333333333,357.0,184.13823309918254
0,601.0,370.3333333333333,374.0,184.13823309918254
0,727.0,496.3333333333333,500.0,184.13823309918254
0,733.0,502.3333333333333,506.0,184.13823309918254
0,808.0,577.3333333333334,581.0,184.13823309918254
0,881.0,650.3333333333334,654.0,184.13823309918254
0,887.0,656.3333333333334,660.0,184.13823309918254
0,901.0,670.3333333333334,674.0,184.13823309918254
0,916.0,685.3333333333334,689.0,184.13823309918254
0,921.0,690.3333333333334,694.0,184.13823309918254
0,957.0,550.0,614.5,344.5439014117069
0,974.0,567.0,631.5,344.5439014117069
0,1032.0,625.0,689.5,344.5439014117069
0,1083.0,676.0,740.5,344.5439014117069
0,1157.0,750.0,814.5,344.5439014117069
0,1184.0,777.0,841.5,344.5439014117069
0,1257.0,687.4,799.0,448.02169590322296
0,1271.0,701.4,813.0,448.02169590322296
0,1274.0,704.4,816.0,448.02169590322296
0,1288.0,718.4,830.0,448.02169590322296
0,1300.0,730.4,842.0,448.02169590322296
0,1380.0,669.75,683.0,389.86175434376736
0,1387.0,676.75,690.0,389.86175434376736
0,1479.0,768.75,782.0,389.86175434376736
0,1481.0,770.75,784.0,389.86175434376736
0,1548.0,837.75,851.0,389.86175434376736
0,1567.0,856.75,870.0,389.86175434376736
0,1632.0,921.75,935.0,389.86175434376736
0,1677.0,966.75,980.0,389.86175434376736
0,1682.0,971.75,985.0,389.86175434376736
0,1684.0,973.75,987.0,389.86175434376736
0,1692.0,981.75,995.0,389.86175434376736
0,1759.0,840.4,823.0,543.3531448330818
0,1788.0,869.4,852.0,543.3531448330818
0,1789.0,870.4,853.0,543.3531448330818
0,1801.0,882.4,865.0,543.3531448330818
0,1803.0,884.4,867.0,543.3531448330818
0,1841.0,922.4,905.0,543.3531448330818
0,1848.0,929.4,912.0,543.3531448330818
0,1853.0,934.4,917.0,543.3531448330818
0,1914.0,838.5,836.0,607.548557730162
0,1932.0,856.5,854.0,607.548557730162
0,1964.0,888.5,886.0,607.548557730162
0,1973.0,897.5,895.0,607.548557730162
0,1984.0,908.5,906.0,607.548557730162
0,1985.0,909.5,907.0,607.548557730162
0,2010.0,934.5,932.0,607.548557730162
0,2022.0,946.5,944.0,607.548557730162
0,2031.0,955.5,953.0,607.548557730162
0,2087.0,1011.5,1009.0,607.548557730162
0,2089.0,1013.5,1011.0,607.548557730162
0,2097.0,1021.5,1019.0,607.548557730162
0,2101.0,1025.5,1023.0,607.548557730162
0,2103.0,1027.5,1025.0,607.548557730162
0,2160.0,1084.5,1082.0,607.548557730162
0,2167.0,1091.5,1089.0,607.548557730162
0,2175.0,1256.4,1239.0,543.3531448330818
0,2177.0,1258.4,1241.0,543.3531448330818
0,2266.0,1130.8333333333333,1188.0,693.2047356701738
0,2290.0,1154.8333333333333,1212.0,693.2047356701738
0,2343.0,1207.8333333333333,1265.0,693.2047356701738
0,2368.0,1232.8333333333333,1290.0,693.2047356701738
0,2377.0,1241.8333333333333,1299.0,693.2047356701738
0,2384.0,1248.8333333333333,1306.0,693.2047356701738
0,2392.0,1256.8333333333333,1314.0,693.2047356701738
0,2401.0,1265.8333333333333,1323.0,693.2047356701738
0,2453.0,1317.8333333333333,1375.0,693.2047356701738
0,2456.0,1320.8333333333333,1378.0,693.2047356701738
0,2474.0,1338.8333333333333,1396.0,693.2047356701738
0,2477.0,1341.8333333333333,1399.0,693.2047356701738
0,2496.0,1360.8333333333333,1418.0,693.2047356701738
0,2503.0,1367.8333333333333,1425.0,693.2047356701738
0,2525.0,1389.8333333333333,1447.0,693.2047356701738
0,2527.0,1391.8333333333333,1449.0,693.2047356701738
0,2565.0,1429.8333333333333,1487.0,693.2047356701738
0,2573.0,1437.8333333333333,1495.0,693.2047356701738
0,2578.0,1442.8333333333333,1500.0,693.2047356701738
0,2583.0,1447.8333333333333,1505.0,693.2047356701738
0,2602.0,1466.8333333333333,1524.0,693.2047356701738
0,2607.0,1471.8333333333333,1529.0,693.2047356701738
0,2655.0,1146.375,1169.0,882.50735655574
0,2658.0,1149.375,1172.0,882.50735655574
0,2679.0,1129.142857142857,927.0,936.204255578485
0,2683.0,1133.142857142857,931.0,936.204255578485
0,2689.0,957.1666666666666,704.0,889.241702550862
0,2701.0,969.1666666666666,716.0,889.241702550862
0,2708.0,976.1666666666666,723.0,889.241702550862
0,2709.0,977.1666666666666,724.0,889.241702550862
0,2728.0,996.1666666666666,743.0,889.241702550862
0,2745.0,868.8571428571429,527.0,895.956381044688
0,2756.0,879.8571428571429,538.0,895.956381044688
0,2759.0,882.8571428571429,541.0,895.956381044688
0,2771.0,894.8571428571429,553.0,895.956381044688
0,2781.0,726.6,563.0,658.2199024642146
0,2826.0,650.3333333333334,405.0,659.221173473331
0,2829.0,653.3333333333334,408.0,659.221173473331
0,2833.0,564.0,209.0,651.7341701732606
0,2836.0,567.0,212.0,651.7341701732606
0,2840.0,571.0,216.0,651.7341701732606
0,2871.0,593.5,188.0,703.5940472554705
0,2912.0,634.5,229.0,703.5940472554705
0,2935.0,657.5,252.0,703.5940472554705
0,2951.0,673.5,268.0,703.5940472554705
0,2960.0,751.8,218.0,751.8234899230005
0,2991.0,782.8,249.0,751.8234899230005
0,2997.0,470.75,235.0,448.072747999697
0,3014.0,487.75,252.0,448.072747999697
0,3015.0,488.75,253.0,448.072747999697
0,3017.0,490.75,255.0,448.072747999697
0,3030.0,783.0,783.0,495.0
0,3045.0,798.0,798.0,495.0
0,3047.0,800.0,800.0,495.0
0,3057.0,810.0,810.0,495.0
0,3084.0,837.0,837.0,495.0
0,3096.0,849.0,849.0,495.0
0,3131.0,884.0,884.0,495.0
0,3157.0,910.0,910.0,495.0
0,3173.0,926.0,926.0,495.0
0,3179.0,932.0,932.0,495.0
0,3192.0,945.0,945.0,495.0
0,3235.0,988.0,988.0,495.0
0,3287.0,533.25,298.0,616.1235164315675
0,3301.0,547.25,312.0,616.1235164315675
0,3307.0,553.25,318.0,616.1235164315675
0,3309.0,555.25,320.0,616.1235164315675
0,3314.0,560.25,325.0,616.1235164315675
0,3316.0,562.25,327.0,616.1235164315675
0,3322.0,729.0,580.0,634.6510852429074
0,3337.0,744.0,595.0,634.6510852429074
0,3343.0,824.5,824.5,766.5
0,3345.0,826.5,826.5,766.5
0,3353.0,834.5,834.5,766.5
0,3362.0,843.5,843.5,766.5
0,3366.0,847.5,847.5,766.5
0,3386.0,585.0,101.0,742.4917507959264
0,3392.0,591.0,107.0,742.4917507959264
0,3411.0,610.0,126.0,742.4917507959264
0,3449.0,123.5,123.5,40.5
0,3456.0,130.5,130.5,40.5
0,3487.0,116.66666666666667,121.0,71.50912917631955
0,3497.0,126.66666666666667,131.0,71.50912917631955
0,3501.0,130.66666666666666,135.0,71.50912917631955
0,3507.0,101.33333333333333,116.0,39.75200903378623
0,3509.0,103.33333333333333,118.0,39.75200903378623
0,3513.0,100.0,100.0,47.0
0,3542.0,129.0,129.0,47.0
0,3545.0,132.0,132.0,47.0
0,3580.0,118.5,118.5,95.5
0,3584.0,122.5,122.5,95.5
0,3649.0,187.5,187.5,95.5
0,3657.0,195.5,195.5,95.5
0,3663.0,201.5,201.5,95.5
0,3667.0,110.0,110.0,0.0
0,3696.0,139.0,139.0,0.0
0,3710.0,153.0,153.0,0.0
0,3736.0,99.0,99.0,80.0
0,3740.0,103.0,103.0,80.0
0,3748.0,31.0,31.0,0.0
0,3758.0,41.0,41.0,0.0
0,3759.0,42.0,42.0,0.0
0,3764.0,24.5,24.5,22.5
0,3785.0,37.333333333333336,23.0,21.699974398346395
0,3797.0,49.333333333333336,35.0,21.699974398346395
0,3814.0,66.33333333333333,52.0,21.69997439834639
0,3843.0,74.75,80.0,40.30120965926457
0,3857.0,88.75,94.0,40.30120965926457
0,3867.0,98.75,104.0,40.30120965926457
0,3868.0,99.75,105.0,40.30120965926457
0,3883.0,112.66666666666667,119.0,46.34891824220089
0,3885.0,114.66666666666667,121.0,46.34891824220089
0,3886.0,115.66666666666667,122.0,46.34891824220089
0,3890.0,119.66666666666667,126.0,46.34891824220089
0,3891.0,120.66666666666667,127.0,46.34891824220089
0,3901.0,130.66666666666666,137.0,46.34891824220089
0,3910.0,139.66666666666666,146.0,46.34891824220089
0,3922.0,151.66666666666666,158.0,46.34891824220089
0,3939.0,126.75,142.0,82.9589506924961
0,3944.0,131.75,147.0,82.9589506924961
0,3945.0,132.75,148.0,82.9589506924961
0,3956.0,143.75,159.0,82.9589506924961
0,3963.0,150.75,166.0,82.9589506924961
0,3983.0,170.75,186.0,82.9589506924961
0,3990.0,177.75,193.0,82.9589506924961
0,3998.0,227.66666666666666,234.0,46.34891824220089
0,4014.0,186.0,217.0,107.64525070805493
0,4037.0,187.66666666666666,207.0,116.74568752444587
0,4061.0,211.66666666666666,231.0,116.74568752444587
0,4064.0,214.66666666666666,234.0,116.74568752444587
0,4082.0,223.0,223.0,142.0
0,4107.0,170.66666666666666,106.0,159.38492888462056
0,4112.0,175.66666666666666,111.0,159.38492888462056
0,4116.0,179.66666666666666,115.0,159.38492888462056
0,4117.0,180.66666666666666,116.0,159.38492888462056
0,4123.0,186.66666666666666,122.0,159.38492888462056
0,4126.0,189.66666666666666,125.0,159.38492888462056
0,4166.0,229.66666666666666,165.0,159.38492888462056
0,4175.0,194.33333333333334,174.0,99.432836069826
0,4183.0,137.0,137.0,45.0
0,4185.0,93.33333333333333,94.0,74.3026842643581
0,4191.0,99.33333333333333,100.0,74.3026842643581
0,4207.0,115.33333333333333,116.0,74.3026842643581
0,4230.0,138.33333333333334,139.0,74.3026842643581
0,4235.0,108.75,98.0,87.91295410802665
0,4236.0,109.75,99.0,87.91295410802665
0,4252.0,114.0,69.0,98.7555905590497
0,4264.0,126.0,81.0,98.7555905590497
0,4269.0,131.0,86.0,98.7555905590497
0,4280.0,142.0,97.0,98.7555905590497
0,4297.0,159.0,114.0,98.7555905590497
0,4307.0,169.0,124.0,98.7555905590497
