,time,mean,median,sd
0,307.0,163.85714285714286,205.0,97.63844174362087
0,601.0,258.73333333333335,163.0,159.76084904909865
0,656.0,283.4375,200.0,181.66210692863277
0,834.0,407.8888888888889,373.0,217.4431953634708
0,856.0,407.5263157894737,392.0,231.93655403353932
0,910.0,440.36842105263156,439.0,249.5105124937131
0,979.0,470.1,488.0,279.744329701247
0,1078.0,524.9,565.0,281.0054981668508
0,1201.0,517.0,504.0,348.53418770617037
0,1237.0,553.5416666666666,500.5,355.7109054610062
0,1249.0,564.4347826086956,434.0,363.32101341674434
0,1257.0,594.5,592.0,356.0957161928645
0,1271.0,615.7619047619048,756.0,362.8805266806018
0,1386.0,613.5,496.0,413.4769239832698
0,1422.0,612.2083333333334,486.5,428.65292673353144
0,1458.0,669.6086956521739,538.0,425.13616633307686
0,1475.0,701.4090909090909,585.0,428.8566892533628
0,1495.0,707.0,575.0,433.7146307797109
0,1507.0,735.25,617.0,438.14208597211933
0,1545.0,745.9,655.0,466.5049731782074
0,1578.0,678.5652173913044,627.0,506.3160918607334
0,1673.0,696.16,581.0,537.9480777918999
0,1696.0,690.25,604.0,529.6709080488878
0,1801.0,715.6153846153846,500.5,558.6010050476428
0,1815.0,696.5833333333334,514.5,538.0580759133308
0,1848.0,707.3333333333334,484.0,555.1728459578052
0,1857.0,740.9565217391304,539.0,554.1357138950608
0,1890.0,814.047619047619,798.0,559.6956210375572
0,1915.0,789.8181818181819,664.0,586.5226986511757
0,1933.0,798.047619047619,523.0,598.5733416645566
0,1987.0,788.4090909090909,440.0,631.1003132402177
0,2005.0,767.5714285714286,439.0,619.7335503822492
0,2010.0,753.3333333333334,444.0,636.8183065487011
0,2021.0,764.3333333333334,455.0,636.8183065487011
0,2088.0,819.952380952381,522.0,648.7544458928661
0,2095.0,801.952380952381,529.0,669.537116307512
0,2096.0,802.952380952381,530.0,669.537116307512
0,2107.0,825.7,537.5,683.9560000467867
0,2116.0,870.9473684210526,550.0,682.7438815223704
0,2117.0,871.9473684210526,551.0,682.7438815223704
0,2163.0,845.55,582.5,714.6113961447858
0,2174.0,856.55,593.5,714.6113961447858
0,2179.0,903.9473684210526,606.0,708.2344596681921
0,2290.0,818.0434782608696,394.0,758.6426367424611
0,2292.0,820.0434782608696,396.0,758.6426367424611
0,2315.0,875.3809523809524,419.0,785.725292852193
0,2368.0,924.9047619047619,472.0,789.5743823196262
0,2401.0,915.8181818181819,465.5,795.1647420139733
0,2415.0,870.3913043478261,408.0,815.9474481762016
0,2419.0,804.76,363.0,817.475738110924
