,time,mean,median,sd
0,909.0,456.57894736842104,526.0,228.40368597575875
0,959.0,507.8888888888889,596.5,234.593001905875
0,975.0,526.2941176470588,633.0,241.17842179985445
0,1028.0,508.5,597.5,285.93438446997277
0,1078.0,558.5,647.5,285.93438446997277
0,1171.0,556.1,557.0,336.00117559318153
0,1184.0,554.4736842105264,515.0,338.4673456100623
0,1201.0,560.6842105263158,532.0,352.5381730180478
0,1267.0,543.7142857142857,466.0,396.1301064353602
0,1332.0,523.8636363636364,479.0,392.58586732476823
0,1383.0,550.7727272727273,445.0,409.8673767560985
0,1425.0,539.4545454545455,379.0,406.5515428882215
0,1452.0,554.5454545454545,406.0,418.88713247373227
0,1473.0,554.6818181818181,393.0,435.2343555084732
0,1494.0,530.1363636363636,389.0,439.183467093873
0,1511.0,496.27272727272725,336.0,433.730035623143
0,1584.0,532.1304347826087,340.0,448.5949372979773
0,1647.0,550.9583333333334,362.0,466.48262553985387
0,1672.0,575.9583333333334,387.0,466.48262553985387
0,1681.0,550.7826086956521,368.0,446.1341148053965
0,1799.0,653.4347826086956,486.0,461.64157243349064
0,1801.0,655.4347826086956,488.0,461.64157243349064
0,1840.0,596.7391304347826,467.0,443.4026747179926
0,1856.0,625.1363636363636,507.0,449.4526262278824
0,1873.0,648.9047619047619,548.0,458.93270642322204
0,1980.0,634.96,508.0,500.0413166929309
0,1988.0,621.72,508.0,515.0993317798035
0,1990.0,623.72,510.0,515.0993317798035
0,2013.0,601.8461538461538,475.0,532.7433854989656
0,2032.0,604.7307692307693,494.0,544.7470519348553
0,2077.0,598.1111111111111,304.0,559.3992368361254
0,2085.0,606.1538461538462,294.5,570.0553746589139
0,2097.0,619.08,289.0,581.3255143205054
0,2112.0,595.7916666666666,302.0,561.5783545186628
0,2122.0,616.9565217391304,310.0,571.0431703973587
0,2155.0,649.9565217391304,343.0,571.0431703973587
0,2170.0,664.9565217391304,358.0,571.0431703973587
0,2171.0,665.9565217391304,359.0,571.0431703973587
0,2185.0,662.8695652173913,373.0,587.6671865241433
0,2274.0,733.3478260869565,393.0,603.0238014406809
0,2281.0,774.3809523809524,473.0,620.4303787495286
0,2282.0,775.3809523809524,474.0,620.4303787495286
0,2399.0,819.5,510.5,652.3781495421194
0,2401.0,821.5,512.5,652.3781495421194
0,2419.0,797.9090909090909,470.0,688.2358151027034
0,2427.0,826.9047619047619,531.0,697.5142875998281
0,2457.0,856.9047619047619,561.0,697.5142875998281
0,2469.0,841.8571428571429,467.0,719.1416368682535
0,2521.0,834.4545454545455,518.5,742.2177900952552
0,2530.0,843.4545454545455,527.5,742.2177900952552
0,2533.0,809.7391304347826,530.0,746.0510075458068
0,2549.0,809.695652173913,546.0,759.4192537884293
0,2574.0,846.6363636363636,484.0,774.3724465335872
0,2585.0,870.7619047619048,408.0,790.2008728805188
0,2599.0,910.95,606.5,800.7722194856664
0,2611.0,922.95,618.5,800.7722194856664
0,2624.0,961.6842105263158,816.0,813.4742937504526
0,2642.0,931.55,592.5,820.1673899272026
0,2674.0,918.0,383.0,825.9167489465729
0,2675.0,919.0,384.0,825.9167489465729
0,2678.0,955.05,628.5,832.6506155044864
0,2685.0,1002.421052631579,877.0,834.9853018428701
0,2689.0,997.421052631579,881.0,844.7840157347897
0,2714.0,1062.2777777777778,1147.5,850.367685543897
0,2716.0,1008.3684210526316,908.0,861.0060339984368
0,2745.0,1012.3333333333334,695.5,877.8428738168984
0,2778.0,931.3,436.0,898.3081932165597
0,2793.0,900.3809523809524,400.0,900.3633909859199
0,2799.0,926.3,370.5,918.0712445121021
0,2834.0,951.5,405.5,927.0515897187169
0,2870.0,940.9047619047619,406.0,928.3975392738313
0,2898.0,963.6666666666666,434.0,933.4239241749818
0,2905.0,1000.5,476.5,946.6539230362911
0,2994.0,849.7692307692307,293.5,938.6807972113069
0,3001.0,856.4230769230769,300.5,938.993863053466
0,3008.0,890.48,321.0,947.5989919792022
0,3015.0,888.64,328.0,954.8066560304238
0,3027.0,826.0416666666666,326.5,900.2880779305527
0,3046.0,866.1739130434783,332.0,913.8056901330121
0,3066.0,849.7083333333334,332.5,911.4995647816964
0,3069.0,852.7083333333334,335.5,911.4995647816964
0,3133.0,866.12,343.0,919.8993997171649
0,3149.0,866.52,288.0,931.2478132054861
0,3167.0,844.625,296.5,929.2827795536728
0,3185.0,862.625,314.5,929.2827795536728
0,3210.0,865.7083333333334,315.5,943.2498996893077
0,3276.0,804.4285714285714,355.0,927.3022865345717
0,3279.0,807.4285714285714,358.0,927.3022865345717
0,3287.0,771.1538461538462,357.0,903.6080963094435
0,3288.0,772.1538461538462,358.0,903.6080963094435
0,3316.0,829.5416666666666,373.0,934.2424729500842
0,3321.0,850.8260869565217,348.0,950.9957094117043
0,3339.0,868.8260869565217,366.0,950.9957094117043
0,3349.0,777.9230769230769,346.0,937.0689952053413
0,3351.0,779.9230769230769,348.0,937.0689952053413
0,3377.0,815.48,369.0,956.2279694717154
0,3391.0,847.6666666666666,359.5,971.7005139902361
0,3402.0,873.304347826087,347.0,990.0059918475948
0,3434.0,769.75,347.0,949.2644191688636
0,3438.0,773.75,351.0,949.2644191688636
0,3464.0,799.75,377.0,949.2644191688636
0,3473.0,776.56,386.0,943.3597014924901
0,3477.0,750.6538461538462,362.0,937.04802201495
0,3488.0,761.4583333333334,320.0,970.6183587094821
0,3489.0,762.4583333333334,321.0,970.6183587094821
0,3494.0,750.5416666666666,291.5,980.2435912893739
0,3503.0,737.75,290.0,990.8601587341509
0,3588.0,792.24,374.0,982.2791570627976
0,3590.0,794.24,376.0,982.2791570627976
0,3596.0,789.4166666666666,295.5,1011.6556939273142
0,3598.0,791.4166666666666,297.5,1011.6556939273142
0,3601.0,794.4166666666666,300.5,1011.6556939273142
0,3626.0,856.7727272727273,325.5,1047.94751481248
0,3654.0,796.1739130434783,309.0,1051.6337456413448
0,3657.0,799.1739130434783,312.0,1051.6337456413448
0,3665.0,827.9047619047619,311.0,1098.1276231130837
0,3682.0,807.0,291.0,1086.8502865871387
0,3697.0,822.0,306.0,1086.8502865871387
0,3733.0,810.3478260869565,300.0,1083.250487259271
0,3748.0,837.6363636363636,297.0,1106.027229052232
0,3775.0,864.6363636363636,324.0,1106.027229052232
0,3787.0,893.2857142857143,318.0,1129.358230857438
0,3806.0,884.7142857142857,332.0,1143.7678395322623
0,3809.0,887.7142857142857,335.0,1143.7678395322623
0,3815.0,944.8947368421053,322.0,1190.773295615604
0,3825.0,907.2,330.5,1179.09497497021
0,3875.0,769.2,284.0,1119.6572332638234
0,3883.0,755.8,243.0,1129.0974802912278
0,3885.0,757.8,245.0,1129.0974802912278
0,3889.0,682.695652173913,237.0,1093.244729146765
0,3918.0,694.0,247.0,1101.0566466492244
0,3936.0,728.6818181818181,251.5,1122.9563411882386
0,3947.0,750.4285714285714,249.0,1148.2766205400646
0,3962.0,731.1818181818181,262.5,1132.7997350235485
0,3982.0,718.5652173913044,281.0,1118.4126883216525
0,3988.0,733.9090909090909,242.0,1142.6703536847724
0,3998.0,711.9565217391304,207.0,1127.5581727309016
0,4014.0,754.6818181818181,268.0,1145.7531221612048
0,4061.0,776.0,253.5,1156.9803958424
0,4062.0,777.0,254.5,1156.9803958424
0,4070.0,749.0869565217391,246.0,1143.3382820588017
0,4071.0,750.0869565217391,247.0,1143.3382820588017
0,4107.0,835.7142857142857,283.0,1183.7815573450212
0,4108.0,836.7142857142857,284.0,1183.7815573450212
0,4115.0,686.0952380952381,283.0,1058.0576050913344
0,4165.0,725.6190476190476,333.0,1063.7736277356003
0,4195.0,760.05,353.5,1089.8544616140266
0,4196.0,761.05,354.5,1089.8544616140266
0,4201.0,780.0526315789474,350.0,1116.4121797636633
0,4207.0,806.6111111111111,348.5,1143.4985370873842
0,4208.0,807.6111111111111,349.5,1143.4985370873842
0,4222.0,800.3888888888889,356.0,1154.8008072048565
0,4227.0,725.15,354.0,1121.674162803084
0,4256.0,741.6315789473684,306.0,1159.76886129709
0,4257.0,742.6315789473684,307.0,1159.76886129709
0,4270.0,793.8823529411765,320.0,1219.4471689761206
0,4294.0,792.7647058823529,236.0,1231.2506090490826
0,4303.0,798.1764705882352,245.0,1231.828876355331
0,4307.0,802.1764705882352,249.0,1231.828876355331
0,4315.0,873.2666666666667,257.0,1295.307194795462
0,4324.0,913.5714285714286,261.0,1335.2772164977428
0,4331.0,805.625,241.5,1285.5284358484646
0,4334.0,808.625,244.5,1285.5284358484646
0,4340.0,860.2857142857143,223.0,1368.1829153281801
0,4370.0,831.2666666666667,247.0,1340.110068447945
0,4419.0,780.8823529411765,205.0,1287.9024845416602
0,4424.0,823.625,255.5,1318.387076838589
0,4443.0,842.625,274.5,1318.387076838589
0,4453.0,852.625,284.5,1318.387076838589
0,4462.0,624.875,243.0,1091.282208860293
0,4490.0,619.8125,239.0,1102.1604476407915
0,4492.0,621.8125,241.0,1102.1604476407915
0,4511.0,616.625,207.0,1111.648768440374
0,4514.0,619.625,210.0,1111.648768440374
0,4521.0,647.9333333333333,191.0,1144.9377547370084
0,4561.0,645.375,231.0,1120.7678101975448
0,4563.0,647.375,233.0,1120.7678101975448
0,4587.0,639.5,239.5,1131.5640171903665
0,4592.0,644.5,244.5,1131.5640171903665
0,4659.0,669.0,285.5,1148.224009067917
0,4662.0,672.0,288.5,1148.224009067917
0,4668.0,546.4285714285714,284.5,1068.2300256756978
0,4677.0,581.2307692307693,295.0,1104.3427668733843
0,4682.0,586.2307692307693,300.0,1104.3427668733843
0,4691.0,595.2307692307693,309.0,1104.3427668733843
0,4716.0,617.9166666666666,332.5,1149.4061117473764
0,4779.0,516.6875,247.0,1035.324388703246
0,4783.0,520.6875,251.0,1035.324388703246
0,4788.0,525.6875,256.0,1035.324388703246
0,4792.0,535.5,231.0,1106.2833368665422
0,4801.0,544.5,240.0,1106.2833368665422
0,4834.0,541.5714285714286,240.5,1116.210343354802
0,4847.0,554.5714285714286,253.5,1116.210343354802
0,4868.0,498.4,217.0,1095.6524266390322
0,4875.0,505.4,224.0,1095.6524266390322
0,4933.0,530.5625,249.0,1068.4570047941797
0,4960.0,523.0588235294117,243.0,1045.579291762859
0,4964.0,527.0588235294117,247.0,1045.579291762859
0,4965.0,528.0588235294117,248.0,1045.579291762859
0,4968.0,501.72222222222223,231.0,1023.294451245885
0,4991.0,484.2105263157895,221.0,1007.21087422265
0,4998.0,468.1578947368421,222.0,1013.0232118272667
0,5009.0,470.0,204.5,1040.016613115173
0,5014.0,465.94117647058823,181.0,1069.4779083925914
0,5039.0,460.2352941176471,177.0,1075.4214784917513
0,5055.0,450.05555555555554,191.0,1050.6812325672975
0,5080.0,451.0,214.0,1027.7380374804713
0,5086.0,457.0,220.0,1027.7380374804713
0,5090.0,461.0,224.0,1027.7380374804713
0,5118.0,493.70588235294116,178.0,1085.8633195706204
0,5141.0,529.75,199.0,1117.9894062557123
0,5147.0,535.75,205.0,1117.9894062557123
0,5156.0,555.7333333333333,212.0,1153.8183835518578
0,5179.0,255.6,214.0,145.25462700604984
0,5187.0,267.64285714285717,232.5,149.53528353003568
0,5204.0,261.53846153846155,239.0,128.87000927268076
0,5219.0,240.73333333333332,246.0,150.7560796636592
0,5242.0,264.7142857142857,273.0,156.0011119792917
0,5266.0,269.73333333333335,293.0,166.6067092153121
0,5274.0,253.07142857142858,271.5,143.58743691847252
0,5286.0,219.86666666666667,236.0,156.5272571222732
0,5287.0,220.86666666666667,237.0,156.5272571222732
0,5320.0,225.11764705882354,258.0,166.80452891049424
0,5346.0,243.0,236.0,168.64904387514326
0,5385.0,267.47058823529414,227.0,173.62912389446612
0,5400.0,282.47058823529414,242.0,173.62912389446612
0,5401.0,283.47058823529414,243.0,173.62912389446612
0,5403.0,274.375,220.0,173.0270481023126
0,5419.0,281.1875,236.0,183.45374715101897
0,5427.0,233.47058823529412,213.0,171.68545714116738
0,5433.0,223.875,187.5,164.87376800146225
0,5443.0,220.58823529411765,166.0,168.54954196581434
0,5448.0,213.16666666666666,167.5,171.62078674928762
0,5449.0,214.16666666666666,168.5,171.62078674928762
0,5457.0,213.72222222222223,176.5,178.3737666174148
0,5464.0,206.88888888888889,163.0,185.09543751171805
0,5473.0,215.55555555555554,172.0,185.4709387904274
0,5475.0,217.55555555555554,174.0,185.4709387904274
0,5484.0,227.7058823529412,166.0,190.78560949119654
0,5502.0,232.5,168.0,193.23999183513862
0,5511.0,229.10526315789474,161.0,195.298932742076
0,5513.0,231.10526315789474,163.0,195.298932742076
0,5525.0,216.38888888888889,145.5,177.26381434614117
0,5533.0,224.38888888888889,153.5,177.26381434614117
0,5540.0,215.11764705882354,131.0,168.83506826727856
0,5550.0,212.66666666666666,136.0,171.92181685612536
0,5556.0,191.44444444444446,135.0,164.81680814441705
0,5574.0,189.4,145.0,167.52474444093326
0,5589.0,204.4,160.0,167.52474444093326
0,5606.0,192.14285714285714,160.0,170.148754445796
0,5624.0,197.85714285714286,155.0,174.35685511378685
0,5645.0,178.57692307692307,132.5,177.12928200717886
0,5646.0,179.57692307692307,133.5,177.12928200717886
0,5656.0,169.84,136.0,150.0052479081982
0,5657.0,170.84,137.0,150.0052479081982
0,5666.0,185.83333333333334,153.5,150.13706700508334
0,5677.0,175.25,142.5,139.09926012264287
0,5678.0,176.25,143.5,139.09926012264287
0,5688.0,179.3181818181818,153.5,136.7872888710578
0,5695.0,186.3181818181818,160.5,136.7872888710578
0,5715.0,177.76190476190476,166.0,102.19537999151417
0,5721.0,171.8095238095238,169.0,108.02716547575255
0,5761.0,189.3181818181818,157.5,116.77577051131966
0,5766.0,187.0909090909091,160.0,123.23219365782225
0,5777.0,198.0909090909091,171.0,123.23219365782225
0,5779.0,200.0909090909091,173.0,123.23219365782225
0,5794.0,211.63636363636363,188.0,127.67556378092426
0,5813.0,223.04761904761904,205.0,125.73913895744491
0,5824.0,214.17391304347825,196.0,136.3246292379407
0,5848.0,220.43478260869566,211.0,136.88358306206504
0,5863.0,225.83333333333334,224.0,141.6923506129467
0,5871.0,233.83333333333334,232.0,141.6923506129467
0,5879.0,227.95652173913044,238.0,127.78122549068662
0,5902.0,226.875,243.0,139.1136563210097
0,5904.0,228.875,245.0,139.1136563210097
0,5918.0,223.72727272727272,220.0,128.1884911222468
0,5949.0,244.2608695652174,229.0,134.63968579341014
0,5987.0,251.42307692307693,242.0,152.73687104019095
0,5990.0,254.42307692307693,245.0,152.73687104019095
0,5992.0,246.96296296296296,243.0,157.4527516387956
0,5997.0,251.96296296296296,248.0,157.4527516387956
0,5998.0,252.96296296296296,249.0,157.4527516387956
0,6001.0,255.96296296296296,252.0,157.4527516387956
0,6002.0,257.2,253.0,148.49242404917499
0,6014.0,245.91666666666666,243.0,152.2215810002715
0,6023.0,244.88,243.0,157.04198674239956
0,6024.0,245.88,244.0,157.04198674239956
0,6040.0,263.0869565217391,260.0,154.41669008787153
0,6052.0,254.33333333333334,250.5,168.31534557358566
0,6066.0,266.7826086956522,243.0,171.76752654621131
0,6075.0,250.7391304347826,248.0,167.37544814793512
0,6081.0,228.8695652173913,223.0,152.9874403335482
0,6086.0,233.8695652173913,228.0,152.9874403335482
0,6101.0,239.08333333333334,228.0,156.9479522715165
0,6113.0,236.25,224.0,162.30661570003855
0,6121.0,232.3913043478261,231.0,155.28591837679537
0,6128.0,229.66666666666666,215.5,159.00960837495185
0,6129.0,230.66666666666666,216.5,159.00960837495185
0,6132.0,233.66666666666666,219.5,159.00960837495185
0,6143.0,227.25,192.0,161.39683237288148
0,6158.0,234.875,207.0,167.7628068881777
0,6169.0,236.16,202.0,171.12490876549796
0,6179.0,246.16,212.0,171.12490876549796
0,6183.0,228.56,180.0,166.9541446026423
0,6211.0,218.55555555555554,168.0,162.67106855003405
0,6222.0,229.55555555555554,179.0,162.67106855003405
0,6226.0,225.28571428571428,181.5,165.41870190149453
0,6227.0,226.28571428571428,182.5,165.41870190149453
0,6228.0,223.11111111111111,182.0,166.9995194788681
0,6244.0,224.8846153846154,186.0,154.3179352762633
0,6245.0,225.8846153846154,187.0,154.3179352762633
0,6248.0,228.8846153846154,190.0,154.3179352762633
0,6273.0,217.6,186.0,153.3323188372236
0,6292.0,227.08333333333334,196.0,149.0846841749868
0,6297.0,227.66666666666666,201.0,154.17837793355537
0,6298.0,228.66666666666666,202.0,154.17837793355537
0,6309.0,235.8181818181818,195.5,159.45835488348914
0,6312.0,238.8181818181818,198.5,159.45835488348914
0,6326.0,223.7,196.0,135.9228089762715
0,6330.0,227.7,200.0,135.9228089762715
0,6352.0,222.1,208.0,123.11575853642783
0,6355.0,225.1,211.0,123.11575853642783
0,6361.0,216.78947368421052,211.0,108.9010071711042
0,6374.0,218.85,216.0,116.3624832151669
0,6384.0,201.04761904761904,203.0,126.53908720063204
0,6398.0,212.8,214.5,129.2542455782401
0,6416.0,213.15,229.0,133.08579000028516
0,6428.0,203.14285714285714,197.0,144.840235699722
0,6438.0,213.14285714285714,207.0,144.840235699722
0,6439.0,214.14285714285714,208.0,144.840235699722
0,6471.0,241.38095238095238,240.0,150.82392010315687
0,6473.0,243.38095238095238,242.0,150.82392010315687
0,6485.0,238.4,234.5,133.52842394037307
0,6489.0,242.4,238.5,133.52842394037307
0,6500.0,260.42105263157896,269.0,133.3504744291182
0,6512.0,249.78947368421052,242.0,139.01820363473357
0,6523.0,248.05,252.0,146.43547213704744
0,6544.0,256.57142857142856,272.0,153.4162006185947
0,6545.0,257.57142857142856,273.0,153.4162006185947
0,6560.0,272.57142857142856,288.0,153.4162006185947
0,6583.0,283.1363636363636,299.5,160.35565456326518
0,6596.0,292.6363636363636,312.5,165.80452495594855
0,6601.0,292.04761904761904,306.0,167.66959465127107
0,6605.0,267.4761904761905,273.0,164.18474467954545
0,6623.0,272.59090909090907,268.0,170.93264465357245
0,6637.0,275.7142857142857,259.0,167.3519652472263
0,6645.0,273.6666666666667,267.0,177.04891262111005
0,6658.0,281.7,269.5,179.98780514245956
0,6662.0,285.7,273.5,179.98780514245956
0,6668.0,284.05263157894734,269.0,181.46899798565286
0,6677.0,293.05263157894734,278.0,181.46899798565286
0,6678.0,294.05263157894734,279.0,181.46899798565286
0,6693.0,309.05263157894734,294.0,181.46899798565286
0,6709.0,309.55555555555554,300.0,173.77419007379223
0,6730.0,283.7894736842105,267.0,184.109114942705
0,6735.0,288.7894736842105,272.0,184.109114942705
0,6747.0,286.0,265.5,190.67564081444698
0,6751.0,290.0,269.5,190.67564081444698
0,6798.0,298.04347826086956,261.0,204.29443335770355
0,6799.0,299.04347826086956,262.0,204.29443335770355
0,6812.0,309.0,251.0,212.48798285348482
0,6819.0,290.0,225.0,205.64810443362433
0,6830.0,283.35,231.5,207.6268949341583
0,6834.0,287.35,235.5,207.6268949341583
0,6852.0,302.89473684210526,249.0,212.73751920515178
0,6867.0,317.89473684210526,264.0,212.73751920515178
0,6883.0,303.0952380952381,262.0,223.52115160632897
0,6893.0,313.0952380952381,272.0,223.52115160632897
0,6894.0,314.0952380952381,273.0,223.52115160632897
0,6906.0,311.0,276.5,236.17281808032016
