,time,mean,median,sd
0,582.0,317.0,338.0,182.2763469753184
0,601.0,252.25,230.0,214.38443856772813
0,615.0,266.25,244.0,214.38443856772813
0,643.0,294.25,272.0,214.38443856772813
0,733.0,384.25,362.0,214.38443856772813
0,837.0,488.25,466.0,214.38443856772813
0,889.0,540.25,518.0,214.38443856772813
0,917.0,568.25,546.0,214.38443856772813
0,982.0,633.25,611.0,214.38443856772813
0,1036.0,687.25,665.0,214.38443856772813
0,1184.0,679.0,686.0,366.6398778092748
0,1201.0,696.0,703.0,366.6398778092748
0,1237.0,732.0,739.0,366.6398778092748
0,1257.0,752.0,759.0,366.6398778092748
0,1271.0,766.0,773.0,366.6398778092748
0,1332.0,827.0,834.0,366.6398778092748
0,1388.0,883.0,890.0,366.6398778092748
0,1415.0,910.0,917.0,366.6398778092748
0,1479.0,974.0,981.0,366.6398778092748
0,1489.0,984.0,991.0,366.6398778092748
0,1519.0,1014.0,1021.0,366.6398778092748
0,1544.0,1039.0,1046.0,366.6398778092748
0,1581.0,963.0,1032.0,322.7785618655613
0,1596.0,978.0,1047.0,322.7785618655613
0,1676.0,1058.0,1127.0,322.7785618655613
0,1685.0,1067.0,1136.0,322.7785618655613
0,1801.0,966.8,1201.0,519.9216864105593
0,1802.0,967.8,1202.0,519.9216864105593
0,1843.0,1008.8,1243.0,519.9216864105593
0,1845.0,1010.8,1245.0,519.9216864105593
0,1856.0,1021.8,1256.0,519.9216864105593
0,1878.0,1043.8,1278.0,519.9216864105593
0,1914.0,900.1666666666666,1049.0,621.7765988591793
0,1934.0,920.1666666666666,1069.0,621.7765988591793
0,1993.0,979.1666666666666,1128.0,621.7765988591793
0,2010.0,996.1666666666666,1145.0,621.7765988591793
0,2055.0,1041.1666666666667,1190.0,621.7765988591793
0,2084.0,1070.1666666666667,1219.0,621.7765988591793
0,2090.0,1076.1666666666667,1225.0,621.7765988591793
0,2097.0,1083.1666666666667,1232.0,621.7765988591793
0,2099.0,1085.1666666666667,1234.0,621.7765988591793
0,2118.0,1021.4,988.0,650.2502902729071
0,2157.0,1060.4,1027.0,650.2502902729071
0,2166.0,1069.4,1036.0,650.2502902729071
0,2179.0,882.2,480.0,772.3463989687529
0,2194.0,897.2,495.0,772.3463989687529
0,2281.0,984.2,582.0,772.3463989687529
0,2282.0,985.2,583.0,772.3463989687529
0,2308.0,1011.2,609.0,772.3463989687529
0,2372.0,1075.2,673.0,772.3463989687529
0,2389.0,1092.2,690.0,772.3463989687529
0,2408.0,1111.2,709.0,772.3463989687529
0,2427.0,1130.2,728.0,772.3463989687529
0,2440.0,1143.2,741.0,772.3463989687529
0,2456.0,1159.2,757.0,772.3463989687529
0,2473.0,1176.2,774.0,772.3463989687529
0,2514.0,1019.1666666666666,708.5,832.5774071453591
0,2520.0,1025.1666666666667,714.5,832.577407145359
0,2580.0,1085.1666666666667,774.5,832.577407145359
0,2590.0,1095.1666666666667,784.5,832.577407145359
0,2620.0,1125.1666666666667,814.5,832.577407145359
0,2650.0,1155.1666666666667,844.5,832.577407145359
0,2656.0,1161.1666666666667,850.5,832.577407145359
0,2668.0,1173.1666666666667,862.5,832.577407145359
0,2683.0,1178.1666666666667,847.5,835.3253690761596
0,2744.0,872.8333333333334,722.5,794.4153860264512
0,2753.0,881.8333333333334,731.5,794.4153860264512
0,2785.0,913.8333333333334,763.5,794.4153860264512
0,2800.0,928.8333333333334,778.5,794.4153860264512
0,2824.0,952.8333333333334,802.5,794.4153860264512
0,2828.0,956.8333333333334,806.5,794.4153860264512
0,2836.0,964.8333333333334,814.5,794.4153860264512
0,2872.0,1052.8,960.0,860.8784815524198
0,2876.0,1056.8,964.0,860.8784815524198
0,2975.0,1155.8,1063.0,860.8784815524198
0,2988.0,1168.8,1076.0,860.8784815524198
0,2999.0,1203.0,877.0,961.0923472799063
0,3001.0,1205.0,879.0,961.0923472799063
0,3009.0,1213.0,887.0,961.0923472799063
0,3044.0,1248.0,922.0,961.0923472799063
0,3052.0,1256.0,930.0,961.0923472799063
0,3074.0,852.8333333333334,483.5,988.6012705950878
0,3110.0,888.8333333333334,519.5,988.6012705950878
0,3120.0,898.8333333333334,529.5,988.6012705950878
0,3133.0,911.8333333333334,542.5,988.6012705950878
0,3141.0,919.8333333333334,550.5,988.6012705950878
0,3164.0,942.8333333333334,573.5,988.6012705950878
0,3181.0,959.8333333333334,590.5,988.6012705950878
0,3187.0,965.8333333333334,596.5,988.6012705950878
0,3190.0,968.8333333333334,599.5,988.6012705950878
0,3217.0,995.8333333333334,626.5,988.6012705950878
0,3234.0,1012.8333333333334,643.5,988.6012705950878
0,3250.0,1028.8333333333333,659.5,988.6012705950878
0,3280.0,1058.8333333333333,689.5,988.6012705950878
0,3288.0,1066.8333333333333,697.5,988.6012705950878
0,3289.0,1067.8333333333333,698.5,988.6012705950878
0,3290.0,1068.8333333333333,699.5,988.6012705950878
0,3315.0,1093.8333333333333,724.5,988.6012705950878
0,3319.0,1097.8333333333333,728.5,988.6012705950878
0,3342.0,1120.8333333333333,751.5,988.6012705950878
0,3345.0,1031.4,649.0,1059.0257031819388
0,3352.0,1228.0,761.5,1105.5218224892712
0,3354.0,1230.0,763.5,1105.5218224892712
0,3368.0,1244.0,777.5,1105.5218224892712
0,3370.0,1246.0,779.5,1105.5218224892712
0,3374.0,1250.0,783.5,1105.5218224892712
0,3412.0,1037.0,716.0,1108.9394933899684
0,3414.0,1039.0,718.0,1108.9394933899684
0,3432.0,524.25,548.5,343.6141549761884
0,3433.0,525.25,549.5,343.6141549761884
0,3477.0,569.25,593.5,343.6141549761884
0,3500.0,474.0,429.0,387.7999484270208
0,3502.0,476.0,431.0,387.7999484270208
0,3509.0,464.2,344.0,391.7838179404555
0,3511.0,466.2,346.0,391.7838179404555
0,3546.0,430.8,167.0,436.16895808849125
0,3601.0,267.2,102.0,325.3671157323677
0,3604.0,270.2,105.0,325.3671157323677
0,3606.0,272.2,107.0,325.3671157323677
0,3627.0,293.2,128.0,325.3671157323677
0,3643.0,309.2,144.0,325.3671157323677
0,3654.0,160.75,146.0,72.1677732786595
0,3657.0,163.75,149.0,72.1677732786595
0,3665.0,171.75,157.0,72.1677732786595
0,3671.0,179.66666666666666,154.0,83.24395206593422
0,3715.0,169.0,167.5,119.00630235411904
0,3731.0,185.0,183.5,119.00630235411904
0,3781.0,235.0,233.5,119.00630235411904
0,3787.0,241.0,239.5,119.00630235411904
0,3810.0,264.0,262.5,119.00630235411904
0,3827.0,281.0,279.5,119.00630235411904
0,3835.0,289.0,287.5,119.00630235411904
0,3849.0,303.0,301.5,119.00630235411904
0,3850.0,304.0,302.5,119.00630235411904
0,3858.0,312.0,310.5,119.00630235411904
0,3861.0,315.0,313.5,119.00630235411904
0,3876.0,330.0,328.5,119.00630235411904
0,3882.0,336.0,334.5,119.00630235411904
0,3887.0,341.0,339.5,119.00630235411904
0,3899.0,353.0,351.5,119.00630235411904
0,3917.0,371.0,369.5,119.00630235411904
0,3954.0,330.8,376.0,187.53495674140328
0,3966.0,342.8,388.0,187.53495674140328
0,3967.0,343.8,389.0,187.53495674140328
0,3979.0,355.8,401.0,187.53495674140328
0,4007.0,321.5,363.0,220.71304900254538
0,4014.0,328.5,370.0,220.71304900254538
0,4016.0,330.5,372.0,220.71304900254538
0,4022.0,336.5,378.0,220.71304900254538
0,4074.0,273.0,253.0,211.22026417936326
0,4081.0,280.0,260.0,211.22026417936326
0,4091.0,290.0,270.0,211.22026417936326
0,4110.0,252.2,178.0,184.87660749808234
0,4115.0,257.2,183.0,184.87660749808234
0,4127.0,269.2,195.0,184.87660749808234
0,4173.0,315.2,241.0,184.87660749808234
0,4176.0,265.6666666666667,211.5,205.624793144104
0,4198.0,221.2,201.0,155.66296926372695
0,4201.0,224.2,204.0,155.66296926372695
0,4210.0,233.2,213.0,155.66296926372695
0,4225.0,248.2,228.0,155.66296926372695
0,4228.0,251.2,231.0,155.66296926372695
0,4243.0,266.2,246.0,155.66296926372695
0,4257.0,280.2,260.0,155.66296926372695
0,4304.0,327.2,307.0,155.66296926372695
0,4311.0,271.6,239.0,205.99766988973442
0,4315.0,275.6,243.0,205.99766988973442
0,4325.0,285.6,253.0,205.99766988973442
0,4326.0,286.6,254.0,205.99766988973442
0,4364.0,198.6,191.0,151.42734231307105
0,4368.0,202.6,195.0,151.42734231307105
0,4380.0,156.25,138.5,107.88506615838914
0,4381.0,157.25,139.5,107.88506615838914
0,4383.0,159.25,141.5,107.88506615838914
0,4392.0,168.25,150.5,107.88506615838914
0,4422.0,198.25,180.5,107.88506615838914
0,4447.0,223.25,205.5,107.88506615838914
0,4457.0,233.25,215.5,107.88506615838914
0,4472.0,248.25,230.5,107.88506615838914
0,4478.0,254.25,236.5,107.88506615838914
0,4485.0,210.66666666666666,175.0,72.69265590293301
0,4494.0,219.66666666666666,184.0,72.69265590293301
0,4501.0,226.66666666666666,191.0,72.69265590293301
0,4504.0,229.66666666666666,194.0,72.69265590293301
0,4557.0,282.6666666666667,247.0,72.69265590293301
0,4571.0,296.6666666666667,261.0,72.69265590293301
0,4582.0,307.6666666666667,272.0,72.69265590293301
0,4592.0,317.6666666666667,282.0,72.69265590293301
0,4638.0,363.6666666666667,328.0,72.69265590293301
0,4655.0,380.6666666666667,345.0,72.69265590293301
0,4668.0,295.5,343.0,181.30981771542324
0,4678.0,305.5,353.0,181.30981771542324
0,4682.0,309.5,357.0,181.30981771542324
0,4686.0,313.5,361.0,181.30981771542324
0,4694.0,255.0,354.0,161.68487869927725
0,4728.0,224.25,224.5,179.39951923012504
0,4731.0,227.25,227.5,179.39951923012504
0,4752.0,155.25,77.5,148.63945472182007
0,4770.0,201.66666666666666,103.0,161.9512958337235
0,4776.0,207.66666666666666,109.0,161.9512958337235
0,4792.0,223.66666666666666,125.0,161.9512958337235
0,4797.0,228.66666666666666,130.0,161.9512958337235
0,4799.0,230.66666666666666,132.0,161.9512958337235
0,4801.0,232.66666666666666,134.0,161.9512958337235
0,4817.0,248.66666666666666,150.0,161.9512958337235
0,4820.0,251.66666666666666,153.0,161.9512958337235
0,4839.0,270.6666666666667,172.0,161.95129583372346
0,4847.0,278.6666666666667,180.0,161.95129583372346
0,4856.0,173.5,173.5,15.5
0,4880.0,136.66666666666666,182.0,86.95720531132285
0,4894.0,150.66666666666666,196.0,86.95720531132285
0,4901.0,157.66666666666666,203.0,86.95720531132285
0,4932.0,188.66666666666666,234.0,86.95720531132285
0,4950.0,206.66666666666666,252.0,86.95720531132285
0,4958.0,130.4,93.0,123.25518244682453
0,4960.0,132.4,95.0,123.25518244682453
0,4968.0,140.4,103.0,123.25518244682453
0,4978.0,150.4,113.0,123.25518244682453
0,5028.0,173.83333333333334,120.0,127.23523708295417
0,5032.0,177.83333333333334,124.0,127.23523708295417
0,5041.0,186.83333333333334,133.0,127.23523708295417
0,5058.0,166.4,107.0,104.97161521097026
0,5081.0,189.4,130.0,104.97161521097026
0,5087.0,195.4,136.0,104.97161521097026
0,5088.0,196.4,137.0,104.97161521097026
