,time,mean,median,sd,min,max
0,601.0,314.5,345.0,168.6901745805013,44.0,539.0
0,656.0,341.6470588235294,389.0,193.4680217310498,17.0,594.0
0,733.0,387.47058823529414,433.0,203.3759537081825,44.0,671.0
0,808.0,480.8125,524.5,195.51893090887646,29.0,746.0
0,833.0,504.0,566.0,201.80089197027846,4.0,771.0
0,914.0,568.5333333333333,647.0,233.73114659558937,31.0,852.0
0,978.0,534.7058823529412,677.0,322.445027636884,9.0,916.0
0,1201.0,610.55,644.5,388.1787571467558,4.0,1139.0
0,1234.0,554.1739130434783,576.0,427.2536821195203,3.0,1172.0
0,1257.0,557.4090909090909,486.5,426.44851112957133,26.0,1195.0
0,1267.0,576.1428571428571,609.0,434.55738683053085,36.0,1205.0
0,1364.0,612.5238095238095,406.0,431.3838881517437,29.0,1254.0
0,1383.0,631.5238095238095,425.0,431.3838881517437,6.0,1273.0
0,1457.0,649.4285714285714,492.0,441.2164538904612,12.0,1347.0
0,1474.0,686.45,512.5,442.70480853498754,29.0,1364.0
0,1484.0,675.421052631579,519.0,444.36285739299916,39.0,1374.0
0,1510.0,672.8421052631579,541.0,469.7877755078568,9.0,1400.0
0,1571.0,664.7142857142857,586.0,494.94686033737315,2.0,1461.0
0,1585.0,678.7142857142857,600.0,494.94686033737315,16.0,1475.0
0,1673.0,703.0,482.0,528.4984733787188,20.0,1563.0
0,1681.0,670.7619047619048,486.0,506.9426477152641,28.0,1571.0
0,1792.0,702.1739130434783,580.0,539.7135836376077,4.0,1682.0
0,1799.0,702.3913043478261,587.0,547.5089627323116,3.0,1689.0
0,1801.0,675.0833333333334,585.0,554.104526591228,1.0,1691.0
0,1830.0,633.5652173913044,599.0,539.8698575934725,4.0,1688.0
0,1852.0,581.7826086956521,407.0,505.5954695485091,13.0,1640.0
0,1857.0,599.8181818181819,519.0,513.1645701264438,18.0,1645.0
0,1880.0,578.0,347.0,529.7454680028563,5.0,1668.0
0,1912.0,585.2916666666666,377.0,531.957585963288,4.0,1700.0
0,1934.0,601.9583333333334,399.0,537.2909267152717,4.0,1722.0
0,1967.0,593.12,314.0,552.2679291793069,7.0,1755.0
0,1981.0,607.12,328.0,552.2679291793069,10.0,1769.0
0,1982.0,608.12,329.0,552.2679291793069,11.0,1770.0
0,2026.0,657.0416666666666,433.0,567.8928507478814,6.0,1814.0
0,2036.0,692.5217391304348,503.0,566.5178817980731,16.0,1824.0
0,2037.0,693.5217391304348,504.0,566.5178817980731,17.0,1825.0
0,2070.0,696.9166666666666,477.0,572.4757576138535,4.0,1858.0
0,2089.0,680.24,436.0,585.1778040903466,2.0,1877.0
0,2097.0,676.0,444.0,596.0809341020731,3.0,1885.0
0,2100.0,696.4166666666666,507.0,602.1076811685948,6.0,1888.0
0,2158.0,579.9,291.5,616.0590529053742,17.0,1946.0
0,2173.0,594.9,306.5,616.0590529053742,2.0,1961.0
0,2187.0,627.0689655172414,321.0,618.6377097570214,2.0,1975.0
0,2241.0,661.2413793103449,374.0,630.4054335913879,13.0,2029.0
0,2266.0,686.2413793103449,399.0,630.4054335913879,38.0,2054.0
0,2298.0,683.1666666666666,384.5,641.5506258710653,8.0,2086.0
0,2311.0,696.1666666666666,397.5,641.5506258710653,21.0,2099.0
0,2387.0,787.3103448275862,520.0,647.2247972450118,4.0,2175.0
0,2392.0,783.3793103448276,525.0,656.1783511648761,5.0,2180.0
0,2401.0,808.9642857142857,534.5,661.7935846806689,14.0,2189.0
0,2421.0,812.8928571428571,554.5,675.8491135118059,6.0,2209.0
0,2457.0,786.0,513.5,692.3705173773168,7.0,2245.0
0,2467.0,810.5862068965517,600.0,699.6602385907911,17.0,2255.0
0,2486.0,829.5862068965517,619.0,699.6602385907911,36.0,2274.0
0,2532.0,863.6206896551724,665.0,710.6912814316584,1.0,2320.0
