,time,mean,median,sd,min,max
0,601.0,297.6666666666667,389.0,180.93338246130503,45.0,459.0
0,656.0,352.6666666666667,444.0,180.93338246130503,100.0,514.0
0,733.0,341.0,349.0,219.40373743398266,44.0,591.0
0,808.0,416.0,424.0,219.40373743398266,119.0,666.0
0,833.0,441.0,449.0,219.40373743398266,144.0,691.0
0,914.0,522.0,530.0,219.40373743398266,225.0,772.0
0,978.0,471.4,422.0,301.7333922521669,13.0,836.0
0,1201.0,694.4,645.0,301.7333922521669,236.0,1059.0
0,1234.0,606.6666666666666,627.0,385.68366427538626,3.0,1092.0
0,1257.0,629.6666666666666,650.0,385.68366427538626,26.0,1115.0
0,1267.0,639.6666666666666,660.0,385.68366427538626,36.0,1125.0
0,1364.0,736.6666666666666,757.0,385.68366427538626,70.0,1222.0
0,1383.0,755.6666666666666,776.0,385.68366427538626,15.0,1241.0
0,1457.0,829.6666666666666,850.0,385.68366427538626,30.0,1315.0
0,1474.0,846.6666666666666,867.0,385.68366427538626,47.0,1332.0
0,1484.0,856.6666666666666,877.0,385.68366427538626,57.0,1342.0
0,1510.0,882.6666666666666,903.0,385.68366427538626,83.0,1368.0
0,1571.0,943.6666666666666,964.0,385.68366427538626,144.0,1429.0
0,1585.0,957.6666666666666,978.0,385.68366427538626,158.0,1443.0
0,1673.0,1045.6666666666667,1066.0,385.6836642753863,43.0,1531.0
0,1681.0,1053.6666666666667,1074.0,385.6836642753863,51.0,1539.0
0,1792.0,1164.6666666666667,1185.0,385.6836642753863,162.0,1650.0
0,1799.0,1171.6666666666667,1192.0,385.6836642753863,169.0,1657.0
0,1801.0,1173.6666666666667,1194.0,385.6836642753863,171.0,1659.0
0,1830.0,1202.6666666666667,1223.0,385.6836642753863,200.0,1688.0
0,1852.0,1127.6,1194.0,349.24295268480364,13.0,1640.0
0,1857.0,1132.6,1199.0,349.24295268480364,18.0,1645.0
0,1880.0,829.2857142857143,915.0,594.4110444767311,13.0,1668.0
0,1912.0,861.2857142857143,947.0,594.4110444767311,45.0,1700.0
0,1934.0,883.2857142857143,969.0,594.4110444767311,4.0,1722.0
0,1967.0,916.2857142857143,1002.0,594.4110444767311,37.0,1755.0
0,1981.0,930.2857142857143,1016.0,594.4110444767311,51.0,1769.0
0,1982.0,931.2857142857143,1017.0,594.4110444767311,52.0,1770.0
0,2026.0,975.2857142857143,1061.0,594.4110444767311,19.0,1814.0
0,2036.0,985.2857142857143,1071.0,594.4110444767311,29.0,1824.0
0,2037.0,986.2857142857143,1072.0,594.4110444767311,30.0,1825.0
0,2070.0,1019.2857142857143,1105.0,594.4110444767311,4.0,1858.0
0,2089.0,1038.2857142857142,1124.0,594.4110444767311,23.0,1877.0
0,2097.0,1046.2857142857142,1132.0,594.4110444767311,31.0,1885.0
0,2100.0,1049.2857142857142,1135.0,594.4110444767311,34.0,1888.0
0,2158.0,971.375,1060.0,662.163865198789,17.0,1946.0
0,2173.0,986.375,1075.0,662.163865198789,32.0,1961.0
0,2187.0,1000.375,1089.0,662.163865198789,46.0,1975.0
0,2241.0,1054.375,1143.0,662.163865198789,100.0,2029.0
0,2266.0,1079.375,1168.0,662.163865198789,125.0,2054.0
0,2298.0,1111.375,1200.0,662.163865198789,157.0,2086.0
0,2311.0,1124.375,1213.0,662.163865198789,170.0,2099.0
0,2387.0,1200.375,1289.0,662.163865198789,246.0,2175.0
0,2392.0,1072.0,1161.0,729.4204701146125,5.0,2180.0
0,2401.0,1081.0,1170.0,729.4204701146125,14.0,2189.0
0,2421.0,1101.0,1190.0,729.4204701146125,12.0,2209.0
0,2457.0,1137.0,1226.0,729.4204701146125,48.0,2245.0
0,2467.0,1147.0,1236.0,729.4204701146125,58.0,2255.0
0,2486.0,1166.0,1255.0,729.4204701146125,77.0,2274.0
0,2532.0,1212.0,1301.0,729.4204701146125,1.0,2320.0
0,2543.0,1223.0,1312.0,729.4204701146125,12.0,2331.0
0,2567.0,1247.0,1336.0,729.4204701146125,36.0,2355.0
0,2589.0,1269.0,1358.0,729.4204701146125,58.0,2377.0
0,2602.0,1282.0,1371.0,729.4204701146125,71.0,2390.0
0,2617.0,1297.0,1386.0,729.4204701146125,11.0,2405.0
