,time,mean,median,sd,min,max
0,601.0,318.38461538461536,334.0,165.4934525600233,44.0,539.0
0,656.0,339.2857142857143,372.5,195.9691770849358,17.0,594.0
0,733.0,401.7692307692308,433.0,195.97925865378,94.0,671.0
0,808.0,502.4166666666667,524.5,181.8165093041761,29.0,746.0
0,833.0,526.9090909090909,566.0,189.89301032923993,4.0,771.0
0,914.0,585.4545454545455,647.0,236.4684732537833,31.0,852.0
0,978.0,561.0833333333334,694.0,327.0959233245739,9.0,916.0
0,1201.0,582.6,644.0,409.1916910202356,4.0,1139.0
0,1234.0,535.6470588235294,351.0,439.49649549248176,14.0,1172.0
0,1257.0,530.3125,336.5,437.6997713544639,37.0,1195.0
0,1267.0,550.7333333333333,309.0,450.1284952346632,47.0,1205.0
0,1364.0,562.8666666666667,395.0,438.63163993897604,29.0,1254.0
0,1383.0,581.8666666666667,414.0,438.63163993897604,6.0,1273.0
0,1457.0,577.3333333333334,472.0,441.4158533124468,12.0,1347.0
0,1474.0,617.7857142857143,497.0,447.78951984345576,29.0,1364.0
0,1484.0,591.7692307692307,499.0,444.72362270483904,39.0,1374.0
0,1510.0,576.0,323.0,473.5075338528254,9.0,1400.0
0,1571.0,553.1333333333333,376.0,489.78006855685294,2.0,1461.0
0,1585.0,567.1333333333333,390.0,489.78006855685294,16.0,1475.0
0,1673.0,574.5,457.0,517.4217332118936,20.0,1563.0
0,1681.0,517.6,461.0,467.09896167728743,28.0,1571.0
0,1792.0,538.9411764705883,347.0,489.3461989452307,4.0,1682.0
0,1799.0,536.7647058823529,354.0,497.9041402438549,3.0,1689.0
0,1801.0,508.8888888888889,312.0,499.30895455495835,1.0,1691.0
0,1830.0,432.70588235294116,293.0,432.6349860354205,4.0,1529.0
0,1852.0,430.1666666666667,305.0,432.4482306845783,13.0,1551.0
0,1857.0,443.11764705882354,320.0,443.7051064088481,18.0,1556.0
0,1880.0,468.0625,285.0,457.2904532064386,5.0,1579.0
0,1912.0,471.6470588235294,259.0,457.9658272862045,4.0,1611.0
0,1934.0,486.11764705882354,281.0,464.81784950450543,6.0,1633.0
0,1967.0,467.44444444444446,268.0,479.37311172709053,7.0,1666.0
0,1981.0,481.44444444444446,282.0,479.37311172709053,10.0,1680.0
0,1982.0,482.44444444444446,283.0,479.37311172709053,11.0,1681.0
0,2026.0,526.0,314.0,500.9347732577801,6.0,1725.0
0,2036.0,564.4375,353.5,502.8631733322197,16.0,1735.0
0,2037.0,565.4375,354.5,502.8631733322197,17.0,1736.0
0,2070.0,564.1764705882352,358.0,506.7323502012522,16.0,1769.0
0,2089.0,541.0,339.0,518.6091441967105,2.0,1788.0
0,2097.0,532.0,343.0,531.0635032126049,3.0,1796.0
0,2100.0,551.1176470588235,388.0,542.1644945036019,6.0,1799.0
0,2158.0,437.54545454545456,168.0,531.136322791456,19.0,1857.0
0,2173.0,452.54545454545456,183.0,531.136322791456,2.0,1872.0
0,2187.0,484.85714285714283,227.0,536.8076081458471,2.0,1886.0
0,2241.0,511.4761904761905,221.0,548.1474097051266,13.0,1940.0
0,2266.0,536.4761904761905,246.0,548.1474097051266,38.0,1965.0
0,2298.0,527.4545454545455,234.5,557.5763891630152,8.0,1997.0
0,2311.0,540.4545454545455,247.5,557.5763891630152,21.0,2010.0
0,2387.0,629.952380952381,314.0,567.1750780499772,4.0,2086.0
0,2392.0,653.5,345.5,574.9327351960402,9.0,2091.0
0,2401.0,680.1052631578947,381.0,584.5904454570461,18.0,2100.0
0,2421.0,676.421052631579,334.0,602.6350310174627,6.0,2120.0
0,2457.0,635.5714285714286,363.0,617.5530493062787,7.0,2156.0
0,2467.0,659.2,368.0,629.7141097355211,17.0,2166.0
0,2486.0,678.2,387.0,629.7141097355211,36.0,2185.0
0,2532.0,706.85,433.0,643.2355147999837,15.0,2231.0
0,2543.0,728.1052631578947,432.0,658.3501623665697,26.0,2242.0
0,2567.0,752.1052631578947,456.0,658.3501623665697,2.0,2266.0
0,2589.0,701.3809523809524,469.0,665.1282351253762,3.0,2288.0
0,2602.0,714.3809523809524,482.0,665.1282351253762,3.0,2301.0
0,2617.0,759.3,501.5,667.6205584012523,18.0,2316.0
0,2644.0,761.8,528.5,685.8328221950303,26.0,2343.0
0,2654.0,771.8,538.5,685.8328221950303,6.0,2353.0
0,2658.0,775.8,542.5,685.8328221950303,10.0,2357.0
0,2677.0,806.8421052631579,557.0,701.585742455347,2.0,2376.0
0,2689.0,818.8421052631579,569.0,701.585742455347,6.0,2388.0
0,2691.0,820.8421052631579,571.0,701.585742455347,8.0,2390.0
0,2711.0,838.4444444444445,532.5,733.7839692854069,8.0,2410.0
0,2750.0,900.8235294117648,663.0,748.51407588589,20.0,2449.0
0,2774.0,978.1875,832.5,739.5128648940125,44.0,2473.0
0,2791.0,995.1875,849.5,739.5128648940125,61.0,2490.0
0,2820.0,1067.8,1024.0,743.5758827001675,90.0,2519.0
0,2886.0,949.9444444444445,697.5,793.6454198627595,6.0,2585.0
0,2893.0,977.7647058823529,806.0,811.8631099776369,13.0,2592.0
0,2918.0,1035.1875,976.5,826.1027643966275,11.0,2617.0
0,3001.0,902.9444444444445,492.0,848.8318425421965,36.0,2700.0
0,3013.0,957.4705882352941,566.0,854.6029774901021,48.0,2712.0
0,3014.0,958.4705882352941,567.0,854.6029774901021,49.0,2713.0
0,3046.0,964.5625,529.5,903.564882060912,29.0,2745.0
0,3054.0,972.5625,537.5,903.564882060912,37.0,2753.0
0,3082.0,943.1764705882352,496.0,906.1427776923534,10.0,2781.0
0,3133.0,994.1764705882352,547.0,906.1427776923534,4.0,2832.0
0,3142.0,1031.125,609.5,926.8948750397749,13.0,2841.0
0,3174.0,896.8421052631579,309.0,933.2568475453608,1.0,2873.0
0,3192.0,914.8421052631579,327.0,933.2568475453608,19.0,2891.0
0,3193.0,915.8421052631579,328.0,933.2568475453608,20.0,2892.0
0,3201.0,880.1578947368421,321.0,963.5140871424163,4.0,2900.0
0,3208.0,887.1578947368421,328.0,963.5140871424163,1.0,2907.0
0,3210.0,889.1578947368421,330.0,963.5140871424163,3.0,2909.0
0,3218.0,897.1578947368421,338.0,963.5140871424163,11.0,2917.0
0,3252.0,912.0,325.0,977.9521568321385,1.0,2951.0
0,3281.0,920.1578947368421,323.0,993.0225132953217,20.0,2980.0
0,3291.0,976.6111111111111,348.5,999.9382835893696,30.0,2990.0
0,3294.0,1028.6470588235295,367.0,1007.6762400911766,33.0,2993.0
0,3320.0,946.8823529411765,362.0,1021.2494010281455,12.0,3019.0
0,3327.0,1005.125,384.5,1031.2594166236738,19.0,3026.0
0,3364.0,981.0,406.0,1029.9114753505874,3.0,3063.0
0,3381.0,998.0,423.0,1029.9114753505874,20.0,3080.0
0,3402.0,1006.2352941176471,444.0,1040.8851170948788,14.0,3101.0
0,3403.0,1007.2352941176471,445.0,1040.8851170948788,1.0,3102.0
0,3433.0,999.75,445.5,1061.7294558878923,3.0,3132.0
0,3476.0,880.0,419.0,1044.2929615168746,8.0,3175.0
0,3491.0,829.0,274.0,1048.9702569663261,1.0,3190.0
0,3511.0,875.8947368421053,250.0,1069.4786676220403,2.0,3210.0
0,3543.0,827.8888888888889,262.0,1041.9742953157556,34.0,3242.0
0,3556.0,840.8888888888889,275.0,1041.9742953157556,13.0,3255.0
0,3601.0,800.45,296.5,1021.2031372356823,7.0,3300.0
0,3602.0,812.8421052631579,294.0,1046.492903044203,8.0,3301.0
0,3627.0,784.75,279.0,1043.0456305934079,13.0,3326.0
0,3644.0,825.8947368421053,256.0,1064.68072282316,30.0,3343.0
0,3654.0,700.421052631579,192.0,981.2700854552829,40.0,3353.0
0,3657.0,736.1666666666666,232.0,998.0038549246414,43.0,3356.0
0,3663.0,731.1666666666666,238.0,1004.9748062071562,3.0,3362.0
0,3698.0,726.0526315789474,236.0,992.8656809396784,4.0,3397.0
0,3732.0,722.9,267.0,981.1825467261432,17.0,3431.0
0,3772.0,740.95,296.5,992.4692174067667,25.0,3471.0
0,3777.0,745.95,301.5,992.4692174067667,30.0,3476.0
0,3780.0,748.95,304.5,992.4692174067667,33.0,3479.0
0,3782.0,620.7368421052631,299.0,835.3009443248748,35.0,3481.0
0,3791.0,602.3157894736842,301.0,846.6002009667894,9.0,3490.0
0,3808.0,630.3888888888889,285.0,868.4587970069538,26.0,3507.0
0,3813.0,635.3888888888889,290.0,868.4587970069538,31.0,3512.0
0,3817.0,639.3888888888889,294.0,868.4587970069538,35.0,3516.0
0,3831.0,644.1111111111111,308.0,874.4340956609142,4.0,3530.0
0,3851.0,664.1111111111111,328.0,874.4340956609142,9.0,3550.0
0,3881.0,613.0,300.0,861.1891197640621,3.0,3580.0
0,3885.0,617.0,304.0,861.1891197640621,7.0,3584.0
0,3887.0,629.2105263157895,281.0,882.3806660898665,9.0,3586.0
0,3903.0,607.7368421052631,209.0,900.5329323944071,5.0,3602.0
0,3914.0,618.7368421052631,220.0,900.5329323944071,2.0,3613.0
0,3920.0,635.5555555555555,215.5,924.0070479662793,8.0,3619.0
0,3938.0,589.15,207.0,897.6321225869759,7.0,3637.0
0,3953.0,604.15,222.0,897.6321225869759,13.0,3652.0
0,3960.0,618.2105263157895,213.0,920.4096673105245,20.0,3659.0
0,3968.0,626.2105263157895,221.0,920.4096673105245,28.0,3667.0
