,time,mean,median,sd
0,639.0,574.0,574.0,29.0
0,656.0,591.0,591.0,29.0
0,732.0,667.0,667.0,29.0
0,903.0,601.0,809.0,336.00396823053546
0,912.0,610.0,818.0,336.00396823053546
0,964.0,662.0,870.0,336.00396823053546
0,980.0,678.0,886.0,336.00396823053546
0,1201.0,715.25,766.0,431.237970846724
0,1220.0,734.25,785.0,431.237970846724
0,1246.0,760.25,811.0,431.237970846724
0,1263.0,777.25,828.0,431.237970846724
0,1332.0,846.25,897.0,431.237970846724
0,1419.0,933.25,984.0,431.237970846724
0,1512.0,1026.25,1077.0,431.237970846724
0,1584.0,1098.25,1149.0,431.237970846724
0,1636.0,930.2,860.0,585.2016404624991
0,1688.0,982.2,912.0,585.2016404624991
0,1801.0,1095.2,1025.0,585.2016404624991
0,1839.0,1133.2,1063.0,585.2016404624991
0,1843.0,1137.2,1067.0,585.2016404624991
0,1856.0,1150.2,1080.0,585.2016404624991
0,1934.0,885.5714285714286,897.0,733.5917231856768
0,1964.0,803.375,652.5,747.6653558745382
0,2009.0,848.375,697.5,747.6653558745382
0,2023.0,768.25,711.5,639.7729577748656
0,2035.0,780.25,723.5,639.7729577748656
0,2081.0,826.25,769.5,639.7729577748656
0,2091.0,836.25,779.5,639.7729577748656
0,2118.0,863.25,806.5,639.7729577748656
0,2217.0,857.7777777777778,631.0,671.6741567452973
0,2232.0,872.7777777777778,646.0,671.6741567452973
0,2264.0,904.7777777777778,678.0,671.6741567452973
0,2311.0,951.7777777777778,725.0,671.6741567452973
0,2348.0,988.7777777777778,762.0,671.6741567452973
0,2363.0,1003.7777777777778,777.0,671.6741567452973
0,2401.0,1115.125,1089.5,677.5847617641648
0,2427.0,1141.125,1115.5,677.5847617641648
0,2457.0,1171.125,1145.5,677.5847617641648
0,2484.0,1198.125,1172.5,677.5847617641648
0,2520.0,1234.125,1208.5,677.5847617641648
0,2530.0,1244.125,1218.5,677.5847617641648
0,2532.0,1246.125,1220.5,677.5847617641648
0,2613.0,1327.125,1301.5,677.5847617641648
0,2648.0,1362.125,1336.5,677.5847617641648
0,2651.0,1365.125,1339.5,677.5847617641648
0,2657.0,1371.125,1345.5,677.5847617641648
0,2686.0,1286.125,1374.5,527.5846940302571
0,2711.0,1311.125,1399.5,527.5846940302571
0,2732.0,1185.3333333333333,1146.0,647.9202625838049
0,2733.0,1186.3333333333333,1147.0,647.9202625838049
0,2789.0,1242.3333333333333,1203.0,647.9202625838049
0,2791.0,1244.3333333333333,1205.0,647.9202625838049
0,2825.0,1278.3333333333333,1239.0,647.9202625838049
0,2861.0,1314.3333333333333,1275.0,647.9202625838049
0,2882.0,1335.3333333333333,1296.0,647.9202625838049
0,2887.0,1340.3333333333333,1301.0,647.9202625838049
0,2894.0,1347.3333333333333,1308.0,647.9202625838049
0,2931.0,1384.3333333333333,1345.0,647.9202625838049
0,2988.0,1441.3333333333333,1402.0,647.9202625838049
0,3001.0,1454.3333333333333,1415.0,647.9202625838049
0,3022.0,1475.3333333333333,1436.0,647.9202625838049
0,3039.0,1343.8,1300.5,759.1969178019625
0,3049.0,1353.8,1310.5,759.1969178019625
0,3056.0,1360.8,1317.5,759.1969178019625
0,3078.0,1382.8,1339.5,759.1969178019625
0,3079.0,1383.8,1340.5,759.1969178019625
0,3093.0,1397.8,1354.5,759.1969178019625
0,3103.0,1556.3333333333333,1517.0,647.9202625838049
0,3130.0,1583.3333333333333,1544.0,647.9202625838049
0,3147.0,1600.3333333333333,1561.0,647.9202625838049
0,3193.0,1646.3333333333333,1607.0,647.9202625838049
0,3217.0,1670.3333333333333,1631.0,647.9202625838049
0,3247.0,1700.3333333333333,1661.0,647.9202625838049
0,3249.0,1702.3333333333333,1663.0,647.9202625838049
0,3255.0,1708.3333333333333,1669.0,647.9202625838049
0,3276.0,1729.3333333333333,1690.0,647.9202625838049
0,3286.0,1739.3333333333333,1700.0,647.9202625838049
0,3289.0,1742.3333333333333,1703.0,647.9202625838049
0,3312.0,1765.3333333333333,1726.0,647.9202625838049
0,3328.0,1781.3333333333333,1742.0,647.9202625838049
0,3337.0,1790.3333333333333,1751.0,647.9202625838049
0,3346.0,1799.3333333333333,1760.0,647.9202625838049
0,3354.0,1807.3333333333333,1768.0,647.9202625838049
0,3415.0,1868.3333333333333,1829.0,647.9202625838049
0,3448.0,1901.3333333333333,1862.0,647.9202625838049
0,3452.0,1905.3333333333333,1866.0,647.9202625838049
0,3462.0,1915.3333333333333,1876.0,647.9202625838049
0,3492.0,1945.3333333333333,1906.0,647.9202625838049
0,3510.0,1963.3333333333333,1924.0,647.9202625838049
0,3532.0,1985.3333333333333,1946.0,647.9202625838049
0,3534.0,1987.3333333333333,1948.0,647.9202625838049
0,3578.0,2031.3333333333333,1992.0,647.9202625838049
0,3583.0,2036.3333333333333,1997.0,647.9202625838049
0,3601.0,2054.3333333333335,2015.0,647.920262583805
0,3622.0,2075.3333333333335,2036.0,647.920262583805
0,3624.0,2077.3333333333335,2038.0,647.920262583805
0,3657.0,2110.3333333333335,2071.0,647.920262583805
0,3662.0,2115.3333333333335,2076.0,647.920262583805
0,3671.0,2124.3333333333335,2085.0,647.920262583805
0,3688.0,2141.3333333333335,2102.0,647.920262583805
0,3696.0,1935.2,1957.5,889.099746935067
0,3757.0,1996.2,2018.5,889.099746935067
0,3770.0,2009.2,2031.5,889.099746935067
0,3787.0,2026.2,2048.5,889.099746935067
0,3796.0,2035.2,2057.5,889.099746935067
0,3816.0,2055.2,2077.5,889.099746935067
0,3844.0,2083.2,2105.5,889.099746935067
0,3875.0,2114.2,2136.5,889.099746935067
0,3876.0,2115.2,2137.5,889.099746935067
0,3884.0,2123.2,2145.5,889.099746935067
0,3888.0,2127.2,2149.5,889.099746935067
0,3901.0,2140.2,2162.5,889.099746935067
0,3913.0,2152.2,2174.5,889.099746935067
0,3931.0,2170.2,2192.5,889.099746935067
0,3957.0,2196.2,2218.5,889.099746935067
0,3986.0,2439.3333333333335,2400.0,647.920262583805
0,3995.0,2384.625,2256.5,660.111342407476
0,4047.0,2436.625,2308.5,660.111342407476
