,time,mean,median,sd
0,310.0,147.25,119.5,84.52921092734748
0,808.0,485.52941176470586,480.0,179.04423299911733
0,885.0,486.10526315789474,517.0,261.56611214935845
0,913.0,539.1111111111111,565.0,245.63633663719872
0,967.0,594.4705882352941,639.0,252.69188809975418
0,982.0,598.375,634.0,256.41979130909533
0,1168.0,697.8235294117648,788.0,336.39511699857417
0,1257.0,750.0,877.0,382.5351963814418
0,1331.0,860.5,957.0,364.459531361165
0,1417.0,880.6470588235294,1037.0,432.5611743443614
0,1486.0,822.7894736842105,1057.0,527.6148494525916
0,1513.0,841.6315789473684,1084.0,539.135097855456
0,1540.0,825.3,1079.0,558.3643165532696
0,1544.0,829.3,1083.0,558.3643165532696
0,1584.0,760.3809523809524,941.0,582.1468867325723
0,1748.0,842.5217391304348,866.0,613.7224177501987
0,1801.0,789.0,505.5,618.3825676715022
0,1821.0,763.68,482.0,638.0164712607348
0,1843.0,816.7916666666666,547.5,632.3192745208354
0,1856.0,853.5652173913044,604.0,635.3322873205086
0,1861.0,835.9130434782609,609.0,655.883865186876
0,1929.0,862.5,562.5,671.0131022069043
0,2009.0,813.4230769230769,491.0,691.4793602279838
0,2016.0,820.4230769230769,498.0,691.4793602279838
0,2055.0,841.6153846153846,537.0,706.61158283323
0,2068.0,883.64,555.0,705.2437808304303
0,2085.0,928.7916666666666,588.0,705.889213401949
0,2114.0,976.9565217391304,633.0,714.9328018444245
0,2161.0,962.6666666666666,664.0,746.2651264054143
0,2174.0,975.6666666666666,677.0,746.2651264054143
0,2217.0,893.7037037037037,694.0,782.599836954428
0,2247.0,883.7692307692307,630.5,770.0390753168263
0,2265.0,935.36,742.0,766.3822482286498
0,2278.0,948.36,755.0,766.3822482286498
0,2313.0,960.48,790.0,785.6913449949668
0,2320.0,967.48,797.0,785.6913449949668
0,2370.0,994.4,847.0,806.1476291598209
0,2401.0,1025.4,878.0,806.1476291598208
0,2421.0,1072.6666666666667,903.0,811.3971318383839
0,2435.0,1109.0869565217392,922.0,821.5386896096372
0,2457.0,1034.0,742.0,862.0899508365316
0,2500.0,1011.48,512.0,888.7450081997647
0,2520.0,1031.48,532.0,888.7450081997647
0,2525.0,1036.48,537.0,888.7450081997647
0,2532.0,1043.48,544.0,888.7450081997647
0,2535.0,1046.48,547.0,888.7450081997647
0,2584.0,1118.7916666666667,828.5,901.118748148039
0,2596.0,1085.64,608.0,910.1991817179359
0,2615.0,1124.6666666666667,859.5,923.5557042695849
0,2637.0,1127.875,881.5,941.9049541797375
0,2645.0,1098.2173913043478,657.0,944.3113412761492
0,2658.0,1111.2173913043478,670.0,944.3113412761492
0,2677.0,1160.0454545454545,921.5,954.8787394349051
0,2687.0,1170.0454545454545,931.5,954.8787394349051
0,2688.0,1171.0454545454545,932.5,954.8787394349051
0,2712.0,1282.1,1194.0,956.73668791366
0,2715.0,1285.1,1197.0,956.73668791366
0,2763.0,1246.904761904762,1240.0,1001.2989613383828
0,2764.0,1247.904761904762,1241.0,1001.2989613383828
0,2796.0,1221.8636363636363,1040.5,1013.7904703480867
0,2801.0,1160.7619047619048,813.0,990.2448905753857
0,2871.0,1061.6666666666667,669.0,1022.5394722074166
0,2887.0,1098.2173913043478,765.0,1039.6688417794908
0,2899.0,1099.1304347826087,777.0,1049.9531792603618
0,2994.0,1146.4166666666667,693.5,1053.0100473035488
0,2999.0,1151.4166666666667,698.5,1053.0100473035488
0,3001.0,1153.4166666666667,700.5,1053.0100473035488
0,3004.0,1183.9130434782608,882.0,1069.9515191391283
0,3025.0,1131.2272727272727,724.5,1035.3510573633812
0,3026.0,1132.2272727272727,725.5,1035.3510573633812
0,3057.0,1216.0,935.0,1030.4018633523524
0,3070.0,1146.8636363636363,764.5,1060.2282899732038
0,3130.0,1156.5217391304348,641.0,1063.4686426384353
0,3132.0,1158.5217391304348,643.0,1063.4686426384353
0,3136.0,1162.5217391304348,647.0,1063.4686426384353
0,3153.0,1262.7142857142858,1031.0,1076.1832532416693
0,3168.0,1289.3,929.5,1101.4808713727168
0,3177.0,1236.904761904762,688.0,1109.4473057622154
0,3211.0,1214.1818181818182,570.0,1114.6711963772357
0,3247.0,1190.6521739130435,454.0,1124.4605511937384
0,3248.0,1191.6521739130435,455.0,1124.4605511937384
0,3250.0,1193.6521739130435,457.0,1124.4605511937384
0,3288.0,1210.8695652173913,468.0,1142.1614636616507
0,3304.0,1217.4347826086957,484.0,1151.274825577091
0,3312.0,1259.7272727272727,657.5,1165.6042592819392
0,3316.0,1113.1818181818182,493.0,1103.1574368958006
0,3346.0,1071.8695652173913,496.0,1119.4531003379875
0,3385.0,1023.48,494.0,1113.8882213220497
0,3391.0,1064.9166666666667,520.5,1122.96519375664
0,3405.0,1056.2916666666667,426.5,1138.653388846033
0,3408.0,1059.2916666666667,429.5,1138.653388846033
0,3446.0,1141.391304347826,555.0,1142.9032344877874
0,3478.0,1173.391304347826,587.0,1142.9032344877874
0,3491.0,1172.0,512.5,1166.5497300703785
0,3498.0,1165.1818181818182,519.5,1178.5007670134287
0,3500.0,1167.1818181818182,521.5,1178.5007670134287
0,3572.0,1052.3846153846155,380.5,1169.2505185579048
0,3576.0,1056.3846153846155,384.5,1169.2505185579048
0,3577.0,1057.3846153846155,385.5,1169.2505185579048
0,3587.0,1067.3846153846155,395.5,1169.2505185579048
0,3599.0,1120.64,431.0,1173.7037404728674
0,3601.0,1122.64,433.0,1173.7037404728674
0,3609.0,1186.1739130434783,394.0,1207.722529757845
0,3614.0,1098.3181818181818,371.0,1151.773904042394
0,3622.0,1145.0,407.0,1164.832830842917
0,3625.0,1148.0,410.0,1164.832830842917
0,3657.0,1221.8,604.0,1178.1278623307403
0,3688.0,1310.0526315789473,797.0,1181.3042958252458
0,3696.0,1367.6666666666667,837.5,1194.2516485230403
0,3724.0,1346.388888888889,671.0,1231.4893033725416
0,3733.0,1263.4736842105262,518.0,1253.968117131039
0,3803.0,1241.55,469.0,1274.5599034568754
0,3805.0,1243.55,471.0,1274.5599034568754
0,3818.0,1187.8333333333333,484.0,1234.573756853397
0,3847.0,1126.4736842105262,355.0,1249.784965437573
0,3856.0,1135.4736842105262,364.0,1249.784965437573
0,3859.0,1138.4736842105262,367.0,1249.784965437573
0,3889.0,1108.5,370.5,1245.7792139861701
0,3902.0,1193.7777777777778,345.0,1292.962599594674
0,3908.0,1249.0,339.0,1313.9557696916143
0,3913.0,1254.0,344.0,1313.9557696916143
0,3917.0,1258.0,348.0,1313.9557696916143
0,3922.0,1110.1176470588234,353.0,1183.1910433157864
0,3937.0,1175.6,224.0,1251.245075914387
0,3989.0,1026.1666666666667,259.5,1227.8256865967035
0,4037.0,969.7,294.5,1206.2475326399635
0,4051.0,983.7,308.5,1206.2475326399635
0,4068.0,851.2105263157895,314.0,1041.4757535115036
0,4088.0,871.2105263157895,334.0,1041.4757535115036
0,4099.0,882.2105263157895,345.0,1041.4757535115036
0,4102.0,885.2105263157895,348.0,1041.4757535115036
0,4107.0,920.0555555555555,330.0,1062.0769731585276
0,4173.0,935.4736842105264,350.0,1055.7898200135864
0,4174.0,936.4736842105264,351.0,1055.7898200135864
0,4180.0,969.8888888888889,335.0,1078.1183654295771
0,4181.0,970.8888888888889,336.0,1078.1183654295771
0,4201.0,853.9411764705883,334.0,945.0544628307211
0,4213.0,906.5,368.0,959.6786571556127
0,4220.0,954.6666666666666,397.0,977.3775569803561
0,4224.0,958.6666666666666,401.0,977.3775569803561
0,4230.0,1008.2142857142857,454.5,997.5240905484386
0,4257.0,1035.2142857142858,481.5,997.5240905484387
0,4274.0,1090.0,451.0,1025.4795501092685
0,4334.0,1030.2142857142858,416.5,1056.992781335766
0,4381.0,1038.4285714285713,412.0,1084.9268385001633
0,4422.0,970.2142857142857,451.0,1110.6264113148957
0,4426.0,974.2142857142857,455.0,1110.6264113148957
0,4452.0,1124.0833333333333,482.0,1150.317598052333
0,4478.0,1100.75,482.5,1184.563922926914
0,4480.0,1102.75,484.5,1184.563922926914
0,4490.0,1171.090909090909,518.0,1220.6189528674267
0,4515.0,1096.8333333333333,455.0,1214.1351402907706
0,4520.0,1066.3333333333333,308.5,1235.7285525371483
0,4560.0,1189.909090909091,412.0,1257.9943239173476
0,4570.0,1199.909090909091,422.0,1257.9943239173476
0,4588.0,985.7692307692307,274.0,1262.2531840291456
0,4613.0,939.0714285714286,273.0,1243.5049809932818
0,4663.0,912.7333333333333,297.0,1233.0923980879218
0,4682.0,849.3125,129.0,1227.8800185049638
0,4694.0,861.3125,141.0,1227.8800185049638
0,4705.0,872.3125,152.0,1227.8800185049638
0,4718.0,885.3125,165.0,1227.8800185049638
0,4719.0,886.3125,166.0,1227.8800185049638
0,4766.0,832.1111111111111,190.5,1192.519316819503
0,4767.0,833.1111111111111,191.5,1192.519316819503
0,4781.0,900.625,204.0,1252.3445948999022
0,4796.0,915.625,219.0,1252.3445948999022
0,4797.0,916.625,220.0,1252.3445948999022
0,4801.0,964.0,222.0,1281.726387858709
0,4830.0,1027.0714285714287,237.5,1320.1341092201696
0,4837.0,1077.3846153846155,231.0,1360.348345572477
0,4847.0,1010.2857142857143,232.5,1340.0152146562382
0,4855.0,1018.2857142857143,240.5,1340.0152146562382
0,4865.0,1028.2857142857142,250.5,1340.0152146562382
0,4881.0,975.6666666666666,258.0,1319.7921890290995
0,4893.0,987.6666666666666,270.0,1319.7921890290995
0,4920.0,1062.5,281.0,1353.495092080394
0,4933.0,1075.5,294.0,1353.495092080394
0,4964.0,965.875,304.5,1319.4102316470794
0,4988.0,989.875,328.5,1319.4102316470794
0,4998.0,941.3529411764706,334.0,1301.2448312007402
0,5005.0,948.3529411764706,341.0,1301.2448312007402
0,5014.0,904.2777777777778,342.0,1283.3775232892115
0,5016.0,906.2777777777778,344.0,1283.3775232892115
0,5044.0,961.8823529411765,364.0,1315.381084676177
0,5053.0,970.8823529411765,373.0,1315.381084676177
0,5060.0,1010.625,349.0,1349.1261002497135
0,5076.0,1026.625,365.0,1349.1261002497135
0,5079.0,1029.625,368.0,1349.1261002497135
0,5087.0,1084.0,407.0,1380.968404176335
0,5089.0,1086.0,409.0,1380.968404176335
0,5117.0,1216.923076923077,375.0,1456.3691660870172
0,5120.0,1219.923076923077,378.0,1456.3691660870172
0,5127.0,1276.5,336.5,1509.3739596269706
0,5158.0,1198.4615384615386,319.0,1497.7032475599028
0,5165.0,1045.2666666666667,232.0,1452.8725783388195
0,5187.0,1001.125,251.5,1429.8713611283358
0,5205.0,1082.6666666666667,272.0,1454.7280005401542
0,5256.0,1001.9411764705883,318.0,1413.295750680916
0,5257.0,1002.9411764705883,319.0,1413.295750680916
0,5280.0,1133.1333333333334,347.0,1471.1013500851063
0,5295.0,1077.25,332.0,1450.6023533346415
0,5302.0,1084.25,339.0,1450.6023533346415
0,5316.0,1133.2,323.0,1491.6387945254487
0,5339.0,1055.1875,208.5,1486.666624480334
0,5352.0,1068.1875,221.5,1486.666624480334
0,5361.0,1077.1875,230.5,1486.666624480334
0,5366.0,1140.7333333333333,246.0,1517.458729440625
0,5399.0,1076.6875,248.5,1510.2298963547735
0,5401.0,1078.6875,250.5,1510.2298963547735
0,5414.0,1061.875,215.5,1526.6100875387272
0,5427.0,956.6666666666666,185.0,1477.624933616256
0,5433.0,1002.1176470588235,186.0,1511.2228349080108
0,5459.0,922.3684210526316,178.0,1462.3439803608135
0,5475.0,926.8421052631579,157.0,1468.7468078588522
0,5493.0,978.8333333333334,174.0,1501.7023395688861
0,5497.0,982.8333333333334,178.0,1501.7023395688861
0,5504.0,989.8333333333334,185.0,1501.7023395688861
0,5507.0,992.8333333333334,188.0,1501.7023395688861
0,5558.0,1043.8333333333333,239.0,1501.7023395688861
0,5562.0,992.8947368421053,242.0,1480.1177013914464
0,5571.0,952.15,224.5,1458.8444836582137
0,5573.0,954.15,226.5,1458.8444836582137
0,5593.0,965.75,246.5,1463.850807801123
0,5639.0,987.7,253.5,1475.6524353654556
0,5642.0,990.7,256.5,1475.6524353654556
0,5654.0,1002.7,268.5,1475.6524353654556
0,5678.0,975.8095238095239,280.0,1457.8473242633052
0,5684.0,1016.6,290.0,1485.3170839925058
0,5685.0,1017.6,291.0,1485.3170839925058
0,5702.0,991.15,276.5,1508.1524549925314
0,5713.0,982.8,277.5,1518.2669593981157
0,5717.0,986.8,281.5,1518.2669593981157
0,5735.0,990.65,285.0,1526.0869003762532
0,5750.0,957.9047619047619,284.0,1504.536945209766
0,5754.0,961.9047619047619,288.0,1504.536945209766
0,5761.0,848.375,200.0,1443.041891644753
0,5768.0,891.6521739130435,210.0,1463.3259795736813
0,5786.0,909.6521739130435,228.0,1463.3259795736813
0,5805.0,912.4782608695652,241.0,1471.224744737326
0,5839.0,829.7307692307693,178.5,1419.7870522260155
0,5841.0,831.7307692307693,180.5,1419.7870522260155
0,5894.0,851.7777777777778,229.0,1403.2925128223303
0,5898.0,855.7777777777778,233.0,1403.2925128223303
0,5900.0,870.5,224.0,1428.4955036142585
0,5902.0,872.5,226.0,1428.4955036142585
0,5923.0,655.0714285714286,210.5,1222.2234401921369
0,5942.0,651.0,222.0,1207.1548767874501
0,5944.0,653.0,224.0,1207.1548767874501
0,5951.0,664.5,213.5,1228.2830787031837
0,5979.0,669.9285714285714,224.0,1234.482596318087
0,5994.0,707.5185185185185,239.0,1251.439656004247
0,6001.0,732.6923076923077,263.5,1271.7775497683056
0,6011.0,703.7037037037037,256.0,1260.7908985974964
0,6021.0,713.7037037037037,266.0,1260.7908985974964
0,6027.0,694.0714285714286,256.0,1245.2155845639004
0,6032.0,704.0,245.0,1267.79727319707
0,6033.0,705.0,246.0,1267.79727319707
0,6056.0,747.2692307692307,285.0,1288.0622463963907
0,6062.0,773.56,307.0,1309.48994894959
0,6066.0,777.56,311.0,1309.48994894959
0,6069.0,780.56,314.0,1309.48994894959
0,6107.0,805.92,352.0,1315.751493861968
0,6115.0,813.92,360.0,1315.751493861968
0,6119.0,817.92,364.0,1315.751493861968
0,6126.0,855.0833333333334,371.0,1334.3874036634022
0,6132.0,861.0833333333334,377.0,1334.3874036634022
0,6178.0,826.6153846153846,393.5,1309.932472626065
0,6180.0,828.6153846153846,395.5,1309.932472626065
0,6193.0,791.4814814814815,340.0,1302.9548006819068
0,6197.0,807.1538461538462,317.5,1326.3892482487267
0,6215.0,815.6923076923077,335.5,1331.2340651045085
0,6227.0,815.6923076923077,347.5,1337.1584616189998
0,6231.0,819.6923076923077,351.5,1337.1584616189998
0,6240.0,840.24,334.0,1362.3675650866035
0,6253.0,868.0416666666666,341.5,1388.4896014244719
0,6268.0,897.6086956521739,351.0,1416.5565640152956
0,6274.0,882.5217391304348,337.0,1425.7052524693574
0,6288.0,792.2307692307693,284.0,1371.6423706270555
0,6291.0,795.2307692307693,287.0,1371.6423706270555
0,6296.0,834.7916666666666,244.0,1421.9291174072482
0,6311.0,759.8461538461538,150.0,1392.5105632055554
0,6317.0,766.92,153.0,1420.077150580207
0,6319.0,768.92,155.0,1420.077150580207
0,6323.0,788.4583333333334,156.0,1447.4303373901012
0,6334.0,799.4583333333334,167.0,1447.4303373901012
0,6417.0,881.125,250.0,1448.1668962433164
0,6424.0,917.8695652173913,260.0,1472.1194512127545
0,6425.0,880.625,258.0,1452.7488545426563
0,6431.0,844.8333333333334,246.0,1468.9519695649988
0,6432.0,878.3913043478261,252.0,1492.0447813284973
0,6441.0,808.4782608695652,251.0,1488.7320800094114
0,6465.0,832.4782608695652,275.0,1488.7320800094114
0,6466.0,833.4782608695652,276.0,1488.7320800094114
0,6477.0,853.8181818181819,283.0,1523.7992183523522
0,6492.0,831.695652173913,294.0,1500.4422372662004
0,6518.0,851.3478260869565,320.0,1503.6562861382588
0,6520.0,853.3478260869565,322.0,1503.6562861382588
0,6534.0,867.3478260869565,336.0,1503.6562861382588
0,6544.0,911.9090909090909,350.0,1528.489804560249
0,6570.0,708.7727272727273,332.5,1245.4665767501162
0,6577.0,698.6818181818181,300.0,1252.5304709181778
0,6592.0,713.6818181818181,315.0,1252.5304709181778
0,6601.0,741.6666666666666,324.0,1278.9095181268906
0,6604.0,760.2,323.0,1308.557625784971
0,6626.0,745.0,341.0,1287.8123569319666
0,6644.0,800.2,363.0,1308.557625784971
0,6645.0,801.2,364.0,1308.557625784971
0,6650.0,847.7222222222222,364.0,1372.9336718443285
0,6665.0,891.1176470588235,378.0,1407.5910954682552
0,6668.0,894.1176470588235,381.0,1407.5910954682552
0,6684.0,903.1764705882352,397.0,1411.7058615187395
0,6686.0,905.1764705882352,399.0,1411.7058615187395
0,6691.0,930.3125,393.5,1452.7827486736446
0,6695.0,934.3125,397.5,1452.7827486736446
0,6697.0,936.3125,399.5,1452.7827486736446
0,6733.0,866.1666666666666,367.0,1402.2243143583617
0,6749.0,899.6470588235294,325.0,1440.9696874460642
0,6752.0,902.6470588235294,328.0,1440.9696874460642
0,6753.0,903.6470588235294,329.0,1440.9696874460642
0,6761.0,665.8125,308.5,1218.2727639341488
0,6766.0,670.8125,313.5,1218.2727639341488
0,6773.0,677.8125,320.5,1218.2727639341488
0,6784.0,715.6,346.0,1253.655976201871
0,6802.0,648.5294117647059,335.0,1200.4302717651874
0,6807.0,617.4117647058823,330.0,1210.1831683832256
0,6815.0,625.4117647058823,338.0,1210.1831683832256
0,6838.0,613.2222222222222,312.5,1185.0025108063205
0,6844.0,586.7894736842105,270.0,1161.5756349367311
0,6852.0,594.7894736842105,278.0,1161.5756349367311
0,6862.0,601.0,288.0,1163.4138060941714
0,6875.0,584.2631578947369,203.0,1171.4281810591299
0,6877.0,586.2631578947369,205.0,1171.4281810591299
0,6880.0,559.95,194.0,1148.8941411200599
0,6888.0,494.6521739130435,156.0,1087.936923071476
0,6889.0,495.6521739130435,157.0,1087.936923071476
0,6894.0,504.0,151.5,1112.2721217073063
0,6912.0,452.5217391304348,108.0,1101.1257823962915
0,6919.0,459.5217391304348,115.0,1101.1257823962915
0,6921.0,461.5217391304348,117.0,1101.1257823962915
0,6935.0,453.4347826086956,112.0,1105.279654798689
0,6958.0,465.2608695652174,117.0,1108.7251675525642
0,6983.0,470.8333333333333,133.0,1089.3726278102558
0,6989.0,457.84,130.0,1071.410908288692
0,7031.0,499.84,172.0,1071.410908288692
0,7044.0,512.84,185.0,1071.410908288692
0,7059.0,527.84,200.0,1071.410908288692
0,7063.0,511.5,197.0,1055.5157051631936
0,7066.0,514.5,200.0,1055.5157051631936
0,7076.0,524.5,210.0,1055.5157051631936
0,7080.0,528.5,214.0,1055.5157051631936
0,7091.0,542.0,212.0,1100.8039107852044
0,7123.0,551.56,242.0,1084.1511732226277
0,7129.0,547.0833333333334,248.0,1107.3479171977624
0,7144.0,549.2083333333334,261.5,1111.9327384921066
0,7165.0,538.04,281.0,1098.614526756314
0,7173.0,525.2307692307693,281.0,1082.2930183248864
0,7185.0,525.7692307692307,282.5,1086.3045085090555
0,7188.0,491.14285714285717,269.5,1055.5436552617166
0,7190.0,493.14285714285717,271.5,1055.5436552617166
0,7210.0,519.1481481481482,278.0,1074.4432392399435
0,7227.0,536.1481481481482,295.0,1074.4432392399435
0,7229.0,538.1481481481482,297.0,1074.4432392399435
0,7234.0,543.1481481481482,302.0,1074.4432392399435
0,7249.0,567.4,292.0,1115.8776635456059
0,7250.0,568.4,293.0,1115.8776635456059
0,7255.0,567.875,282.0,1141.8770114924812
0,7257.0,590.2173913043479,298.0,1162.1713170321857
0,7263.0,355.3809523809524,276.0,401.23564815638446
0,7270.0,362.3809523809524,283.0,401.23564815638446
0,7274.0,366.3809523809524,287.0,401.23564815638446
0,7277.0,302.2,253.5,272.5080916229828
0,7286.0,302.7368421052632,226.0,286.5779662638467
0,7331.0,330.45,261.0,289.30683970483653
0,7344.0,333.10526315789474,264.0,293.1950841005357
0,7353.0,325.15,244.0,295.17338548724206
0,7361.0,333.15,252.0,295.17338548724206
0,7364.0,336.15,255.0,295.17338548724206
0,7367.0,339.15,258.0,295.17338548724206
0,7394.0,365.55555555555554,285.0,307.33102353112895
0,7397.0,368.55555555555554,288.0,307.33102353112895
0,7400.0,371.55555555555554,291.0,307.33102353112895
0,7414.0,374.52941176470586,276.0,312.76191238837004
0,7422.0,361.44444444444446,278.5,316.13819450469975
0,7440.0,353.72222222222223,286.5,325.5251834524149
0,7452.0,346.7368421052632,294.0,326.92117867111625
0,7466.0,359.3333333333333,296.0,335.8238625629017
0,7483.0,353.5,299.5,345.7017420327014
0,7490.0,360.5,306.5,345.7017420327014
0,7491.0,361.5,307.5,345.7017420327014
0,7499.0,260.0625,264.0,188.8383795570964
0,7501.0,262.0625,266.0,188.8383795570964
0,7507.0,231.23529411764707,178.0,199.2918431705755
0,7512.0,236.23529411764707,183.0,199.2918431705755
0,7519.0,223.23529411764707,190.0,176.31406784210708
0,7524.0,211.76470588235293,174.0,183.27623940597385
0,7544.0,196.2941176470588,125.0,163.54339762452776
0,7556.0,208.2941176470588,137.0,163.54339762452776
0,7577.0,216.88888888888889,156.5,166.96303279764552
0,7581.0,220.88888888888889,160.5,166.96303279764552
0,7604.0,235.55555555555554,183.5,174.65783127215155
0,7611.0,218.35294117647058,189.0,147.49912908076703
0,7642.0,223.58823529411765,171.0,147.23173364123463
0,7660.0,225.3125,176.5,136.12022202358472
0,7666.0,219.3125,167.5,146.8339703329921
0,7677.0,230.3125,178.5,146.8339703329921
0,7689.0,215.72222222222223,187.5,157.54816038121857
0,7703.0,210.55555555555554,192.0,162.2988403539807
0,7711.0,198.35294117647058,191.0,143.33093799130432
0,7715.0,202.35294117647058,195.0,143.33093799130432
0,7750.0,200.57894736842104,179.0,158.70506103742238
0,7758.0,208.57894736842104,187.0,158.70506103742238
0,7767.0,207.1,183.0,161.28946028801755
0,7780.0,209.66666666666666,183.0,164.1724799550862
0,7801.0,211.65217391304347,178.0,168.55101374481416
0,7811.0,194.69565217391303,148.0,150.67859107113847
0,7818.0,193.375,144.5,152.80838014214623
0,7830.0,205.375,156.5,152.80838014214623
0,7844.0,221.04347826086956,160.0,155.88080124440393
0,7855.0,207.65217391304347,167.0,144.2339912586646
0,7860.0,188.42307692307693,148.5,151.34097342321542
0,7871.0,192.6,143.0,150.3656875753242
0,7878.0,199.6,150.0,150.3656875753242
0,7888.0,209.6,160.0,150.3656875753242
0,7893.0,214.6,165.0,150.3656875753242
0,7921.0,228.96153846153845,184.5,158.61091260576347
0,7931.0,238.96153846153845,194.5,158.61091260576347
0,7949.0,239.10714285714286,203.0,165.84595677179175
0,7956.0,235.44444444444446,209.0,159.18596935504766
0,7962.0,241.44444444444446,215.0,159.18596935504766
0,7969.0,239.75,216.0,162.71505001074732
0,7981.0,240.25925925925927,222.0,154.1419722186378
0,7982.0,227.8148148148148,200.0,154.58068420300583
0,7989.0,233.03703703703704,207.0,156.89710746843485
0,7992.0,236.03703703703704,210.0,156.89710746843485
0,7999.0,237.36,203.0,160.75892012575852
0,8009.0,247.36,213.0,160.75892012575852
0,8020.0,255.29166666666666,218.5,163.35505276510088
0,8027.0,241.17391304347825,211.0,166.38265277834003
0,8032.0,246.17391304347825,216.0,166.38265277834003
0,8035.0,249.17391304347825,219.0,166.38265277834003
0,8068.0,252.41666666666666,218.5,172.947708057153
0,8093.0,267.0,238.0,176.97073204346532
0,8101.0,270.9166666666667,244.5,179.46237225545514
0,8113.0,279.82608695652175,255.0,182.6959108497227
0,8116.0,282.82608695652175,258.0,182.6959108497227
0,8128.0,288.5217391304348,270.0,190.07547003761138
0,8131.0,291.5217391304348,273.0,190.07547003761138
0,8136.0,296.5217391304348,278.0,190.07547003761138
0,8139.0,299.5217391304348,281.0,190.07547003761138
0,8150.0,267.45454545454544,272.5,175.40854319215293
0,8156.0,273.45454545454544,278.5,175.40854319215293
0,8169.0,274.5652173913044,273.0,180.38915085639678
0,8184.0,289.5652173913044,288.0,180.38915085639678
0,8196.0,289.0416666666667,290.0,186.52535108457033
0,8197.0,290.0416666666667,291.0,186.52535108457033
0,8198.0,291.0416666666667,292.0,186.52535108457033
0,8207.0,296.3181818181818,289.0,193.80646071500308
0,8226.0,322.14285714285717,330.0,195.76742413829095
0,8269.0,336.04347826086956,329.0,209.4837294212835
0,8287.0,350.5,345.0,213.51660569869247
0,8298.0,346.1304347826087,354.0,220.91653043977968
0,8299.0,347.1304347826087,355.0,220.91653043977968
0,8305.0,346.54545454545456,351.0,223.66304349354047
0,8325.0,331.4347826086956,302.0,237.6778649471219
0,8335.0,322.4347826086956,292.0,246.42501744943175
0,8336.0,323.4347826086956,293.0,246.42501744943175
0,8338.0,325.4347826086956,295.0,246.42501744943175
0,8341.0,336.72727272727275,308.0,248.8049951665656
0,8353.0,319.75,293.5,242.41449523491784
0,8354.0,320.75,294.5,242.41449523491784
0,8361.0,315.2631578947368,285.0,242.3618091560552
