,time,mean,median,sd
0,283.0,117.42857142857143,111.0,75.40340489253622
0,601.0,370.88235294117646,394.0,145.9886709355301
0,678.0,406.3888888888889,457.0,185.68166872032742
0,832.0,461.2857142857143,560.0,263.9193857541934
0,886.0,492.77272727272725,595.0,277.7245089878853
0,967.0,559.1818181818181,676.0,294.6994827344747
0,982.0,567.2380952380952,672.0,299.87106828830935
0,998.0,578.0,703.5,306.33739569304953
0,1182.0,639.304347826087,578.0,378.9407932167044
0,1218.0,671.8695652173913,614.0,384.61853539497577
0,1257.0,656.3333333333334,587.0,422.20390676649225
0,1332.0,724.7916666666666,662.0,431.3177462890774
0,1335.0,727.7916666666666,665.0,431.3177462890774
0,1358.0,709.7083333333334,688.0,473.6210228272061
0,1458.0,687.1428571428571,675.0,525.6645259835888
0,1487.0,737.2962962962963,717.0,523.4771079797808
0,1514.0,782.1923076923077,761.0,525.2814644206527
0,1544.0,802.1153846153846,791.0,538.0027399789446
0,1578.0,811.68,808.0,534.3225033629034
0,1582.0,815.68,812.0,534.3225033629034
0,1607.0,852.7083333333334,854.0,542.0141817922192
0,1729.0,918.32,959.0,583.6896243724055
0,1801.0,921.2,1005.0,587.0854792958178
0,1817.0,959.5833333333334,1034.0,588.6469596078413
0,1823.0,1001.1739130434783,1053.0,575.4738427307507
0,1857.0,1035.1739130434783,1087.0,575.4738427307507
0,1933.0,1046.125,1150.0,628.133897117751
0,1935.0,1048.125,1152.0,628.133897117751
0,2017.0,1047.0416666666667,1172.0,659.821912789521
0,2032.0,1104.7391304347825,1236.0,640.7340367579308
0,2056.0,1165.590909090909,1273.0,630.8452957659925
0,2089.0,1142.7391304347825,1293.0,669.548661568328
0,2116.0,1145.608695652174,1320.0,699.7939907498513
0,2157.0,1108.7083333333333,1312.0,752.9578606605788
0,2187.0,1151.3478260869565,1391.0,766.6558441470588
0,2202.0,1213.409090909091,1419.0,750.6917209596462
0,2293.0,1237.1363636363637,1448.0,793.199636423984
0,2361.0,1107.423076923077,1040.5,864.5258448366554
0,2403.0,1137.4615384615386,1082.5,877.7207033767031
0,2421.0,1111.8,1028.0,866.9745094291989
0,2473.0,1142.04,1080.0,888.5891955228806
0,2531.0,1112.6666666666667,1092.0,909.140782807021
0,2561.0,1178.3846153846155,1145.0,907.6789112440366
0,2568.0,1185.3846153846155,1152.0,907.6789112440366
0,2616.0,1189.3703703703704,1177.0,918.550756602714
0,2621.0,1184.4074074074074,1182.0,927.6802314359091
0,2644.0,1191.32,1205.0,902.8908115602906
0,2653.0,1200.32,1214.0,902.8908115602906
0,2678.0,1253.0416666666667,1262.0,911.0250856025986
0,2686.0,1261.0416666666667,1270.0,911.0250856025986
0,2690.0,1265.0416666666667,1274.0,911.0250856025986
0,2714.0,1372.0454545454545,1393.5,907.0295413287128
0,2756.0,1403.5,1435.5,921.9029602847678
0,2762.0,1409.5,1441.5,921.9029602847678
0,2780.0,1353.9130434782608,1387.0,962.0949475445431
0,2812.0,1371.1304347826087,1419.0,980.3674690090013
0,2823.0,1324.75,1407.0,998.3994795838654
0,2844.0,1241.2083333333333,1194.0,1000.5937811772345
0,2852.0,1240.9166666666667,1202.0,1007.7656356459516
0,2885.0,1177.1153846153845,907.5,1024.6585670329814
0,2928.0,1111.2142857142858,710.5,1051.7278761686428
0,2958.0,1102.1724137931035,617.0,1053.8826103890226
0,2983.0,1165.0357142857142,765.5,1052.9767492394005
0,2994.0,1203.9259259259259,900.0,1062.0946434052232
0,3024.0,1097.896551724138,449.0,1082.227471303183
0,3077.0,1114.2666666666667,413.0,1082.1674834434002
0,3120.0,1146.2666666666667,456.0,1091.960314704197
0,3131.0,1101.5666666666666,467.0,1072.9166069902897
0,3140.0,1101.9666666666667,476.0,1080.7135754778978
0,3174.0,1100.1612903225807,421.0,1081.0767958390195
0,3190.0,1111.032258064516,437.0,1085.9435167355907
0,3218.0,1081.9354838709678,444.0,1097.2667783790973
0,3234.0,1120.2,470.5,1108.4947270961645
0,3240.0,1126.2,476.5,1108.4947270961645
0,3246.0,1156.4827586206898,493.0,1119.5722588587942
0,3253.0,1189.7857142857142,589.0,1130.5504461210433
0,3262.0,1230.0740740740741,687.0,1139.32965755619
0,3310.0,1136.4642857142858,546.5,1128.6219942333867
0,3328.0,1181.037037037037,575.0,1140.698826791311
0,3333.0,1186.037037037037,580.0,1140.698826791311
0,3339.0,1215.3461538461538,664.5,1156.1013045280076
0,3346.0,1231.04,572.0,1178.162925235725
0,3358.0,1243.04,584.0,1178.162925235725
0,3382.0,1309.7083333333333,707.5,1183.3804854162033
0,3441.0,1249.3461538461538,625.0,1204.985219900026
0,3444.0,1252.3461538461538,628.0,1204.985219900026
0,3488.0,1261.5384615384614,648.0,1233.4477392430483
0,3497.0,1301.44,723.0,1247.9669572548785
0,3512.0,1219.888888888889,606.0,1248.432508546242
0,3523.0,1230.888888888889,617.0,1248.432508546242
0,3534.0,1197.7142857142858,574.5,1247.2400346692025
0,3549.0,1244.111111111111,643.0,1259.2146386430072
0,3555.0,1168.576923076923,595.5,1211.2455183080358
0,3562.0,1175.576923076923,602.5,1211.2455183080358
0,3601.0,1214.576923076923,641.5,1211.2455183080358
0,3621.0,1259.64,715.0,1228.604179709641
0,3637.0,1262.6,731.0,1240.204499266149
0,3649.0,1253.2083333333333,645.5,1261.2513290104218
0,3656.0,1260.2083333333333,652.5,1261.2513290104218
0,3671.0,1305.8695652173913,765.0,1279.5919289859164
0,3705.0,1339.8695652173913,799.0,1279.5919289859164
0,3721.0,1408.7727272727273,881.0,1283.5145617270143
0,3744.0,1474.4761904761904,970.0,1298.3600505490294
0,3768.0,1447.4,928.0,1309.672264347077
0,3814.0,1475.8,974.0,1327.075039325207
0,3836.0,1559.0,1062.0,1333.7579674699132
0,3846.0,1625.7222222222222,1171.5,1347.815961948793
0,3851.0,1630.7222222222222,1176.5,1347.815961948793
0,3884.0,1450.6666666666667,1044.0,1293.6201571988242
0,3896.0,1518.5294117647059,1122.0,1309.8549141770518
0,3913.0,1507.4705882352941,1139.0,1336.804183717846
0,3927.0,1583.0,1252.5,1354.3913762277136
0,3929.0,1585.0,1254.5,1354.3913762277136
0,3967.0,1594.4375,1292.5,1382.9238486242652
0,3976.0,1705.3333333333333,1401.0,1368.887415222872
0,3988.0,1814.357142857143,1467.0,1366.1973088594098
0,3990.0,1816.357142857143,1469.0,1366.1973088594098
0,4001.0,1551.9285714285713,1326.5,1317.0586527933974
0,4081.0,1215.6315789473683,627.0,1327.958116433937
0,4086.0,1213.842105263158,632.0,1333.8234422401083
0,4089.0,1216.842105263158,635.0,1333.8234422401083
0,4099.0,1165.6,443.5,1327.1744572587284
