,time,mean,median,sd,min,max
0,884.0,516.68,535.0,246.29538688331132,10.0,868.0
0,912.0,558.0416666666666,565.5,242.3337022865142,38.0,896.0
0,964.0,595.5,617.5,264.0587055940402,17.0,948.0
0,1074.0,642.0,701.0,308.870328778923,14.0,1058.0
0,1201.0,670.0357142857143,792.5,385.8804850267629,11.0,1185.0
0,1223.0,672.25,814.5,406.0742037221417,1.0,1207.0
0,1324.0,742.9310344827586,897.0,427.7126759575778,7.0,1308.0
0,1332.0,768.0357142857143,923.5,425.42579360841177,15.0,1316.0
0,1364.0,784.1071428571429,955.5,446.08145791081336,4.0,1348.0
0,1411.0,758.9,908.0,465.4087343400422,9.0,1395.0
0,1446.0,786.5,943.0,475.55677894442846,1.0,1430.0
0,1453.0,787.8620689655172,943.0,482.69978705537625,8.0,1437.0
0,1512.0,868.8928571428571,1043.5,476.70238838486716,6.0,1496.0
0,1611.0,931.551724137931,1101.0,504.4269938774092,67.0,1595.0
0,1652.0,1002.3214285714286,1183.5,487.6813987468391,14.0,1636.0
0,1681.0,974.7142857142857,1122.0,510.98014059416505,5.0,1665.0
0,1713.0,989.8571428571429,1154.0,535.2858191314854,5.0,1697.0
0,1801.0,1056.357142857143,1242.0,563.2384178179987,15.0,1785.0
0,1819.0,1058.607142857143,1260.0,586.3641810394992,2.0,1803.0
0,1830.0,1098.6296296296296,1320.0,577.0377834826153,3.0,1814.0
0,1831.0,1099.6296296296296,1321.0,577.0377834826153,4.0,1815.0
0,1844.0,1081.6296296296296,1334.0,612.2088210762456,4.0,1828.0
0,1898.0,1118.7407407407406,1388.0,635.7348383064189,30.0,1882.0
0,1932.0,1106.9642857142858,1373.0,666.7574244132599,23.0,1916.0
0,1983.0,1064.2333333333333,1355.5,722.9592281419165,5.0,1967.0
0,2088.0,1130.5,1460.5,748.9514336724378,5.0,2072.0
0,2104.0,1142.1666666666667,1476.5,755.1131077895255,10.0,2088.0
0,2115.0,1152.5333333333333,1487.5,756.0697821997355,2.0,2099.0
0,2117.0,1154.5333333333333,1489.5,756.0697821997355,4.0,2101.0
0,2131.0,1165.2857142857142,1503.5,755.7553864059671,18.0,2115.0
0,2201.0,1191.5862068965516,1554.0,777.6413284232129,5.0,2185.0
0,2282.0,1297.4285714285713,1654.5,780.016823471109,32.0,2266.0
0,2284.0,1299.4285714285713,1656.5,780.016823471109,34.0,2268.0
0,2335.0,1423.3461538461538,1776.0,762.046129348111,5.0,2319.0
0,2367.0,1369.076923076923,1739.5,793.1884014763997,6.0,2351.0
0,2493.0,1330.551724137931,1619.0,887.0241448413398,10.0,2477.0
0,2521.0,1340.6206896551723,1574.0,877.1771501101624,38.0,2505.0
0,2538.0,1357.6206896551723,1591.0,877.1771501101624,55.0,2522.0
0,2567.0,1360.8275862068965,1620.0,906.040041322888,2.0,2551.0
0,2585.0,1378.8275862068965,1638.0,906.040041322888,20.0,2569.0
0,2643.0,1470.5714285714287,1732.5,903.9944464340881,11.0,2627.0
0,2654.0,1474.75,1743.5,914.3086234574032,7.0,2638.0
0,2659.0,1523.3703703703704,1785.0,902.0227946593412,12.0,2643.0
0,2673.0,1482.857142857143,1762.5,929.9580910021741,11.0,2657.0
0,2677.0,1486.857142857143,1766.5,929.9580910021741,15.0,2661.0
