,time,mean,median,sd,min,max
0,884.0,536.2,540.0,293.31443878540995,33.0,866.0
0,912.0,564.2,568.0,293.31443878540995,61.0,894.0
0,964.0,616.2,620.0,293.31443878540995,17.0,946.0
0,1074.0,726.2,730.0,293.31443878540995,88.0,1056.0
0,1201.0,853.2,857.0,293.31443878540995,215.0,1183.0
0,1223.0,729.5,837.5,421.70714561964286,1.0,1205.0
0,1324.0,830.5,938.5,421.70714561964286,65.0,1306.0
0,1332.0,838.5,946.5,421.70714561964286,73.0,1314.0
0,1364.0,870.5,978.5,421.70714561964286,105.0,1346.0
0,1411.0,826.1666666666666,874.0,384.0362034438362,152.0,1393.0
0,1446.0,861.1666666666666,909.0,384.0362034438362,10.0,1428.0
0,1453.0,868.1666666666666,916.0,384.0362034438362,17.0,1435.0
0,1512.0,927.1666666666666,975.0,384.0362034438362,6.0,1494.0
0,1611.0,1026.1666666666667,1074.0,384.0362034438362,105.0,1593.0
0,1652.0,1067.1666666666667,1115.0,384.0362034438362,146.0,1634.0
0,1681.0,1096.1666666666667,1144.0,384.0362034438362,175.0,1663.0
0,1713.0,968.1428571428571,1066.0,529.2073394835575,8.0,1695.0
0,1801.0,1056.142857142857,1154.0,529.2073394835575,96.0,1783.0
0,1819.0,1074.142857142857,1172.0,529.2073394835575,114.0,1801.0
0,1830.0,1085.142857142857,1183.0,529.2073394835575,3.0,1812.0
0,1831.0,1086.142857142857,1184.0,529.2073394835575,4.0,1813.0
0,1844.0,1099.142857142857,1197.0,529.2073394835575,17.0,1826.0
0,1898.0,1153.142857142857,1251.0,529.2073394835575,71.0,1880.0
0,1932.0,1187.142857142857,1285.0,529.2073394835575,105.0,1914.0
0,1983.0,1238.142857142857,1336.0,529.2073394835575,42.0,1965.0
0,2088.0,1177.142857142857,1441.0,693.279046802003,75.0,2070.0
0,2104.0,1193.142857142857,1457.0,693.279046802003,91.0,2086.0
0,2115.0,1204.142857142857,1468.0,693.279046802003,102.0,2097.0
0,2117.0,1206.142857142857,1470.0,693.279046802003,104.0,2099.0
