,time,mean,median,sd,min,max
0,884.0,511.8,523.0,232.807560014704,10.0,868.0
0,912.0,556.421052631579,563.0,226.99508823563232,38.0,896.0
0,964.0,590.0526315789474,615.0,255.5257683337406,40.0,948.0
0,1074.0,620.95,692.5,309.0748250828592,14.0,1058.0
0,1201.0,630.2173913043479,705.0,392.03626235578054,11.0,1185.0
0,1223.0,656.6363636363636,780.0,400.2865502537521,10.0,1207.0
0,1324.0,720.0869565217391,828.0,426.3174886563012,7.0,1308.0
0,1332.0,748.8181818181819,889.0,424.4087476996285,15.0,1316.0
0,1364.0,760.5454545454545,921.0,449.62941581957017,4.0,1348.0
0,1411.0,742.0833333333334,908.0,482.1531496549848,9.0,1395.0
0,1446.0,767.8333333333334,943.0,494.0441669414677,1.0,1430.0
0,1453.0,766.9130434782609,943.0,503.1761652822285,8.0,1437.0
0,1512.0,853.0,1062.0,497.8147702253776,67.0,1496.0
0,1611.0,906.8695652173913,1101.0,528.5881362359319,67.0,1595.0
0,1652.0,984.6363636363636,1202.0,510.89560803949917,14.0,1636.0
0,1681.0,941.5909090909091,1122.0,535.6930650263781,5.0,1665.0
0,1713.0,997.0952380952381,1203.0,537.1016490441039,5.0,1697.0
0,1801.0,1056.4285714285713,1291.0,574.1340121831994,15.0,1785.0
0,1819.0,1053.4285714285713,1309.0,604.1273573888028,2.0,1803.0
0,1830.0,1103.35,1380.0,592.7950130525728,13.0,1814.0
0,1831.0,1104.35,1381.0,592.7950130525728,14.0,1815.0
0,1844.0,1075.5,1394.0,638.6027325340849,4.0,1828.0
0,1898.0,1106.7,1448.0,668.6060200147767,30.0,1882.0
0,1932.0,1080.2380952380952,1422.0,704.6583031959807,23.0,1916.0
0,1983.0,1011.304347826087,1375.0,764.5269315802624,5.0,1967.0
0,2088.0,1116.304347826087,1480.0,764.5269315802624,5.0,2072.0
0,2104.0,1126.6521739130435,1496.0,772.283379432348,10.0,2088.0
0,2115.0,1136.8260869565217,1507.0,773.4866094326679,2.0,2099.0
0,2117.0,1138.8260869565217,1509.0,773.4866094326679,4.0,2101.0
0,2131.0,1147.0,1523.0,774.6002348369924,18.0,2115.0
0,2201.0,1213.095238095238,1593.0,780.4661552566735,6.0,2185.0
0,2282.0,1294.095238095238,1674.0,780.4661552566735,32.0,2266.0
0,2284.0,1296.095238095238,1676.0,780.4661552566735,34.0,2268.0
0,2335.0,1446.5263157894738,1825.0,754.5415735064468,85.0,2319.0
0,2367.0,1360.4736842105262,1759.0,798.3303213201025,6.0,2351.0
0,2493.0,1270.7727272727273,1467.0,910.7568247351501,24.0,2477.0
0,2521.0,1298.7727272727273,1495.0,910.7568247351501,52.0,2505.0
0,2538.0,1315.7727272727273,1512.0,910.7568247351501,69.0,2522.0
0,2567.0,1310.7727272727273,1541.0,945.6207163848508,2.0,2551.0
0,2585.0,1328.7727272727273,1559.0,945.6207163848508,20.0,2569.0
0,2643.0,1386.7727272727273,1617.0,945.6207163848508,11.0,2627.0
0,2654.0,1454.857142857143,1780.0,930.1019035677801,7.0,2638.0
0,2659.0,1517.75,1918.0,915.4019813721183,12.0,2643.0
0,2673.0,1459.3333333333333,1799.0,950.2322690160364,11.0,2657.0
0,2677.0,1463.3333333333333,1803.0,950.2322690160364,15.0,2661.0
0,2682.0,1593.2631578947369,2074.0,913.2782963245082,20.0,2666.0
0,2697.0,1527.1,1956.0,957.8492000309861,5.0,2681.0
0,2747.0,1459.45,1721.0,993.6328534725491,3.0,2731.0
0,2794.0,1435.857142857143,1616.0,1019.7836505247329,14.0,2778.0
0,2852.0,1473.6190476190477,1674.0,1044.5330456460972,9.0,2836.0
