,time,mean,median,sd
0,656.0,449.25,456.5,167.7712356156442
0,733.0,432.8,418.0,239.68596120757678
0,808.0,507.8,493.0,239.68596120757678
0,888.0,587.8,573.0,239.68596120757678
0,915.0,614.8,600.0,239.68596120757678
0,959.0,658.8,644.0,239.68596120757678
0,970.0,669.8,655.0,239.68596120757678
0,975.0,674.8,660.0,239.68596120757678
0,1173.0,736.5,805.0,375.1838438241533
0,1201.0,764.5,833.0,375.1838438241533
0,1246.0,809.5,878.0,375.1838438241533
0,1256.0,819.5,888.0,375.1838438241533
0,1262.0,825.5,894.0,375.1838438241533
0,1333.0,896.5,965.0,375.1838438241533
0,1342.0,905.5,974.0,375.1838438241533
0,1431.0,991.4,1116.0,410.9231558333018
0,1438.0,1057.0,1238.5,440.3436158274581
0,1490.0,897.4,1175.0,578.1178426583978
0,1500.0,907.4,1185.0,578.1178426583978
0,1519.0,682.4,401.0,535.3423577487588
0,1575.0,738.4,457.0,535.3423577487588
0,1638.0,801.4,520.0,535.3423577487588
0,1652.0,815.4,534.0,535.3423577487588
0,1655.0,818.4,537.0,535.3423577487588
0,1675.0,838.4,557.0,535.3423577487588
0,1708.0,871.4,590.0,535.3423577487588
0,1774.0,1007.75,1003.0,577.4891232741963
0,1831.0,1064.75,1060.0,577.4891232741963
0,1851.0,1084.75,1080.0,577.4891232741963
0,1854.0,1087.75,1083.0,577.4891232741963
0,1856.0,1089.75,1085.0,577.4891232741963
0,1931.0,936.6,704.0,689.205803806091
0,2024.0,867.8333333333334,691.0,725.7268578619797
0,2035.0,878.8333333333334,702.0,725.7268578619797
0,2055.0,955.4,828.0,782.8260598625981
0,2061.0,961.4,834.0,782.8260598625981
0,2088.0,988.4,861.0,782.8260598625981
0,2109.0,1009.4,882.0,782.8260598625981
0,2143.0,1043.4,916.0,782.8260598625981
0,2239.0,643.4444444444445,274.0,804.9908365401312
0,2259.0,663.4444444444445,294.0,804.9908365401312
0,2260.0,664.4444444444445,295.0,804.9908365401312
0,2265.0,669.4444444444445,300.0,804.9908365401312
0,2332.0,736.4444444444445,367.0,804.9908365401312
0,2335.0,739.4444444444445,370.0,804.9908365401312
0,2359.0,759.4444444444445,394.0,808.0976441427953
0,2401.0,801.4444444444445,436.0,808.0976441427953
0,2418.0,818.4444444444445,453.0,808.0976441427953
0,2441.0,841.4444444444445,476.0,808.0976441427953
0,2456.0,856.4444444444445,491.0,808.0976441427953
0,2521.0,921.4444444444445,556.0,808.0976441427953
0,2532.0,932.4444444444445,567.0,808.0976441427953
0,2559.0,959.4444444444445,594.0,808.0976441427953
0,2560.0,960.4444444444445,595.0,808.0976441427953
0,2601.0,1080.125,665.0,823.9744288356284
0,2609.0,1088.125,673.0,823.9744288356284
0,2613.0,1092.125,677.0,823.9744288356284
0,2639.0,1118.125,703.0,823.9744288356284
0,2640.0,1119.125,704.0,823.9744288356284
0,2642.0,1121.125,706.0,823.9744288356284
0,2656.0,1135.125,720.0,823.9744288356284
0,2678.0,1157.125,742.0,823.9744288356284
0,2688.0,1119.25,636.0,858.7799121428028
0,2699.0,1130.25,647.0,858.7799121428028
0,2700.0,1131.25,648.0,858.7799121428028
0,2717.0,1196.5714285714287,520.0,907.84404846126
0,2738.0,1217.5714285714287,541.0,907.84404846126
0,2797.0,1276.5714285714287,600.0,907.84404846126
0,2823.0,1302.5714285714287,626.0,907.84404846126
0,2828.0,1307.5714285714287,631.0,907.84404846126
0,2830.0,1309.5714285714287,633.0,907.84404846126
0,2837.0,1316.5714285714287,640.0,907.84404846126
0,2847.0,1326.5714285714287,650.0,907.84404846126
0,2848.0,1327.5714285714287,651.0,907.84404846126
0,2884.0,1363.5714285714287,687.0,907.84404846126
0,2936.0,1415.5714285714287,739.0,907.84404846126
0,3001.0,1480.5714285714287,804.0,907.84404846126
0,3005.0,1484.5714285714287,808.0,907.84404846126
0,3006.0,1485.5714285714287,809.0,907.84404846126
0,3024.0,1503.5714285714287,827.0,907.84404846126
0,3032.0,1511.5714285714287,835.0,907.84404846126
0,3049.0,1528.5714285714287,852.0,907.84404846126
0,3057.0,1536.5714285714287,860.0,907.84404846126
0,3077.0,1556.5714285714287,880.0,907.84404846126
0,3121.0,1600.5714285714287,924.0,907.84404846126
0,3122.0,1601.5714285714287,925.0,907.84404846126
0,3132.0,1611.5714285714287,935.0,907.84404846126
0,3144.0,1623.5714285714287,947.0,907.84404846126
0,3176.0,1655.5714285714287,979.0,907.84404846126
0,3186.0,1665.5714285714287,989.0,907.84404846126
0,3218.0,1697.5714285714287,1021.0,907.84404846126
0,3237.0,1716.5714285714287,1040.0,907.84404846126
0,3255.0,1734.5714285714287,1058.0,907.84404846126
0,3261.0,1740.5714285714287,1064.0,907.84404846126
