,time,mean,median,sd
0,174.0,61.0,43.0,54.468339427597755
0,283.0,126.0,111.0,66.41117710479497
0,657.0,373.26666666666665,409.0,144.0006790107448
0,731.0,421.8,483.0,181.2030904813712
0,889.0,545.1875,613.0,219.46674541658925
0,916.0,540.0,640.0,257.22461002011454
0,974.0,564.4375,698.0,292.7097471792663
0,994.0,544.8823529411765,690.0,323.52195713336806
0,1170.0,554.4285714285714,601.0,391.1251865638748
0,1186.0,545.0,508.5,399.5049208935753
0,1201.0,552.5,523.5,408.0814034211579
0,1227.0,542.4782608695652,441.0,426.44158268214613
0,1256.0,542.375,462.0,438.3927854960663
0,1353.0,662.0869565217391,567.0,433.77903742358103
0,1425.0,723.3913043478261,639.0,448.3706482200359
0,1456.0,723.2916666666666,662.0,463.5785153893088
0,1484.0,771.8260869565217,698.0,462.7405745333671
0,1487.0,774.8260869565217,701.0,462.7405745333671
0,1495.0,828.5238095238095,926.0,458.7039318036789
0,1511.0,771.3478260869565,725.0,498.33501990176404
0,1591.0,828.3913043478261,805.0,521.0297278617508
0,1602.0,857.4090909090909,924.5,525.6851511115503
0,1697.0,884.6363636363636,903.0,538.1741476726103
0,1727.0,839.6666666666666,832.0,572.128093660463
0,1801.0,849.0,800.5,583.8016215576429
0,1846.0,918.2608695652174,858.0,584.394239875141
0,1857.0,955.5454545454545,962.0,584.0803748607898
0,1908.0,987.2727272727273,1013.0,608.2901656445176
0,1910.0,989.2727272727273,1015.0,608.2901656445176
0,1932.0,934.0454545454545,931.5,622.8629264987695
0,2016.0,878.6,827.0,683.8851950437296
0,2032.0,922.2083333333334,931.0,684.2009316937208
0,2058.0,948.2083333333334,957.0,684.2009316937208
0,2089.0,1001.4782608695652,1076.0,690.3489268708672
0,2093.0,1005.4782608695652,1080.0,690.3489268708672
0,2112.0,999.6363636363636,1011.0,695.7375122489898
0,2113.0,1000.6363636363636,1012.0,695.7375122489898
0,2168.0,1066.4285714285713,1155.0,717.7035182692464
0,2171.0,1069.4285714285713,1158.0,717.7035182692464
0,2204.0,1133.5,1203.5,721.5117116166584
0,2211.0,1140.5,1210.5,721.5117116166584
0,2230.0,1159.5,1229.5,721.5117116166584
0,2255.0,1129.1904761904761,1242.0,746.3059259763334
0,2276.0,1051.0434782608695,1087.0,782.1506292302608
0,2300.0,1096.6818181818182,1199.0,792.9677504828207
0,2317.0,1065.304347826087,1128.0,808.051463857325
0,2323.0,1057.9130434782608,1134.0,822.906403523695
0,2370.0,1059.0416666666667,1148.0,835.078163964641
0,2376.0,1093.0,1187.0,841.9710828453825
0,2401.0,1068.7727272727273,1179.0,827.8902502922267
0,2436.0,1091.6363636363637,1214.0,841.415989727195
0,2457.0,1064.304347826087,1202.0,853.5752652574682
0,2496.0,1125.090909090909,1274.0,866.4822250231056
0,2594.0,1210.590909090909,1372.0,881.078866508705
0,2618.0,1184.857142857143,1363.0,871.1204217073815
0,2624.0,1190.857142857143,1369.0,871.1204217073815
0,2671.0,1167.6363636363637,1081.0,904.4086237302727
0,2693.0,1125.904761904762,768.0,876.0978367175288
0,2761.0,1125.0454545454545,807.0,904.9492440449468
0,2767.0,1131.0454545454545,813.0,904.9492440449468
0,2769.0,1133.0454545454545,815.0,904.9492440449468
0,2782.0,1076.4285714285713,799.0,866.7795112301833
0,2787.0,1130.95,833.0,858.7038182633171
0,2873.0,1178.8,919.0,900.2717145395605
0,2898.0,1101.047619047619,666.0,945.8559477652516
0,2901.0,1104.047619047619,669.0,945.8559477652516
0,2945.0,1075.6363636363637,693.0,971.7423688431819
0,2958.0,1041.3478260869565,686.0,975.9221106079805
0,2992.0,1030.875,655.0,978.8921166510979
0,2997.0,1065.304347826087,725.0,989.4977836731824
0,2999.0,1067.304347826087,727.0,989.4977836731824
0,3001.0,1069.304347826087,729.0,989.4977836731824
0,3045.0,1085.5217391304348,773.0,1011.0487826172177
0,3057.0,999.6086956521739,401.0,1003.228992851731
0,3058.0,1000.6086956521739,402.0,1003.228992851731
0,3081.0,1068.909090909091,617.0,1002.5059015510224
0,3109.0,1028.1904761904761,453.0,974.1594481323309
0,3113.0,1032.1904761904761,457.0,974.1594481323309
0,3133.0,1040.5714285714287,477.0,985.0876959476668
0,3146.0,1081.75,658.5,1001.1208655801756
0,3151.0,1086.75,663.5,1001.1208655801756
0,3186.0,1029.1052631578948,483.0,939.8572621043018
0,3196.0,1079.888888888889,708.5,949.106356813192
0,3201.0,1084.888888888889,713.5,949.106356813192
0,3213.0,1096.888888888889,725.5,949.106356813192
0,3231.0,1109.8333333333333,743.5,954.7192868412509
0,3261.0,1187.8823529411766,989.0,961.0146526613202
0,3265.0,1191.8823529411766,993.0,961.0146526613202
0,3279.0,1150.625,791.5,964.0350664654269
0,3288.0,1072.2941176470588,585.0,992.0008162179922
0,3300.0,991.6111111111111,468.0,1018.1786101164988
0,3317.0,934.8888888888889,430.0,1039.7621463525463
0,3322.0,964.3529411764706,414.0,1064.8600538362095
0,3346.0,988.3529411764706,438.0,1064.8600538362095
0,3368.0,954.2777777777778,422.0,1060.3707844981793
0,3384.0,996.8823529411765,400.0,1085.2585423788325
0,3392.0,1004.8823529411765,408.0,1085.2585423788325
0,3404.0,1073.1875,458.0,1094.3048717536399
0,3432.0,1077.5625,486.0,1113.2976336513746
0,3445.0,1057.75,342.5,1136.6217763618642
0,3451.0,1006.25,264.5,1150.499483919919
0,3482.0,1018.5,230.0,1164.2355324417822
0,3531.0,994.2941176470588,248.0,1164.8176209026878
0,3533.0,996.2941176470588,250.0,1164.8176209026878
0,3573.0,1064.25,288.0,1195.1209405327982
0,3583.0,874.3529411764706,284.0,1160.6609648956608
0,3585.0,876.3529411764706,286.0,1160.6609648956608
0,3601.0,870.2352941176471,234.0,1173.7227114869202
0,3614.0,873.1764705882352,247.0,1180.411455447739
0,3625.0,884.1764705882352,258.0,1180.411455447739
0,3656.0,911.4705882352941,289.0,1183.1391006504218
0,3666.0,955.375,273.0,1211.5135613665248
0,3683.0,956.375,273.5,1222.4046422420852
0,3712.0,985.375,302.5,1222.4046422420852
0,3724.0,886.8333333333334,245.0,1194.1517793908033
0,3737.0,887.4444444444445,258.0,1202.2181916136992
0,3744.0,894.4444444444445,265.0,1202.2181916136992
0,3814.0,871.75,270.5,1173.937940225121
0,3831.0,866.3,242.0,1186.076561609747
0,3832.0,867.3,243.0,1186.076561609747
0,3856.0,891.3,267.0,1186.076561609747
0,3863.0,915.0526315789474,266.0,1214.5803899066157
0,3873.0,816.1666666666666,272.5,1154.0773250619832
0,3882.0,869.8235294117648,285.0,1172.3246004661557
0,3884.0,871.8235294117648,287.0,1172.3246004661557
0,3887.0,923.0,298.0,1191.9668619554823
0,3894.0,1042.5384615384614,297.0,1295.1966655171962
0,3913.0,920.8666666666667,269.0,1257.9704218391712
0,3960.0,900.5,300.5,1244.5270185897934
0,3961.0,901.5,301.5,1244.5270185897934
0,3987.0,851.5882352941177,266.0,1238.2516639968644
0,4042.0,814.0526315789474,320.0,1201.9388054167978
0,4074.0,865.6666666666666,345.5,1231.9115678940234
0,4088.0,879.6666666666666,359.5,1231.9115678940234
0,4090.0,881.6666666666666,361.5,1231.9115678940234
0,4130.0,916.8888888888889,401.5,1235.2087043127071
0,4137.0,923.8888888888889,408.5,1235.2087043127071
0,4152.0,938.8888888888889,423.5,1235.2087043127071
0,4173.0,935.1666666666666,353.5,1249.4971099517509
0,4181.0,958.9411764705883,277.0,1283.9789017227674
0,4182.0,959.9411764705883,278.0,1283.9789017227674
0,4190.0,1000.0,283.5,1316.877889175758
0,4201.0,1046.4666666666667,292.0,1352.646436517031
0,4223.0,1103.4285714285713,310.5,1393.5590465877399
0,4229.0,1152.1538461538462,313.0,1437.301523216007
0,4248.0,1087.857142857143,328.0,1417.2065509879867
0,4250.0,1089.857142857143,330.0,1417.2065509879867
0,4256.0,1072.2142857142858,314.0,1432.4317574655759
0,4263.0,1135.0,295.0,1471.777000248862
0,4289.0,947.8125,294.5,1398.9011410188177
0,4299.0,901.7058823529412,289.0,1375.5647723413733
0,4311.0,913.7058823529412,301.0,1375.5647723413733
0,4333.0,884.8333333333334,275.5,1353.1643264749646
0,4375.0,856.8947368421053,209.0,1342.8461484449183
0,4390.0,913.2777777777778,254.5,1367.8000505903858
0,4401.0,924.2777777777778,265.5,1367.8000505903858
0,4405.0,928.2777777777778,269.5,1367.8000505903858
0,4423.0,893.1052631578947,257.0,1350.0686881058602
0,4437.0,927.8888888888889,232.5,1384.1020710951473
0,4442.0,932.8888888888889,237.5,1384.1020710951473
0,4456.0,853.1,207.0,1342.8825302311443
0,4473.0,863.6315789473684,208.0,1386.737830894632
0,4482.0,872.6315789473684,217.0,1386.737830894632
0,4489.0,835.9,223.0,1365.0004725273907
0,4493.0,882.7368421052631,228.0,1387.2962663929873
0,4517.0,797.4285714285714,222.0,1355.3758772781382
0,4536.0,838.75,232.0,1385.075011506597
0,4545.0,847.75,241.0,1385.075011506597
0,4551.0,875.2105263157895,238.0,1417.8123466860882
0,4576.0,900.2105263157895,263.0,1417.8123466860882
0,4604.0,928.2105263157895,291.0,1417.8123466860882
0,4636.0,960.2105263157895,323.0,1417.8123466860882
0,4656.0,980.2105263157895,343.0,1417.8123466860882
0,4673.0,1043.388888888889,369.0,1442.6894306155698
0,4681.0,1051.388888888889,377.0,1442.6894306155698
0,4688.0,1058.388888888889,384.0,1442.6894306155698
0,4689.0,1059.388888888889,385.0,1442.6894306155698
0,4694.0,1101.8823529411766,381.0,1475.968032586747
0,4697.0,1104.8823529411766,384.0,1475.968032586747
0,4700.0,1161.0625,396.0,1505.5094016955688
0,4733.0,1165.1875,397.0,1523.0642311943873
0,4748.0,1226.6666666666667,389.0,1561.9884620430316
0,4768.0,1246.6666666666667,409.0,1561.9884620430316
0,4773.0,1251.6666666666667,414.0,1561.9884620430316
0,4788.0,1188.125,403.5,1542.6768486546364
0,4798.0,1245.6666666666667,388.0,1581.8803016944387
0,4801.0,1248.6666666666667,391.0,1581.8803016944387
0,4808.0,1305.857142857143,397.5,1625.8222472311775
0,4814.0,1224.8,403.0,1604.1145096282871
0,4838.0,1248.8,427.0,1604.1145096282871
0,4845.0,1255.8,434.0,1604.1145096282871
0,4856.0,1266.8,445.0,1604.1145096282871
0,4877.0,1249.8,426.0,1626.9726979885063
0,4885.0,1320.9285714285713,454.0,1666.234139964631
0,4912.0,1259.5333333333333,461.0,1643.3621579622134
0,4914.0,1261.5333333333333,463.0,1643.3621579622134
0,4932.0,1401.8461538461538,481.0,1733.1226085685228
0,4944.0,1490.5833333333333,485.0,1782.5464210099988
0,4961.0,1392.1538461538462,453.0,1758.6751939655662
0,4976.0,1306.857142857143,369.5,1732.8551112931207
0,5018.0,1115.8235294117646,240.0,1651.1539720590465
0,5028.0,1176.0,235.0,1689.3499489448598
0,5041.0,1232.7333333333333,233.0,1735.9613462158527
0,5047.0,1278.0714285714287,210.5,1790.4200410711974
0,5057.0,1288.0714285714287,220.5,1790.4200410711974
0,5076.0,1288.5,198.5,1802.4099640679499
0,5087.0,1299.5,209.5,1802.4099640679499
0,5102.0,1299.5,192.5,1812.3690790154826
0,5116.0,1313.5,206.5,1812.3690790154826
0,5175.0,1346.642857142857,211.5,1828.6116750593237
0,5178.0,1349.642857142857,214.5,1828.6116750593237
0,5180.0,1351.642857142857,216.5,1828.6116750593237
0,5181.0,1439.2307692307693,208.0,1869.7788908295322
0,5214.0,1582.75,295.0,1904.8947532169154
0,5224.0,1592.75,305.0,1904.8947532169154
0,5234.0,1602.75,315.0,1904.8947532169154
0,5304.0,1438.5714285714287,326.0,1854.5374361389463
0,5309.0,1443.5714285714287,331.0,1854.5374361389463
0,5314.0,1533.7692307692307,331.0,1897.959436781682
0,5323.0,1542.7692307692307,340.0,1897.959436781682
