,time,mean,median,sd,min,max
0,424.0,242.33333333333334,221.0,93.48915563969022,22.0,418.0
0,601.0,330.0833333333333,375.0,176.027203547886,4.0,595.0
0,808.0,402.9375,390.0,249.38912084080573,21.0,802.0
0,978.0,489.22222222222223,412.0,308.0917171441639,3.0,972.0
0,1023.0,461.57894736842104,403.0,324.5452390474488,22.0,1017.0
0,1168.0,578.3,527.5,339.4958173527327,41.0,1162.0
0,1201.0,639.578947368421,581.0,324.5452390474488,31.0,1195.0
0,1219.0,665.5555555555555,610.5,331.6208045715639,49.0,1213.0
0,1411.0,802.5263157894736,791.0,386.8436877876689,52.0,1405.0
0,1441.0,808.6315789473684,821.0,421.23792633346477,12.0,1435.0
0,1445.0,812.6315789473684,825.0,421.23792633346477,16.0,1439.0
0,1507.0,854.8888888888889,866.5,435.308560919581,3.0,1501.0
0,1652.0,807.4090909090909,909.0,549.3135930902483,17.0,1646.0
0,1653.0,808.4090909090909,910.0,549.3135930902483,18.0,1647.0
0,1757.0,849.1428571428571,970.0,570.9727110245235,65.0,1751.0
0,1768.0,835.3809523809524,981.0,595.6268787460882,7.0,1762.0
0,1801.0,772.7727272727273,690.0,623.259535303799,7.0,1795.0
0,1830.0,767.4347826086956,471.0,630.468964590573,14.0,1824.0
0,1933.0,754.76,423.0,657.5090131701618,1.0,1927.0
0,1955.0,763.24,445.0,669.5309570139383,11.0,1949.0
0,1981.0,773.44,471.0,682.7997117749832,16.0,1975.0
0,2023.0,803.6,513.0,693.5787193967243,5.0,2017.0
0,2033.0,763.0416666666666,515.0,661.2046757728571,31.0,1930.0
0,2052.0,793.1739130434783,542.0,673.2204014174615,50.0,1949.0
0,2089.0,816.1739130434783,579.0,686.730353523059,6.0,1986.0
0,2109.0,846.9545454545455,560.0,700.2583599366429,26.0,2006.0
0,2117.0,879.4761904761905,613.0,707.4485758896859,3.0,2014.0
0,2133.0,804.304347826087,539.0,733.1520059947595,4.0,2030.0
0,2189.0,764.8076923076923,347.0,738.5199345901112,2.0,2086.0
0,2220.0,793.7692307692307,378.0,740.5962414834471,15.0,2117.0
0,2241.0,814.7692307692307,399.0,740.5962414834471,36.0,2138.0
0,2259.0,754.2307692307693,367.0,714.5269176009616,11.0,2156.0
0,2290.0,797.36,382.0,726.0479256908595,3.0,2187.0
0,2361.0,794.4074074074074,429.0,741.3922468227153,4.0,2258.0
0,2401.0,817.9629629629629,469.0,754.391070676971,2.0,2298.0
0,2444.0,873.4615384615385,484.0,766.0135684061011,45.0,2341.0
0,2457.0,768.6296296296297,374.0,730.1802490886221,6.0,2354.0
0,2486.0,794.2222222222222,403.0,733.6435875684099,3.0,2383.0
0,2521.0,818.3703703703703,438.0,743.2587480342847,11.0,2418.0
0,2531.0,798.9642857142857,430.5,745.6883915523416,5.0,2428.0
0,2552.0,803.8928571428571,428.5,757.8298121839057,19.0,2449.0
0,2571.0,775.7241379310345,442.0,740.6501755355281,14.0,2468.0
0,2602.0,805.448275862069,473.0,741.9918944722675,8.0,2499.0
0,2611.0,825.9285714285714,482.0,752.5904752715036,17.0,2508.0
0,2612.0,826.9285714285714,483.0,752.5904752715036,18.0,2509.0
0,2627.0,821.1428571428571,498.0,770.9998014769855,3.0,2524.0
0,2673.0,776.8387096774194,520.0,776.0296842000473,1.0,2570.0
0,2685.0,788.8387096774194,532.0,776.0296842000473,2.0,2582.0
0,2686.0,789.8387096774194,533.0,776.0296842000473,3.0,2583.0
0,2751.0,847.6666666666666,604.5,799.029884019087,17.0,2648.0
0,2767.0,888.2068965517242,638.0,801.4970638752917,11.0,2664.0
0,2787.0,908.2068965517242,658.0,801.4970638752917,31.0,2684.0
0,2811.0,921.8620689655172,682.0,811.2984366981258,2.0,2708.0
0,2812.0,922.8620689655172,683.0,811.2984366981258,3.0,2709.0
0,2852.0,859.0967741935484,555.0,828.4956968307158,12.0,2749.0
0,2889.0,812.8484848484849,442.0,822.806583598391,2.0,2786.0
0,2946.0,858.7575757575758,499.0,831.2192224533438,4.0,2843.0
0,2971.0,899.59375,583.5,839.1906390748991,29.0,2868.0
0,3001.0,931.4516129032259,554.0,852.5537666787025,59.0,2898.0
0,3023.0,966.0333333333333,633.5,863.8106846345958,1.0,2920.0
0,3046.0,895.7333333333333,580.5,812.480479081737,2.0,2943.0
0,3056.0,893.9333333333333,549.5,819.3044584008776,12.0,2953.0
0,3077.0,934.0689655172414,597.0,826.6931186874225,33.0,2974.0
0,3110.0,984.0,706.0,836.3709020011909,10.0,3007.0
0,3119.0,993.0,715.0,836.3709020011909,19.0,3016.0
0,3137.0,960.6551724137931,657.0,855.34353960798,7.0,3034.0
0,3157.0,1014.6071428571429,753.0,851.0653550229902,2.0,3054.0
0,3192.0,1027.1785714285713,788.0,869.1466280032314,6.0,3089.0
0,3212.0,1071.9259259259259,884.0,875.3548667033157,15.0,3109.0
0,3219.0,1107.8461538461538,906.5,879.2808990352764,22.0,3116.0
0,3239.0,1127.8461538461538,926.5,879.2808990352764,16.0,3136.0
0,3255.0,1165.24,958.0,890.0338096948901,32.0,3152.0
0,3267.0,1201.5,1036.5,900.2517240564811,44.0,3164.0
0,3281.0,1167.08,984.0,913.4018576727332,5.0,3178.0
0,3309.0,1150.1538461538462,996.5,923.4031410747668,27.0,3206.0
0,3319.0,1185.72,1022.0,932.6231616253159,37.0,3216.0
0,3371.0,1153.125,1058.5,852.7128430534709,5.0,2774.0
0,3392.0,1201.1739130434783,1095.0,860.9144103383138,1.0,2795.0
0,3406.0,1244.0454545454545,1175.5,869.3050765500581,2.0,2809.0
0,3423.0,1178.6363636363637,1110.5,897.0498894332641,16.0,2826.0
0,3497.0,1063.923076923077,854.5,936.3822741346663,6.0,2900.0
0,3498.0,1064.923076923077,855.5,936.3822741346663,7.0,2901.0
0,3512.0,1021.3333333333334,869.5,893.0351647922693,21.0,2892.0
0,3536.0,897.96,659.0,850.0110342813203,14.0,2916.0
0,3568.0,832.8571428571429,487.0,850.6943682447095,22.0,2948.0
0,3583.0,800.3103448275862,422.0,861.5178707473935,2.0,2963.0
0,3605.0,847.2142857142857,464.5,866.4494609423834,16.0,2985.0
0,3618.0,812.1034482758621,457.0,864.5123139797328,7.0,2998.0
0,3621.0,815.1034482758621,460.0,864.5123139797328,10.0,3001.0
0,3654.0,789.3448275862069,378.0,874.6190609537337,7.0,3034.0
0,3665.0,800.3448275862069,389.0,874.6190609537337,11.0,3045.0
0,3680.0,796.5172413793103,398.0,885.7194473183409,11.0,3060.0
0,3694.0,820.4285714285714,330.5,899.8155139714326,25.0,3074.0
0,3731.0,881.2222222222222,449.0,907.6363822969724,11.0,3111.0
0,3737.0,846.9642857142857,373.5,913.1846348334592,2.0,3117.0
