,time,mean,median,sd,min,max
0,601.0,4.0,4.0,0.0,4.0,4.0
0,808.0,113.66666666666667,109.0,77.63733351652125,21.0,211.0
0,978.0,283.6666666666667,279.0,77.63733351652125,191.0,381.0
0,1023.0,328.6666666666667,324.0,77.63733351652125,236.0,426.0
0,1168.0,473.6666666666667,469.0,77.63733351652125,381.0,571.0
0,1201.0,506.6666666666667,502.0,77.63733351652125,414.0,604.0
0,1219.0,524.6666666666666,520.0,77.63733351652125,432.0,622.0
0,1411.0,550.5,668.0,295.5583698696418,52.0,814.0
0,1441.0,580.5,698.0,295.5583698696418,82.0,844.0
0,1445.0,584.5,702.0,295.5583698696418,86.0,848.0
0,1507.0,646.5,764.0,295.5583698696418,148.0,910.0
0,1652.0,791.5,909.0,295.5583698696418,293.0,1055.0
0,1653.0,792.5,910.0,295.5583698696418,294.0,1056.0
0,1757.0,730.2,970.0,424.86063597372726,65.0,1160.0
0,1768.0,741.2,981.0,424.86063597372726,76.0,1171.0
0,1801.0,774.2,1014.0,424.86063597372726,109.0,1204.0
0,1830.0,803.2,1043.0,424.86063597372726,138.0,1233.0
0,1933.0,670.8,574.0,497.8262347446145,57.0,1336.0
0,1955.0,692.8,596.0,497.8262347446145,79.0,1358.0
0,1981.0,718.8,622.0,497.8262347446145,105.0,1384.0
0,2023.0,868.25,950.0,502.0569564302441,33.0,1426.0
0,2033.0,878.25,960.0,502.0569564302441,43.0,1436.0
0,2052.0,897.25,979.0,502.0569564302441,62.0,1455.0
0,2089.0,934.25,1016.0,502.0569564302441,99.0,1492.0
0,2109.0,954.25,1036.0,502.0569564302441,119.0,1512.0
0,2117.0,962.25,1044.0,502.0569564302441,3.0,1520.0
0,2133.0,783.4,774.0,594.5713077503825,4.0,1536.0
0,2189.0,705.6666666666666,571.5,619.6925761124535,37.0,1592.0
0,2220.0,870.4,861.0,594.5713077503825,91.0,1623.0
0,2241.0,891.4,882.0,594.5713077503825,112.0,1644.0
0,2259.0,909.4,900.0,594.5713077503825,11.0,1662.0
0,2290.0,940.4,931.0,594.5713077503825,42.0,1693.0
0,2361.0,853.5,743.5,647.501287000008,33.0,1764.0
0,2401.0,893.5,783.5,647.501287000008,73.0,1804.0
0,2444.0,936.5,826.5,647.501287000008,116.0,1847.0
0,2457.0,814.7142857142857,581.0,684.373480801594,6.0,1860.0
0,2486.0,739.0,483.5,697.5505358036793,6.0,1889.0
0,2521.0,774.0,518.5,697.5505358036793,11.0,1924.0
0,2531.0,784.0,528.5,697.5505358036793,21.0,1934.0
0,2552.0,805.0,549.5,697.5505358036793,42.0,1955.0
0,2571.0,754.125,568.5,621.7671263222269,61.0,1974.0
0,2602.0,785.125,599.5,621.7671263222269,92.0,2005.0
0,2611.0,794.125,608.5,621.7671263222269,101.0,2014.0
0,2612.0,795.125,609.5,621.7671263222269,102.0,2015.0
0,2627.0,810.125,624.5,621.7671263222269,4.0,2030.0
0,2673.0,826.375,551.5,629.5297724293904,15.0,2076.0
0,2685.0,838.375,563.5,629.5297724293904,27.0,2088.0
0,2686.0,839.375,564.5,629.5297724293904,28.0,2089.0
0,2751.0,904.375,629.5,629.5297724293904,93.0,2154.0
0,2767.0,920.375,645.5,629.5297724293904,109.0,2170.0
0,2787.0,940.375,665.5,629.5297724293904,129.0,2190.0
0,2811.0,964.375,689.5,629.5297724293904,6.0,2214.0
0,2812.0,965.375,690.5,629.5297724293904,7.0,2215.0
0,2852.0,1005.375,730.5,629.5297724293904,26.0,2255.0
0,2889.0,820.2222222222222,592.0,648.2379154768165,12.0,2292.0
0,2946.0,877.2222222222222,649.0,648.2379154768165,4.0,2349.0
0,2971.0,902.2222222222222,674.0,648.2379154768165,29.0,2374.0
0,3001.0,932.2222222222222,704.0,648.2379154768165,59.0,2404.0
0,3023.0,954.2222222222222,726.0,648.2379154768165,1.0,2426.0
0,3046.0,977.2222222222222,749.0,648.2379154768165,24.0,2449.0
0,3056.0,947.8888888888889,759.0,680.189261969612,34.0,2459.0
0,3077.0,968.8888888888889,780.0,680.189261969612,55.0,2480.0
0,3110.0,1001.8888888888889,813.0,680.189261969612,88.0,2513.0
0,3119.0,1010.8888888888889,822.0,680.189261969612,97.0,2522.0
0,3137.0,1028.888888888889,840.0,680.189261969612,115.0,2540.0
0,3157.0,1048.888888888889,860.0,680.189261969612,135.0,2560.0
0,3192.0,1083.888888888889,895.0,680.189261969612,6.0,2595.0
0,3212.0,1103.888888888889,915.0,680.189261969612,15.0,2615.0
0,3219.0,1110.888888888889,922.0,680.189261969612,22.0,2622.0
0,3239.0,1130.888888888889,942.0,680.189261969612,42.0,2642.0
0,3255.0,1146.888888888889,958.0,680.189261969612,58.0,2658.0
0,3267.0,1158.888888888889,970.0,680.189261969612,70.0,2670.0
0,3281.0,1172.888888888889,984.0,680.189261969612,84.0,2684.0
0,3309.0,1200.888888888889,1012.0,680.189261969612,112.0,2712.0
0,3319.0,1210.888888888889,1022.0,680.189261969612,122.0,2722.0
0,3371.0,1262.888888888889,1074.0,680.189261969612,5.0,2774.0
0,3392.0,1283.888888888889,1095.0,680.189261969612,26.0,2795.0
0,3406.0,1297.888888888889,1109.0,680.189261969612,2.0,2809.0
0,3423.0,1314.888888888889,1126.0,680.189261969612,19.0,2826.0
0,3497.0,1388.888888888889,1200.0,680.189261969612,6.0,2900.0
0,3498.0,1389.888888888889,1201.0,680.189261969612,7.0,2901.0
0,3512.0,1215.0,1199.5,446.51819671767015,21.0,2166.0
0,3536.0,1239.0,1223.5,446.51819671767015,45.0,2190.0
0,3568.0,1132.4444444444443,1240.0,575.1577776017659,24.0,2222.0
0,3583.0,1147.4444444444443,1255.0,575.1577776017659,39.0,2237.0
0,3605.0,1169.4444444444443,1277.0,575.1577776017659,61.0,2259.0
0,3618.0,1122.2222222222222,1290.0,604.2956924806078,74.0,2272.0
0,3621.0,1125.2222222222222,1293.0,604.2956924806078,77.0,2275.0
0,3654.0,1044.7,1087.5,666.8145244368932,23.0,2308.0
0,3665.0,1055.7,1098.5,666.8145244368932,11.0,2319.0
0,3680.0,1070.7,1113.5,666.8145244368932,26.0,2334.0
0,3694.0,1084.7,1127.5,666.8145244368932,40.0,2348.0
0,3731.0,1121.7,1164.5,666.8145244368932,33.0,2385.0
0,3737.0,1127.7,1170.5,666.8145244368932,39.0,2391.0
0,3755.0,1167.4444444444443,1427.0,699.5127051679318,57.0,2409.0
0,3776.0,1188.4444444444443,1448.0,699.5127051679318,7.0,2430.0
0,3813.0,1225.4444444444443,1485.0,699.5127051679318,44.0,2467.0
0,3814.0,1226.4444444444443,1486.0,699.5127051679318,45.0,2468.0
0,3815.0,1227.4444444444443,1487.0,699.5127051679318,46.0,2469.0
