,time,mean,median,sd,min,max
0,424.0,242.33333333333334,221.0,93.48915563969022,22.0,418.0
0,601.0,359.72727272727275,391.0,152.50340735930573,14.0,595.0
0,808.0,469.6923076923077,565.0,226.69409568348152,32.0,802.0
0,978.0,530.3333333333334,626.0,320.24733497026256,3.0,972.0
0,1023.0,486.5,445.5,346.43235270395866,22.0,1017.0
0,1168.0,596.7647058823529,548.0,363.67608881785816,41.0,1162.0
0,1201.0,664.5,623.5,346.43235270395866,31.0,1195.0
0,1219.0,693.7333333333333,684.0,354.9611183715134,49.0,1213.0
0,1411.0,869.7333333333333,876.0,380.5323405733371,62.0,1405.0
0,1441.0,869.4666666666667,906.0,428.8183557431073,12.0,1435.0
0,1445.0,873.4666666666667,910.0,428.8183557431073,16.0,1439.0
0,1507.0,914.4285714285714,929.5,450.248457486961,3.0,1501.0
0,1652.0,810.9444444444445,890.0,591.0321924135231,17.0,1646.0
0,1653.0,811.9444444444445,891.0,591.0321924135231,18.0,1647.0
0,1757.0,886.3125,995.0,604.7122992330733,122.0,1751.0
0,1768.0,864.8125,1006.0,636.8602887162536,7.0,1762.0
0,1801.0,772.3529411764706,297.0,670.5313030528123,7.0,1795.0
0,1830.0,757.5,323.0,676.2474275983113,14.0,1824.0
0,1933.0,775.75,415.0,690.0992591649407,1.0,1927.0
0,1955.0,780.85,437.0,704.8626302337216,11.0,1949.0
0,1981.0,787.1,463.0,721.0260674899348,16.0,1975.0
0,2023.0,791.2857142857143,497.0,723.6856159606183,5.0,2017.0
0,2033.0,740.0,473.0,686.3178563901714,31.0,1930.0
0,2052.0,771.2631578947369,458.0,702.0083102001198,50.0,1949.0
0,2089.0,791.3157894736842,495.0,717.1219563484361,6.0,1986.0
0,2109.0,823.1111111111111,423.5,734.9766352211393,26.0,2006.0
0,2117.0,860.0,523.0,746.2870446022606,34.0,2014.0
0,2133.0,810.1111111111111,432.0,767.1160196830209,4.0,2030.0
0,2189.0,782.55,331.0,769.7177713292061,2.0,2086.0
0,2220.0,775.5238095238095,312.0,770.1770123714987,15.0,2117.0
0,2241.0,796.5238095238095,333.0,770.1770123714987,36.0,2138.0
0,2259.0,717.2857142857143,327.0,735.418257595936,14.0,2156.0
0,2290.0,761.6,352.0,751.1054120428104,3.0,2187.0
0,2361.0,777.5238095238095,417.0,765.2699877788305,4.0,2258.0
0,2401.0,796.3809523809524,413.0,780.9120111517032,2.0,2298.0
0,2444.0,854.55,408.5,797.171654977772,45.0,2341.0
0,2457.0,752.5,356.5,744.8747210101843,7.0,2354.0
0,2486.0,817.4736842105264,403.0,747.0998924558075,3.0,2383.0
0,2521.0,837.0526315789474,438.0,760.9104984842837,23.0,2418.0
0,2531.0,804.95,430.5,764.0127927593882,5.0,2428.0
0,2552.0,803.45,428.5,780.6388713739536,19.0,2449.0
0,2571.0,783.952380952381,442.0,781.0374343928097,14.0,2468.0
0,2602.0,813.1904761904761,473.0,782.8120627734237,8.0,2499.0
0,2611.0,838.65,470.0,798.5895237855303,17.0,2508.0
0,2612.0,839.65,471.0,798.5895237855303,18.0,2509.0
0,2627.0,825.55,486.0,823.1107139990341,3.0,2524.0
0,2673.0,759.6086956521739,509.0,820.1792878829675,1.0,2570.0
0,2685.0,771.6086956521739,521.0,820.1792878829675,2.0,2582.0
0,2686.0,772.6086956521739,522.0,820.1792878829675,3.0,2583.0
0,2751.0,827.0454545454545,445.5,851.4137695766925,17.0,2648.0
0,2767.0,875.952380952381,603.0,857.6722359964166,11.0,2664.0
0,2787.0,895.952380952381,623.0,857.6722359964166,31.0,2684.0
0,2811.0,905.6666666666666,647.0,870.0717175329823,2.0,2708.0
0,2812.0,906.6666666666666,648.0,870.0717175329823,3.0,2709.0
0,2852.0,808.2173913043479,326.0,881.6333141205065,12.0,2749.0
0,2889.0,810.0833333333334,359.5,879.3645393439263,2.0,2786.0
0,2946.0,851.8333333333334,382.5,890.0937996763162,15.0,2843.0
0,2971.0,898.5652173913044,438.0,902.9832598037586,40.0,2868.0
0,3001.0,931.1363636363636,426.0,923.1952071451997,70.0,2898.0
0,3023.0,971.0952380952381,406.0,941.1583999449019,92.0,2920.0
0,3046.0,860.8095238095239,400.0,871.1362923844334,2.0,2943.0
0,3056.0,870.8095238095239,410.0,871.1362923844334,12.0,2953.0
0,3077.0,918.4,445.5,884.2930735904246,33.0,2974.0
0,3110.0,975.5263157894736,464.0,900.8269515705556,10.0,3007.0
0,3119.0,984.5263157894736,473.0,900.8269515705556,19.0,3016.0
0,3137.0,929.95,478.0,921.7399023043323,7.0,3034.0
0,3157.0,998.3684210526316,511.0,920.5615683418645,2.0,3054.0
0,3192.0,1000.3157894736842,520.0,944.375931648519,31.0,3089.0
0,3212.0,1055.9444444444443,553.0,957.7443681334587,51.0,3109.0
0,3219.0,1106.235294117647,573.0,968.2447144134686,58.0,3116.0
0,3239.0,1126.235294117647,593.0,968.2447144134686,16.0,3136.0
0,3255.0,1175.5625,837.0,988.5390716070609,32.0,3152.0
0,3267.0,1227.0666666666666,1103.0,1008.6562986909311,44.0,3164.0
0,3281.0,1163.8125,800.0,1021.432279861837,5.0,3178.0
0,3309.0,1123.2941176470588,511.0,1028.1382239818033,27.0,3206.0
0,3319.0,1171.5625,824.0,1047.9689862270495,37.0,3216.0
0,3371.0,1087.2666666666667,545.0,935.0027070667883,29.0,2751.0
0,3392.0,1148.0,897.0,955.5071951586759,1.0,2772.0
0,3406.0,1206.7692307692307,1242.0,977.3250899066015,15.0,2786.0
0,3423.0,1084.3076923076924,536.0,1009.8246142173847,16.0,2803.0
