,time,mean,median,sd
0,283.0,72.5,53.0,67.69785816405124
0,310.0,86.71428571428571,77.0,62.68906098632311
0,601.0,233.6153846153846,285.0,156.98482947848984
0,618.0,228.69230769230768,216.0,167.80546640742375
0,656.0,197.375,113.0,180.16966829907858
0,812.0,248.6,180.0,201.23995627111432
0,858.0,295.3333333333333,225.0,205.3569385782283
0,910.0,319.03846153846155,268.0,219.20581841822167
0,971.0,359.7037037037037,321.0,233.09397482001484
0,986.0,354.53846153846155,331.5,213.17440147397386
0,1082.0,405.14285714285717,416.0,237.89639315792712
0,1201.0,501.25,494.5,255.27556888865917
0,1219.0,507.67857142857144,512.5,270.05410219481
0,1242.0,513.6785714285714,535.5,286.73557425059124
0,1249.0,529.3333333333334,578.0,288.3834895361332
0,1257.0,538.1923076923077,591.0,293.84310560239317
0,1276.0,568.24,615.0,294.3198640934723
0,1393.0,617.925925925926,722.0,347.2601678031346
0,1422.0,655.6153846153846,756.0,350.9829139960516
0,1482.0,646.4285714285714,775.0,398.6596676518016
0,1496.0,677.8888888888889,825.0,395.3222158201935
0,1508.0,693.0384615384615,842.0,402.52027954351195
0,1583.0,728.7037037037037,912.0,434.2009105552674
0,1678.0,787.9285714285714,971.0,461.9614956567135
0,1697.0,784.0370370370371,954.0,454.57652099847024
0,1801.0,759.5,793.5,513.4007328588458
0,1805.0,768.7096774193549,869.0,520.7824877852239
0,1815.0,741.5483870967741,736.0,533.620369993118
0,1856.0,792.3666666666667,848.5,539.679564391892
0,1884.0,814.3,876.5,547.7614535543735
0,1918.0,806.516129032258,839.0,573.5591130750754
0,1933.0,821.516129032258,854.0,573.5591130750754
0,1990.0,859.9354838709677,911.0,590.4232454272908
0,1999.0,862.4666666666667,861.5,599.1013121519783
0,2010.0,893.448275862069,931.0,599.4339620932572
0,2013.0,896.448275862069,934.0,599.4339620932572
0,2037.0,880.5,899.5,623.1405807146035
0,2089.0,917.7,951.5,639.4828718060659
0,2098.0,971.9285714285714,1176.0,637.7748107158775
0,2107.0,896.7241379310345,911.0,630.9784900728405
0,2115.0,880.9642857142857,790.5,629.2706368795349
0,2116.0,881.9642857142857,791.5,629.2706368795349
0,2173.0,917.8214285714286,848.5,648.9344042115409
0,2187.0,896.551724137931,734.0,663.9051960887028
0,2282.0,950.8666666666667,773.0,684.5688537726177
0,2286.0,954.8666666666667,777.0,684.5688537726177
0,2313.0,994.6551724137931,860.0,692.7394532285952
0,2317.0,998.6551724137931,864.0,692.7394532285952
0,2401.0,1082.655172413793,948.0,692.7394532285952
0,2414.0,1124.8214285714287,1089.5,687.2825917840403
0,2457.0,1070.4,948.0,744.4686069047281
0,2471.0,1065.5,962.0,764.2478110316488
0,2489.0,1068.9333333333334,980.0,780.126098069337
0,2524.0,1036.59375,910.0,799.1134094801172
0,2525.0,1037.59375,911.0,799.1134094801172
0,2531.0,1025.2666666666667,917.0,781.6859528537589
0,2581.0,1004.5,864.0,804.5136729726847
0,2586.0,1009.5,869.0,804.5136729726847
0,2595.0,1046.5483870967741,932.0,801.8392904184036
0,2613.0,1045.774193548387,950.0,819.4901920205621
0,2642.0,1057.516129032258,979.0,835.9543462981056
0,2657.0,1105.7,1043.0,829.4440366896371
0,2674.0,1106.6666666666667,1060.0,845.9839767329455
0,2677.0,1109.6666666666667,1063.0,845.9839767329455
0,2684.0,1145.9310344827586,1119.0,845.384953368398
0,2687.0,1148.9310344827586,1122.0,845.384953368398
0,2711.0,1088.8620689655172,1048.0,837.4493592157627
0,2735.0,1105.103448275862,1072.0,846.5852033551223
0,2774.0,1008.4545454545455,892.0,873.6413552659089
0,2778.0,1012.4545454545455,896.0,873.6413552659089
0,2781.0,1012.25,751.0,886.9959836436691
0,2790.0,1020.15625,760.0,888.2247783280635
0,2825.0,1037.84375,795.0,902.69600050955
0,2829.0,1010.3636363636364,651.0,906.5755686692584
0,2843.0,1024.3636363636363,665.0,906.5755686692584
0,2871.0,1073.34375,841.0,912.7089010664558
0,2919.0,1110.96875,889.0,923.2891097990041
0,2963.0,1154.96875,933.0,923.2891097990041
0,2977.0,1168.96875,947.0,923.2891097990041
0,2996.0,1152.060606060606,818.0,931.6067885369436
0,2997.0,1153.060606060606,819.0,931.6067885369436
0,3001.0,1157.060606060606,823.0,931.6067885369436
0,3019.0,1147.1515151515152,841.0,958.657335096367
0,3024.0,1118.2941176470588,698.5,964.2730126403903
0,3030.0,1135.969696969697,852.0,980.3531362774329
0,3057.0,1146.060606060606,879.0,994.8976478312926
0,3106.0,1185.909090909091,928.0,1004.0583818482766
0,3111.0,1176.3125,716.5,1016.1724274667907
0,3134.0,1230.6129032258063,956.0,1017.1358800785587
0,3165.0,1287.9333333333334,1135.0,1023.5112092964861
0,3181.0,1262.0645161290322,1003.0,1032.6530796615307
0,3201.0,1298.8666666666666,1171.0,1048.956838429918
0,3257.0,1265.3125,822.5,1072.2343329905782
0,3274.0,1308.516129032258,1096.0,1079.259449538096
0,3287.0,1305.7096774193549,1109.0,1094.6104092191265
0,3291.0,1290.4193548387098,1113.0,1112.0775609465709
0,3299.0,1325.9333333333334,1269.0,1120.032497544404
