,time,mean,median,sd
0,283.0,86.6,50.0,77.43280958353506
0,310.0,94.75,59.0,75.61869808453461
0,601.0,193.0,95.0,165.63748904694788
0,618.0,178.33333333333334,77.0,172.13754190569043
0,656.0,146.54545454545453,101.0,165.96240737334773
0,812.0,194.45,157.5,172.3021981867904
0,858.0,238.52631578947367,199.0,176.56886785884114
0,910.0,260.9047619047619,249.0,189.59000997438173
0,971.0,299.59090909090907,305.0,203.63082886147154
0,986.0,286.76190476190476,315.0,162.48718770352465
0,1082.0,333.39130434782606,339.0,186.0455154993775
0,1201.0,424.5217391304348,446.0,202.25981344821287
0,1219.0,428.4347826086956,464.0,219.46116346276625
0,1242.0,430.7391304347826,477.0,236.88379418413146
0,1249.0,444.59090909090907,495.0,239.96830455308603
0,1257.0,449.6190476190476,492.0,245.21952772983917
0,1276.0,478.0,522.0,247.5705959923351
0,1393.0,520.5909090909091,574.0,301.8835806747226
0,1422.0,555.7142857142857,657.0,307.6499468485544
0,1482.0,540.1739130434783,582.0,353.27125335909443
0,1496.0,570.7727272727273,663.5,352.3298985865612
0,1508.0,581.5714285714286,743.0,360.5771262096061
0,1583.0,613.3636363636364,732.5,392.22159152640245
0,1678.0,669.8260869565217,742.0,419.8060268612588
0,1697.0,655.3636363636364,689.5,398.1129973734667
0,1801.0,630.8518518518518,598.0,449.2469174818465
0,1805.0,636.1153846153846,526.5,457.7576892538299
0,1815.0,601.8076923076923,450.5,462.1850294841774
0,1856.0,649.0,495.0,470.2793212549325
0,1884.0,697.5416666666666,605.5,468.858985478458
0,1918.0,684.4,557.0,497.2888898819277
0,1933.0,699.4,572.0,497.2888898819277
0,1990.0,733.36,537.0,515.6617402910556
0,1999.0,729.0,501.0,522.0385522162132
0,2010.0,759.3913043478261,557.0,524.7366825478681
0,2013.0,762.3913043478261,560.0,524.7366825478681
0,2037.0,742.0416666666666,539.0,549.9679141524732
0,2089.0,775.5416666666666,591.0,568.388949808042
0,2098.0,829.1818181818181,773.5,572.3833455079524
0,2107.0,802.1304347826087,654.0,584.7834459344257
0,2115.0,775.5909090909091,617.0,574.523570138448
0,2116.0,776.5909090909091,618.0,574.523570138448
0,2173.0,806.6818181818181,664.0,596.8587000716666
0,2187.0,781.0434782608696,622.0,611.957406748916
0,2282.0,830.0,648.5,633.1195253136119
0,2286.0,834.0,652.5,633.1195253136119
0,2313.0,871.8695652173913,748.0,644.5406388744472
0,2317.0,875.8695652173913,752.0,644.5406388744472
0,2401.0,959.8695652173913,836.0,644.5406388744472
0,2414.0,1004.4090909090909,905.0,641.4334557061811
0,2457.0,935.6666666666666,789.0,700.0839037017079
0,2471.0,926.0416666666666,803.0,721.7625694071578
0,2489.0,965.3913043478261,924.0,729.829744239408
0,2524.0,959.5,856.0,740.8885993634041
0,2525.0,960.5,857.0,740.8885993634041
0,2531.0,994.0434782608696,966.0,744.6975153805663
0,2581.0,955.96,810.0,773.6355462360815
0,2586.0,960.96,815.0,773.6355462360815
0,2595.0,1004.1666666666666,927.0,770.842108058165
0,2613.0,997.9166666666666,945.0,793.0788588714801
0,2642.0,1004.625,974.0,813.5927939546908
0,2657.0,1060.608695652174,1092.0,806.4744390208228
0,2674.0,1056.695652173913,1109.0,827.3804358535862
0,2677.0,1059.695652173913,1112.0,827.3804358535862
0,2684.0,1103.0,1175.0,827.8650526834343
0,2687.0,1106.0,1178.0,827.8650526834343
0,2711.0,1080.4782608695652,1146.0,842.2867873450858
0,2735.0,1144.2272727272727,1226.0,839.8541503151918
0,2774.0,1043.88,1003.0,873.5672301546115
0,2778.0,1047.88,1007.0,873.5672301546115
0,2781.0,1050.88,1010.0,873.5672301546115
0,2790.0,1058.48,1019.0,875.2254621524673
0,2825.0,1071.32,1054.0,894.8654745826324
0,2829.0,1034.076923076923,854.5,901.39314922372
0,2843.0,1048.076923076923,868.5,901.39314922372
0,2871.0,1076.076923076923,896.5,901.39314922372
0,2919.0,1111.3076923076924,944.5,914.5801377694395
0,2963.0,1155.3076923076924,988.5,914.5801377694395
