,time,mean,median,sd
0,639.0,576.5,576.5,23.5
0,656.0,401.0,570.0,272.91146305471796
0,733.0,478.0,647.0,272.91146305471796
0,812.0,557.0,726.0,272.91146305471796
0,888.0,633.0,802.0,272.91146305471796
0,915.0,497.25,552.0,367.8630009935764
0,960.0,440.4,320.0,386.9783456474018
0,974.0,454.4,334.0,386.9783456474018
0,1033.0,513.4,393.0,386.9783456474018
0,1083.0,563.4,443.0,386.9783456474018
0,1170.0,650.4,530.0,386.9783456474018
0,1190.0,767.0,827.0,374.8766463785121
0,1201.0,778.0,838.0,374.8766463785121
0,1244.0,821.0,881.0,374.8766463785121
0,1277.0,854.0,914.0,374.8766463785121
0,1393.0,970.0,1030.0,374.8766463785121
0,1480.0,1057.0,1117.0,374.8766463785121
0,1490.0,1067.0,1127.0,374.8766463785121
0,1589.0,1038.0,949.0,349.0568244092452
0,1677.0,857.25,893.5,555.0316995451701
0,1693.0,873.25,909.5,555.0316995451701
0,1806.0,741.6666666666666,879.0,414.080775802124
0,1840.0,584.0,563.5,488.67729638279695
0,1856.0,600.0,579.5,488.67729638279695
0,1871.0,494.6,245.0,499.02809540145137
0,1986.0,609.6,360.0,499.02809540145137
0,1987.0,610.6,361.0,499.02809540145137
0,2060.0,467.6,229.0,491.4389483954238
0,2076.0,543.25,334.0,533.0100257030819
0,2083.0,550.25,341.0,533.0100257030819
0,2105.0,572.25,363.0,533.0100257030819
0,2110.0,462.8,252.0,528.8430390957226
0,2116.0,468.8,258.0,528.8430390957226
0,2173.0,525.8,315.0,528.8430390957226
0,2175.0,527.8,317.0,528.8430390957226
0,2191.0,543.8,333.0,528.8430390957226
0,2203.0,555.8,345.0,528.8430390957226
0,2272.0,622.6,414.0,528.7731460654938
0,2278.0,628.6,420.0,528.7731460654938
0,2287.0,637.6,429.0,528.7731460654938
0,2316.0,666.6,458.0,528.7731460654938
0,2396.0,746.6,538.0,528.7731460654938
0,2417.0,767.6,559.0,528.7731460654938
0,2419.0,769.6,561.0,528.7731460654938
0,2456.0,806.6,598.0,528.7731460654938
0,2475.0,825.6,617.0,528.7731460654938
0,2522.0,872.6,664.0,528.7731460654938
0,2525.0,875.6,667.0,528.7731460654938
0,2561.0,775.4,554.0,640.8006242194213
0,2579.0,793.4,572.0,640.8006242194213
0,2614.0,694.0,558.0,657.6508698896905
0,2616.0,696.0,560.0,657.6508698896905
0,2640.0,720.0,584.0,657.6508698896905
0,2668.0,748.0,612.0,657.6508698896905
0,2678.0,758.0,622.0,657.6508698896905
0,2686.0,766.0,630.0,657.6508698896905
0,2690.0,770.0,634.0,657.6508698896905
0,2706.0,530.0,601.0,354.66829573560705
0,2717.0,541.0,612.0,354.66829573560705
0,2774.0,501.0,452.0,389.70458897306645
0,2804.0,403.8,265.0,291.8296763524916
0,2829.0,428.8,290.0,291.8296763524916
0,2838.0,397.8,299.0,326.9687446836471
0,2843.0,402.8,304.0,326.9687446836471
0,2865.0,512.75,543.0,308.155297699066
0,2883.0,530.75,561.0,308.155297699066
0,2887.0,534.75,565.0,308.155297699066
0,2893.0,540.75,571.0,308.155297699066
0,2912.0,559.75,590.0,308.155297699066
0,2989.0,636.75,667.0,308.155297699066
0,2996.0,643.75,674.0,308.155297699066
0,3001.0,784.0,896.0,231.17670009468225
0,3015.0,798.0,910.0,231.17670009468225
0,3021.0,804.0,916.0,231.17670009468225
0,3057.0,840.0,952.0,231.17670009468225
0,3074.0,646.5,752.0,415.9480135786202
0,3133.0,705.5,811.0,415.9480135786202
0,3156.0,584.2,617.0,470.8504645850952
0,3166.0,594.2,627.0,470.8504645850952
0,3190.0,610.0,608.0,526.1074034833572
0,3205.0,502.8,146.0,530.2476402587757
0,3219.0,516.8,160.0,530.2476402587757
