,time,mean,median,sd
0,601.0,293.4347826086956,351.0,185.50209798109435
0,615.0,289.7916666666667,308.5,197.35036085742422
0,733.0,364.1111111111111,331.0,222.08579145328522
0,808.0,432.18518518518516,406.0,231.40649452089107
0,889.0,505.18518518518516,487.0,244.687410116275
0,916.0,539.6538461538462,533.5,246.30998953908784
0,968.0,556.7037037037037,566.0,281.5229501617303
0,983.0,573.1923076923077,600.5,286.78147929025215
0,1168.0,645.7666666666667,700.0,364.61885884060115
0,1184.0,635.8,630.5,382.4350402355935
0,1201.0,655.0689655172414,703.0,388.77428351116475
0,1257.0,692.4827586206897,759.0,407.9626944311972
0,1415.0,841.8620689655172,917.0,420.53576043258903
0,1444.0,894.5357142857143,976.0,408.55061604083636
0,1445.0,895.5357142857143,977.0,408.55061604083636
0,1484.0,915.9629629629629,986.0,404.27351224428736
0,1511.0,931.3703703703703,1013.0,425.6087708080647
0,1628.0,991.5357142857143,1074.5,487.0080288383973
0,1655.0,921.1935483870968,1023.0,550.1546069708768
0,1669.0,917.3,994.5,550.3031376735311
0,1775.0,1023.3,1100.5,550.3031376735311
0,1801.0,1062.9310344827586,1169.0,554.708866233667
0,1835.0,1128.857142857143,1214.5,537.7102056927341
0,1841.0,1114.2857142857142,1166.5,537.6172866814975
0,1842.0,1089.2857142857142,1167.5,567.097173402965
0,1856.0,1208.08,1247.0,506.4908228191307
0,1933.0,1215.4615384615386,1312.5,584.7843278159663
0,2041.0,1369.32,1432.0,548.6106612161306
0,2088.0,1292.7407407407406,1456.0,673.955960347811
0,2093.0,1346.5384615384614,1472.5,638.2739483451401
0,2116.0,1319.4444444444443,1484.0,676.4241674578072
0,2124.0,1309.851851851852,1492.0,703.7816214172681
0,2161.0,1273.148148148148,1444.0,734.828561699369
0,2163.0,1275.148148148148,1446.0,734.828561699369
0,2268.0,1374.7777777777778,1551.0,744.2540552562896
0,2280.0,1337.642857142857,1536.0,774.1549869874577
0,2341.0,1343.4827586206898,1570.0,812.5739274883051
0,2367.0,1337.9285714285713,1540.0,809.310417603046
0,2374.0,1344.9285714285713,1547.0,809.310417603046
0,2401.0,1417.851851851852,1630.0,787.5223549421361
0,2449.0,1445.4074074074074,1678.0,817.4477108323995
0,2457.0,1501.7692307692307,1713.0,794.2116704725465
0,2533.0,1361.2666666666667,1633.0,920.0707919623479
0,2544.0,1416.655172413793,1661.0,903.6651911220549
0,2557.0,1422.142857142857,1730.0,918.7702850738556
0,2614.0,1477.3214285714287,1787.0,921.560789932393
0,2659.0,1503.2857142857142,1832.0,946.4116009260173
0,2664.0,1488.888888888889,1781.0,958.2975387840177
0,2674.0,1550.5,1847.0,939.0072601505191
0,2678.0,1554.5,1851.0,939.0072601505191
0,2703.0,1555.7692307692307,1876.0,970.1599514311786
0,2714.0,1562.48,1943.0,989.1311387273176
0,2734.0,1566.56,1963.0,1010.7757052877756
0,2764.0,1378.551724137931,1810.0,1085.2691573413197
0,2776.0,1430.5357142857142,1857.5,1083.2870771783594
0,2780.0,1385.1724137931035,1826.0,1096.0262729347046
0,2881.0,1433.0,1830.5,1114.3783020141768
0,2910.0,1505.7931034482758,1956.0,1107.7571742912871
0,2932.0,1527.7931034482758,1978.0,1107.7571742912871
0,2993.0,1586.5172413793102,2039.0,1110.8298116239002
0,3001.0,1531.2758620689656,1854.0,1092.858949050978
0,3009.0,1520.5172413793102,1862.0,1114.2243821783231
0,3030.0,1541.5172413793102,1883.0,1114.2243821783231
0,3051.0,1462.032258064516,1438.0,1143.5953627914582
0,3059.0,1509.1666666666667,1679.0,1141.8964367324309
0,3133.0,1483.0625,1305.5,1171.2553878611402
0,3137.0,1531.967741935484,1524.0,1162.5681383810465
0,3157.0,1475.2903225806451,1115.0,1183.234800507555
0,3164.0,1471.1612903225807,1122.0,1195.420268837166
0,3217.0,1524.1612903225807,1175.0,1195.420268837166
0,3234.0,1478.4375,1058.5,1221.521437017685
0,3252.0,1524.7096774193549,1210.0,1230.718992415996
0,3266.0,1572.3,1438.5,1237.0046927962724
0,3270.0,1576.3,1442.5,1237.0046927962724
0,3274.0,1617.655172413793,1661.0,1241.4037181508534
0,3288.0,1681.4285714285713,1908.0,1234.6163495646106
0,3289.0,1682.4285714285713,1909.0,1234.6163495646106
0,3317.0,1810.2307692307693,2266.5,1224.830987012315
0,3362.0,1844.9615384615386,2311.5,1238.874473084005
0,3384.0,1852.5384615384614,2333.5,1258.1808672343402
0,3401.0,1863.3076923076924,2350.5,1266.9229461491689
0,3427.0,1819.4814814814815,2280.0,1293.2184762965776
0,3489.0,1543.774193548387,1180.0,1362.4960659233507
0,3502.0,1595.8,1326.5,1367.8676690382006
0,3513.0,1580.6206896551723,1204.0,1383.8427111587177
0,3558.0,1614.2142857142858,1181.5,1406.9972169010664
0,3601.0,1642.6785714285713,1224.5,1421.5347856045148
0,3623.0,1720.5925925925926,1314.0,1417.06230447357
0,3626.0,1723.5925925925926,1317.0,1417.06230447357
0,3675.0,1639.8148148148148,1231.0,1450.0728726780656
0,3712.0,1722.423076923077,1335.5,1458.5684017365722
0,3730.0,1799.32,1421.0,1456.8214089585585
0,3806.0,1669.1153846153845,1298.5,1466.3089014183533
0,3813.0,1730.04,1369.0,1469.8502639384735
0,3841.0,1815.7083333333333,1464.5,1472.1881808826465
0,3848.0,1822.7083333333333,1471.5,1472.1881808826465
0,3868.0,1914.3478260869565,1559.0,1462.3258605711908
0,3884.0,1881.6818181818182,1507.5,1476.8629032933177
0,3890.0,1866.5,1513.5,1500.243760496637
0,3895.0,1939.6666666666667,1586.0,1501.892721212719
0,3912.0,1932.4285714285713,1603.0,1528.670401780224
0,3978.0,1967.952380952381,1669.0,1561.3202739132116
0,3990.0,1979.952380952381,1681.0,1561.3202739132116
0,3998.0,2081.9,1822.5,1540.8626772039095
0,4001.0,1985.7619047619048,1692.0,1567.7261029232266
0,4013.0,1916.6666666666667,1569.0,1623.8655331773225
0,4022.0,1925.6666666666667,1578.0,1623.8655331773225
0,4034.0,1880.55,1526.5,1643.2521557874188
0,4052.0,1898.55,1544.5,1643.2521557874188
0,4073.0,1919.55,1565.5,1643.2521557874188
0,4083.0,1648.3478260869565,514.0,1687.3799244544175
0,4091.0,1730.9545454545455,1021.0,1687.794350820371
0,4101.0,1726.6363636363637,1031.0,1701.029916509261
0,4102.0,1727.6363636363637,1032.0,1701.029916509261
0,4146.0,1771.6363636363637,1076.0,1701.029916509261
0,4152.0,1858.7619047619048,1581.0,1698.9699373657447
0,4162.0,1755.1,1092.0,1661.1815644293674
0,4164.0,1757.1,1094.0,1661.1815644293674
0,4169.0,1762.1,1099.0,1661.1815644293674
0,4204.0,1681.5714285714287,535.0,1690.2707749106376
0,4221.0,1597.35,503.5,1668.743457665078
0,4254.0,1497.1052631578948,488.0,1605.0498236154815
0,4257.0,1500.1052631578948,491.0,1605.0498236154815
0,4265.0,1577.8333333333333,547.5,1620.7801362306982
0,4294.0,1523.421052631579,528.0,1616.7578120159744
0,4302.0,1586.7222222222222,519.5,1643.4769986409085
0,4320.0,1685.0,651.0,1656.4717287763453
0,4321.0,1686.0,652.0,1656.4717287763453
0,4333.0,1378.0555555555557,400.0,1549.2994284952804
0,4377.0,1279.15,393.0,1530.909999804038
0,4409.0,1249.5714285714287,411.0,1519.183915366235
0,4418.0,1299.1,380.5,1545.581408402676
0,4420.0,1301.1,382.5,1545.581408402676
0,4464.0,1327.85,419.5,1558.053281341816
0,4473.0,1388.5263157894738,475.0,1581.7351021956888
0,4478.0,1375.9473684210527,480.0,1594.6271127786788
0,4481.0,1452.4444444444443,534.0,1606.6952702233316
0,4483.0,1454.4444444444443,536.0,1606.6952702233316
0,4489.0,1529.2941176470588,593.0,1627.2663748358107
0,4500.0,1626.6875,717.5,1639.0883792046573
0,4509.0,1703.8666666666666,840.0,1670.7314911605501
0,4518.0,1678.7333333333333,849.0,1699.7317226223931
0,4561.0,1500.5882352941176,232.0,1704.567499356242
0,4569.0,1508.5882352941176,240.0,1704.567499356242
0,4571.0,1510.5882352941176,242.0,1704.567499356242
0,4610.0,1465.2222222222222,275.5,1692.66963881699
0,4619.0,1474.2222222222222,284.5,1692.66963881699
0,4645.0,1500.2222222222222,310.5,1692.66963881699
0,4682.0,1450.3157894736842,342.0,1687.8228284618642
0,4691.0,1459.3157894736842,351.0,1687.8228284618642
0,4706.0,1334.4761904761904,348.0,1662.291408154293
0,4716.0,1393.8,350.5,1688.2783419803736
0,4720.0,1397.8,354.5,1688.2783419803736
0,4733.0,1542.1666666666667,373.0,1729.567359197091
0,4747.0,1556.1666666666667,387.0,1729.567359197091
0,4750.0,1559.1666666666667,390.0,1729.567359197091
