,time,mean,median,sd
0,283.0,152.16666666666666,135.0,73.29032829932079
0,601.0,291.3333333333333,293.0,138.15434203173717
0,657.0,326.73333333333335,301.0,157.98416235672346
0,677.0,357.92857142857144,346.5,157.67618910997595
0,829.0,437.8125,463.5,223.3031064355129
0,910.0,477.5,533.0,242.4033312477368
0,973.0,509.47058823529414,594.0,265.91000637036825
0,1170.0,606.7894736842105,678.0,332.1043873539207
0,1256.0,660.25,701.5,353.4065470531071
0,1331.0,644.6363636363636,644.0,414.1190590172376
0,1357.0,700.3333333333334,740.0,400.32359926312637
0,1425.0,735.1363636363636,738.0,419.66331694201824
0,1457.0,767.1363636363636,770.0,419.66331694201824
0,1510.0,833.0,893.0,425.2804116949528
0,1579.0,804.8260869565217,822.0,500.02109974383666
0,1606.0,773.375,837.5,538.6144889513587
0,1683.0,821.5217391304348,903.0,531.7316967733794
0,1719.0,857.5217391304348,939.0,531.7316967733794
0,1730.0,868.5217391304348,950.0,531.7316967733794
0,1790.0,924.8181818181819,986.5,543.3920095410475
0,1801.0,935.8181818181819,997.5,543.3920095410475
0,1835.0,1003.2857142857143,1078.0,533.5671638766266
0,1851.0,931.4347826086956,1001.0,583.9306708466233
0,1856.0,953.8181818181819,1052.5,591.205289400286
0,1865.0,980.4285714285714,1108.0,599.4538443989044
0,1933.0,1045.3333333333333,1176.0,604.5459794505637
0,1934.0,1046.3333333333333,1177.0,604.5459794505637
0,2025.0,1081.4285714285713,1268.0,670.6748251488461
0,2032.0,1065.142857142857,1275.0,698.741336820939
0,2071.0,1054.3181818181818,1267.5,719.8466621039156
0,2095.0,1128.142857142857,1338.0,698.741336820939
0,2113.0,1198.0,1426.0,675.4102457025656
0,2114.0,1199.0,1427.0,675.4102457025656
0,2204.0,1176.55,1400.5,752.1076036711769
0,2252.0,1224.55,1448.5,752.1076036711769
0,2293.0,1206.4285714285713,1443.0,780.1514243388646
0,2399.0,1295.7619047619048,1549.0,802.6244988584639
0,2401.0,1297.7619047619048,1551.0,802.6244988584639
0,2423.0,1254.65,1454.0,832.8438193923275
0,2444.0,1320.7368421052631,1594.0,830.348806992723
0,2557.0,1195.695652173913,1170.0,915.8758428664411
0,2589.0,1179.5454545454545,1107.0,907.542271856585
0,2616.0,1154.5652173913043,1039.0,920.4703346936499
0,2618.0,1156.5652173913043,1041.0,920.4703346936499
