,time,mean,median,sd
0,445.0,306.5,300.5,110.98761192133111
0,601.0,462.5,456.5,110.98761192133111
0,657.0,518.5,512.5,110.98761192133111
0,830.0,691.5,685.5,110.98761192133111
0,885.0,604.4,644.0,301.03860217586714
0,915.0,634.4,674.0,301.03860217586714
0,970.0,689.4,729.0,301.03860217586714
0,1094.0,682.5,845.5,401.49003723629306
0,1167.0,755.5,918.5,401.49003723629306
0,1201.0,758.4,960.0,433.1626022638612
0,1256.0,813.4,1015.0,433.1626022638612
0,1332.0,889.4,1091.0,433.1626022638612
0,1426.0,983.4,1185.0,433.1626022638612
0,1454.0,726.0,605.0,515.6971979757113
0,1457.0,729.0,608.0,515.6971979757113
0,1495.0,767.0,646.0,515.6971979757113
0,1512.0,784.0,663.0,515.6971979757113
0,1560.0,832.0,711.0,515.6971979757113
0,1583.0,716.0,625.5,564.1140546615256
0,1630.0,763.0,672.5,564.1140546615256
0,1703.0,836.0,745.5,564.1140546615256
0,1789.0,922.0,831.5,564.1140546615256
0,1827.0,960.0,869.5,564.1140546615256
0,1931.0,1064.0,973.5,564.1140546615256
0,2023.0,1001.0,957.0,645.6887795215277
0,2034.0,1012.0,968.0,645.6887795215277
0,2111.0,1089.0,1045.0,645.6887795215277
0,2185.0,1163.0,1119.0,645.6887795215277
0,2199.0,1177.0,1133.0,645.6887795215277
0,2215.0,1193.0,1149.0,645.6887795215277
0,2294.0,1114.125,1043.0,734.3509783305255
0,2368.0,1188.125,1117.0,734.3509783305255
0,2401.0,1115.625,902.0,770.1658810769275
0,2419.0,1133.625,920.0,770.1658810769275
0,2457.0,1044.3333333333333,895.0,810.4780482324408
0,2501.0,1088.3333333333333,939.0,810.4780482324408
0,2531.0,1118.3333333333333,969.0,810.4780482324408
0,2541.0,1128.3333333333333,979.0,810.4780482324408
0,2608.0,1195.3333333333333,1046.0,810.4780482324408
0,2629.0,1216.3333333333333,1067.0,810.4780482324408
0,2641.0,1228.3333333333333,1079.0,810.4780482324408
0,2666.0,1253.3333333333333,1104.0,810.4780482324408
0,2668.0,1255.3333333333333,1106.0,810.4780482324408
0,2680.0,1334.75,1181.0,835.5111833482541
0,2684.0,1338.75,1185.0,835.5111833482541
0,2685.0,1339.75,1186.0,835.5111833482541
0,2712.0,1366.75,1213.0,835.5111833482541
0,2718.0,1372.75,1219.0,835.5111833482541
0,2773.0,1427.75,1274.0,835.5111833482541
0,2788.0,1442.75,1289.0,835.5111833482541
0,2824.0,1478.75,1325.0,835.5111833482541
0,2825.0,1479.75,1326.0,835.5111833482541
0,2838.0,1492.75,1339.0,835.5111833482541
0,2911.0,1565.75,1412.0,835.5111833482541
0,2920.0,1574.75,1421.0,835.5111833482541
0,3001.0,1655.75,1502.0,835.5111833482541
0,3002.0,1656.75,1503.0,835.5111833482541
0,3018.0,1672.75,1519.0,835.5111833482541
0,3021.0,1675.75,1522.0,835.5111833482541
0,3028.0,1682.75,1529.0,835.5111833482541
0,3047.0,1701.75,1548.0,835.5111833482541
0,3066.0,1720.75,1567.0,835.5111833482541
0,3081.0,1735.75,1582.0,835.5111833482541
0,3127.0,1781.75,1628.0,835.5111833482541
0,3133.0,1787.75,1634.0,835.5111833482541
0,3173.0,1827.75,1674.0,835.5111833482541
0,3193.0,1847.75,1694.0,835.5111833482541
0,3214.0,1868.75,1715.0,835.5111833482541
0,3245.0,1899.75,1746.0,835.5111833482541
0,3254.0,1908.75,1755.0,835.5111833482541
0,3259.0,1913.75,1760.0,835.5111833482541
0,3263.0,1917.75,1764.0,835.5111833482541
0,3289.0,1728.6666666666667,1727.0,995.289572603538
0,3290.0,1729.6666666666667,1728.0,995.289572603538
0,3319.0,1758.6666666666667,1757.0,995.289572603538
0,3342.0,1603.8,1606.0,1084.559892306552
0,3346.0,1607.8,1610.0,1084.559892306552
0,3360.0,1621.8,1624.0,1084.559892306552
0,3382.0,1643.8,1646.0,1084.559892306552
0,3429.0,1690.8,1693.0,1084.559892306552
0,3434.0,1873.6666666666667,1872.0,995.289572603538
0,3436.0,1875.6666666666667,1874.0,995.289572603538
0,3441.0,1880.6666666666667,1879.0,995.289572603538
0,3478.0,1917.6666666666667,1916.0,995.289572603538
0,3488.0,1927.6666666666667,1926.0,995.289572603538
0,3490.0,1929.6666666666667,1928.0,995.289572603538
0,3528.0,1967.6666666666667,1966.0,995.289572603538
0,3541.0,1980.6666666666667,1979.0,995.289572603538
0,3543.0,1982.6666666666667,1981.0,995.289572603538
0,3555.0,1994.6666666666667,1993.0,995.289572603538
0,3592.0,2031.6666666666667,2030.0,995.289572603538
0,3601.0,2040.6666666666667,2039.0,995.289572603538
0,3628.0,2067.6666666666665,2066.0,995.289572603538
0,3650.0,2089.6666666666665,2088.0,995.289572603538
0,3657.0,2096.6666666666665,2095.0,995.289572603538
0,3687.0,2126.6666666666665,2125.0,995.289572603538
0,3706.0,2145.6666666666665,2144.0,995.289572603538
0,3729.0,2120.4444444444443,2167.0,1084.0448034110348
0,3732.0,2123.4444444444443,2170.0,1084.0448034110348
0,3750.0,2141.4444444444443,2188.0,1084.0448034110348
0,3767.0,2158.4444444444443,2205.0,1084.0448034110348
0,3771.0,2162.4444444444443,2209.0,1084.0448034110348
0,3772.0,2163.4444444444443,2210.0,1084.0448034110348
0,3810.0,2201.4444444444443,2248.0,1084.0448034110348
0,3846.0,2237.4444444444443,2284.0,1084.0448034110348
0,3857.0,2248.4444444444443,2295.0,1084.0448034110348
0,3878.0,2269.4444444444443,2316.0,1084.0448034110348
0,3888.0,2279.4444444444443,2326.0,1084.0448034110348
0,3892.0,2283.4444444444443,2330.0,1084.0448034110348
0,3916.0,2165.5555555555557,2354.0,1252.8384759870605
0,3921.0,2170.5555555555557,2359.0,1252.8384759870605
0,3931.0,2180.5555555555557,2369.0,1252.8384759870605
0,3973.0,2222.5555555555557,2411.0,1252.8384759870605
0,3984.0,2233.5555555555557,2422.0,1252.8384759870605
0,3987.0,2236.5555555555557,2425.0,1252.8384759870605
0,3988.0,2237.5555555555557,2426.0,1252.8384759870605
0,3997.0,1983.6666666666667,2087.0,1422.4657777566701
0,4040.0,2266.0,2367.0,1326.9555380644824
0,4076.0,2302.0,2403.0,1326.9555380644824
0,4077.0,2303.0,2404.0,1326.9555380644824
0,4084.0,1971.25,1986.5,1391.8995788130694
0,4088.0,1975.25,1990.5,1391.8995788130694
