,time,mean,median,sd
0,307.0,162.33333333333334,202.0,88.22823936938912
0,657.0,306.05,233.5,196.98717597853926
0,677.0,317.75,253.5,206.12493177682316
0,732.0,361.55,308.5,219.1940863709603
0,887.0,505.8,463.5,237.62798656723916
0,914.0,518.3,490.5,258.63876352936734
0,974.0,557.05,550.5,282.3011645388662
0,997.0,566.3684210526316,556.0,283.0983110857643
0,1034.0,628.0555555555555,610.5,270.2174992734191
0,1201.0,640.0,691.0,379.61089918837774
0,1256.0,631.92,731.0,416.4371664489134
0,1333.0,682.3461538461538,781.0,429.2010414988163
0,1341.0,712.44,816.0,422.9544732001306
0,1415.0,786.44,890.0,422.9544732001306
0,1445.0,842.5833333333334,927.5,411.40905401099553
0,1489.0,906.695652173913,979.0,408.5441208446752
0,1511.0,950.9545454545455,1010.0,403.85578853581427
0,1520.0,993.9047619047619,1028.0,381.45584588294963
0,1589.0,899.2083333333334,1071.5,525.7011174903051
0,1619.0,884.6666666666666,1074.5,554.3577865923373
0,1636.0,937.5217391304348,1126.0,538.3492376713497
0,1716.0,954.125,1171.5,587.9820230032548
0,1740.0,902.8461538461538,1153.5,622.1540553906672
0,1801.0,930.3703703703703,1207.0,633.9367971854834
0,1927.0,976.6551724137931,1034.0,674.6890101404355
0,1932.0,947.8965517241379,784.0,675.4029369417109
0,2013.0,1036.892857142857,992.5,692.969043798686
0,2032.0,1077.7407407407406,1139.0,696.1510368576419
0,2042.0,1087.7407407407406,1149.0,696.1510368576419
0,2083.0,1088.7857142857142,1062.5,714.4376088496291
0,2089.0,1057.0689655172414,941.0,729.8300194653019
0,2107.0,1100.392857142857,1086.5,730.1215329012851
0,2118.0,1144.8148148148148,1225.0,722.1802399953772
0,2156.0,1130.9642857142858,1135.5,754.2870087583589
0,2179.0,1078.1666666666667,1017.5,781.9555862636246
0,2202.0,1083.4333333333334,1040.5,800.3201727364423
0,2214.0,1095.4333333333334,1052.5,800.3201727364423
0,2281.0,1108.0666666666666,1092.5,818.0408275603091
0,2285.0,1112.0666666666666,1096.5,818.0408275603091
0,2286.0,1140.9655172413793,1111.0,817.8728289460292
0,2292.0,1202.9259259259259,1144.0,819.0564094862082
0,2401.0,1225.6896551724137,1226.0,851.4732102797004
0,2426.0,1287.107142857143,1264.5,844.0609887953136
0,2432.0,1280.9642857142858,1270.5,859.9243107117401
0,2551.0,1237.7,1179.0,913.3507595661155
0,2558.0,1244.7,1186.0,913.3507595661155
0,2572.0,1213.967741935484,1030.0,930.6653008387192
0,2608.0,1282.0666666666666,1236.0,929.0148521716729
0,2632.0,1291.0333333333333,1260.0,945.8382695906432
0,2644.0,1260.344827586207,1102.0,933.1609712880812
0,2677.0,1293.344827586207,1135.0,933.1609712880812
0,2684.0,1300.344827586207,1142.0,933.1609712880812
0,2712.0,1370.2857142857142,1340.0,922.4298988906132
0,2722.0,1409.2222222222222,1520.0,926.7933300057839
0,2770.0,1504.0,1581.5,912.6346054565995
0,2792.0,1504.5,1603.5,941.1137939042883
0,2832.0,1505.16,1630.0,938.5544493528332
0,2836.0,1509.16,1634.0,938.5544493528332
0,2855.0,1415.7037037037037,1313.0,986.7713088209489
0,2864.0,1424.7037037037037,1322.0,986.7713088209489
0,2871.0,1380.7142857142858,1303.0,1004.5595288178673
0,2923.0,1279.3548387096773,1196.0,1057.6298074342276
0,2924.0,1280.3548387096773,1197.0,1057.6298074342276
0,2935.0,1209.7096774193549,1045.0,1060.4149277233914
0,2984.0,1245.5483870967741,1094.0,1073.2713284313909
0,2990.0,1277.7,1123.5,1081.2526423859813
0,3001.0,1288.7,1134.5,1081.2526423859813
0,3028.0,1287.2857142857142,1161.5,1065.8387326803397
0,3057.0,1360.148148148148,1214.0,1060.2910747701837
0,3114.0,1463.5,1395.5,1053.3028730178667
0,3119.0,1487.32,1525.0,1069.8671962444685
0,3156.0,1313.2962962962963,1266.0,1101.6236103475505
0,3162.0,1358.923076923077,1295.5,1103.5637349785302
0,3198.0,1382.5,1331.5,1117.2043835464415
0,3215.0,1347.7777777777778,1325.0,1127.5960773168053
0,3271.0,1388.7777777777778,1381.0,1142.9987956745977
0,3317.0,1365.4642857142858,1288.5,1170.56867993244
0,3325.0,1299.4285714285713,1181.5,1111.8536140984
0,3341.0,1341.4615384615386,1312.5,1147.7127163580356
0,3345.0,1337.2692307692307,1316.5,1156.4864413616162
0,3369.0,1265.1785714285713,859.5,1167.0317064358323
0,3385.0,1308.888888888889,1218.0,1179.3667583145134
0,3388.0,1358.8461538461538,1359.5,1176.8040387261296
0,3450.0,1259.551724137931,553.0,1206.3560858823166
0,3479.0,1246.2,541.5,1207.8085775486113
0,3486.0,1253.2,548.5,1207.8085775486113
0,3488.0,1255.2,550.5,1207.8085775486113
0,3501.0,1293.896551724138,604.0,1220.367026330041
0,3525.0,1236.896551724138,401.0,1227.1116169008171
0,3541.0,1252.896551724138,417.0,1227.1116169008171
0,3586.0,1283.9310344827586,462.0,1239.0535857448644
0,3589.0,1286.9310344827586,465.0,1239.0535857448644
0,3601.0,1282.551724137931,411.0,1252.8731004955382
0,3608.0,1326.392857142857,564.5,1259.5199862103284
0,3656.0,1371.2142857142858,612.5,1262.7594601037968
0,3682.0,1386.357142857143,638.5,1273.186868067845
0,3688.0,1431.1851851851852,791.0,1280.1674669683746
0,3706.0,1449.1851851851852,809.0,1280.1674669683746
0,3731.0,1474.1851851851852,834.0,1280.1674669683746
0,3736.0,1479.1851851851852,839.0,1280.1674669683746
0,3759.0,1547.7692307692307,1227.0,1282.8706784063595
0,3777.0,1523.24,880.0,1290.1784149488785
0,3824.0,1550.88,927.0,1309.3713703911505
0,3840.0,1507.2307692307693,796.5,1318.1288400809894
0,3888.0,1498.5185185185185,698.0,1325.4193290446663
0,3907.0,1445.357142857143,706.0,1347.6896954811677
0,3916.0,1483.2962962962963,726.0,1363.8502094035055
0,3956.0,1403.0689655172414,744.0,1383.9062139599132
0,3970.0,1452.75,769.0,1395.233073847213
0,3980.0,1412.5862068965516,768.0,1396.4268569124206
0,3984.0,1396.2413793103449,772.0,1412.4976571276852
0,4007.0,1419.2413793103449,795.0,1412.4976571276852
0,4014.0,1426.2413793103449,802.0,1412.4976571276852
0,4021.0,1433.2413793103449,809.0,1412.4976571276852
0,4036.0,1317.4,514.0,1418.894865731778
0,4078.0,1237.7878787878788,465.0,1406.4681482260053
0,4083.0,1266.9375,453.5,1421.5217844246179
0,4097.0,1316.0,498.0,1430.5833459387884
0,4100.0,1319.0,501.0,1430.5833459387884
0,4101.0,1320.0,502.0,1430.5833459387884
0,4153.0,1318.7931034482758,554.0,1374.5778882940467
0,4179.0,1325.5172413793102,519.0,1389.0111992967156
0,4201.0,1347.5172413793102,541.0,1389.0111992967156
0,4227.0,1363.0689655172414,567.0,1397.9846067682572
0,4242.0,1378.0689655172414,582.0,1397.9846067682572
0,4247.0,1424.9285714285713,694.5,1404.7579844578067
0,4265.0,1442.9285714285713,712.5,1404.7579844578067
0,4280.0,1408.0689655172414,620.0,1405.3135110036035
0,4296.0,1378.4285714285713,569.0,1408.9109631345823
0,4306.0,1388.4285714285713,579.0,1408.9109631345823
0,4352.0,1368.9310344827586,558.0,1421.164552365042
0,4364.0,1397.4285714285713,535.0,1443.5886688728058
0,4370.0,1439.2962962962963,576.0,1457.7755965807228
0,4386.0,1455.2962962962963,592.0,1457.7755965807228
0,4400.0,1427.4615384615386,571.0,1469.5545958075772
0,4415.0,1442.4615384615386,586.0,1469.5545958075772
0,4419.0,1493.88,625.0,1479.0243627472807
0,4422.0,1496.88,628.0,1479.0243627472807
0,4458.0,1513.88,664.0,1495.3121766373736
0,4459.0,1514.88,665.0,1495.3121766373736
0,4478.0,1501.44,614.0,1519.0988402339065
0,4481.0,1504.44,617.0,1519.0988402339065
0,4486.0,1491.32,622.0,1534.1949737891857
0,4499.0,1547.2083333333333,670.0,1551.077716169381
0,4568.0,1539.24,704.0,1562.957562571678
0,4570.0,1541.24,706.0,1562.957562571678
0,4578.0,1571.2916666666667,749.0,1598.1276408964404
0,4579.0,1572.2916666666667,750.0,1598.1276408964404
0,4581.0,1574.2916666666667,752.0,1598.1276408964404
0,4588.0,1552.1304347826087,724.0,1617.3024052239855
0,4609.0,1398.4782608695652,661.0,1558.3793663698868
0,4620.0,1443.0,697.0,1585.2726751399755
0,4682.0,1188.8214285714287,381.5,1530.1036158558356
0,4700.0,1201.25,399.5,1534.1946380756256
0,4702.0,1203.25,401.5,1534.1946380756256
0,4740.0,1167.2068965517242,293.0,1538.4940998017676
0,4748.0,1213.357142857143,358.0,1552.1890121991703
0,4755.0,1249.9259259259259,308.0,1572.9090747643343
0,4777.0,1261.6666666666667,330.0,1580.1473442782572
0,4781.0,1265.6666666666667,334.0,1580.1473442782572
0,4783.0,1267.6666666666667,336.0,1580.1473442782572
0,4801.0,1273.0,330.0,1588.911390672056
0,4825.0,1243.107142857143,319.5,1584.0083274331455
0,4834.0,1262.5555555555557,294.0,1612.1273576501178
0,4850.0,1315.8076923076924,316.5,1631.393859420898
0,4851.0,1316.8076923076924,317.5,1631.393859420898
0,4890.0,1327.076923076923,282.0,1648.2826009347968
0,4919.0,1306.9259259259259,299.0,1636.7722284564718
0,4932.0,1319.9259259259259,312.0,1636.7722284564718
0,4934.0,1321.9259259259259,314.0,1636.7722284564718
0,4964.0,1345.5555555555557,344.0,1641.6678586196085
0,4965.0,1346.5555555555557,345.0,1641.6678586196085
0,4979.0,1404.5,371.0,1657.283905161603
0,4987.0,1401.7307692307693,379.0,1665.4456912765772
0,5013.0,1416.7307692307693,405.0,1673.7749034785986
0,5020.0,1464.68,424.0,1694.1031543563101
0,5043.0,1517.375,426.5,1722.6501098718993
0,5052.0,1526.375,435.5,1722.6501098718993
0,5062.0,1577.4782608695652,425.0,1748.1414943619466
0,5078.0,1653.6363636363637,461.5,1763.9928505692715
0,5082.0,1657.6363636363637,465.5,1763.9928505692715
0,5085.0,1660.6363636363637,468.5,1763.9928505692715
0,5113.0,1816.2,803.5,1800.766214698621
0,5133.0,1908.7368421052631,1151.0,1818.8454071081599
0,5142.0,1998.2777777777778,1545.0,1835.4120580511358
0,5153.0,1903.842105263158,1171.0,1841.6122588404317
0,5154.0,1904.842105263158,1172.0,1841.6122588404317
0,5165.0,1998.0,1568.0,1857.876715201762
0,5173.0,2111.529411764706,1961.0,1858.572352724375
0,5177.0,2236.5625,1976.0,1849.6354359964425
0,5207.0,2266.5625,2006.0,1849.6354359964425
0,5275.0,1790.7142857142858,638.0,1884.972758243399
0,5291.0,1876.8,981.5,1904.6328412583878
0,5302.0,1887.8,992.5,1904.6328412583878
0,5338.0,1791.1052631578948,701.0,1861.82601071712
0,5350.0,1803.1052631578948,713.0,1861.82601071712
0,5355.0,1808.1052631578948,718.0,1861.82601071712
0,5368.0,1913.6666666666667,1058.5,1869.8098833838694
0,5378.0,2008.1176470588234,1396.0,1890.36286222118
0,5380.0,2010.1176470588234,1398.0,1890.36286222118
0,5381.0,2092.25,1784.0,1919.6124446095885
0,5423.0,1709.85,615.0,1915.3097471427434
0,5424.0,1710.85,616.0,1915.3097471427434
0,5431.0,1695.55,539.0,1932.4380578688672
0,5433.0,1616.7619047619048,286.0,1920.1631603481715
0,5447.0,1630.7619047619048,300.0,1920.1631603481715
0,5473.0,1582.5,296.0,1906.6320794436551
0,5494.0,1459.625,272.5,1885.614904403424
0,5501.0,1517.608695652174,265.0,1909.9079363000137
0,5509.0,1525.608695652174,273.0,1909.9079363000137
0,5511.0,1527.608695652174,275.0,1909.9079363000137
0,5531.0,1578.6666666666667,280.0,1993.450569892109
0,5570.0,1414.0,166.5,1940.868233549099
0,5581.0,1368.16,168.0,1921.9338111391871
0,5583.0,1370.16,170.0,1921.9338111391871
0,5591.0,1374.04,178.0,1924.7626654733306
0,5611.0,1394.04,198.0,1924.7626654733306
0,5612.0,1395.04,199.0,1924.7626654733306
0,5634.0,1455.7916666666667,220.0,1954.873908533205
0,5654.0,1363.5,236.0,1918.041113099107
0,5672.0,1381.5,254.0,1918.041113099107
0,5673.0,1382.5,255.0,1918.041113099107
0,5685.0,1343.1851851851852,264.0,1900.2868991391222
0,5695.0,1289.4285714285713,266.5,1891.6058640472543
0,5697.0,1291.4285714285713,268.5,1891.6058640472543
0,5698.0,1292.4285714285713,269.5,1891.6058640472543
0,5709.0,1204.148148148148,277.0,1865.8154349536787
0,5710.0,1205.148148148148,278.0,1865.8154349536787
0,5719.0,1299.56,294.0,1913.4437034833295
0,5726.0,1306.56,301.0,1913.4437034833295
0,5760.0,1157.5172413793102,281.0,1834.5787192946893
0,5799.0,1225.5357142857142,316.0,1860.5004219706755
0,5809.0,1193.0689655172414,322.0,1841.90036667595
0,5830.0,1173.9333333333334,319.0,1823.7942854268283
0,5833.0,1176.9333333333334,322.0,1823.7942854268283
0,5855.0,1198.9333333333334,344.0,1823.7942854268283
0,5856.0,1199.9333333333334,345.0,1823.7942854268283
0,5868.0,1231.9310344827586,333.0,1851.735885148637
0,5883.0,1275.107142857143,331.5,1878.39413442299
0,5886.0,1278.107142857143,334.5,1878.39413442299
0,5891.0,1315.6666666666667,323.0,1905.088254979086
0,5912.0,1312.888888888889,335.0,1918.7180391032568
0,5913.0,1313.888888888889,336.0,1918.7180391032568
0,5937.0,1337.1851851851852,360.0,1919.1966111821669
0,5938.0,1338.1851851851852,361.0,1919.1966111821669
0,5947.0,1389.1923076923076,374.5,1943.5373582768486
0,5976.0,1453.16,399.0,1973.9908141630244
0,6001.0,1405.4615384615386,363.0,1966.0021369181836
0,6015.0,1406.8076923076924,377.0,1973.9583040415707
0,6029.0,1368.7037037037037,388.0,1955.193498330078
0,6035.0,1374.7037037037037,394.0,1955.193498330078
0,6038.0,1377.7037037037037,397.0,1955.193498330078
